Pallet: "balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,127585,129122
1,1000,114270,94117
1,1000,116564,82105
1,1000,132312,90219
1,1000,115614,80274
1,1000,116779,82127
1,1000,109440,79084
1,1000,111142,79032
1,1000,111030,79591
1,1000,109943,79173
1,1000,110592,81107
1,1000,111819,101659
1,1000,115742,81427
1,1000,115674,80066
1,1000,111889,79980
1,1000,114544,81230
1,1000,117036,79840
1,1000,115331,80710
1,1000,115351,81200
1,1000,107973,78415
50,1000,114760,80969
50,1000,114700,83558
50,1000,115223,111652
50,1000,116696,80737
50,1000,117676,82337
50,1000,116869,82877
50,1000,115065,80272
50,1000,113117,79019
50,1000,109471,78225
50,1000,112746,79404
50,1000,108261,79200
50,1000,109188,78806
50,1000,128502,95707
50,1000,114807,102531
50,1000,116794,80660
50,1000,115116,80027
50,1000,114051,114091
50,1000,114752,80763
50,1000,119346,81005
50,1000,115262,81117
99,1000,107567,71976
99,1000,112600,77585
99,1000,113602,74389
99,1000,112109,73922
99,1000,128047,89472
99,1000,112711,74342
99,1000,117611,75400
99,1000,113605,77203
99,1000,112995,74789
99,1000,115899,73551
99,1000,111808,73149
99,1000,112710,74904
99,1000,112117,74326
99,1000,112609,72975
99,1000,112372,73631
99,1000,113072,73401
99,1000,125062,87740
99,1000,112656,74016
99,1000,120432,74100
99,1000,112659,72957
148,1000,108349,72083
148,1000,107795,70734
148,1000,106546,71517
148,1000,107230,72229
148,1000,107949,71554
148,1000,110521,73908
148,1000,113650,73605
148,1000,108955,74100
148,1000,124324,76458
148,1000,112300,74382
148,1000,112870,74787
148,1000,113608,73892
148,1000,109389,73148
148,1000,106828,72262
148,1000,109793,73032
148,1000,112639,73814
148,1000,113583,73355
148,1000,112198,73944
148,1000,114981,74433
148,1000,113464,90266
197,1000,115888,82595
197,1000,114983,82184
197,1000,115472,79576
197,1000,114659,81653
197,1000,115339,110018
197,1000,129042,87334
197,1000,115909,82871
197,1000,115515,81702
197,1000,115302,81244
197,1000,137739,75437
197,1000,142130,82606
197,1000,109843,78683
197,1000,108591,77650
197,1000,110142,78908
197,1000,110966,79421
197,1000,142410,109364
197,1000,194154,94044
197,1000,120726,86757
197,1000,116477,83284
197,1000,117697,80085
246,1000,115764,80780
246,1000,141701,83268
246,1000,122467,81458
246,1000,115446,80141
246,1000,116497,80850
246,1000,115878,80076
246,1000,114679,80503
246,1000,114498,80691
246,1000,115248,84856
246,1000,115002,80933
246,1000,113320,93274
246,1000,115947,79751
246,1000,116626,81803
246,1000,114883,79945
246,1000,115784,80597
246,1000,126186,119404
246,1000,166033,118240
246,1000,119857,84374
246,1000,115056,80841
246,1000,115966,81779
295,1000,115351,80817
295,1000,115848,81082
295,1000,111201,81790
295,1000,112976,79023
295,1000,119438,83414
295,1000,114969,80188
295,1000,114397,91682
295,1000,115088,81508
295,1000,114343,79689
295,1000,113933,88488
295,1000,139852,88977
295,1000,116452,92769
295,1000,159224,90439
295,1000,116149,81389
295,1000,114917,80924
295,1000,134383,96631
295,1000,114579,80683
295,1000,114725,82895
295,1000,113915,79463
295,1000,114893,87260
344,1000,110526,71712
344,1000,110943,71621
344,1000,106207,69786
344,1000,134734,84742
344,1000,111062,73985
344,1000,111079,114687
344,1000,110355,72623
344,1000,110761,95809
344,1000,110740,71382
344,1000,111958,71486
344,1000,111595,72682
344,1000,108876,69952
344,1000,111078,72646
344,1000,111042,71089
344,1000,105031,87312
344,1000,106523,70242
344,1000,115050,72200
344,1000,104850,70184
344,1000,106082,71091
344,1000,105560,69280
393,1000,108154,77904
393,1000,113765,79788
393,1000,115403,80160
393,1000,114538,80580
393,1000,115175,80313
393,1000,113598,79972
393,1000,127495,90419
393,1000,115176,79881
393,1000,113992,80763
393,1000,113851,80218
393,1000,114340,79573
393,1000,113448,83207
393,1000,113743,80658
393,1000,113673,79951
393,1000,115033,80919
393,1000,111927,79776
393,1000,109597,83178
393,1000,136951,94307
393,1000,114652,81925
393,1000,115567,81203
442,1000,114109,79503
442,1000,114084,77788
442,1000,113219,92737
442,1000,118781,80948
442,1000,114460,78654
442,1000,114723,77143
442,1000,114584,78196
442,1000,114283,108423
442,1000,125160,79121
442,1000,114881,77176
442,1000,162582,94078
442,1000,112898,76555
442,1000,109396,75543
