Pallet: "balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,96800,73593
1,1000,83667,61397
1,1000,81318,57097
1,1000,81188,57219
1,1000,82514,58624
1,1000,81360,56870
1,1000,80222,57119
1,1000,84249,57827
1,1000,80531,56331
1,1000,79912,56495
1,1000,81252,56730
1,1000,80446,56755
1,1000,80260,55830
1,1000,80612,56922
1,1000,80301,56294
1,1000,79832,56159
1,1000,80402,56951
1,1000,79984,56332
1,1000,79787,56207
1,1000,80126,57081
20,1000,85091,57469
20,1000,80531,56731
20,1000,81280,57851
20,1000,80755,57026
20,1000,80789,56840
20,1000,84212,57777
20,1000,81030,57042
20,1000,80700,56555
20,1000,81157,57179
20,1000,80535,56697
20,1000,80427,56866
20,1000,81004,57256
20,1000,80800,56680
20,1000,80677,56691
20,1000,81243,57146
20,1000,80540,56804
20,1000,80401,56549
20,1000,80974,56975
20,1000,80600,56499
20,1000,80809,56536
39,1000,85223,57794
39,1000,79894,56593
39,1000,79412,56405
39,1000,90500,58158
39,1000,80686,56727
39,1000,78859,56167
39,1000,79768,57098
39,1000,79440,56354
39,1000,78855,56275
39,1000,79425,56785
39,1000,79234,56162
39,1000,78906,55853
39,1000,79635,56570
39,1000,79536,56169
39,1000,79464,55782
39,1000,79483,56200
39,1000,78969,56066
39,1000,79207,55818
39,1000,79167,56502
39,1000,79452,55980
58,1000,83193,57988
58,1000,80737,59893
58,1000,80128,57098
58,1000,79390,56542
58,1000,79942,56821
58,1000,80250,57598
58,1000,79681,56179
58,1000,80359,56589
58,1000,79734,56332
58,1000,79983,56518
58,1000,79745,56009
58,1000,79937,56679
58,1000,80018,56310
58,1000,80248,56786
58,1000,83159,58364
58,1000,79664,56134
58,1000,79805,56497
58,1000,79720,56293
58,1000,79645,56005
58,1000,79753,56270
77,1000,86714,57274
77,1000,81251,56799
77,1000,81668,56768
77,1000,81554,57098
77,1000,80779,56458
77,1000,81396,56188
77,1000,81862,56864
77,1000,80934,56399
77,1000,81133,56197
77,1000,81337,56497
77,1000,84483,56664
77,1000,80900,56331
77,1000,81358,56407
77,1000,81133,56625
77,1000,81677,56038
77,1000,81302,56459
77,1000,81260,56648
77,1000,80977,56182
77,1000,81892,57207
77,1000,82008,56133
96,1000,83558,57593
96,1000,81079,56980
96,1000,80500,55632
96,1000,80420,55957
96,1000,80944,56325
96,1000,81336,55815
96,1000,79837,55940
96,1000,80952,56445
96,1000,111790,56770
96,1000,80350,55596
96,1000,80706,56207
96,1000,80260,55632
96,1000,80127,55350
96,1000,80653,56065
96,1000,79882,55581
96,1000,79921,55511
96,1000,80219,56005
96,1000,79647,55473
96,1000,79355,55352
96,1000,80216,55976
115,1000,83198,58573
115,1000,80086,57161
115,1000,80292,57293
115,1000,80632,56942
115,1000,80126,56268
115,1000,80379,57264
115,1000,112130,57060
115,1000,79871,56473
115,1000,80201,56926
115,1000,80523,56790
115,1000,79592,56687
115,1000,79222,56861
115,1000,79537,56199
115,1000,79550,56669
115,1000,79679,56574
115,1000,79512,56850
115,1000,80031,56327
115,1000,79955,57045
115,1000,79671,56250
115,1000,79184,56313
134,1000,83936,59361
134,1000,81308,58390
134,1000,80903,58206
134,1000,81043,57900
134,1000,81746,57932
134,1000,80153,57680
134,1000,80844,58407
134,1000,80992,58319
134,1000,80997,57966
134,1000,80773,57973
134,1000,81097,58156
134,1000,80827,58117
134,1000,81012,58022
134,1000,80318,58135
134,1000,81258,57908
134,1000,81282,58226
134,1000,82017,57949
134,1000,81490,57853
134,1000,80904,58259
134,1000,81970,58381
153,1000,83110,51642
153,1000,80199,50808
153,1000,80360,51822
153,1000,79225,50734
153,1000,79552,50587
153,1000,79533,51191
153,1000,79386,50790
153,1000,79024,50552
153,1000,80328,51018
153,1000,79740,50601
153,1000,79414,51132
153,1000,79130,50953
153,1000,79567,50734
153,1000,79312,50534
153,1000,79730,51542
153,1000,79809,50738
153,1000,79412,50770
153,1000,79573,51219
153,1000,79732,50639
153,1000,79595,51004
172,1000,82613,56349
172,1000,85126,55158
172,1000,80667,54266
172,1000,80269,54836
172,1000,80812,54393
172,1000,81113,54341
172,1000,80531,54229
172,1000,81040,54694
172,1000,80671,54509
172,1000,80327,54178
172,1000,80491,54854
172,1000,80714,54689
172,1000,81017,54182
172,1000,80468,55023
172,1000,80178,54380
172,1000,80495,54175
172,1000,80944,54711
172,1000,80697,54410
172,1000,80436,54133
172,1000,84041,55237
191,1000,83136,58155
191,1000,80355,56587
191,1000,80489,57061
191,1000,81423,56223
191,1000,80511,56498
191,1000,81710,57042
191,1000,81140,56249
191,1000,80377,55909
191,1000,80724,56601
191,1000,81182,56050
