Pallet: "balances", Extrinsic: "transfer_best_case", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,55781,57508
1,1000,46768,52172
1,1000,46540,50544
1,1000,46264,50609
1,1000,46430,54870
1,1000,46400,50886
1,1000,45992,50384
1,1000,46252,50637
1,1000,46562,50808
1,1000,46366,50348
1,1000,46071,50106
1,1000,45964,50519
1,1000,45709,50051
1,1000,45594,50173
1,1000,45990,50623
1,1000,45900,50543
1,1000,46291,50031
1,1000,45620,50361
1,1000,45893,50291
1,1000,45274,50069
20,1000,46651,51176
20,1000,46286,51502
20,1000,45850,50661
20,1000,45889,50354
20,1000,46527,50733
20,1000,45829,50547
20,1000,45910,50675
20,1000,45632,50406
20,1000,46211,50863
20,1000,45861,50695
20,1000,45855,50459
20,1000,46112,50759
20,1000,45881,50495
20,1000,45780,50485
20,1000,45628,50477
20,1000,45967,50740
20,1000,45724,50396
20,1000,45767,50590
20,1000,45558,50524
20,1000,45733,50739
39,1000,45936,51086
39,1000,45750,51260
39,1000,45345,50777
39,1000,45636,50698
39,1000,44974,50563
39,1000,45765,50312
39,1000,45682,50614
39,1000,45191,50747
39,1000,45643,50772
39,1000,45082,50567
39,1000,45230,50500
39,1000,45698,50532
39,1000,45384,50484
39,1000,45382,50305
39,1000,45258,50124
39,1000,45357,50545
39,1000,45412,50261
39,1000,45488,50462
39,1000,45370,51102
39,1000,46106,50670
58,1000,46394,51689
58,1000,45520,50978
58,1000,45681,51171
58,1000,45091,50845
58,1000,45217,50594
58,1000,45687,51439
58,1000,45169,50989
58,1000,45520,50339
58,1000,45260,50675
58,1000,45720,51114
58,1000,45652,50787
58,1000,45303,50574
58,1000,45594,51042
58,1000,45595,50814
58,1000,45203,50582
58,1000,45282,51371
58,1000,45570,50722
58,1000,45736,50691
58,1000,45192,50704
58,1000,45787,50785
77,1000,47298,51659
77,1000,46579,51168
77,1000,46497,51254
77,1000,46379,50989
77,1000,46418,51344
77,1000,46495,51790
77,1000,46590,51281
77,1000,46100,51261
77,1000,45864,50624
77,1000,46337,51597
77,1000,46348,50922
77,1000,46330,51062
77,1000,45763,51211
77,1000,46334,51121
77,1000,46247,50911
77,1000,46532,51528
77,1000,46270,51427
77,1000,46016,50828
77,1000,46282,50908
77,1000,46833,51436
96,1000,46685,51839
96,1000,45785,50878
96,1000,45966,50830
96,1000,46009,51247
96,1000,45247,50986
96,1000,45240,50396
96,1000,45468,51061
96,1000,45882,50700
96,1000,45496,50492
96,1000,45641,50508
96,1000,45500,50309
96,1000,45121,50501
96,1000,45530,50424
96,1000,57969,52812
96,1000,45760,50777
96,1000,45348,50194
96,1000,45517,50790
96,1000,45447,50820
96,1000,45260,50586
96,1000,45536,50620
115,1000,46606,51669
115,1000,45092,50480
115,1000,45259,50493
115,1000,45727,50874
115,1000,45347,50300
115,1000,45112,50097
115,1000,45550,51440
115,1000,45019,50253
115,1000,45051,50237
115,1000,45364,50179
115,1000,45161,50488
115,1000,48782,50809
115,1000,44910,50402
115,1000,45407,50848
115,1000,45011,50023
115,1000,44998,50332
115,1000,45346,50385
115,1000,45500,50736
115,1000,45360,50642
115,1000,45455,50568
134,1000,47052,54651
134,1000,46907,52827
134,1000,46564,52463
134,1000,45837,52971
134,1000,45858,52506
134,1000,46061,52476
134,1000,46307,53163
134,1000,46161,52448
134,1000,46496,52976
134,1000,47362,52881
134,1000,46992,52966
134,1000,46765,52573
134,1000,46422,52107
134,1000,46450,52803
134,1000,46328,52620
134,1000,46119,52230
134,1000,46151,53150
134,1000,46458,52733
134,1000,46200,52442
134,1000,46697,53006
153,1000,45534,45931
153,1000,44968,45071
153,1000,45078,44525
153,1000,46932,45380
153,1000,45371,45154
153,1000,45094,44761
153,1000,45088,44629
153,1000,45139,80010
153,1000,45958,45496
153,1000,44652,44739
153,1000,45565,45362
153,1000,44949,44781
153,1000,45319,44696
153,1000,44495,44630
153,1000,44799,45141
153,1000,44854,44930
153,1000,44716,44544
153,1000,45294,44862
153,1000,44847,44445
153,1000,44851,44852
172,1000,46275,49221
172,1000,45635,48647
172,1000,45889,48466
172,1000,45595,48136
172,1000,46059,48816
172,1000,46384,48532
172,1000,46008,51618
172,1000,45776,48591
172,1000,46127,48556
172,1000,45685,48477
172,1000,45896,48336
172,1000,46087,48830
172,1000,45940,48050
172,1000,45757,48306
172,1000,45585,48198
172,1000,45792,48499
172,1000,45807,48332
172,1000,45495,47814
172,1000,46187,48657
172,1000,45785,48389
191,1000,46876,51611
191,1000,46340,50743
191,1000,45904,50957
191,1000,45761,50662
191,1000,45504,50579
191,1000,46876,51560
191,1000,45639,50746
191,1000,45650,50464
191,1000,45350,50860
191,1000,45890,50318
191,1000,45261,50460
191,1000,45617,50517
191,1000,45802,51129
191,1000,45730,50284
191,1000,45532,50353
191,1000,46301,50513
191,1000,45598,50656
191,1000,45833,50675
191,1000,45440,50759
191,1000,45573,50763
210,1000,46490,51910
210,1000,45557,50894
210,1000,45934,51055
210,1000,49293,51626
210,1000,45450,51086
210,1000,45681,51262
210,1000,46409,51238
210,1000,45692,51342
210,1000,45896,50987
210,1000,45587,51319
210,1000,46118,50743
210,1000,45698,51025
210,1000,45807,51155
210,1000,45785,50714
210,1000,45876,50749
210,1000,45640,50705
210,1000,45590,51060
210,1000,46170,50812
210,1000,45695,50709
210,1000,45741,51120
229,1000,45632,51628
229,1000,44635,53528
229,1000,45205,50466
229,1000,44466,50675
229,1000,45181,50126
229,1000,44838,50292
229,1000,45052,50374
229,1000,44561,50443
229,1000,44242,50179
229,1000,45109,50273
229,1000,44711,49948
229,1000,44949,50032
229,1000,44605,50593
229,1000,44532,50505
229,1000,44648,50363
229,1000,45260,50210
229,1000,45255,50578
229,1000,45253,50308
229,1000,44989,49974
229,1000,45029,50264
248,1000,46558,51413
248,1000,45757,51095
248,1000,45494,50726
248,1000,46066,50913
248,1000,45508,50630
248,1000,45544,50533
248,1000,45841,51270
248,1000,45532,50417
248,1000,45398,50672
248,1000,45526,51882
248,1000,45740,50850
248,1000,46185,50827
248,1000,45463,50275
248,1000,45432,50880
248,1000,45059,50621
248,1000,45622,50529
248,1000,45891,50965
248,1000,45580,50815
248,1000,45408,50435
248,1000,45637,50494
267,1000,46538,51905
267,1000,46685,50616
267,1000,46290,50388
267,1000,46125,50535
267,1000,46394,50523
267,1000,45816,50320
267,1000,45876,50359
267,1000,46240,50340
267,1000,46412,50515
267,1000,46645,50233
267,1000,46667,50524
267,1000,46221,50476
267,1000,46397,50084
267,1000,46007,50600
267,1000,45807,50810
267,1000,45823,50274
267,1000,45777,50402
267,1000,45884,50349
267,1000,45776,50807
267,1000,45792,50406
286,1000,46672,51966
286,1000,46050,50981
286,1000,45813,50359
286,1000,46412,51554
286,1000,46062,51184
286,1000,46071,50713
286,1000,45763,50224
286,1000,46097,50759
286,1000,45419,50191
286,1000,45738,50114
286,1000,45866,50353
286,1000,45676,50829
286,1000,45868,50351
286,1000,45450,49915
286,1000,46771,50685
286,1000,45662,50550
286,1000,45585,50309
286,1000,45981,50662
286,1000,45617,50107
286,1000,45789,50329
305,1000,45915,49021
305,1000,45193,48518
305,1000,45346,48180
305,1000,45011,48018
305,1000,46121,48948
305,1000,45641,48341
305,1000,45471,48179
305,1000,45534,48237
305,1000,45499,48505
305,1000,45174,48218
305,1000,45602,48160
305,1000,45150,48410
305,1000,45575,66756
305,1000,45350,47777
305,1000,45161,48101
305,1000,45367,47958
305,1000,45211,47882
305,1000,45096,48040
305,1000,45219,48547
305,1000,45092,48019
324,1000,45516,46846
324,1000,44736,46519
324,1000,45028,46659
324,1000,44417,46067
324,1000,44289,46463
324,1000,45194,46656
324,1000,44690,46357
324,1000,44257,46179
324,1000,44759,45934
324,1000,44661,46285
324,1000,44839,46306
324,1000,44654,46068
324,1000,45017,46569
324,1000,44593,45767
324,1000,44329,46140
324,1000,44902,46026
324,1000,44588,46630
324,1000,44486,46353
324,1000,44477,46593
324,1000,44243,46300
343,1000,45196,49017
343,1000,45089,48471
343,1000,44920,47768
343,1000,45157,48712
343,1000,45067,47890
343,1000,44539,48102
343,1000,44865,47685
343,1000,44807,48075
343,1000,44756,47696
343,1000,44589,47626
343,1000,45196,48217
343,1000,45082,47647
343,1000,44737,47487
343,1000,44718,48014
343,1000,44908,48106
343,1000,44650,47992
343,1000,45202,48092
343,1000,44492,48255
343,1000,44779,48093
343,1000,44692,47871
362,1000,47030,49502
362,1000,46112,48927
362,1000,45918,48578
362,1000,45598,48333
362,1000,45843,48896
362,1000,45865,48594
362,1000,45418,48510
362,1000,45665,48286
362,1000,45720,48337
362,1000,45323,48217
362,1000,45596,48399
362,1000,45585,48409
362,1000,45532,48338
362,1000,45345,47964
362,1000,45643,48410
362,1000,45421,48034
362,1000,45462,48216
362,1000,45591,48147
362,1000,45415,48307
362,1000,45322,48161
381,1000,45817,52005
381,1000,45268,50689
381,1000,45150,50694
381,1000,45025,50562
381,1000,45326,50406
381,1000,44996,50710
381,1000,44613,50688
381,1000,45148,50408
381,1000,45177,53930
381,1000,45368,50671
381,1000,45295,50383
381,1000,45070,50491
381,1000,44627,50639
381,1000,45321,50471
381,1000,44555,50522
381,1000,45357,50967
381,1000,45460,50482
381,1000,45343,50160
381,1000,45055,50699
381,1000,44871,50534
400,1000,45553,48856
400,1000,45237,48158
400,1000,45121,48365
400,1000,45434,48267
400,1000,45308,47916
400,1000,45788,48387
400,1000,45451,48372
400,1000,45710,47861
400,1000,44862,48137
400,1000,44994,47992
400,1000,45136,48250
400,1000,45416,47881
400,1000,45541,48270
400,1000,45171,48271
400,1000,45372,47992
400,1000,44901,47862
400,1000,45244,48230
400,1000,45142,48166
400,1000,45231,48032
400,1000,45308,48516
419,1000,46045,49027
419,1000,45171,48054
419,1000,45072,47899
419,1000,45711,48521
419,1000,45206,47951
419,1000,45112,47852
419,1000,45618,48633
419,1000,45261,47896
419,1000,45027,48535
419,1000,45093,47559
419,1000,45117,48306
419,1000,45163,48287
419,1000,45310,47945
419,1000,45315,48287
419,1000,45030,47707
419,1000,44970,48026
419,1000,45005,47709
419,1000,45158,48083
419,1000,45091,47913
419,1000,45283,48001
438,1000,47437,52029
438,1000,45782,50568
438,1000,45516,50769
438,1000,46188,50423
438,1000,46203,54496
438,1000,45745,50513
438,1000,45570,50021
438,1000,45594,50553
438,1000,45604,50552
438,1000,45644,50710
438,1000,45963,50079
438,1000,45787,50764
438,1000,45467,50404
438,1000,45997,50060
438,1000,45941,50649
438,1000,45529,50255
438,1000,45178,50191
438,1000,45412,50468
438,1000,45321,49631
438,1000,45468,49987
457,1000,45966,51336
457,1000,44986,50813
457,1000,44699,53488
457,1000,45077,50708
457,1000,45206,50686
457,1000,45268,50490
457,1000,45021,50224
457,1000,45404,51174
457,1000,45413,50440
457,1000,44985,50095
457,1000,45342,50488
457,1000,44955,51206
457,1000,44888,50098
457,1000,45149,50185
457,1000,45501,50628
457,1000,44754,50773
457,1000,45102,50098
457,1000,45245,50459
457,1000,45471,50542
457,1000,44883,50428
476,1000,46291,48572
476,1000,46371,48616
476,1000,45374,48219
476,1000,45845,47909
476,1000,45818,48135
476,1000,46054,48638
476,1000,45814,48192
476,1000,45215,48064
476,1000,45637,48174
476,1000,45604,48279
476,1000,45065,48005
476,1000,45549,48280
476,1000,45318,48068
476,1000,45368,48365
476,1000,44590,48010
476,1000,45078,48367
476,1000,44857,48158
476,1000,45219,47707
476,1000,44758,47947
476,1000,45308,79112
495,1000,46556,51673
495,1000,45363,49974
495,1000,45240,50423
495,1000,45479,49584
495,1000,45427,50021
495,1000,45661,50269
495,1000,45216,50254
495,1000,44902,49772
495,1000,45338,50093
495,1000,45099,49917
495,1000,45037,49923
495,1000,45343,49993
495,1000,45573,50134
495,1000,45660,50201
495,1000,45211,50174
495,1000,45462,50435
495,1000,45291,50320
495,1000,45037,52900
495,1000,45136,49991
495,1000,45174,50117
514,1000,45650,51130
514,1000,45184,50843
514,1000,45356,51343
514,1000,45295,51012
514,1000,44609,50767
514,1000,44929,50904
514,1000,45339,51036
514,1000,45117,50833
514,1000,45414,50760
514,1000,45322,51156
514,1000,44919,50947
514,1000,44888,50997
514,1000,45467,50749
514,1000,45281,51244
514,1000,45088,50778
514,1000,44903,50670
514,1000,45169,51269
514,1000,44917,50641
514,1000,44783,50535
514,1000,45415,51173
533,1000,45748,49237
533,1000,44777,48301
533,1000,44561,48011
533,1000,45419,48255
533,1000,44985,48283
533,1000,44539,48160
533,1000,44948,48557
533,1000,44932,48585
533,1000,44532,48001
533,1000,44819,47541
533,1000,44255,47671
533,1000,44898,47741
533,1000,44347,47837
533,1000,45208,48287
533,1000,44431,51158
533,1000,44428,48006
533,1000,45002,47701
533,1000,45191,48098
533,1000,45044,48853
533,1000,45108,48292
552,1000,45813,49347
552,1000,45141,48254
552,1000,45169,48015
552,1000,44884,48332
552,1000,45015,48131
552,1000,45200,48126
552,1000,45030,48124
552,1000,45509,48327
552,1000,45320,47689
552,1000,45165,48027
552,1000,45344,47877
552,1000,44973,48109
552,1000,44902,48221
552,1000,44878,51012
552,1000,45444,48550
552,1000,45086,47984
552,1000,44956,47758
552,1000,45035,48142
552,1000,44883,48463
552,1000,44984,48101
571,1000,46967,52048
571,1000,45909,51222
571,1000,46127,50963
571,1000,45568,50664
571,1000,46166,50486
571,1000,45986,50935
571,1000,45463,50505
571,1000,45743,50253
571,1000,46146,50751
571,1000,45951,50788
571,1000,45918,50167
571,1000,46208,50663
571,1000,45866,50734
571,1000,45607,50541
571,1000,46066,50503
571,1000,45827,50427
571,1000,45342,50520
571,1000,46143,50177
571,1000,45698,50650
571,1000,45768,50247
590,1000,46913,53151
590,1000,46251,53819
590,1000,45833,52903
590,1000,46045,52488
590,1000,46057,52872
590,1000,46632,53442
590,1000,46059,52830
590,1000,46238,52142
590,1000,46140,52877
590,1000,46025,55417
590,1000,46300,52426
590,1000,46222,53036
590,1000,46235,52403
590,1000,46215,52292
590,1000,46427,53230
590,1000,46105,52845
590,1000,46086,52587
590,1000,45944,52532
590,1000,46165,52825
590,1000,46321,52737
609,1000,46219,49036
609,1000,45125,48583
609,1000,45628,48330
609,1000,45413,47680
609,1000,45296,48611
609,1000,45630,48515
609,1000,45270,48095
609,1000,45317,50741
609,1000,46115,48292
609,1000,45520,47905
609,1000,45248,48589
609,1000,45270,48400
609,1000,45425,48285
609,1000,45338,48234
609,1000,44959,47956
609,1000,45200,48624
609,1000,45648,48116
609,1000,45637,47981
609,1000,45640,48204
