Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
0,1588,6415
0,863,2210
0,694,2028
0,686,1992
0,711,1937
0,777,1977
0,722,1935
0,734,1981
0,749,1967
0,706,2069
0,753,1938
0,707,1973
0,782,1938
0,701,1914
0,698,1910
0,692,1911
0,732,1899
0,699,1895
0,732,1917
0,719,1940
200,144755,2035
200,143207,2003
200,144237,2004
200,144108,2198
200,144303,1990
200,143192,1980
200,142446,1973
200,142933,2016
200,143403,2012
200,143208,2036
200,142303,1958
200,142448,1990
200,143094,2110
200,143214,2019
200,142467,2016
200,142521,1989
200,142584,1980
200,143268,2031
200,145720,2215
200,143011,1956
400,285322,2012
400,284956,2026
400,284831,1986
400,283909,1949
400,284936,1906
400,284867,1899
400,284953,1944
400,285477,1987
400,285636,1925
400,284926,1983
400,284922,1951
400,284848,2009
400,285966,1999
400,284742,1909
400,285005,1948
400,284681,1854
400,284917,1908
400,284855,1975
400,284825,1927
400,284086,1944
600,426749,1913
600,425590,1970
600,426640,1926
600,436534,2611
600,425442,2053
600,425823,1978
600,426594,1948
600,426676,1969
600,426030,1948
600,426477,1967
600,428793,1992
600,427565,1953
600,428999,2115
600,427347,1948
600,426357,1974
600,426889,1935
600,427223,1933
600,426257,1882
600,426246,1962
600,427408,1989
800,570023,2196
800,568131,2046
800,570697,2051
800,569109,2044
800,568014,1996
800,571573,2019
800,571127,1964
800,599220,2224
800,569260,2017
800,569701,2010
800,570798,2025
800,569586,2088
800,567880,2038
800,569368,2034
800,571315,2150
800,569483,2019
800,569424,2022
800,569419,2027
800,569591,2096
800,569062,2033
1000,714405,2177
1000,709924,2051
1000,711529,1961
1000,712798,2002
1000,710766,1981
1000,709757,1983
1000,712290,2174
1000,710943,1997
1000,709214,2082
1000,713582,2037
1000,711342,2062
1000,711660,2178
1000,712518,2010
1000,713648,1998
1000,710131,2004
1000,709733,1982
1000,712961,1975
1000,711886,2147
1000,712818,2010
1000,711508,2042
1200,853635,2021
1200,854072,2038
1200,853679,2294
1200,853913,2176
1200,852916,1996
1200,853782,2031
1200,855972,2147
1200,856392,2040
1200,854068,2099
1200,853960,2508
1200,853216,1990
1200,856437,2181
1200,853064,2051
1200,855698,1990
1200,855917,1971
1200,902243,2642
1200,855825,2090
1200,855456,2044
1200,853085,1956
1200,858111,2064
1400,1000626,2468
1400,998805,2225
1400,1000796,2078
1400,994793,2016
1400,999373,2373
1400,999141,2156
1400,998461,2179
1400,998500,2021
1400,998937,2243
1400,999024,2137
1400,995991,2078
1400,998846,2040
1400,997620,2165
1400,995863,2206
1400,999105,2057
1400,996315,4358
1400,994707,2148
1400,1000012,2146
1400,998252,2160
1400,1000268,2377
1600,1140132,2098
1600,1144236,2184
1600,1141266,2126
1600,1140599,2303
1600,1140118,2183
1600,1140804,1982
1600,1144245,2348
1600,1138622,2116
1600,1141245,2129
1600,1139267,2218
1600,1170475,2259
1600,1145389,2325
1600,1141295,2070
1600,1142493,2223
1600,1137963,2163
1600,1141547,2026
1600,1142969,2147
1600,1140637,2205
1600,1137647,2055
1600,1140209,2247
1800,1284607,2170
1800,1284343,2223
1800,1284642,2189
1800,1285407,2277
1800,1288247,2235
1800,1284184,2148
1800,1287359,2320
1800,1281172,2229
1800,1285704,2229
1800,1285171,2354
1800,1284322,2119
1800,1288028,2238
1800,1311491,2277
1800,1288026,2224
1800,1284284,2137
1800,1286433,2282
1800,1285263,2138
1800,1282603,2156
1800,1314045,2308
1800,1284851,2130
2000,1430577,2311
2000,1428975,2252
2000,1427939,2139
2000,1426345,2184
2000,1431042,2286
2000,1428284,2235
2000,1422985,2121
2000,1427000,2298
2000,1429418,2193
2000,1425852,2422
2000,1434946,2087
2000,1431901,2226
2000,1427752,2289
2000,1428159,2164
2000,1428603,2114
2000,1427818,2377
2000,1428405,2168
2000,1427480,2194
2000,1426421,2317
2000,1430570,2220
2200,1569493,2337
2200,1569462,2193
2200,1565291,2203
2200,1600385,2263
2200,1567948,2161
2200,1572294,2319
2200,1570788,2209
2200,1569591,2301
2200,1573266,2356
2200,1567967,2238
2200,1571267,2383
2200,1569988,2261
2200,1566830,2373
2200,1570080,2288
2200,1569007,2239
2200,1569635,2306
2200,1571520,2200
2200,1570382,2207
2200,1573877,2436
2200,1571948,2241
2400,1714077,2405
2400,1715875,2267
2400,1713997,2172
2400,1714791,2331
