Pallet: "claims", Extrinsic: "mint_claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
0,13163,50902
0,11251,38316
0,11077,37615
0,11103,37450
0,10789,37513
0,10861,37241
0,10823,37033
0,10583,36924
0,11010,38120
0,11069,38321
0,10597,36965
0,10493,36812
0,10760,36826
0,10780,36890
0,10855,37016
0,10699,37125
0,10696,36969
0,10718,36964
0,10673,36627
0,10438,36438
200,10662,35103
200,10489,32138
200,10730,31993
200,10464,31949
200,10558,31897
200,11000,32131
200,10724,31839
200,10621,32119
200,10474,32178
200,10603,31824
200,10517,31651
200,10475,31960
200,10551,31569
200,10762,31720
200,10258,31775
200,10649,31899
200,10593,31696
200,10482,31700
200,10384,31660
200,10563,31881
400,10909,35200
400,10653,32148
400,10914,31991
400,10904,31824
400,10885,31512
400,10747,31554
400,11069,31943
400,10797,31699
400,10996,31700
400,10640,31434
400,10674,31364
400,10601,31526
400,10818,31918
400,10854,31641
400,10786,31580
400,10761,31594
400,10656,31123
400,10808,31569
400,10660,31950
400,10802,31704
600,10871,42551
600,10933,36420
600,10554,35916
600,10756,35748
600,10691,35800
600,10791,36573
600,10661,35862
600,10803,36288
600,10549,35782
600,10588,35986
600,10695,35842
600,10726,35798
600,10595,35925
600,10583,35728
600,10640,35764
600,10499,35629
600,10658,35472
600,10552,35928
600,10625,35986
600,10538,36149
800,10932,41852
800,10853,36753
800,12133,38094
800,10771,37076
800,10819,36765
800,10814,36904
800,10640,36562
800,10693,36299
800,10748,36227
800,10800,36497
800,10611,36745
800,10568,36772
800,10664,36567
800,10604,36688
800,10586,36444
800,10642,36404
800,10730,36776
800,10626,36695
800,10727,36623
800,10525,39620
1000,10946,41188
1000,10746,36776
1000,10665,36963
1000,10613,36427
1000,10513,36178
1000,10580,36058
1000,10406,35896
1000,10632,35934
1000,10611,36342
1000,10434,35669
1000,10678,36209
1000,10576,35915
1000,10711,35843
1000,10767,35738
1000,10741,36416
1000,10636,36126
1000,10663,36407
1000,10454,36051
1000,10633,36108
1000,10524,36073
1200,10569,35219
1200,10657,32178
1200,10462,32419
1200,10288,32034
1200,10253,32013
1200,10262,32047
1200,10809,32135
1200,10535,32366
1200,10800,31939
1200,10455,32027
1200,10488,31964
1200,10414,31822
1200,10494,31989
1200,10346,31950
1200,10585,32268
1200,10554,31974
1200,10386,31974
1200,10299,32035
1200,10460,32235
1200,10444,32143
1400,10898,33038
1400,10416,32167
1400,10369,31649
1400,10416,31500
1400,10497,31199
1400,10453,31557
1400,10363,31916
1400,10382,31892
1400,10554,31633
1400,10338,31162
1400,10473,31332
1400,10457,31381
1400,10477,31613
1400,10503,31354
1400,10412,31429
1400,10370,31226
1400,10388,31069
1400,10200,31153
1400,10458,31348
1400,10483,31485
1600,10873,35457
1600,10694,35422
1600,10736,32380
1600,10837,32294
1600,10589,32352
1600,10591,32236
1600,10738,32288
1600,10891,32433
1600,10539,32318
1600,10606,32298
1600,10630,32231
1600,10581,32326
1600,10575,32582
1600,10784,32526
1600,10504,32286
1600,10752,32454
1600,10544,32050
1600,10629,32179
1600,10759,32263
1600,10805,32261
1800,10516,40796
1800,10596,36906
1800,11120,36656
1800,10547,36310
1800,10665,36321
1800,10596,36253
1800,10791,36526
1800,10554,36049
1800,10380,36028
1800,10450,35967
1800,10449,36315
1800,10498,36611
1800,10707,36313
1800,10745,36292
1800,10490,36176
1800,10346,36153
1800,10610,36113
1800,10542,36307
1800,10773,36496
1800,10593,36145
2000,11067,35215
2000,10587,32885
2000,10457,32518
2000,10889,32974
2000,10629,32874
2000,10623,32336
2000,10618,32150
2000,10754,32367
2000,10472,32300
2000,10583,32518
2000,10731,32336
2000,10788,32553
2000,10702,32390
2000,10694,32467
2000,10728,32312
2000,10866,32543
2000,10746,32555
2000,10619,32750
2000,10670,32428
2000,10540,32393
2200,10944,44497
2200,10633,42301
2200,10566,42707
2200,10971,42514
2200,10450,41909
2200,10641,42291
2200,10533,41826
2200,10566,41984
2200,10769,42346
2200,10738,42442
2200,10508,41995
2200,10678,41703
2200,10530,42086
2200,10563,41823
2200,10825,42091
2200,10702,41809
2200,10468,41826
2200,10776,41845
2200,10680,41915
2200,10511,42009
2400,10817,45591
2400,10642,41845
2400,10481,41573
2400,10486,41359
2400,10467,41299
2400,10554,41405
2400,10840,42432
2400,10894,41544
2400,10511,41388
2400,10645,41032
2400,10427,41271
2400,10583,41369
2400,10532,41389
2400,10528,41202
2400,10684,41097
2400,10488,41228
2400,10427,41216
2400,10561,41421
2400,10478,41518
2400,10296,41265
2600,10931,34828
2600,10541,31834
2600,10527,31385
2600,10919,31761
2600,10777,31767
2600,10594,31782
2600,10642,31470
2600,10613,31552
2600,10509,31618
2600,10542,31517
2600,10556,31745
2600,10597,31456
2600,10629,31862
2600,10362,31598
2600,10766,31695
2600,10429,31721
2600,10554,31412
2600,10458,31512
2600,10672,31668
2600,10577,31510
2800,10700,38002
2800,10949,36922
2800,10728,36715
2800,13638,36803
2800,10709,36365
2800,10631,36785
2800,10755,35994
2800,10890,36091
2800,10891,36432
2800,10734,36279
2800,10879,36961
2800,10729,35982
2800,10795,36014
2800,10843,35822
2800,10738,36192
2800,10597,35893
2800,10754,35853
2800,10811,36101
2800,10591,35964
2800,10623,35707
3000,10468,40221
3000,10397,35936
3000,10371,35405
3000,10248,66512
3000,10559,35411
3000,10295,35483
3000,10433,35957
3000,10315,35804
3000,10438,35611
3000,10349,35140
3000,10394,36073
3000,10354,35690
3000,10292,35342
3000,10585,36185
3000,10443,35424
3000,10495,35602
3000,10214,35394
3000,10492,35499
3000,10305,35407
3000,10463,35453
3200,10711,42362
3200,10462,38279
3200,10370,38205
3200,10586,37796
3200,10943,38035
3200,10415,37756
3200,10524,37766
3200,10693,37782
3200,10468,37662
3200,10248,37669
3200,10431,37502
3200,10520,37528
3200,10512,37783
3200,10466,37884
3200,10525,37735
3200,10427,37638
3200,10433,37955
3200,10476,37817
3200,10618,37818
3200,10445,37802
3400,10992,38297
3400,10860,37208
3400,10777,36493
3400,10633,36886
3400,10604,36648
3400,10715,37053
3400,10713,36850
3400,10651,36298
3400,10596,36653
3400,10682,36601
3400,10481,36456
3400,10601,37022
3400,10766,36609
