Pallet: "collective", Extrinsic: "close", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
1,165258,80781
1,151525,66910
1,149525,69717
1,176032,72243
1,149516,66605
1,142633,67047
1,144097,66113
1,141314,66120
1,141763,65574
1,159342,81694
1,152377,68924
1,148494,67500
1,145302,77476
1,143864,66403
1,144117,65428
1,146694,64438
1,142967,65107
1,143796,64907
1,153859,66825
1,148107,66541
50,148442,66638
50,151402,67734
50,150192,65275
50,142926,66820
50,145573,65475
50,142193,65065
50,151428,68405
50,159578,67252
50,144204,66398
50,143352,68234
50,146601,67131
50,193992,67409
50,146758,66893
50,145254,65551
50,140580,66381
50,143024,65165
50,144738,65083
50,149567,68463
50,147429,68579
50,145400,65827
99,141110,65579
99,143145,65514
99,150352,66184
99,147445,67016
99,195846,104272
99,190886,85925
99,149395,68677
99,149623,67601
99,147304,66415
99,141400,95322
99,145535,65360
99,144254,65299
99,143206,65443
99,146699,69567
99,141858,66168
99,153653,66933
99,150056,66787
99,148112,66306
99,150022,66944
99,144321,66313
148,144526,65847
148,144200,65928
148,143560,66561
148,142076,64602
148,153561,65816
148,147985,67217
148,150959,67163
148,149126,67064
148,168673,68460
148,148611,66893
148,150593,67352
148,148884,66222
148,150340,67485
148,140739,65465
148,148045,67385
148,150593,66493
148,146639,66660
148,150307,66745
148,148559,66744
148,160551,67488
197,148977,65936
197,148555,67152
197,146858,67067
197,144849,66642
197,149145,66930
197,144966,65361
197,143918,75531
197,144984,65518
197,146960,67725
197,149838,65560
197,146033,65709
197,143049,65480
197,163435,67491
197,148329,67409
197,151030,66804
197,143357,66816
197,172341,70133
197,150267,66446
197,149352,67360
197,149108,66273
246,150296,66986
246,149246,89896
246,149388,67599
246,143751,66383
246,148331,68128
246,148067,87429
246,145199,65016
246,142049,65347
246,143221,65426
246,145338,65165
246,142247,69852
246,152631,69208
246,149394,66670
246,145471,65336
246,143145,65032
246,142330,64868
246,143138,65436
246,149197,66529
246,152284,68009
246,148719,67440
295,163288,67992
295,148906,66973
295,178746,74880
295,155248,67219
295,181392,75078
295,154797,75057
295,149459,67315
295,156989,67698
295,147358,66094
295,158222,67863
295,151633,64743
295,141320,64272
295,141421,64867
295,164153,66459
295,141528,64334
295,142799,64200
295,142745,65999
295,143196,64723
295,147522,65556
295,150479,67039
344,147483,65216
344,146464,66635
344,151126,67067
344,148969,65666
344,147774,65945
344,147797,65732
344,142621,64592
344,142314,64931
344,152743,64035
344,148054,66911
344,144551,65597
344,139176,65043
344,162016,65116
344,143014,63870
344,139651,64221
344,140849,63606
344,142463,64862
344,144526,64680
344,151960,67352
344,145671,64781
393,140077,64040
393,140414,64688
393,144568,65549
393,143480,64535
393,140221,64156
393,140950,64280
393,142995,65103
393,141822,77559
393,149474,66001
393,144880,65361
393,140782,65183
393,156679,85078
393,144157,65916
393,140550,65025
393,140408,64756
393,147538,64837
393,142637,65437
393,146719,65080
393,146705,65797
393,204567,71526
442,143750,66409
442,145158,66499
442,141559,64633
442,140395,64942
442,143195,64754
442,171717,72209
442,157225,66813
442,144771,67582
442,143931,65764
442,146275,65162
442,169654,66644
442,142430,64709
442,144890,66567
442,144099,64685
442,140822,63891
442,157573,64735
442,151041,66706
442,147069,65981
442,150043,66784
442,143747,66336
491,141679,66054
491,149739,66139
491,147356,66433
491,149681,67033
491,147006,64189
491,153856,65865
491,144052,66821
491,146518,65934
491,145412,64124
491,164359,66612
491,143315,64624
491,143344,64877
491,151712,65861
491,142953,65958
491,145286,65040
491,146160,68090
491,152287,67301
491,142267,65758
491,144326,66325
491,145252,65438
540,141842,65798
540,147678,66016
540,153045,74536
540,140264,64820
540,152433,65880
540,150248,66114
540,149643,66528
540,143400,66056
540,147587,67034
540,141530,66094
540,144937,64764
540,143334,65621
540,140366,64915
540,140679,65611
540,149342,66237
540,148619,66605
540,149797,65855
540,182730,82712
540,141822,64808
540,143798,66208
589,145273,65328
589,142447,65392
589,141009,64153
589,144855,66243
589,142322,65045
589,142460,65062
589,142168,66101
589,173752,66841
589,143460,67238
589,140614,65091
589,142143,64002
589,147513,66046
589,140420,64061
589,145810,67701
589,145478,65205
589,142429,65141
589,146480,84722
589,172708,75684
589,155441,67290
589,145077,67928
638,149926,65973
638,154054,65317
638,148967,67157
638,144661,64067
638,143017,65144
638,141777,64743
638,143491,65462
638,139434,63542
638,143705,64994
638,140415,63981
638,142401,64739
638,152331,74189
638,141771,63844
638,142971,65136
638,153209,64561
638,141418,84212
638,143319,64459
638,143008,64177
638,172183,73869
638,142185,65349
687,144536,64342
687,142494,63944
687,148838,66446
687,148545,67153
687,149010,66406
687,145312,85583
687,140141,65365
687,143646,65516
687,144052,63757
687,144633,65894
687,161210,66845
687,151405,66262
687,148584,65220
687,141933,64990
687,165328,65590
687,172856,65006
687,142951,64051
687,142026,65615
687,144515,65128
687,146843,65062
736,148012,65886
736,148803,66959
736,150188,66016
736,147000,65261
736,143694,65618
736,141853,65565
736,142275,64613
736,142721,66087
736,141847,73483
736,155498,64941
736,144022,65368
736,140323,64237
736,143460,64158
736,161367,66133
736,150410,66750
736,142305,64991
736,141513,64816
736,148557,67068
736,150299,66823
736,148720,66493
785,150557,66993
785,151345,66114
785,148822,66899
785,143814,64640
785,144238,65067
785,141895,65067
785,142784,73630
785,140974,64299
785,154449,66566
785,141090,66437
785,149351,65925
785,140873,64168
785,176818,67516
785,145353,64752
785,142902,64542
785,144514,66045
785,142374,65955
785,141979,65047
785,143779,66304
785,144853,64899
834,156765,69999
834,150684,68710
834,149896,67609
834,147822,65654
834,142737,64760
834,157492,66617
834,140644,64957
834,144277,66840
