Pallet: "collective", Extrinsic: "close_approved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
2,100,1024,128575,55909
2,100,1024,117520,48389
2,100,1024,115392,47996
2,100,1024,116842,47794
2,100,1024,116291,47994
2,100,1024,116491,47778
2,100,1024,116809,48007
2,100,1024,117554,48136
2,100,1024,116494,48530
2,100,1024,116941,48183
2,100,1024,115677,48227
2,100,1024,116678,47829
2,100,1024,115960,48123
2,100,1024,116261,48665
2,100,1024,115602,46932
2,100,1024,115249,48275
2,100,1024,115183,47647
2,100,1024,116494,48807
2,100,1024,116036,47854
2,100,1024,115224,49198
21,100,1024,121964,50233
21,100,1024,121078,48008
21,100,1024,120784,48126
21,100,1024,121425,47678
21,100,1024,120676,47849
21,100,1024,121500,47175
21,100,1024,121051,48038
21,100,1024,120826,47565
21,100,1024,120563,47970
21,100,1024,151668,48434
21,100,1024,120040,47538
21,100,1024,121707,48109
21,100,1024,122269,47429
21,100,1024,121024,48629
21,100,1024,120912,47811
21,100,1024,120526,48210
21,100,1024,120797,48192
21,100,1024,120954,47354
21,100,1024,121023,48608
21,100,1024,120552,47980
40,100,1024,125225,48024
40,100,1024,124668,48647
40,100,1024,123837,48831
40,100,1024,123590,47813
40,100,1024,125863,47841
40,100,1024,123835,48405
40,100,1024,124098,47820
40,100,1024,125216,47940
40,100,1024,124734,48613
40,100,1024,124537,47587
40,100,1024,125091,48061
40,100,1024,124718,47600
40,100,1024,123908,47908
40,100,1024,124589,48026
40,100,1024,123727,48336
40,100,1024,124297,48010
40,100,1024,124145,47767
40,100,1024,124388,48533
40,100,1024,124741,48117
40,100,1024,124794,47885
59,100,1024,127545,47386
59,100,1024,128137,47738
59,100,1024,128534,47790
59,100,1024,133821,49812
59,100,1024,127477,47952
59,100,1024,129816,48839
59,100,1024,128549,47514
59,100,1024,127902,48028
59,100,1024,128185,47916
59,100,1024,127935,47752
59,100,1024,126773,47557
59,100,1024,127904,47885
59,100,1024,128601,48050
59,100,1024,127623,47520
59,100,1024,128332,48559
59,100,1024,127495,48028
59,100,1024,127150,47818
59,100,1024,128297,48000
59,100,1024,127988,48039
59,100,1024,129121,47719
78,100,1024,133794,48152
78,100,1024,133889,47619
78,100,1024,134133,46991
78,100,1024,133067,47238
78,100,1024,132723,48090
78,100,1024,133379,48284
78,100,1024,135842,47737
78,100,1024,133354,48262
78,100,1024,134522,48359
78,100,1024,134526,49072
78,100,1024,133556,49409
78,100,1024,133299,47772
78,100,1024,134015,47894
78,100,1024,134219,47935
78,100,1024,133129,47870
78,100,1024,133262,47875
78,100,1024,133194,47182
78,100,1024,132951,47370
78,100,1024,132769,48340
78,100,1024,134297,48372
97,100,1024,135388,47712
97,100,1024,136266,47236
97,100,1024,135715,47776
97,100,1024,135661,47175
97,100,1024,135797,47750
97,100,1024,135856,47319
97,100,1024,135942,47438
97,100,1024,138416,47354
97,100,1024,135503,47474
97,100,1024,135134,47054
97,100,1024,135211,46719
97,100,1024,135872,47233
97,100,1024,136062,46945
97,100,1024,135677,47602
97,100,1024,135259,47786
97,100,1024,136637,47436
97,100,1024,166169,47976
97,100,1024,136183,47544
97,100,1024,136124,47096
97,100,1024,136292,47269
116,100,1024,139488,48667
116,100,1024,141162,48145
116,100,1024,140214,48017
116,100,1024,139502,48084
116,100,1024,139906,48110
116,100,1024,140837,48443
116,100,1024,140592,48912
116,100,1024,141246,48077
116,100,1024,139267,48099
116,100,1024,140552,48313
116,100,1024,139542,47844
116,100,1024,139353,47973
116,100,1024,140599,48624
116,100,1024,140285,48372
116,100,1024,139108,48684
116,100,1024,141162,48295
116,100,1024,140236,47991
116,100,1024,142931,48244
116,100,1024,139913,48385
116,100,1024,141763,48452
135,100,1024,143936,48076
135,100,1024,146241,47943
135,100,1024,144578,48530
135,100,1024,145653,48549
135,100,1024,144814,48520
135,100,1024,145314,48206
135,100,1024,143592,48598
135,100,1024,144866,48310
135,100,1024,144678,48838
135,100,1024,145212,48233
135,100,1024,144946,51266
135,100,1024,145260,48636
135,100,1024,145307,47901
135,100,1024,146251,48856
135,100,1024,145095,48370
135,100,1024,143999,48504
135,100,1024,144736,48728
135,100,1024,145195,48683
135,100,1024,144546,48949
135,100,1024,144391,48161
154,100,1024,147284,48848
154,100,1024,148166,47973
154,100,1024,147612,48040
154,100,1024,148419,48937
154,100,1024,148306,48428
154,100,1024,148112,48226
154,100,1024,147999,48204
154,100,1024,151664,48463
154,100,1024,147991,48606
154,100,1024,148698,48631
154,100,1024,147212,48483
154,100,1024,148525,48678
154,100,1024,148185,48059
154,100,1024,148640,48807
154,100,1024,147813,48473
154,100,1024,147950,48384
154,100,1024,148056,48448
154,100,1024,148790,47950
154,100,1024,146927,48605
154,100,1024,148220,48620
173,100,1024,154997,49374
173,100,1024,152339,48031
173,100,1024,153425,48450
173,100,1024,152285,48194
173,100,1024,151885,48483
173,100,1024,152129,48206
173,100,1024,151484,48472
173,100,1024,152288,48369
173,100,1024,151437,47881
173,100,1024,151807,47965
173,100,1024,150653,48438
173,100,1024,151379,47588
173,100,1024,151708,48281
173,100,1024,152050,48318
173,100,1024,151617,48538
173,100,1024,151797,48289
173,100,1024,152162,49105
173,100,1024,153195,48841
173,100,1024,152056,48888
173,100,1024,152154,48710
192,100,1024,156243,48837
192,100,1024,156281,48618
192,100,1024,156119,49068
192,100,1024,156273,48510
192,100,1024,155460,48486
192,100,1024,156447,48484
192,100,1024,156013,48231
192,100,1024,156243,49049
192,100,1024,155497,48783
192,100,1024,156268,48393
192,100,1024,154133,48780
192,100,1024,155809,48818
