Pallet: "collective", Extrinsic: "close_disapproved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
2,100,1024,101591,55352
2,100,1024,94852,45940
2,100,1024,94606,46385
2,100,1024,95010,46163
2,100,1024,94871,45755
2,100,1024,98361,45970
2,100,1024,94580,45435
2,100,1024,95424,45847
2,100,1024,94101,72943
2,100,1024,94433,45304
2,100,1024,94408,46030
2,100,1024,94418,45908
2,100,1024,94908,46764
2,100,1024,94370,46279
2,100,1024,94035,45505
2,100,1024,94356,46312
2,100,1024,93486,45634
2,100,1024,94934,46545
2,100,1024,94491,45873
2,100,1024,94493,46400
21,100,1024,98601,46023
21,100,1024,98880,46182
21,100,1024,98689,46230
21,100,1024,98347,45897
21,100,1024,97817,45314
21,100,1024,98101,45795
21,100,1024,99315,46239
21,100,1024,98858,45727
21,100,1024,99368,45439
21,100,1024,98479,45840
21,100,1024,98063,45754
21,100,1024,98129,45196
21,100,1024,98324,45671
21,100,1024,98812,46277
21,100,1024,98079,45548
21,100,1024,98369,45691
21,100,1024,98105,46269
21,100,1024,98237,45335
21,100,1024,98373,44440
21,100,1024,97987,45294
40,100,1024,104299,46201
40,100,1024,106366,45623
40,100,1024,101777,45313
40,100,1024,102683,45684
40,100,1024,101586,45580
40,100,1024,101840,45457
40,100,1024,101678,45714
40,100,1024,101527,45749
40,100,1024,103076,45491
40,100,1024,101572,45536
40,100,1024,102372,45632
40,100,1024,102183,45513
40,100,1024,105106,45688
40,100,1024,102302,45533
40,100,1024,102279,45480
40,100,1024,102113,45449
40,100,1024,101740,45689
40,100,1024,103031,45664
40,100,1024,101258,45691
40,100,1024,102424,45490
59,100,1024,107174,45343
59,100,1024,107444,45607
59,100,1024,106890,45320
59,100,1024,106903,44674
59,100,1024,107000,45071
59,100,1024,106038,46179
59,100,1024,105907,45776
59,100,1024,106228,45438
59,100,1024,106262,45159
59,100,1024,106553,45034
59,100,1024,106326,45441
59,100,1024,105936,45231
59,100,1024,106601,45184
59,100,1024,106463,45051
59,100,1024,105761,45382
59,100,1024,105801,45404
59,100,1024,107203,46401
59,100,1024,106571,45611
59,100,1024,106213,45579
59,100,1024,106497,45770
78,100,1024,113236,45582
78,100,1024,110593,45963
78,100,1024,111006,45733
78,100,1024,110102,45305
78,100,1024,110168,45670
78,100,1024,110633,45919
78,100,1024,109682,46129
78,100,1024,109643,45580
78,100,1024,109705,45497
78,100,1024,111759,45852
78,100,1024,109766,45982
78,100,1024,110497,45537
78,100,1024,111362,46407
78,100,1024,112838,46253
78,100,1024,109572,45370
78,100,1024,110045,44951
78,100,1024,110651,45526
78,100,1024,109769,45635
78,100,1024,109335,45382
78,100,1024,109722,45413
97,100,1024,113252,45797
97,100,1024,113440,44977
97,100,1024,113259,46159
97,100,1024,116221,46281
97,100,1024,113605,45761
97,100,1024,113804,45326
97,100,1024,112949,45591
97,100,1024,113361,46456
97,100,1024,114161,46697
97,100,1024,113575,45101
97,100,1024,113260,45691
97,100,1024,112963,46314
97,100,1024,113848,45674
97,100,1024,114064,45657
97,100,1024,113894,45567
97,100,1024,113216,45889
97,100,1024,113226,45869
97,100,1024,113235,45637
97,100,1024,113663,45768
