Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
1,1024,37427,21453
1,1024,29629,17544
1,1024,28853,16793
1,1024,28371,16332
1,1024,28019,16433
1,1024,28218,16461
1,1024,28165,16321
1,1024,27904,15927
1,1024,28083,15961
1,1024,28112,16588
1,1024,28423,17036
1,1024,28443,16627
1,1024,28526,16340
1,1024,28048,16099
1,1024,27752,15797
1,1024,27758,15976
1,1024,27934,15829
1,1024,30294,16529
1,1024,28344,16301
1,1024,28074,16138
20,1024,30968,16559
20,1024,30569,16104
20,1024,30453,15981
20,1024,30215,16252
20,1024,30481,16710
20,1024,30367,16223
20,1024,30353,16304
20,1024,30232,16207
20,1024,30259,16117
20,1024,30475,16269
20,1024,30621,16502
20,1024,30764,16410
20,1024,30232,16237
20,1024,30379,16270
20,1024,30306,16036
20,1024,30443,15730
20,1024,30542,16527
20,1024,30087,16184
20,1024,30490,16147
20,1024,30257,16294
39,1024,34191,16348
39,1024,32244,16294
39,1024,32210,16469
39,1024,32194,16263
39,1024,32019,16183
39,1024,32251,16070
39,1024,31996,16160
39,1024,31909,16360
39,1024,31812,16393
39,1024,31989,16101
39,1024,31544,16075
39,1024,31873,15923
39,1024,31673,16393
39,1024,32351,16276
39,1024,32090,16455
39,1024,32119,16182
39,1024,31878,16053
39,1024,32111,16359
39,1024,32099,16154
39,1024,32258,16120
58,1024,34933,16354
58,1024,47165,17005
58,1024,34895,16614
58,1024,34414,16395
58,1024,34064,16213
58,1024,34420,16582
58,1024,34166,16630
58,1024,34209,16525
58,1024,34580,16178
58,1024,34152,16294
58,1024,34077,16339
58,1024,34386,16563
58,1024,34277,16365
58,1024,33854,15944
58,1024,34105,16031
58,1024,34073,16317
58,1024,34112,16064
58,1024,34084,16064
58,1024,34130,16211
58,1024,34214,15969
77,1024,36713,16731
77,1024,36434,16529
77,1024,35998,16175
77,1024,36006,16213
77,1024,36325,16417
77,1024,36189,16634
77,1024,36290,16448
77,1024,36310,16485
77,1024,36125,16296
77,1024,36123,16613
77,1024,36390,16333
77,1024,36158,16256
77,1024,36011,16368
77,1024,36145,16396
77,1024,36204,16342
77,1024,36355,16656
77,1024,36154,16355
77,1024,36077,16080
77,1024,35884,16445
77,1024,36140,16637
96,1024,40234,16850
96,1024,38224,16475
96,1024,38105,17601
96,1024,38008,16653
96,1024,38278,16443
96,1024,38484,16554
96,1024,38366,16431
96,1024,38167,16520
96,1024,38303,16478
96,1024,38144,16203
96,1024,38444,16671
96,1024,38610,16409
96,1024,38182,16438
96,1024,37839,16660
96,1024,38372,16582
96,1024,38029,16447
96,1024,38371,16699
96,1024,38306,16713
96,1024,38578,16533
96,1024,38558,16584
115,1024,40884,16709
115,1024,40636,16783
115,1024,40220,16533
115,1024,40557,16454
115,1024,40393,16538
115,1024,40390,16370
115,1024,40649,16591
115,1024,40424,16711
115,1024,39842,16565
115,1024,40077,16628
115,1024,40381,16828
115,1024,40251,16557
115,1024,40089,16663
115,1024,40452,16793
115,1024,39907,16576
115,1024,39791,16655
115,1024,40055,16572
115,1024,40271,16681
115,1024,39923,16742
115,1024,39890,16669
134,1024,42946,16900
134,1024,42928,16751
134,1024,42559,16536
134,1024,60960,29897
134,1024,42651,17562
134,1024,42588,16617
134,1024,42699,16802
134,1024,42918,16673
134,1024,42430,16561
134,1024,42586,16962
134,1024,42397,16644
134,1024,42571,16611
134,1024,42635,16772
134,1024,42323,16676
134,1024,41991,16823
134,1024,42360,16581
134,1024,42063,16351
134,1024,42721,16639
134,1024,42477,16705
134,1024,42680,16882
153,1024,44799,16816
153,1024,44533,16856
153,1024,44248,16504
153,1024,44498,16566
153,1024,44954,16438
153,1024,44083,16497
153,1024,44312,16756
153,1024,43585,16511
153,1024,44611,16736
153,1024,44788,16628
153,1024,44378,16578
153,1024,44578,16594
153,1024,44215,16521
153,1024,44257,16496
153,1024,44817,16887
153,1024,44183,16640
153,1024,44719,16583
153,1024,44232,16952
153,1024,44320,16559
153,1024,44676,16705
172,1024,46057,16612
172,1024,45424,16546
172,1024,45627,16548
172,1024,46680,16624
172,1024,45093,16555
172,1024,45855,16563
172,1024,45494,16457
172,1024,45533,16701
172,1024,45878,16649
172,1024,45589,16737
172,1024,45771,16705
172,1024,45669,16271
172,1024,45916,16841
172,1024,45811,16610
172,1024,45899,16759
172,1024,45533,16511
172,1024,45809,16542
172,1024,45857,16783
172,1024,45720,16449
172,1024,45866,16762
191,1024,50143,16972
191,1024,48347,19235
191,1024,48418,16867
191,1024,47873,16608
191,1024,48061,16638
191,1024,48083,16707
191,1024,47410,16666
191,1024,47801,16657
191,1024,47886,16504
191,1024,47922,16643
191,1024,47957,16629
191,1024,48076,16758
191,1024,48380,16530
191,1024,47860,16753
191,1024,48138,16793
191,1024,47984,16551
191,1024,48018,16636
191,1024,47845,16384
191,1024,48025,16559
191,1024,47847,16393
210,1024,50296,16844
210,1024,50422,16907
210,1024,50031,16492
210,1024,50027,16802
210,1024,50091,16599
210,1024,50058,16663
210,1024,49892,18933
210,1024,50416,16925
210,1024,50403,16714
210,1024,50407,16839
210,1024,50123,16859
210,1024,50245,16860
210,1024,50186,16662
210,1024,50280,16796
210,1024,50642,16978
210,1024,50154,16608
210,1024,50454,16881
210,1024,49901,16653
210,1024,49995,19206
210,1024,50341,16700
229,1024,53081,17599
229,1024,52489,16632
229,1024,52447,16872
229,1024,52369,16629
229,1024,52459,16914
229,1024,52186,16766
229,1024,52086,16647
229,1024,52403,16778
229,1024,51595,16751
229,1024,52457,16758
229,1024,52616,16985
229,1024,52747,17006
229,1024,52132,16649
229,1024,52398,16931
229,1024,51634,16537
229,1024,52463,16947
229,1024,52544,16696
229,1024,51363,16804
229,1024,52265,16704
229,1024,52253,16716
248,1024,54351,16783
248,1024,54502,17016
248,1024,54342,17069
248,1024,54690,16837
248,1024,54127,16802
248,1024,54715,16779
248,1024,54085,16511
248,1024,54435,16763
248,1024,54121,16779
248,1024,54285,16797
248,1024,54182,16572
248,1024,57464,17099
248,1024,54411,16879
248,1024,53676,17027
248,1024,54128,16720
248,1024,54201,16967
248,1024,54058,16622
248,1024,54473,16834
248,1024,54109,16581
248,1024,54325,16748
267,1024,57219,16896
267,1024,55415,16932
267,1024,56467,17148
267,1024,55744,16670
267,1024,56224,16877
267,1024,56277,16830
267,1024,55883,16922
267,1024,56417,16639
267,1024,56229,17110
267,1024,56048,16427
267,1024,56129,16640
267,1024,56306,16932
267,1024,56263,17067
267,1024,56266,16847
267,1024,56090,16621
267,1024,56226,16799
267,1024,56152,16696
267,1024,56201,16694
267,1024,55970,16331
267,1024,56066,16782
286,1024,57798,16756
286,1024,59206,17407
286,1024,59175,16927
286,1024,57798,17022
286,1024,58964,17152
286,1024,58907,16848
286,1024,58590,17012
286,1024,58559,17004
286,1024,58802,17109
286,1024,58520,16805
286,1024,61556,17148
286,1024,57712,17049
286,1024,58447,17032
286,1024,58833,16981
286,1024,58444,16687
286,1024,58988,17223
286,1024,58659,17027
286,1024,57645,17070
286,1024,58577,16899
286,1024,58540,16825
305,1024,59733,16960
305,1024,59464,16582
305,1024,59418,16792
305,1024,59427,16683
305,1024,59702,16762
305,1024,59411,16688
305,1024,59326,16511
305,1024,58228,16867
305,1024,62395,16988
305,1024,58379,16445
305,1024,59652,16639
305,1024,59384,16575
305,1024,59691,16774
305,1024,59672,16835
305,1024,59383,16676
305,1024,59501,16925
305,1024,59571,16720
305,1024,59700,17011
305,1024,59279,16986
305,1024,59372,16622
324,1024,63056,16930
324,1024,61756,16666
324,1024,61557,16937
