2020-04-09 01:44:09.778 main TRACE benchmark  Start Benchmark: u 1
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 11f3ba2e1cdd6d62f2ff9b5589e7ff81ba7fb8745735dc3be2a2c61a72c39e78=Some(0411f3b3b2455d4383556276ab4f9e1918cac76ddd2b1da7cabdc3557e69c4f9ce)
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 11f3ba2e1cdd6d62f2ff9b5589e7ff81e9d6db8868a37d79930bc3f7f33950d1d79e495d5ca4d81a0d3a18e2b7e429382d71bb390c7ccd81bb0f81d1c432ba14=None
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 11f3ba2e1cdd6d62f2ff9b5589e7ff81ba7fb8745735dc3be2a2c61a72c39e78=Some(0411f3b3b2455d4383556276ab4f9e1918cac76ddd2b1da7cabdc3557e69c4f9ce)
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 26aa394eea5630e07c48ae0c9558cef7ff553b5a9862a516939d82b3d3d8661a=None
2020-04-09 01:44:09.778 main TRACE state-trace  2e37: Get 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=None
2020-04-09 01:44:09.779 main TRACE state-trace  2e37: Put 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=Some(01000000)
2020-04-09 01:44:09.779 main TRACE state-trace  2e37: Get 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=None
2020-04-09 01:44:09.779 main TRACE state-trace  2e37: Put 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=Some(04020704d79e495d5ca4d81a0d3a18e2b7e429382d71bb390c7ccd81bb0f81d1c432ba140000)
2020-04-09 01:44:09.779 main TRACE benchmark  End Benchmark: 168609 ns
2020-04-09 01:44:09.779 main TRACE benchmark  Start Benchmark: u 50
