Pallet: "collective", Extrinsic: "propose_execute", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
m,b,extrinsic_time,storage_root_time
1,16384,252853,47549
1,16384,205151,41199
1,16384,178947,40858
1,16384,223638,37981
1,16384,222174,39095
1,16384,194719,39088
1,16384,170126,37014
1,16384,185105,44449
1,16384,198405,40009
1,16384,196538,42433
1,16384,181330,39246
1,16384,191298,38177
1,16384,178095,38678
1,16384,177124,39095
1,16384,193076,39544
1,16384,181806,48446
1,16384,182656,39210
1,16384,254461,40095
1,16384,184629,41045
1,16384,180256,39780
50,16384,224562,42150
50,16384,218606,41253
50,16384,220311,41993
50,16384,219759,56227
50,16384,227487,39056
50,16384,237656,40239
50,16384,219317,42032
50,16384,226058,39594
50,16384,213168,39463
50,16384,215169,41978
50,16384,233222,39973
50,16384,221039,41963
50,16384,218699,41021
50,16384,254488,42840
50,16384,224070,42086
50,16384,219989,49736
50,16384,219731,41131
50,16384,220855,45368
50,16384,218914,42832
50,16384,217515,41448
99,16384,248480,41129
99,16384,279281,38912
99,16384,263800,40603
99,16384,307615,41147
99,16384,283327,39135
99,16384,258347,39859
99,16384,262966,40095
99,16384,257287,40821
99,16384,249111,40920
99,16384,255781,39516
99,16384,247391,41498
99,16384,257190,42683
99,16384,277585,40056
99,16384,248549,41101
99,16384,247706,41728
99,16384,309245,40787
99,16384,248543,41523
99,16384,247671,40352
99,16384,310132,71623
99,16384,243837,41533
148,16384,285212,42680
148,16384,283194,42411
148,16384,342777,72003
148,16384,298597,60653
148,16384,284512,42278
148,16384,284108,42968
148,16384,283172,41485
148,16384,299297,41604
148,16384,307083,43359
148,16384,292918,40270
148,16384,297159,45586
148,16384,306149,37875
148,16384,320305,41443
148,16384,306904,42911
148,16384,285611,42049
148,16384,281725,41003
148,16384,291845,43397
148,16384,295171,44157
148,16384,312592,42277
148,16384,282596,42199
197,16384,321531,42061
197,16384,308624,40325
197,16384,309368,40265
197,16384,312537,42339
197,16384,336962,40079
197,16384,305126,40017
197,16384,309591,41043
197,16384,322806,41855
197,16384,321061,41971
197,16384,309878,40425
197,16384,322460,39960
197,16384,322893,48989
197,16384,321784,56368
197,16384,307541,40149
197,16384,303440,40264
197,16384,319807,39905
197,16384,307269,40283
197,16384,312647,40598
197,16384,339248,40663
197,16384,328330,41340
246,16384,344463,42689
246,16384,348067,41801
246,16384,347198,42072
246,16384,348049,41553
246,16384,344731,42277
246,16384,342529,40968
246,16384,335418,39608
246,16384,364298,43154
246,16384,355760,46274
246,16384,344879,43026
246,16384,342502,41426
246,16384,350778,45295
246,16384,432037,44848
246,16384,367491,43389
246,16384,346179,41943
246,16384,343063,42184
246,16384,340015,44178
246,16384,345270,66722
246,16384,372691,53085
246,16384,343970,41568
295,16384,385179,41995
295,16384,419235,40828
295,16384,423930,40330
295,16384,405132,41840
295,16384,397329,41467
295,16384,376836,40667
295,16384,426800,41371
295,16384,448995,42443
295,16384,400656,56039
295,16384,443122,41492
295,16384,402512,41727
295,16384,370876,41867
295,16384,378811,55877
295,16384,366420,40190
295,16384,402157,42858
295,16384,374511,41517
295,16384,374437,41208
295,16384,368548,44926
295,16384,433979,41371
295,16384,399474,55518
344,16384,403581,41435
344,16384,411657,50977
344,16384,402327,40774
344,16384,406918,41716
344,16384,466747,41613
344,16384,424765,40484
344,16384,421048,55377
344,16384,414381,41567
344,16384,401371,40834
344,16384,505554,42808
344,16384,401140,41007
344,16384,442368,55586
344,16384,473172,42470
344,16384,439055,56348
344,16384,438261,54684
344,16384,401788,41781
344,16384,422320,40712
344,16384,400671,40791
344,16384,403777,40943
344,16384,415790,41530
393,16384,438653,42568
393,16384,433144,41920
393,16384,427336,40227
393,16384,462060,43630
393,16384,443426,37968
393,16384,469752,57736
393,16384,430654,40415
393,16384,436040,41066
393,16384,428688,41260
393,16384,481190,42280
393,16384,463721,57573
393,16384,471781,43027
393,16384,432691,41813
393,16384,438868,41616
393,16384,447053,41568
393,16384,446837,41448
393,16384,433795,41535
393,16384,435306,42235
393,16384,436498,41930
393,16384,457942,42862
442,16384,465167,40706
442,16384,460428,41878
442,16384,465163,41346
442,16384,465856,42106
442,16384,492316,42003
442,16384,494961,41317
442,16384,494522,41056
442,16384,493083,41914
442,16384,506660,45195
442,16384,468529,42528
442,16384,493078,42895
442,16384,492711,39723
442,16384,462484,42342
442,16384,462557,41127
442,16384,469135,46603
442,16384,466015,42558
442,16384,490617,42339
442,16384,501896,41663
442,16384,459074,40882
442,16384,459505,40736
491,16384,501817,43530
491,16384,505892,43833
491,16384,494476,42678
491,16384,528038,51401
491,16384,503681,41262
491,16384,488687,40643
491,16384,506211,42801
491,16384,499714,41963
491,16384,495893,41674
491,16384,486077,40981
491,16384,529301,42679
491,16384,524040,41839
491,16384,502705,63160
491,16384,497772,42746
491,16384,518539,41598
491,16384,553586,43242
491,16384,490796,40860
491,16384,499450,42322
491,16384,524217,43292
491,16384,535663,42709
540,16384,525244,42851
540,16384,550228,42403
540,16384,531973,53601
540,16384,574414,43680
540,16384,528950,42474
540,16384,575394,42013
540,16384,523056,40513
540,16384,568354,42599
540,16384,574969,41786
540,16384,550866,42237
540,16384,523297,41390
540,16384,551939,43095
540,16384,532842,41856
540,16384,555418,43995
540,16384,554452,40697
540,16384,589161,43440
540,16384,532798,41095
540,16384,611526,43408
540,16384,574010,42190
540,16384,549533,42429
589,16384,603741,43280
589,16384,591208,43528
589,16384,576311,42888
589,16384,583752,43245
589,16384,553444,42680
589,16384,557787,42619
589,16384,553541,40888
589,16384,579766,55632
589,16384,565295,41903
589,16384,574453,42240
589,16384,603310,42261
589,16384,562428,43587
589,16384,607405,41457
589,16384,557413,43087
589,16384,531763,38254
589,16384,545545,42493
589,16384,583900,45917
589,16384,571688,43556
589,16384,590386,43274
589,16384,580074,56877
638,16384,597362,41870
638,16384,594254,41554
638,16384,594287,41986
638,16384,620598,46601
638,16384,620768,50188
638,16384,667323,42179
638,16384,601125,42512
638,16384,614356,42761
638,16384,609435,41496
638,16384,609392,40116
638,16384,599223,41090
638,16384,600531,41950
638,16384,614275,55623
638,16384,678284,42070
638,16384,623606,42268
638,16384,621073,41046
638,16384,623048,41665
638,16384,613803,41585
638,16384,591483,40902
638,16384,649899,41766
687,16384,628743,42935
687,16384,632507,41684
687,16384,624861,40488
687,16384,735301,44545
687,16384,686634,44881
687,16384,661891,45829
687,16384,668253,43880
687,16384,634999,43354
687,16384,625401,43322
687,16384,661464,48911
687,16384,702891,72891
687,16384,657976,43084
687,16384,714257,41267
687,16384,680228,42646
687,16384,672175,39720
687,16384,635301,42234
687,16384,626463,43425
687,16384,708981,43703
687,16384,630336,43520
687,16384,636418,42971
736,16384,644639,42135
736,16384,643085,40536
736,16384,675622,43419
736,16384,652573,43011
736,16384,682067,42647
736,16384,669942,56956
736,16384,654369,41804
736,16384,655930,42861
736,16384,695607,42517
736,16384,642291,40701
736,16384,692769,58904
736,16384,649424,50461
736,16384,658202,40514
736,16384,685064,45678
736,16384,668399,41694
736,16384,683618,72017
736,16384,646212,67463
736,16384,744513,62746
736,16384,674194,40652
736,16384,668096,43966
785,16384,688636,42255
785,16384,685082,42877
785,16384,696993,40711
785,16384,690884,45952
785,16384,703752,43711
785,16384,681258,40960
785,16384,709939,40928
785,16384,699262,44242
785,16384,712041,42121
785,16384,703515,41532
785,16384,679032,41627
785,16384,710254,42962
785,16384,673042,40878
785,16384,678255,42253
785,16384,720957,43312
785,16384,685957,41853
785,16384,681119,42545
785,16384,749900,55378
785,16384,735311,42430
785,16384,698760,70886
834,16384,725324,42015
834,16384,716324,44997
834,16384,722737,45806
834,16384,723509,73716
834,16384,715294,42102
834,16384,729611,43438
834,16384,733317,42865
834,16384,740549,40912
834,16384,713868,43484
834,16384,780868,44152
834,16384,750983,42016
834,16384,716386,42714
834,16384,748005,44917
834,16384,721459,41724
834,16384,730911,56210
834,16384,775471,42869
834,16384,774010,43297
834,16384,736583,40040
834,16384,754026,42024
834,16384,766032,59716
883,16384,765074,40815
883,16384,753689,43323
883,16384,736866,49589
883,16384,780989,43782
883,16384,742933,42032
883,16384,781225,43381
883,16384,777352,50602
883,16384,775098,52455
883,16384,763340,42697
883,16384,769145,41465
883,16384,796133,45451
883,16384,753761,42460
883,16384,745779,42187
883,16384,755196,42963
883,16384,767470,43455
883,16384,767665,43011
883,16384,750560,43030
883,16384,745171,43328
883,16384,742688,41949
883,16384,748277,43145
932,16384,772799,42756
932,16384,833494,43258
932,16384,774982,52841
932,16384,774875,42498
932,16384,795917,40708
932,16384,771793,42350
932,16384,810095,67403
932,16384,784187,43240
932,16384,782297,43075
932,16384,787205,44311
932,16384,798529,44203
932,16384,789655,43120
932,16384,788516,44533
932,16384,780607,45212
932,16384,821446,43066
932,16384,769634,43704
932,16384,787713,42952
932,16384,778433,43307
932,16384,847082,43013
932,16384,768825,40907
981,16384,807191,46448
981,16384,814405,43260
981,16384,842944,44351
981,16384,841564,44182
981,16384,808607,43867
981,16384,805673,43177
981,16384,802002,42714
981,16384,850324,56487
981,16384,857152,41593
981,16384,875296,83480
981,16384,803655,41737
981,16384,800975,41579
981,16384,822611,44862
981,16384,839023,41519
981,16384,857373,42514
981,16384,854841,43457
981,16384,846336,59386
981,16384,868581,42758
981,16384,905039,44148
981,16384,874739,60517
1000,1,745307,42297
1000,1,728962,42882
1000,1,763622,42786
1000,1,870053,61197
1000,1,776741,42755
1000,1,799352,43788
1000,1,737984,42373
1000,1,866183,45414
1000,1,847870,44048
1000,1,780995,41917
1000,1,764776,56776
1000,1,739998,43427
1000,1,836143,41550
1000,1,774836,42964
1000,1,729781,42144
1000,1,742531,42890
1000,1,733744,41962
1000,1,733766,42413
1000,1,729984,41618
1000,1,816896,43139
1000,820,842495,43296
1000,820,808898,43341
1000,820,738350,42418
1000,820,831219,48855
1000,820,771841,42677
1000,820,738614,42738
1000,820,826124,49261
1000,820,726519,42498
1000,820,741011,42081
1000,820,764159,45347
1000,820,767604,44254
1000,820,737470,40635
1000,820,732584,41165
1000,820,742367,42630
1000,820,747099,44704
1000,820,772135,43917
1000,820,739056,44299
1000,820,783840,49923
1000,820,742990,43761
1000,820,740157,43392
1000,1639,782169,42654
1000,1639,782004,42088
1000,1639,777202,42416
1000,1639,758698,43052
1000,1639,783438,47495
1000,1639,777925,45272
1000,1639,830492,43243
1000,1639,854037,48671
1000,1639,771755,44918
1000,1639,812753,43163
1000,1639,768409,44179
1000,1639,757081,42738
1000,1639,747532,43748
1000,1639,737975,52659
1000,1639,732920,42568
1000,1639,805989,44797
1000,1639,743192,40971
1000,1639,746421,41934
1000,1639,766926,55544
1000,1639,763858,40663
1000,2458,831388,43430
1000,2458,769612,42323
1000,2458,811804,39194
1000,2458,774280,41407
1000,2458,759766,42350
1000,2458,787363,45821
1000,2458,756468,43299
1000,2458,744903,41578
1000,2458,746148,47880
1000,2458,767947,43641
1000,2458,809766,45755
1000,2458,754772,55702
1000,2458,762752,55948
1000,2458,792065,42132
1000,2458,791153,44527
1000,2458,797552,44370
1000,2458,752930,43582
1000,2458,769046,57464
1000,2458,771642,43001
1000,2458,780964,46429
1000,3277,810032,42355
1000,3277,781600,42054
1000,3277,783043,44903
1000,3277,758802,43723
1000,3277,851844,42359
1000,3277,785225,42279
1000,3277,835688,43939
1000,3277,817266,42947
1000,3277,778723,43076
1000,3277,781427,43125
1000,3277,760129,40605
1000,3277,818495,42972
1000,3277,792598,42840
1000,3277,836215,42326
1000,3277,745980,41735
1000,3277,751396,42834
1000,3277,770541,42499
1000,3277,773976,43230
1000,3277,768739,42499
1000,3277,761407,47503
1000,4096,759675,43195
1000,4096,815326,43346
1000,4096,756028,41670
1000,4096,848414,43200
1000,4096,778947,43152
1000,4096,760975,61250
1000,4096,806401,46225
1000,4096,756208,43464
1000,4096,767163,55862
1000,4096,798275,41221
1000,4096,780287,42992
1000,4096,791812,43419
1000,4096,780159,38486
1000,4096,760993,42964
1000,4096,743193,41877
1000,4096,756562,42516
1000,4096,750672,57972
1000,4096,775250,41452
1000,4096,798999,40354
1000,4096,814774,40955
1000,4915,825712,43523
1000,4915,810043,65487
1000,4915,759289,41817
1000,4915,741618,42650
1000,4915,750579,42517
1000,4915,782444,44165
1000,4915,777169,42352
1000,4915,763228,42432
1000,4915,757839,42022
1000,4915,767571,44530
1000,4915,764826,43081
1000,4915,754654,41661
1000,4915,748232,41037
1000,4915,780568,42854
1000,4915,749124,41705
1000,4915,782577,43407
1000,4915,758859,42257
1000,4915,780004,43401
1000,4915,757716,42907
1000,4915,762354,43555
1000,5734,752637,41839
1000,5734,744354,41579
1000,5734,762972,43109
1000,5734,759907,41656
1000,5734,774143,42905
1000,5734,766670,42434
1000,5734,767168,42008
1000,5734,799367,75761
1000,5734,753729,42083
1000,5734,790138,51767
1000,5734,754067,42274
1000,5734,787867,43720
1000,5734,756690,43136
1000,5734,778041,42720
1000,5734,755043,41431
1000,5734,811848,41951
1000,5734,824939,43360
1000,5734,758599,75628
1000,5734,767296,56836
1000,5734,802532,47872
1000,6553,819088,41709
1000,6553,795460,58895
1000,6553,826237,47252
1000,6553,794458,74370
1000,6553,789738,40793
1000,6553,759183,66270
1000,6553,753520,41568
1000,6553,764216,44068
1000,6553,802496,57556
1000,6553,814933,41583
1000,6553,774468,48205
1000,6553,780945,44172
1000,6553,798256,56461
1000,6553,764164,46064
1000,6553,756509,41751
1000,6553,786720,50231
1000,6553,879458,42977
1000,6553,831869,43042
1000,6553,758225,43230
1000,6553,771752,42533
1000,7372,822332,42875
1000,7372,792466,42530
1000,7372,758019,41413
1000,7372,771721,42478
1000,7372,783996,55566
1000,7372,825058,42388
1000,7372,763389,40883
1000,7372,771547,42406
1000,7372,766930,42278
1000,7372,794888,42327
1000,7372,860374,44525
1000,7372,772435,42690
1000,7372,827888,42909
1000,7372,803377,42681
1000,7372,790661,41724
1000,7372,795178,43567
1000,7372,774723,57482
1000,7372,801780,42399
1000,7372,780747,43642
1000,7372,771404,42422
1000,8191,831384,42687
1000,8191,854725,41620
1000,8191,842899,42021
1000,8191,810965,44184
1000,8191,843869,41154
1000,8191,809445,43035
1000,8191,824927,45440
1000,8191,844463,43449
1000,8191,798669,42056
1000,8191,768349,42671
1000,8191,829704,43508
1000,8191,860530,40499
1000,8191,760251,41142
1000,8191,774580,41405
1000,8191,785517,42975
1000,8191,771237,41707
1000,8191,789687,43287
1000,8191,772338,42094
1000,8191,768946,42326
1000,8191,820565,41546
1000,9010,826278,42993
1000,9010,835571,43032
1000,9010,768000,40711
1000,9010,792138,42956
1000,9010,788317,46436
1000,9010,773546,42836
1000,9010,813173,43540
1000,9010,778824,44877
1000,9010,767900,42275
1000,9010,796332,44291
1000,9010,777208,44421
1000,9010,861334,44439
1000,9010,776522,43093
1000,9010,774359,41657
