Pallet: "collective", Extrinsic: "propose_proposed", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
1,100,1024,116426,55920
1,100,1024,107488,49361
1,100,1024,105947,48767
1,100,1024,106676,48542
1,100,1024,106666,48574
1,100,1024,106356,48437
1,100,1024,105642,48149
1,100,1024,107102,48135
1,100,1024,105790,49233
1,100,1024,109556,48983
1,100,1024,105968,48744
1,100,1024,107816,48973
1,100,1024,106197,49057
1,100,1024,106149,48543
1,100,1024,106407,48877
1,100,1024,107089,48898
1,100,1024,106065,48720
1,100,1024,106146,48695
1,100,1024,105441,47857
1,100,1024,106625,48742
20,100,1024,108562,48235
20,100,1024,108214,48363
20,100,1024,107454,48211
20,100,1024,108212,48514
20,100,1024,107740,48236
20,100,1024,108343,48882
20,100,1024,108712,48090
20,100,1024,107719,47901
20,100,1024,107792,48397
20,100,1024,108575,48594
20,100,1024,108050,48405
20,100,1024,108607,48473
20,100,1024,107380,48416
20,100,1024,107714,48759
20,100,1024,107699,48012
20,100,1024,108585,48584
20,100,1024,107818,48648
20,100,1024,108026,48113
20,100,1024,107370,48410
20,100,1024,107387,48306
39,100,1024,111328,48406
39,100,1024,110291,47966
39,100,1024,110572,47952
39,100,1024,110834,48428
39,100,1024,110852,48282
39,100,1024,110247,48914
39,100,1024,165158,49625
39,100,1024,110689,48887
39,100,1024,110568,48679
39,100,1024,141601,48689
39,100,1024,110141,48654
39,100,1024,110410,48900
39,100,1024,110509,48766
39,100,1024,110316,48253
39,100,1024,110485,48457
39,100,1024,109828,48417
39,100,1024,109732,48472
39,100,1024,110513,48089
39,100,1024,110122,47903
39,100,1024,112081,48666
58,100,1024,110264,48207
58,100,1024,110360,47889
58,100,1024,113476,49639
58,100,1024,110555,47658
58,100,1024,111247,47415
58,100,1024,111849,47781
58,100,1024,111707,48090
58,100,1024,110917,47952
58,100,1024,110563,47432
58,100,1024,111259,47493
58,100,1024,110643,47278
