Pallet: "collective", Extrinsic: "vote_approved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
2,100,1024,125929,50137
2,100,1024,113177,45643
2,100,1024,112835,45561
2,100,1024,115449,46116
2,100,1024,112607,46117
2,100,1024,112782,45978
2,100,1024,111907,45119
2,100,1024,113216,46092
2,100,1024,112353,46212
2,100,1024,113170,45036
2,100,1024,112283,45672
2,100,1024,112136,45444
2,100,1024,112480,44931
2,100,1024,112712,47974
2,100,1024,112041,45313
2,100,1024,112276,45903
2,100,1024,111615,45233
2,100,1024,112127,44833
2,100,1024,114561,46107
2,100,1024,112535,45294
21,100,1024,117842,44969
21,100,1024,117772,45220
21,100,1024,118046,45199
21,100,1024,117039,45109
21,100,1024,117356,44493
21,100,1024,136123,58792
21,100,1024,117534,44908
21,100,1024,117881,46039
21,100,1024,117294,45076
21,100,1024,117672,45330
21,100,1024,117093,45405
21,100,1024,117714,45169
21,100,1024,117200,45160
21,100,1024,117129,44943
21,100,1024,117041,44905
21,100,1024,116812,43935
21,100,1024,117270,44995
21,100,1024,117223,44947
21,100,1024,117442,45959
21,100,1024,117514,46085
40,100,1024,124537,44962
40,100,1024,123356,44392
40,100,1024,123652,45066
40,100,1024,123564,45336
40,100,1024,124103,45177
40,100,1024,141081,58218
40,100,1024,123255,45054
40,100,1024,123741,45313
40,100,1024,123992,45272
40,100,1024,123841,45575
40,100,1024,122853,44695
40,100,1024,124104,45414
40,100,1024,124157,45637
40,100,1024,123700,45459
40,100,1024,123291,45626
40,100,1024,124549,45250
40,100,1024,123766,45698
40,100,1024,123137,45242
40,100,1024,124085,45105
40,100,1024,123897,45414
59,100,1024,129805,44998
59,100,1024,129444,45098
59,100,1024,129380,44917
59,100,1024,130140,45193
59,100,1024,130355,45097
59,100,1024,129653,44635
59,100,1024,129084,45295
59,100,1024,128981,44909
59,100,1024,129332,44581
59,100,1024,129712,44366
59,100,1024,128903,44738
59,100,1024,129838,44887
59,100,1024,129273,45124
59,100,1024,130093,45282
59,100,1024,131542,45137
59,100,1024,129237,45055
59,100,1024,129991,45010
59,100,1024,130086,44578
59,100,1024,129030,45040
59,100,1024,129676,47597
78,100,1024,139063,44579
78,100,1024,135801,45092
78,100,1024,135234,44841
78,100,1024,136048,45061
78,100,1024,136504,45478
78,100,1024,135973,44549
78,100,1024,136206,45287
78,100,1024,136404,45057
78,100,1024,135734,45188
78,100,1024,136363,45427
78,100,1024,135900,45344
78,100,1024,136145,44608
78,100,1024,137140,45366
78,100,1024,135418,44329
78,100,1024,135832,45166
78,100,1024,136649,45701
78,100,1024,135419,44543
78,100,1024,136001,44763
78,100,1024,136674,45671
78,100,1024,135482,44492
97,100,1024,143285,44816
97,100,1024,141511,45486
97,100,1024,141073,45457
97,100,1024,141578,45492
97,100,1024,141337,45798
97,100,1024,141094,46111
97,100,1024,141523,44715
97,100,1024,142387,44714
97,100,1024,140779,45272
97,100,1024,140297,45547
97,100,1024,141249,45630
97,100,1024,140826,45232
97,100,1024,141588,45965
97,100,1024,140822,44870
97,100,1024,141614,45356
97,100,1024,141259,45577
97,100,1024,140504,45650
97,100,1024,142451,45320
97,100,1024,140603,45118
97,100,1024,141214,45966
116,100,1024,146159,46488
116,100,1024,147870,45889
116,100,1024,148097,46428
116,100,1024,148047,45690
116,100,1024,147423,45421
116,100,1024,147449,46024
116,100,1024,146586,45757
116,100,1024,148552,46205
116,100,1024,148240,46220
116,100,1024,147806,46645
116,100,1024,148157,46765
116,100,1024,147666,45906
116,100,1024,148590,46415
116,100,1024,147636,45891
116,100,1024,150780,46163
116,100,1024,148307,46535
116,100,1024,146796,45903
116,100,1024,148050,45956
116,100,1024,147540,46128
116,100,1024,148338,46011
135,100,1024,153945,45662
135,100,1024,153444,46260
135,100,1024,153321,45666
135,100,1024,153194,46462
135,100,1024,153035,45159
135,100,1024,154555,46526
135,100,1024,153025,45475
135,100,1024,153543,46214
135,100,1024,152779,45695
135,100,1024,153781,46651
135,100,1024,152421,46026
135,100,1024,153802,46679
135,100,1024,153615,45607
135,100,1024,152948,46044
135,100,1024,153433,45620
135,100,1024,152450,46170
135,100,1024,153357,45449
135,100,1024,153339,46125
135,100,1024,153032,45861
135,100,1024,153480,46184
154,100,1024,160077,45828
154,100,1024,160301,45365
154,100,1024,158901,45480
154,100,1024,159751,45729
154,100,1024,159160,45867
154,100,1024,159329,46045
154,100,1024,161283,45832
154,100,1024,159204,45846
154,100,1024,159444,45411
154,100,1024,160013,45150
154,100,1024,160881,45967
154,100,1024,159091,45559
154,100,1024,159670,46098
154,100,1024,160106,46370
154,100,1024,159898,45924
154,100,1024,159268,46208
154,100,1024,159076,45496
154,100,1024,187771,45457
154,100,1024,159277,45745
154,100,1024,159364,45635
173,100,1024,165456,46232
173,100,1024,164345,46233
173,100,1024,165474,45944
173,100,1024,165114,45865
173,100,1024,164854,46526
173,100,1024,165662,45309
173,100,1024,165913,46813
173,100,1024,165100,45672
173,100,1024,164483,45488
173,100,1024,164683,45974
173,100,1024,165275,46208
