Pallet: "collective", Extrinsic: "vote_disapproved", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
2,100,16384,446857,238213
2,100,16384,318519,206779
2,100,16384,286479,148189
2,100,16384,308588,147809
2,100,16384,293950,152480
2,100,16384,286512,153868
2,100,16384,275278,143926
2,100,16384,310414,153296
2,100,16384,331454,159994
2,100,16384,288360,151962
2,100,16384,272821,174717
2,100,16384,295951,142893
2,100,16384,267440,142916
2,100,16384,298605,148307
2,100,16384,271754,146416
2,100,16384,281472,146450
2,100,16384,309741,153246
2,100,16384,277602,143923
2,100,16384,277675,147340
2,100,16384,329458,151804
51,100,16384,336441,149500
51,100,16384,413901,184510
51,100,16384,334943,143840
51,100,16384,341843,147395
51,100,16384,326952,165294
51,100,16384,473743,167363
51,100,16384,322833,144895
51,100,16384,326045,151343
51,100,16384,343094,142639
51,100,16384,334100,144914
51,100,16384,336073,150373
51,100,16384,319710,145786
51,100,16384,318880,139937
51,100,16384,367075,153387
51,100,16384,351188,146345
51,100,16384,397520,146878
51,100,16384,345661,149669
51,100,16384,324498,145983
51,100,16384,378794,205140
51,100,16384,315457,141339
100,100,16384,552762,209171
100,100,16384,398424,140870
100,100,16384,558848,217362
100,100,16384,372095,227889
100,100,16384,473919,169916
100,100,16384,393877,154823
100,100,16384,380843,171298
100,100,16384,364299,140877
100,100,16384,367038,140141
100,100,16384,361186,139781
100,100,16384,428922,151756
100,100,16384,399294,162748
100,100,16384,362113,141411
100,100,16384,369083,147202
100,100,16384,365268,143886
100,100,16384,373717,147124
100,100,16384,375085,151775
100,100,16384,358448,139748
100,100,16384,367637,146929
100,100,16384,453181,148435
149,100,16384,439717,146605
149,100,16384,443037,148220
149,100,16384,423759,147069
149,100,16384,432895,144567
149,100,16384,441300,165298
149,100,16384,412980,144856
149,100,16384,480612,150451
149,100,16384,444135,140913
149,100,16384,445864,147943
149,100,16384,438559,146301
149,100,16384,406979,141672
149,100,16384,511200,138173
149,100,16384,427971,144974
149,100,16384,512893,152346
149,100,16384,409748,143143
149,100,16384,436448,173209
149,100,16384,410098,141565
149,100,16384,418482,143742
149,100,16384,460882,164729
149,100,16384,515903,157399
198,100,16384,477565,146334
198,100,16384,514598,170706
198,100,16384,458281,141498
198,100,16384,470198,159451
198,100,16384,470864,209974
198,100,16384,536824,162224
198,100,16384,591630,158730
198,100,16384,529496,151683
198,100,16384,515468,178796
198,100,16384,455465,142397
198,100,16384,489940,139952
198,100,16384,475711,142240
198,100,16384,456789,142777
198,100,16384,505258,165076
198,100,16384,519053,164460
198,100,16384,482087,149218
198,100,16384,469734,146295
198,100,16384,470234,152956
198,100,16384,453129,140612
198,100,16384,460791,142617
247,100,16384,541230,158341
247,100,16384,550082,164103
247,100,16384,532383,155386
247,100,16384,568313,168432
247,100,16384,556017,165069
247,100,16384,535206,149781
247,100,16384,598653,190298
247,100,16384,511322,149652
247,100,16384,596778,175094
247,100,16384,577510,189184
247,100,16384,566121,220495
247,100,16384,504935,151325
247,100,16384,522436,150485
247,100,16384,518735,149209
247,100,16384,585666,164367
247,100,16384,506856,147125
247,100,16384,508343,147052
247,100,16384,513994,149299
247,100,16384,589222,148877
247,100,16384,500278,145031
296,100,16384,558407,181055
296,100,16384,547999,188880
296,100,16384,551376,151006
296,100,16384,590381,154351
