Pallet: "collective", Extrinsic: "vote_insert", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
2,100,1024,46998,39240
2,100,1024,41613,34147
2,100,1024,40837,33373
2,100,1024,40419,33203
2,100,1024,41043,33490
2,100,1024,41312,33682
2,100,1024,40913,33442
2,100,1024,41308,33740
2,100,1024,40920,33574
2,100,1024,40878,33534
2,100,1024,40814,33660
2,100,1024,41214,33511
2,100,1024,41014,33565
2,100,1024,40604,33667
2,100,1024,41005,33298
2,100,1024,40712,33619
2,100,1024,40777,33801
2,100,1024,40765,33824
2,100,1024,40758,32907
2,100,1024,40621,33487
21,100,1024,49567,34544
21,100,1024,49573,35064
21,100,1024,49794,34774
21,100,1024,48783,34548
21,100,1024,48955,34727
21,100,1024,48632,34838
21,100,1024,49240,35106
21,100,1024,49279,34839
21,100,1024,48893,34428
21,100,1024,49068,34811
21,100,1024,48803,34311
21,100,1024,49288,34752
21,100,1024,49050,34536
21,100,1024,49402,34739
21,100,1024,50266,35401
21,100,1024,49792,35180
21,100,1024,49133,34583
21,100,1024,49092,35029
21,100,1024,49115,34814
21,100,1024,49218,34981
40,100,1024,55243,36177
40,100,1024,56095,35014
40,100,1024,56372,35383
40,100,1024,56227,35475
40,100,1024,56411,35678
40,100,1024,86655,35866
40,100,1024,55358,34995
40,100,1024,55998,36238
40,100,1024,55871,35372
40,100,1024,56785,35804
40,100,1024,56186,34969
40,100,1024,56541,36358
40,100,1024,56192,35752
40,100,1024,55417,35602
40,100,1024,55947,35452
40,100,1024,55726,35292
40,100,1024,55309,35343
40,100,1024,56028,35359
40,100,1024,55650,35656
40,100,1024,55721,35265
59,100,1024,62608,36371
59,100,1024,62049,36144
59,100,1024,61981,35295
59,100,1024,62262,36095
59,100,1024,62215,35843
59,100,1024,63013,36033
59,100,1024,64160,36723
59,100,1024,62350,35925
59,100,1024,62025,36145
59,100,1024,62552,36514
59,100,1024,62159,35635
59,100,1024,62337,36372
59,100,1024,62220,36291
59,100,1024,62521,35710
59,100,1024,62203,35620
59,100,1024,62196,36130
59,100,1024,62484,36126
59,100,1024,61913,35804
59,100,1024,62211,35703
59,100,1024,61758,35732
78,100,1024,70065,36639
78,100,1024,70187,37781
78,100,1024,69555,36792
78,100,1024,71810,36981
78,100,1024,69115,36500
78,100,1024,69459,39348
78,100,1024,69268,36724
78,100,1024,69881,36708
78,100,1024,70037,37343
78,100,1024,69774,36616
78,100,1024,69126,37314
78,100,1024,70749,37584
78,100,1024,71832,38166
78,100,1024,69630,36725
78,100,1024,69380,36852
78,100,1024,69269,37198
78,100,1024,68647,37216
78,100,1024,69458,39963
78,100,1024,69321,36819
78,100,1024,70057,37637
97,100,1024,77916,37348
97,100,1024,77709,37260
97,100,1024,77360,38058
97,100,1024,77911,37103
97,100,1024,77502,37482
97,100,1024,77554,37591
97,100,1024,77995,37376
97,100,1024,77313,37648
97,100,1024,77919,37696
97,100,1024,77510,37332
97,100,1024,77844,37651
97,100,1024,78360,36941
97,100,1024,77413,37118
97,100,1024,77315,37154
97,100,1024,77389,36763
97,100,1024,78704,37361
97,100,1024,77982,37406
97,100,1024,77748,36181
97,100,1024,77832,37401
97,100,1024,77604,37510
116,100,1024,83118,40511
116,100,1024,84982,37652
116,100,1024,84653,38067
116,100,1024,85082,38268
116,100,1024,87671,37928
116,100,1024,84893,37812
116,100,1024,84603,37860
116,100,1024,83703,37887
116,100,1024,84273,38661
116,100,1024,84437,38406
116,100,1024,83087,38594
116,100,1024,83930,38913
116,100,1024,83528,38285
116,100,1024,84454,38342
116,100,1024,84789,38091
116,100,1024,84521,38265
116,100,1024,84640,38859
116,100,1024,84193,38777
116,100,1024,84497,38153
116,100,1024,84097,38397
135,100,1024,89293,39896
135,100,1024,89711,38682
135,100,1024,89357,38814
135,100,1024,89940,39096
135,100,1024,89557,39036
135,100,1024,89333,38480
135,100,1024,89336,38460
135,100,1024,89792,38441
135,100,1024,89407,39033
135,100,1024,90034,38965
135,100,1024,89839,38449
135,100,1024,89763,38415
135,100,1024,89254,39064
135,100,1024,90335,39528
135,100,1024,89200,38431
135,100,1024,89705,38550
135,100,1024,89890,38690
135,100,1024,90202,38691
135,100,1024,88939,38706
135,100,1024,89595,38550
154,100,1024,95281,39310
154,100,1024,95649,38991
154,100,1024,95232,39888
154,100,1024,95647,39566
154,100,1024,94866,40542
154,100,1024,95550,39649
154,100,1024,95683,39927
154,100,1024,95244,39514
154,100,1024,95243,38969
154,100,1024,95367,39507
154,100,1024,95565,39378
154,100,1024,95494,39185
154,100,1024,95740,39655
154,100,1024,95281,39137
154,100,1024,95123,39412
154,100,1024,95590,39619
154,100,1024,95610,39333
154,100,1024,95403,39630
154,100,1024,95760,40160
154,100,1024,95199,39074
173,100,1024,105322,41898
173,100,1024,104807,40763
173,100,1024,105279,40154
173,100,1024,104050,39704
173,100,1024,104550,40111
173,100,1024,104989,40674
173,100,1024,103857,40115
173,100,1024,105009,40596
173,100,1024,104749,40507
173,100,1024,105234,41051
173,100,1024,104489,40870
173,100,1024,104515,40558
173,100,1024,105129,40724
173,100,1024,105293,40783
173,100,1024,104914,41039
173,100,1024,105808,41220
173,100,1024,104092,39871
173,100,1024,105103,40301
173,100,1024,105685,41132
173,100,1024,104619,40920
192,100,1024,110685,41474
192,100,1024,111187,41791
192,100,1024,111078,41290
192,100,1024,110834,41144
192,100,1024,111586,41413
192,100,1024,110958,41309
192,100,1024,111423,40689
192,100,1024,111750,41658
192,100,1024,111473,41287
192,100,1024,110588,41140
192,100,1024,110939,44124
192,100,1024,112074,41019
192,100,1024,111132,41046
192,100,1024,110986,41495
192,100,1024,111626,41710
192,100,1024,110780,41312
192,100,1024,111668,41363
192,100,1024,111581,41396
192,100,1024,110967,41254
192,100,1024,110941,41195
211,100,1024,116169,42214
211,100,1024,115633,41643
211,100,1024,116235,42178
211,100,1024,115843,42264
211,100,1024,115738,42022
211,100,1024,115589,42269
211,100,1024,115932,42509
211,100,1024,115973,42212
211,100,1024,115638,42104
211,100,1024,116102,42026
211,100,1024,115881,41747
211,100,1024,116655,42011
211,100,1024,115969,42138
211,100,1024,118155,41852
211,100,1024,115527,42162
211,100,1024,116587,41648
211,100,1024,115689,41733
211,100,1024,115911,41613
211,100,1024,113994,41956
211,100,1024,115768,41821
230,100,1024,122696,45635
230,100,1024,124175,43113
230,100,1024,122401,43231
230,100,1024,122965,43563
230,100,1024,122948,43879
230,100,1024,122737,42923
230,100,1024,122883,42979
230,100,1024,124000,42929
230,100,1024,121739,42425
230,100,1024,122999,43117
230,100,1024,122583,42846
230,100,1024,122931,43022
230,100,1024,126001,42831
230,100,1024,123790,43015
230,100,1024,122872,43165
230,100,1024,123569,42417
230,100,1024,123677,42942
230,100,1024,125113,42959
230,100,1024,122631,42458
230,100,1024,123120,42314
249,100,1024,128479,43474
249,100,1024,128660,42597
249,100,1024,127970,42928
249,100,1024,127848,42734
249,100,1024,127729,42659
249,100,1024,130116,43206
249,100,1024,128240,42638
249,100,1024,127655,42673
249,100,1024,126683,43095
249,100,1024,129068,43356
249,100,1024,128055,42802
249,100,1024,127629,43046
249,100,1024,130889,44208
249,100,1024,128527,42535
249,100,1024,128303,42832
249,100,1024,127745,42763
249,100,1024,127662,43203
249,100,1024,127328,42540
249,100,1024,127358,42570
249,100,1024,127990,42922
268,100,1024,134289,43438
268,100,1024,134015,44577
268,100,1024,134132,44477
268,100,1024,133450,44281
268,100,1024,132841,44517
268,100,1024,133911,44540
268,100,1024,134441,44717
268,100,1024,134519,44782
268,100,1024,134323,44952
268,100,1024,134153,44747
268,100,1024,134492,44619
268,100,1024,136645,44508
268,100,1024,133575,44359
268,100,1024,133912,44542
268,100,1024,134009,44104
268,100,1024,134233,44376
268,100,1024,133671,44925
268,100,1024,133538,44866
268,100,1024,133242,44538
268,100,1024,133376,44822
287,100,1024,139207,44060
287,100,1024,139790,44928
287,100,1024,140112,44021
287,100,1024,142576,45429
287,100,1024,139348,44097
287,100,1024,139736,45126
287,100,1024,138770,43858
287,100,1024,140051,44317
287,100,1024,139869,45725
287,100,1024,138862,45285
287,100,1024,139951,44066
287,100,1024,138983,44507
287,100,1024,139504,45141
287,100,1024,140359,45589
287,100,1024,140002,44186
287,100,1024,139630,44226
287,100,1024,140061,45303
287,100,1024,139710,44968
287,100,1024,140012,44400
287,100,1024,140005,44678
306,100,1024,145820,45823
306,100,1024,147579,46434
306,100,1024,145540,45569
306,100,1024,147352,46412
306,100,1024,144527,45707
306,100,1024,146047,45512
306,100,1024,147127,46212
306,100,1024,146675,44782
306,100,1024,145680,45920
306,100,1024,145929,46288
306,100,1024,147732,46313
306,100,1024,144586,46124
306,100,1024,147064,45863
306,100,1024,145470,46133
306,100,1024,144796,44910
306,100,1024,147175,46247
306,100,1024,145551,46269
306,100,1024,147748,46438
306,100,1024,145532,45982
306,100,1024,147089,45333
325,100,1024,153062,45267
325,100,1024,153978,46472
325,100,1024,151558,45150
325,100,1024,151905,45350
325,100,1024,151735,45542
325,100,1024,151759,46083
325,100,1024,151413,46314
325,100,1024,151631,45869
325,100,1024,150777,45979
325,100,1024,152833,46391
325,100,1024,150994,46519
325,100,1024,152004,45814
325,100,1024,151818,46123
325,100,1024,151102,45844
325,100,1024,153399,46419
325,100,1024,152412,46073
325,100,1024,151603,45975
325,100,1024,152056,45893
325,100,1024,151865,46365
325,100,1024,150538,47434
344,100,1024,167953,48607
344,100,1024,168218,47497
344,100,1024,166872,46245
344,100,1024,168244,46948
344,100,1024,167379,46196
344,100,1024,168815,46386
344,100,1024,167500,47930
344,100,1024,167232,46079
344,100,1024,167551,46584
344,100,1024,168671,46584
344,100,1024,169667,46982
344,100,1024,166157,48784
344,100,1024,168643,46273
344,100,1024,170460,46847
344,100,1024,167757,46305
344,100,1024,167681,46900
344,100,1024,166020,47746
344,100,1024,167392,46375
344,100,1024,166137,46142
344,100,1024,166976,45857
363,100,1024,172581,46851
363,100,1024,172130,46499
363,100,1024,173016,48754
363,100,1024,169436,47564
363,100,1024,171440,48303
363,100,1024,170796,48202
363,100,1024,171563,48596
363,100,1024,172282,49290
363,100,1024,171017,47893
363,100,1024,172008,48625
363,100,1024,171699,49341
363,100,1024,171910,49124
363,100,1024,170496,48457
363,100,1024,171239,47894
363,100,1024,170847,49081
363,100,1024,172695,46833
363,100,1024,174213,47305
363,100,1024,171646,46789
363,100,1024,172407,46804
363,100,1024,174873,47247
382,100,1024,177986,48746
382,100,1024,178208,48967
382,100,1024,177622,56972
382,100,1024,178106,48401
382,100,1024,177981,49034
382,100,1024,177836,48801
382,100,1024,177838,48635
382,100,1024,178785,49274
