Pallet: "democracy", Extrinsic: "activate_proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
1,14554,24473
1,11837,21668
1,11314,20905
1,11246,21093
1,11225,20770
1,11061,20944
1,11108,21061
1,11036,20959
1,11368,20670
1,10895,20784
1,11012,20596
1,10795,20597
1,10649,20789
1,10680,20369
1,10809,20823
1,10862,20701
1,10767,20451
1,10847,20352
1,10687,20493
1,10833,20518
20,11562,21843
20,10730,20620
20,11066,20565
20,10681,20413
20,10755,20539
20,10890,20277
20,11085,20570
20,11025,20524
20,10723,20506
20,10743,20444
20,10868,20542
20,10858,20659
20,10825,20548
20,10727,20395
20,10747,20314
20,10689,20438
20,10677,20465
20,10791,20446
20,10727,20576
20,10847,20416
39,11211,21323
39,11056,23768
39,10865,21676
39,10707,20965
39,10676,21081
39,10796,20773
39,10874,21060
39,11099,21103
39,10899,20783
39,10855,20880
39,10916,20851
39,10871,21078
39,11007,20969
39,10809,21136
39,10825,20895
39,10937,20693
39,10875,20920
39,10806,21003
39,10891,20882
39,10874,20963
58,11723,22959
58,11353,22856
58,11323,22573
58,11363,22645
58,11567,22668
58,11452,22510
58,11121,22549
58,11503,22880
58,11330,22641
58,11309,22386
58,11320,22479
58,11496,22788
58,11357,22652
58,11204,22360
58,11449,22439
58,11463,22538
58,11427,22564
58,11441,22434
58,11354,22228
58,11230,22411
77,11570,22785
77,12547,24148
77,12313,24081
77,13033,24411
77,12371,23882
77,12378,23844
77,12241,23708
77,12448,23544
77,12227,23863
77,12302,23833
77,12325,23771
77,11878,22689
77,11494,22345
77,11299,22472
77,11089,22269
77,11293,22185
77,11326,22679
77,11323,22088
77,11249,22128
77,11173,22254
96,11252,21615
96,11278,21160
96,10711,21136
96,11145,21225
96,11011,21061
96,10953,20860
96,10994,21081
96,11317,21067
96,10758,20983
96,10749,20857
96,10771,20889
96,10985,20865
96,10796,20859
96,10727,20652
96,10637,20844
96,10990,20730
96,10931,21106
96,10707,21233
96,10852,20831
96,10993,20779
115,11246,21212
115,10760,20574
115,10709,20237
115,10824,20618
115,11303,20628
115,10939,20385
115,10774,20351
115,10913,20290
115,10766,20370
115,10871,20379
115,10773,20470
115,10639,20761
115,10797,20447
115,10810,20351
115,10980,20278
115,10744,20282
115,10802,20504
115,10768,20326
115,10899,20332
115,10648,20548
134,11279,20991
134,10760,20234
134,10849,20294
134,10655,20568
134,10768,20236
134,10664,20358
134,10783,20274
134,10857,20279
134,10624,20355
134,10624,20624
134,10551,20294
134,10562,20388
134,10753,20625
134,10721,20622
134,10707,20796
134,10697,20421
134,10791,20292
134,10776,20502
134,10687,20536
134,10787,20511
153,11502,21092
153,10989,20521
153,10732,20584
153,10962,20405
153,10922,20842
153,11116,20653
153,11051,20554
153,11496,20630
153,10710,20342
153,10974,20470
153,10933,20533
153,10873,20328
153,10766,20480
153,10918,20477
153,10900,20626
153,11016,20462
153,11118,20422
153,10937,20732
153,10953,20417
153,10930,20433
172,11654,21344
172,11340,20906
172,11192,21115
172,11112,21150
172,11163,20997
172,11100,21118
172,11274,21240
172,11075,21174
172,11179,20916
172,11231,20841
172,11278,20647
172,11258,20926
172,11211,20719
172,11141,20880
172,11150,20923
172,11215,20913
172,11236,21087
172,11024,20744
172,11031,20638
172,11018,20909
191,11323,20720
191,10958,20573
191,10908,20470
191,10710,20621
191,10927,20812
191,10861,20399
191,10971,20713
191,11148,20711
191,10921,20400
191,10985,20555
191,10838,23544
191,11095,20560
191,10882,20788
191,11007,20412
191,10878,20266
191,11151,20769
191,11032,20717
191,10879,20541
191,10657,20381
191,10793,20422
210,11829,22756
210,11282,22658
210,11334,22500
210,11278,22261
210,11342,22287
210,10993,22362
210,10995,22290
210,11525,22410
210,11339,22467
210,11281,22399
210,11163,22326
210,11196,22442
210,11536,22453
210,11406,22486
210,11207,22277
210,11286,22512
210,11431,22615
210,11231,22281
210,11187,22418
210,11317,22416
229,11422,21821
229,11180,21054
229,11285,21291
229,11166,20919
229,11169,21182
229,11191,20866
229,11174,20955
229,11064,21043
229,11196,21235
229,11340,21347
229,11239,20992
229,11113,21174
229,11127,21222
229,11519,21170
229,11154,21113
229,11035,21110
229,11312,20968
229,11184,21067
229,10998,20998
229,11012,21051
248,11818,23728
248,11436,23105
248,11579,22851
248,11443,22959
248,11522,23129
248,11330,23325
248,11294,23075
248,11301,22525
248,11435,22765
248,11404,22687
248,11402,22761
248,11459,22920
248,11411,23006
248,11332,25630
248,11426,22992
248,11288,22830
248,11791,22849
248,11519,22883
248,11110,22805
248,11428,22783
267,11443,20648
267,11079,20854
267,11021,20707
267,10930,20429
267,10832,20407
267,11084,20592
267,10855,20429
267,10790,20401
267,10758,20345
267,10893,20503
267,10873,20250
267,10874,20372
267,10811,20322
267,10723,20353
267,10772,38169
267,10742,20258
267,10649,20461
267,10758,20297
267,11070,20411
267,11126,20345
286,11348,21824
286,11246,21261
286,11085,20986
286,11031,21007
286,10841,21271
286,10936,20979
286,11104,21082
286,11009,20950
286,11036,21056
286,11238,21159
286,11194,21154
286,10988,20823
286,11109,20975
286,11060,20866
286,10908,20764
286,11176,20776
286,11457,21187
286,11228,21259
286,11117,21128
286,10952,20896
305,12013,23607
305,11654,22929
305,11661,23177
305,11493,23156
305,11681,22906
305,11592,22904
305,11323,22862
305,11614,22824
305,11678,22766
305,11771,23011
305,11575,22807
305,11430,23077
305,11577,22795
305,11631,22962
305,11553,22939
305,11360,22777
305,14579,23404
305,11475,22921
305,11472,22902
305,11623,22653
324,11767,22604
324,11503,22398
324,11362,22467
324,11263,22237
324,11345,22463
324,11305,22543
324,11489,22502
324,11143,22250
324,11306,22298
324,11565,22228
324,11297,22207
324,11415,22453
324,11541,22289
324,11084,22454
324,11365,22140
324,11267,22244
324,11130,22516
324,11379,40380
324,11503,22503
324,11441,22552
343,11067,20784
343,10837,20528
343,10945,20655
343,10951,20447
343,10663,20369
343,10788,20360
343,10961,20675
343,10854,20296
343,10652,20231
343,10843,20597
343,10950,20114
343,10702,20454
343,10611,20170
343,10755,20315
343,10706,20451
343,10668,20460
343,10865,20324
343,10844,20284
343,10715,20615
343,13676,20739
362,11275,20872
362,11028,20698
362,10826,20684
362,10986,20478
362,10966,20721
362,10683,20933
362,10984,20544
362,10906,20710
362,10962,20505
362,10951,20276
362,10863,20298
362,11125,20330
362,10807,20401
362,10807,20490
362,10883,20476
362,11076,20535
362,10913,20674
362,11205,20707
362,11293,20259
362,11081,20367
381,11104,20939
381,11257,20897
381,10985,20733
381,10812,20588
381,11161,20642
381,10819,20387
381,11062,20515
381,10912,20853
381,10908,20515
381,10700,20446
381,10924,20643
381,10730,20522
381,10893,20524
381,10846,20704
381,10886,20488
381,10787,20270
381,10802,20324
381,10881,20383
381,10985,20464
381,11002,20641
400,11411,21365
400,11001,20734
400,10883,20795
400,11096,20715
400,11100,21037
400,11213,20914
400,11030,20859
400,11055,20705
400,11052,20817
400,11063,20704
400,11034,20808
400,11063,21103
400,10828,20900
400,10924,20850
400,11157,20793
400,10897,20639
400,10964,20977
400,10699,20842
400,11083,20899
400,10963,20918
419,11547,21263
419,11108,21053
419,10879,20892
419,11007,20962
419,11230,21117
419,10890,20856
419,11345,21173
419,11262,20821
419,10907,21041
419,11089,21485
419,10979,20812
419,11053,21032
419,10982,20713
419,10966,21112
419,10958,21044
419,11144,21183
419,11059,20808
419,11115,21014
419,10974,20984
419,11298,21080
438,11997,22967
438,11753,22899
438,11653,22592
438,11577,22923
438,11420,22674
438,11421,22630
438,11557,22615
438,11406,22536
438,11118,22277
438,11307,22449
438,11169,22719
438,11351,22502
438,11379,22446
438,11332,22709
438,11399,22406
438,11242,22373
438,11269,22264
438,11320,22254
438,11491,22369
438,11364,22583
457,11758,22732
457,11392,22609
457,11322,22725
457,11134,22758
457,11255,22567
457,11493,22687
457,24516,22901
457,11284,22380
457,11037,22162
457,11136,22358
457,11314,22715
457,11374,22254
457,11436,22273
457,11208,22640
457,11049,22160
457,11261,22229
457,11195,22218
457,11032,22285
457,11229,22312
457,11577,22412
476,11243,20782
476,11233,20810
476,11044,20463
476,10849,20635
476,10826,20351
476,11501,20206
476,10730,20413
476,11064,20303
476,10826,20712
476,11047,20665
476,11082,20670
476,10945,20579
476,10852,20377
476,11012,20392
476,10841,20498
476,10687,20451
476,10845,20425
476,10828,20406
476,10867,20540
476,10804,20509
495,11315,21036
495,11096,20646
495,11087,20898
495,11132,20903
495,10970,20594
495,11045,20460
495,10792,20668
495,10928,20704
495,11042,20659
495,11004,20297
495,11176,20578
495,11158,20525
495,10977,20569
495,10851,20494
495,11290,20595
495,10932,20628
495,11116,20707
495,11142,20673
495,10902,20792
495,10822,20653
514,11206,20684
514,10920,20978
514,10729,20801
514,10730,20893
514,11068,20613
514,10960,20672
514,11009,20728
514,11201,20785
514,10868,20685
514,10707,20605
514,10890,20729
514,10796,21171
514,10882,20828
514,10797,20766
514,10517,20558
514,10818,20915
514,10700,20681
514,10774,20562
514,11021,20803
514,10862,20863
533,12007,23565
533,11491,23390
533,11320,23125
533,11404,22872
533,11290,23242
533,11413,23439
533,11526,22926
533,11223,22771
533,11457,22785
533,11542,22856
533,11528,22921
533,11391,23211
533,11414,22745
533,11448,22999
533,11398,23025
533,11245,22696
533,11382,22864
533,11450,22865
533,11380,23009
533,11379,22712
552,11191,20625
552,11238,20534
552,10948,20665
552,10937,20583
552,10917,20582
552,11035,20624
552,11059,20649
552,10901,20729
552,11040,20519
552,11084,20582
552,10963,20183
552,10922,20386
552,11309,20789
552,11185,20368
552,10804,20442
552,10892,20436
552,10901,20413
552,10974,20326
552,10908,20309
552,10810,20262
571,11127,21363
571,10979,21086
571,10828,20793
571,10975,20705
571,11059,20710
571,10901,20989
571,10907,20869
571,10808,20683
571,11104,20802
571,11038,20821
571,10950,20801
571,10946,20522
571,11029,21049
571,11712,20859
571,11238,20820
571,10811,20725
571,10862,20910
571,10856,20807
571,11007,20723
571,11097,20722
590,11747,23285
590,11435,23324
590,11278,22985
590,11048,22676
590,11425,22877
590,11217,23050
590,11657,22692
590,11439,22810
590,11240,23050
590,11201,23005
590,11436,23012
590,11431,22956
590,11158,22709
590,11471,23060
590,11482,23050
590,11528,22756
590,11535,22783
590,11494,22795
590,11321,23023
590,11079,22924
609,11059,20882
609,11233,20731
609,10827,20740
609,10789,20455
609,10878,20390
609,10852,20682
609,10874,20412
609,10986,20419
609,10955,20378
609,10832,20312
609,10660,20242
609,10702,20356
609,10629,20448
609,10492,20256
609,10558,20438
609,10745,20567
609,10689,20403
609,10682,20251
609,10747,20688
609,10671,20456
628,11890,23311
628,11563,22653
628,11217,22500
628,11431,22627
628,11277,22367
628,11262,22498
628,11268,22344
628,11471,22757
628,11156,22579
628,11234,22205
628,11306,23253
628,11135,22278
628,11338,22482
628,11135,22589
628,11156,22931
628,11199,22324
628,11324,22597
628,11166,22350
628,11313,22644
628,11042,22329
647,11362,21094
647,10858,20698
647,11379,20786
647,10843,20595
647,10888,20624
647,10847,20283
647,10907,20688
647,10713,20901
647,10770,20391
647,10732,20381
647,10667,20313
647,10773,20328
647,10680,20504
647,10710,20551
647,10682,20385
647,11014,20524
647,10880,20691
647,10827,20308
647,10677,20490
647,13878,20968
666,11252,20779
666,11027,20654
666,10863,20621
666,10937,20513
666,10760,20346
666,10860,20512
666,10784,20557
666,10986,20723
666,11032,20860
666,10861,20454
666,10780,20544
666,10757,20592
666,10990,20541
666,10821,20406
666,10772,20156
666,10797,20491
666,11006,20550
666,10813,20433
666,10702,20470
666,10972,20369
685,11241,20605
685,11148,23848
685,10915,20603
685,10837,20290
685,10605,20395
685,10707,20392
685,10941,20685
685,10810,20445
685,10872,20639
685,10823,20333
685,10647,20276
685,10612,20706
685,10749,20603
685,10724,20495
685,10791,20528
685,10821,20226
685,10522,20357
685,10627,20409
685,10585,20510
685,10740,20195
704,11312,20707
704,11048,20526
704,10916,20491
704,11245,20753
704,10813,20515
704,10981,20444
704,10940,20493
704,10787,20486
704,10950,20363
704,10917,20375
704,10568,20577
704,10835,20376
704,10852,20500
704,10768,20483
704,10836,20553
704,10918,20407
704,10797,20225
704,10867,20293
704,10750,20358
704,10666,20388
723,11780,22984
723,11435,22638
723,11463,23035
723,11358,22255
723,11432,22518
723,11608,22546
723,11447,22616
723,11496,22500
723,11136,22518
723,11038,22200
723,11080,22286
723,11335,22493
723,11092,22547
723,11319,22208
723,11347,22384
723,11407,22402
723,11332,22342
