Pallet: "democracy", Extrinsic: "cancel_queued", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,extrinsic_time,storage_root_time
1,89438,63711
1,60785,46295
1,60156,45730
1,59506,46172
1,60269,46222
1,60486,46710
1,59631,45386
1,65103,44084
1,58287,45597
1,67999,47690
1,60657,46072
1,58994,53290
1,59914,45612
1,60710,47166
1,60036,46615
1,65397,46593
1,72662,76014
1,60814,60696
1,59134,64116
1,69824,47461
5,100043,52456
5,86571,54761
5,90157,57751
5,85484,53913
5,87039,54028
5,86849,54547
5,86640,53803
5,89997,55706
5,86799,54178
5,86092,53381
5,87251,55231
5,88076,56000
5,97547,54059
5,104231,57324
5,86678,53453
5,89208,55428
5,91261,57225
5,89099,55198
5,87842,55022
5,98800,55466
9,145960,70549
9,135695,68863
9,116061,65304
9,119001,68636
9,118530,67828
9,121897,70848
9,118170,68584
9,115983,67031
9,117037,69382
9,116271,68385
9,117978,66754
9,117635,66731
9,118215,68603
9,116290,65523
9,117549,67369
9,119805,68904
9,118602,69421
9,115434,65202
9,118431,87690
9,208217,72982
13,173317,87843
13,143037,76305
13,149196,67072
13,136330,67060
13,145384,67976
13,171763,69298
13,135519,63993
13,135834,66891
13,136762,86850
13,150096,68123
13,133675,63383
13,136220,67357
13,137600,66419
13,133246,63283
13,146524,68426
13,135518,67240
13,133561,72283
13,147145,67664
13,135983,66683
13,135789,68481
17,202635,75643
17,164304,70710
17,164663,74580
17,166991,74346
17,334239,108743
17,167336,72442
17,167619,85465
17,193491,78356
17,164773,71379
17,161777,71845
17,175410,72984
17,162146,71495
17,173671,74551
17,216263,83616
17,176904,73902
17,164271,71282
17,167409,74978
17,172221,75075
17,166596,106866
17,167635,76846
21,192221,105936
21,224140,86392
21,192442,70666
21,197277,72880
21,209173,73662
21,197098,75420
21,215860,73768
21,194111,71197
21,193007,70636
21,197112,70463
21,195082,71831
21,203233,69539
21,196865,72794
21,194555,130760
21,194292,72505
21,193029,69273
21,191668,68736
21,193698,70726
21,193836,81610
21,193358,69559
25,236278,70331
25,219019,70010
25,256518,73581
25,238160,67893
25,229441,70221
25,219913,67523
25,221018,70044
25,223397,68103
25,221003,71023
25,243522,71418
25,313101,117324
25,242463,75518
25,221216,70136
25,224395,71775
25,220761,71914
25,217815,68404
25,217956,68309
25,216588,67755
25,232559,70648
25,220346,86654
29,265329,83598
29,252531,74018
29,242682,73096
29,325605,108440
29,251624,75810
29,246779,71702
29,260966,89979
29,242260,71897
29,242358,72269
29,254023,75900
29,241544,75411
29,251754,75816
29,244706,73210
29,267915,74819
29,250534,73822
29,242542,71588
29,240339,67727
29,241573,71253
29,242113,69578
29,241891,73400
33,292137,90918
33,297660,94959
33,275120,84611
33,271058,89315
33,293835,89636
33,272142,87336
33,299216,114749
33,274307,88952
33,282006,85315
33,269550,87472
33,267387,88404
33,321507,89597
33,269128,88690
33,271876,84238
33,278989,91446
33,281315,103120
33,297468,86219
33,269506,87616
33,270343,85686
33,272598,90369
37,357464,115051
37,313668,92865
37,298333,87139
37,367153,92923
37,297285,88460
37,304401,89971
37,296802,89688
37,317712,91379
37,294664,89728
37,298236,84755
37,294848,86650
37,321869,89776
37,324999,90587
37,315610,87858
37,315197,92049
37,299096,90945
37,314312,90768
37,306270,112832
37,316285,99006
37,309078,90072
41,316296,84377
41,350126,83989
41,312994,98865
41,319619,83946
41,334968,83910
41,316210,79986
41,331333,82497
41,326590,84160
41,337311,87559
41,467162,151488
41,322645,81998
41,323315,86182
41,321584,101824
41,329710,85322
41,320904,81673
41,345779,84866
41,323570,84642
41,320031,85055
41,320279,84720
41,325814,84939
45,417634,96176
45,351757,93145
45,387059,97746
45,351601,92243
45,381150,97715
45,354541,99550
45,353149,90526
45,351355,94369
45,352545,94062
45,349639,92990
45,350196,91581
45,354905,93773
45,344796,94898
45,350589,96162
45,345142,89297
45,356119,95432
45,350581,89985
45,352242,94956
45,352735,97069
45,368045,97088
49,398079,93581
49,399413,87645
49,391162,93972
49,367289,92927
49,382759,93296
49,372436,85044
49,405199,110300
49,381628,181589
49,393591,89969
49,361801,85870
49,425013,85196
49,358578,86880
49,367157,87733
49,371066,85968
49,366178,82437
49,368114,85716
49,371700,84707
49,395214,86025
49,352538,81762
49,365498,84499
53,408124,83181
53,391244,83821
53,423462,80757
53,390875,98213
53,424554,88152
53,397186,83387
53,389268,82944
53,412384,85153
53,381198,83643
53,397922,83930
53,441354,100101
53,421477,93715
53,412419,87557
53,398749,82204
53,412005,84427
53,450466,88333
53,437824,82082
53,396991,86020
53,380354,82014
53,388845,84887
57,432722,112756
57,421936,100636
57,404344,98558
57,428259,103965
57,434156,99492
57,441728,101045
57,531151,117525
57,420463,100480
57,428591,104841
57,431561,106505
57,428253,106337
57,439442,106695
57,435598,105011
57,429761,99703
57,434351,123309
57,413922,105404
57,462800,107065
57,445909,101419
57,467094,108392
57,482485,104513
61,472874,93383
61,453958,95851
61,535341,126364
61,490243,114467
61,450721,125580
61,431566,92247
61,447904,92197
61,459920,95514
61,483357,94597
61,487527,96770
61,453650,97710
61,435639,95052
61,449537,89469
61,448561,92237
61,463173,94476
61,452831,92120
61,467410,95855
61,469285,144179
61,449695,90646
61,459445,93383
65,478513,84037
65,479138,90883
65,510166,89673
65,461319,84366
65,471327,89379
65,485167,106505
65,492652,85180
65,496274,115236
