2020-04-09 01:45:20.778 main TRACE benchmark  Start Benchmark: u 1
2020-04-09 01:45:20.778 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
2020-04-09 01:45:20.778 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef7ff553b5a9862a516939d82b3d3d8661a=None
2020-04-09 01:45:20.778 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=None
2020-04-09 01:45:20.778 main TRACE state-trace  a513: Put 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=Some(01000000)
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=None
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Put 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=Some(040206060000000000)
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Put f2794c22e353e9a839f12faab03a911bb9e0c7dac4238b700a83735192cb921cb4def25cfda6ef3a00000000=None
2020-04-09 01:45:20.779 main TRACE benchmark  End Benchmark: 122870 ns
2020-04-09 01:45:20.779 main TRACE benchmark  Start Benchmark: u 50
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef7ff553b5a9862a516939d82b3d3d8661a=None
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=None
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Put 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850=Some(01000000)
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=None
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Put 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7=Some(040206060000000000)
2020-04-09 01:45:20.779 main TRACE state-trace  a513: Put f2794c22e353e9a839f12faab03a911bb9e0c7dac4238b700a83735192cb921cb4def25cfda6ef3a00000000=None
2020-04-09 01:45:20.779 main TRACE benchmark  End Benchmark: 115297 ns
2020-04-09 01:45:20.780 main TRACE benchmark  Start Benchmark: u 99
2020-04-09 01:45:20.780 main TRACE state-trace  a513: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
