Pallet: "democracy", Extrinsic: "cancel_referendum", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
0,26689,29225
0,19927,21749
0,19276,21626
0,19659,21325
0,19301,21083
0,19365,20884
0,19533,21107
0,19082,21180
0,19112,20761
0,19111,21384
0,19112,21088
0,18930,20882
0,19001,21016
0,19031,21126
0,18973,20973
0,19077,20782
0,19328,20772
0,21172,21506
0,19001,20996
0,18989,20928
2,20465,26209
2,19961,25591
2,19871,25360
2,20038,25233
2,19818,25306
2,19544,25328
2,19573,24849
2,19601,25559
2,19705,24822
2,19637,25190
2,19694,25142
2,19830,24921
2,19536,24983
2,21754,25023
2,19833,24995
2,19817,25112
2,19539,25033
2,19426,24973
2,19643,24803
2,19694,25234
4,20434,25728
4,19716,25840
4,19443,25334
4,19790,25356
4,19631,25657
4,19727,25632
4,19861,25524
4,19694,25510
4,19935,26091
4,19482,25470
4,20153,25596
4,19998,25413
4,19607,25676
4,19738,25487
4,19544,25373
4,19676,25557
4,19544,25659
4,19843,25530
4,19928,25132
4,19812,25813
6,20945,31048
6,20342,28299
6,20238,28442
6,20462,28291
6,20338,28441
6,22405,28348
6,20846,28370
6,20366,28410
6,20498,29233
6,20152,27981
6,20454,28274
6,19815,28317
6,20301,28217
6,19861,28155
6,20475,28578
6,20073,28361
6,19962,27911
6,20092,28088
6,20012,28491
6,19988,28533
8,20702,26978
8,20522,26924
8,20291,26659
8,20482,27170
8,20832,26761
8,20456,26839
8,20773,27078
8,20667,26436
8,20409,27242
8,20282,26776
8,20022,27148
8,20485,29725
8,20652,26430
8,20780,26787
8,20226,26770
8,20365,26974
8,20480,26656
8,20893,27105
8,20479,26409
8,20410,26482
10,20749,27332
10,20431,27402
10,21098,26927
10,21236,27454
10,20853,27305
10,20686,26910
10,21500,27469
10,20513,27521
10,20703,27807
10,20985,26937
10,20622,27489
10,20867,27514
10,20992,26915
10,20614,27384
10,20751,27337
10,21061,27310
10,21008,27003
10,20625,27429
10,21820,27097
10,20909,27617
12,21065,28071
12,20812,27853
12,20677,27856
12,20590,28056
12,21086,27885
12,20851,27754
12,21001,28246
12,20975,30769
12,20916,27343
12,22438,28414
12,20595,27495
12,21341,27997
12,21207,27125
12,20754,27886
12,21086,27405
12,20765,28220
12,20946,28044
12,20807,27512
12,20866,27495
12,21038,28405
14,21257,28460
14,20864,27419
14,20667,30917
14,21147,27914
14,21020,27395
14,21155,27476
14,21626,27259
14,21143,27517
14,21147,27509
14,20779,27264
14,21338,26968
14,23201,27639
14,21229,27420
14,21222,27451
14,21104,27483
14,20825,27504
14,21122,27693
14,20996,27197
14,21160,27276
14,21392,27569
16,21401,30382
16,21156,30221
16,21565,29939
16,21249,30445
16,21256,29966
16,21433,30168
16,21096,30082
16,21266,30180
16,21319,30139
16,21811,30171
16,21707,30180
16,21833,30647
16,21365,29952
16,21550,30271
16,21567,29781
16,21689,30604
16,21579,29981
16,22149,29940
16,21480,30346
16,21675,30386
18,21954,31017
18,21387,30653
18,21534,30743
18,21625,30359
18,21470,30623
18,21542,30850
18,21623,31122
18,21425,30754
18,21427,30440
18,21508,30667
18,21489,30913
18,21190,30487
18,21321,30416
18,21359,30467
18,21683,30558
18,21298,30733
18,21373,30112
18,21735,30366
18,21293,30506
18,21926,30748
20,21614,28213
20,21793,28390
20,21404,28142
20,21355,28337
20,21229,28580
20,21837,28480
20,21685,28385
20,21549,28384
20,21404,28179
20,21769,28500
20,21665,28398
20,21928,28365
20,21536,28342
20,21653,28330
20,21755,28254
20,21436,28149
20,21389,28063
20,21400,28492
20,22020,28678
20,21804,28300
22,21645,30782
22,21696,30364
22,21491,30642
22,22099,30643
22,21428,30517
22,22032,30978
22,21582,30583
22,22576,30786
22,21536,31209
22,21966,30859
22,21971,30759
22,21598,30706
22,21760,30703
22,21879,30777
22,21776,30538
22,21845,30884
22,22385,30997
22,21799,30749
22,21977,31321
22,21977,30797
24,22506,28626
24,21507,28567
24,21800,28534
24,21996,28372
24,21727,28171
24,21716,28354
24,21516,28267
24,21729,28048
24,21773,28621
24,21823,28269
24,21525,28336
24,21639,28775
24,21875,28215
24,21788,28214
24,21625,28283
24,21660,28437
24,21995,28161
24,24833,28741
24,21809,28261
24,21740,28330
26,21703,30682
26,22606,30835
26,21857,30690
26,21972,30068
26,21908,30816
26,22176,30543
26,21750,30107
26,22259,30734
26,46429,45075
26,22133,30859
26,22063,30648
26,21970,30888
26,22005,30777
26,21772,30442
26,22046,30408
26,21949,30147
26,21917,30265
26,21687,30496
26,24189,31316
26,21775,30624
28,22443,30910
28,21908,31115
28,22506,31043
28,22283,31127
28,22212,31063
28,22268,30968
28,21854,30601
28,22506,31052
28,22219,30738
28,22447,31204
28,22329,30834
28,22112,31314
28,22601,31026
28,22309,30833
28,22298,30711
28,21888,30750
28,22052,30625
28,22150,31238
28,21882,31007
28,22476,31664
30,22133,32085
30,22623,31199
30,22457,31092
30,22132,30997
30,22266,30792
30,22050,30960
30,22212,30951
30,22307,30869
30,22227,30714
30,22113,31265
30,22385,30713
30,22363,31004
30,21946,31265
30,22414,31037
30,22518,30885
30,22227,30399
30,22350,30942
30,22104,30786
30,22148,31027
30,22372,31209
32,23792,31367
32,22230,30634
32,22502,30768
32,21973,30597
32,22612,31660
32,22171,30689
32,21888,30812
32,22097,30612
32,22596,31403
32,22365,30744
32,22460,30940
32,22317,30817
32,22208,31371
32,22584,30448
32,22554,30693
32,22539,30465
32,22698,30639
32,22426,30913
32,22070,30821
32,22278,30819
34,22487,30917
34,21916,30710
34,22344,30720
34,22759,30669
34,22044,30651
34,22034,30649
34,22289,30401
34,21797,31040
34,22053,30566
34,22205,30758
34,22054,30897
34,22703,30549
34,22140,30617
34,22212,30854
34,22043,30724
34,22314,30834
34,22649,30778
34,22240,31482
34,22086,30780
34,22498,31046
36,22439,28991
36,21819,28595
36,22248,28663
36,22510,28217
36,22249,28503
36,22627,28429
36,22147,28360
36,22363,28778
36,22437,28919
36,22453,28532
36,23194,29027
36,22199,28746
36,22124,28555
36,22323,28490
36,22320,28587
36,22573,28904
36,22442,28843
36,22229,28521
36,22125,29183
36,22660,28397
38,22538,28834
38,22424,28904
38,22409,29197
38,22589,28676
38,22225,28570
38,22669,28650
38,22124,28314
38,22619,28872
38,22481,28796
38,22908,28960
38,22686,32007
38,22775,29203
38,22670,28855
38,22468,28539
38,22990,29552
38,22679,28948
38,23176,28602
38,22560,28760
38,22253,28644
38,22527,28685
40,22993,30857
40,22282,30898
40,22731,31105
40,22347,31247
40,21910,30868
40,22677,30949
40,22523,30865
40,22217,30965
40,22753,30741
40,23086,31300
40,22226,30767
40,22452,30791
40,22546,30578
40,22496,31025
40,22798,31231
40,22383,31147
40,22209,31076
40,22519,31009
40,22100,30999
40,22475,31199
42,22414,31955
42,22842,31352
42,22282,31685
42,22061,31713
42,22470,31881
42,22632,31695
42,22562,31984
42,22471,31711
42,22095,31378
42,22847,31592
42,22551,31590
42,22751,31287
42,22472,31573
42,22452,31469
42,22374,31855
42,22587,31736
42,22809,31700
42,22782,31695
42,22789,31424
42,22414,31477
44,22656,31576
44,22378,31519
44,22818,31807
44,22364,31532
44,22491,31811
44,21849,31198
44,22176,31011
44,22471,31709
44,22465,31272
44,22333,31465
44,22385,31478
44,22879,31479
44,22981,31530
44,22470,31534
44,22746,31532
44,22281,31492
44,22569,31483
44,22306,31034
44,22143,31379
44,22513,31328
46,22530,32773
46,23099,32976
46,22511,32320
46,22455,32638
46,22174,32284
46,22619,32641
46,22495,32824
46,22287,32743
46,22383,32754
46,22601,32394
46,22400,33237
46,22889,32928
46,22591,32301
46,22495,32675
46,22800,32615
46,22611,32797
46,22501,32711
46,22105,32106
46,22851,33216
46,25413,32801
48,22255,31423
48,22272,31019
48,22532,30968
48,22263,31113
48,22456,30941
48,22518,30944
48,22261,31339
48,22420,31629
48,22482,32106
48,22503,31927
48,22632,31932
48,22583,31918
48,22512,31419
48,22744,31816
48,22385,31723
48,22255,31720
48,22673,31886
48,22745,31648
48,22734,31738
48,22484,31797
50,23450,34298
50,22456,33709
50,22904,33667
50,22785,34182
50,22706,33950
50,22456,34151
50,22484,33812
50,23098,34047
50,22563,33695
50,22228,34066
50,22547,33903
50,22705,33967
50,22385,33792
50,24688,34326
50,23169,33596
50,22945,33977
50,22700,33882
50,22950,33702
50,22936,33394
50,22642,34176
52,22781,31909
52,22822,31993
52,22550,31752
52,22506,31568
52,22356,31417
52,22530,31877
52,22300,31241
52,22665,30994
52,23132,31513
52,22408,31400
52,22642,31973
52,23593,32236
52,23143,31783
52,24711,32171
52,22477,31604
52,22834,31608
52,22528,31884
52,22600,31564
52,22630,31799
52,22595,31910
54,23104,32919
54,22614,32179
54,22944,32055
54,23020,32384
54,22173,31772
54,22961,32443
54,22617,32050
54,22616,32123
54,22532,32070
54,22795,31735
54,22972,32277
54,22535,31828
54,22605,32364
54,22526,31988
54,22324,31564
54,22426,32129
54,22789,32031
54,22466,32345
54,22307,31830
54,22483,31523
56,22911,32126
56,22662,31926
56,22974,31217
56,22587,31518
56,22567,32079
56,22920,32379
56,22922,31818
56,22698,32012
56,22351,32327
56,22910,32104
56,22826,32141
56,22450,32450
56,22685,31974
56,23766,32269
56,22836,31828
56,22678,31572
56,22915,31643
56,22557,31728
56,22323,31585
56,22858,32314
58,22584,32694
58,22647,32036
58,22738,32386
58,23399,32454
58,23005,32190
58,23204,32183
58,22972,32196
58,23445,32495
58,22396,32325
58,22828,33232
58,23317,32211
58,22393,32193
58,23505,32408
58,22826,32254
58,23573,32568
58,22778,32272
58,23100,32242
58,22664,32165
58,22878,32046
58,22841,32139
60,22860,31872
60,22567,31935
60,22750,32276
60,22906,31708
60,22990,31910
60,22148,31932
60,22395,31844
60,23185,32089
60,22071,32008
60,22480,31720
60,22318,31668
60,23087,31941
60,22815,31572
60,22285,32040
60,22595,31742
60,22522,31883
60,22512,31285
60,22610,31988
60,22515,32016
60,22435,31808
62,25807,32541
62,23161,31876
62,22698,31744
62,23746,32414
62,22493,32136
62,22626,32492
62,23079,32179
62,22520,31956
62,22945,32099
62,23052,32960
62,22690,32589
62,22916,32657
62,22909,32260
62,23171,32477
62,22477,32194
62,22757,32365
62,22748,32025
62,22725,32137
62,22761,32425
62,23094,32856
64,23134,32310
64,23049,32533
64,23062,32283
64,22890,32236
64,25154,33584
64,23708,33116
64,23481,33294
64,23172,32485
64,23272,32712
64,22671,32252
64,22932,32412
64,23017,32345
64,22762,32065
64,23017,32549
64,22973,32231
64,22753,32252
64,22690,32390
64,22782,32246
64,22937,32541
64,23064,32367
66,22575,34457
66,22962,34569
66,23048,34305
66,22817,34258
66,22997,34052
66,22540,34357
66,22907,34256
66,22942,33891
66,23110,34540
66,22796,34476
66,22794,34605
66,23014,34374
66,22618,34652
66,22791,34643
66,22837,34314
66,23114,34615
66,22849,34387
66,23227,34312
66,22669,33846
66,23331,34224
68,23159,32312
68,23102,32020
68,22885,32149
68,22773,31935
68,22640,32072
68,23227,32367
68,22703,32331
68,23025,32308
68,22876,32160
68,22756,32308
68,22765,32075
68,22789,32233
68,22616,32221
68,22879,32103
68,23198,32521
68,22706,32186
68,22784,32422
68,23207,32071
68,22760,32020
68,22994,32168
70,22705,32377
70,23240,33118
70,23497,33183
70,23206,33382
70,23165,32762
70,23087,33121
70,22434,32281
70,22706,32351
70,22617,32369
70,22883,32158
70,22813,32323
70,23092,32559
70,22833,32356
70,23005,31969
70,22869,32628
70,23097,32164
70,22638,32141
70,23099,32224
70,22522,32138
70,22567,32397
72,23037,35618
72,23176,35250
72,23491,34771
72,23286,34760
72,23032,35366
72,23236,34973
72,22608,34565
72,22761,34956
72,22829,34921
72,23274,35073
72,22707,34739
72,22737,35165
72,22794,34476
72,23148,34898
72,23028,35190
72,22857,34767
72,22841,35213
72,22801,34848
72,23241,35192
72,22888,34780
74,23109,35255
74,22302,35146
74,22533,35174
74,22559,34913
74,22917,35408
74,22406,34714
74,22643,35246
74,22877,34841
74,22719,34772
74,22799,35224
74,22784,34965
74,23253,35191
74,23082,35524
74,22875,35355
74,22944,34923
74,23035,35249
74,22803,35308
74,22901,35396
74,22221,34891
74,22820,34895
76,22708,32044
76,22880,32366
76,22773,32388
76,22845,32199
76,22686,32303
76,23509,32887
76,23007,32703
76,40660,45639
76,22908,32206
76,23055,32482
76,22873,32563
76,23332,32833
76,23579,32490
76,23200,32690
76,23095,32730
76,25550,32595
76,22574,32178
76,22819,32618
76,22706,33220
76,23084,32587
78,22496,33264
78,22802,33276
78,22593,33292
78,23517,33068
78,22612,32368
78,22866,32788
78,22821,33175
78,22710,32615
78,22482,32807
78,24823,33228
78,22686,32826
78,22476,32768
78,22797,32697
78,22709,32820
78,22340,32893
78,22703,32716
78,22590,32814
78,22536,33151
78,22625,32758
78,22638,32496
80,22691,34729
80,22601,35242
80,25792,35372
80,23162,34744
80,22988,34845
80,23514,35117
80,23139,35670
80,22577,35494
80,23274,35040
80,23209,34886
80,22947,35011
80,24872,36065
80,23292,35176
80,24449,35295
80,22598,35778
80,22606,34822
80,22997,35410
80,22864,35190
80,23045,35067
80,23491,35232
82,23352,35269
82,23018,35363
82,23253,35333
82,22997,34983
82,23580,35161
82,22858,35182
82,22917,35044
82,23366,34973
82,23279,34990
