Pallet: "democracy", Extrinsic: "clear_public_proposals", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
p,extrinsic_time,storage_root_time
0,8512,28551
0,4559,15126
0,4173,14363
0,4072,14434
0,4199,13892
0,4256,14287
0,4199,13679
0,4085,13916
0,4117,13256
0,4195,13761
0,4146,13348
0,4031,29050
0,3947,13054
0,4180,13947
0,4057,13829
0,4383,14202
0,4155,13490
0,4422,13943
0,4208,13240
0,4222,14316
5,7795,33742
5,5495,29689
5,5398,30771
5,5920,31683
5,5581,30066
5,5461,30475
5,6171,29583
5,5306,29018
5,5355,30508
5,5268,29051
5,5590,31600
5,5512,30441
5,5574,29751
5,5738,29757
5,5190,28925
5,5230,30853
5,5477,29770
5,5478,38374
5,5487,30005
5,6101,30483
10,5744,30578
10,6226,29585
10,5598,32823
10,5960,33263
10,5502,30436
10,5960,32338
10,6042,32732
10,5580,31360
10,6041,32279
10,6458,31520
10,5464,32770
10,5625,31500
10,7604,33409
10,5522,30797
10,5483,30974
10,6408,46374
10,5664,32361
10,6806,33477
10,6047,32406
10,5797,31619
15,6211,33283
15,6058,33976
15,5854,34793
15,6419,34497
15,5662,33974
15,5774,33165
15,5857,34782
15,5684,33928
15,6741,33385
15,6069,34523
15,5613,31982
15,6192,35230
15,6279,34757
15,5668,33622
15,5695,33405
15,6731,34680
15,5851,32427
15,6094,33320
15,6534,33841
15,6053,33651
20,7197,38045
20,5781,35286
20,5997,37220
20,5791,33968
20,6880,43648
20,6371,35188
20,6858,36865
20,5918,36151
20,5856,35068
20,6102,36107
20,5955,34858
20,6174,35894
20,5891,34742
20,8791,36062
20,5990,35734
20,5968,34117
20,5686,36326
20,6738,34670
20,5842,34863
20,6480,34791
25,6083,36792
25,6827,37617
25,6074,35805
25,7077,38061
25,6085,39004
25,6258,35904
25,6100,37096
25,7650,37245
25,6624,37405
25,6388,34744
25,6395,37409
25,7030,37545
25,7355,37772
25,6643,36603
25,6613,38124
25,6366,36912
25,5981,36096
25,6222,35999
25,6930,37026
25,7768,36207
30,6684,37442
30,6412,37245
30,9468,39364
30,6229,37091
30,7282,39492
30,6448,37569
30,7072,36184
30,8547,41167
30,7192,40118
30,6997,37455
30,6679,34865
30,6138,37437
30,6396,37958
30,6270,39041
30,6798,40516
30,6883,40427
30,6477,38890
30,6490,37078
30,6168,57436
30,9273,50543
35,8410,39370
35,7067,35656
35,6837,40528
35,6898,39133
35,7831,40281
35,7635,39534
35,6800,39281
35,8186,43244
35,7479,40611
35,6514,38820
35,6338,39181
35,7714,39377
35,10159,46050
35,7098,39648
35,14778,65318
35,11301,59042
35,9518,45741
35,6350,38784
35,6411,63993
35,8287,74502
40,6444,40512
40,10475,75344
40,9051,43278
40,7771,39673
40,9277,43310
40,7674,36835
40,7933,42337
40,14198,70021
40,10435,62964
40,8700,57597
40,7997,43747
40,18518,71689
40,9395,45277
40,7450,43481
40,14200,62789
40,7858,41840
40,7441,40985
40,7178,41523
40,8744,43132
40,7417,41142
45,7098,40883
45,11157,48617
45,17513,73853
45,13413,68495
45,15669,65054
45,16495,69058
45,9649,47633
45,8118,50745
45,7272,41583
45,7491,43138
45,10267,46383
45,7823,44037
45,7848,37354
45,9012,42154
45,8457,43147
45,7413,42441
45,7397,43217
45,13738,48480
45,8544,43491
45,7366,43314
50,7135,42366
50,7628,44054
50,7027,43496
50,6693,41454
50,7310,38016
50,6460,58201
50,7532,43896
50,6684,40560
50,7036,42759
50,8198,43794
50,7259,44279
50,7454,43917
50,7347,43349
50,7473,42988
50,8307,44239
50,7849,63861
50,6992,36620
50,6944,42524
50,7406,40843
50,6849,41360
55,8590,46955
55,14102,73837
55,8419,44968
55,7440,37057
55,8546,46039
55,6613,43928
55,7023,43925
55,6632,42732
55,6893,65745
55,7602,45223
55,6832,42559
55,8806,46199
55,10143,53043
55,25660,58331
55,8186,44487
55,9193,46480
55,8477,46470
55,7205,45167
55,10842,48917
55,8089,53750
60,7915,45818
60,8890,48601
60,8043,45870
60,10429,50659
60,10977,52669
60,8161,46960
60,9864,50759
60,9720,46590
60,10936,50222
60,12610,50747
60,8268,46814
60,21936,41784
60,8316,47295
60,8656,48133
60,8457,45748
60,17652,129885
60,17117,80813
60,16869,73424
60,15088,70765
60,15211,71860
65,15753,75701
65,17219,76950
65,14656,72530
65,10985,54274
65,8078,48024
65,8177,48307
65,7504,45473
65,7512,57282
65,8389,47913
65,9369,48289
65,11563,51979
65,8474,47437
65,17446,73017
65,10449,48746
65,15940,83589
65,10227,51781
65,10755,48432
65,9345,49300
65,9918,56673
65,13026,51515
70,11224,53264
70,11583,54288
70,14149,74378
70,11833,55019
70,9029,62979
70,7290,47591
70,7712,46771
70,8018,45967
70,8243,48190
70,9289,51051
70,12283,61844
70,13364,56898
70,8584,50554
70,9848,50072
70,9900,50442
70,9074,49760
70,7950,47559
70,8168,50291
70,8387,48955
70,8068,49370
75,8016,49805
75,10113,44546
75,9386,49543
75,8645,48708
75,8429,50281
75,7718,47436
75,9584,50411
75,8371,52478
75,10165,50790
75,8836,50091
75,7117,46796
75,7226,46191
75,9251,51891
75,8084,47920
75,8709,49866
75,8960,48856
75,7955,50243
75,9027,43581
75,8767,40848
75,8307,49400
80,10051,40506
80,9376,51491
80,8088,50728
80,9080,49696
80,9666,53604
80,7515,51411
80,7966,38424
80,9179,45237
80,9279,49660
80,9964,44135
80,12293,42985
80,7949,41796
80,8178,49797
80,8051,53366
80,9554,51012
80,8903,54357
80,10016,51502
80,9888,53513
80,10005,45100
80,9379,50857
85,8585,51057
85,8165,40065
85,8383,52562
85,9265,44187
85,8203,52344
85,9683,74830
85,10145,54162
85,9208,52408
85,8608,51871
85,8686,59449
85,11461,54774
85,9795,52596
85,11803,52543
85,13450,58984
85,11918,52453
85,10328,54803
85,15046,73267
85,10715,54198
85,8858,49879
85,10009,54014
90,8909,51789
90,12100,56715
90,10986,44830
90,18069,88710
90,9591,55821
90,9468,54618
90,11135,57247
90,10100,45173
90,10474,56364
90,16443,60905
90,12390,44563
90,11098,55195
90,10263,54976
90,10581,54721
90,10379,56564
90,9807,43749
90,15764,47328
90,11500,53542
90,9681,42941
90,12794,59399
95,11759,45237
95,10332,55758
95,9048,53459
95,10720,56530
95,10424,55366
95,9288,44345
95,9248,54839
95,10243,42917
95,12500,45174
95,17744,112458
95,18341,63471
95,15255,50804
95,11579,58093
95,9075,51487
95,7246,49641
95,8573,70394
95,9596,54110
95,9831,44577
95,8644,67052
95,8913,43578
100,8760,53025
100,9067,53899
100,12500,59298
100,9639,57446
100,10389,58873
100,10376,46591
100,10354,58281
100,11034,46705
100,10803,56948
100,9354,57358
100,19496,50444
100,10935,57981
100,20409,68248
100,18362,64680
100,10838,47652
100,10950,58216
100,13359,46449
100,11661,57392
100,13480,59915
100,10501,57841

Median Slopes Analysis
========

Model:
Time ~=    5.127
    + p    0.056
              µs

Min Squares Analysis
========

Data points distribution:
    p   mean µs  sigma µs       %
    0     4.179      0.03    0.7%
    5     5.505     0.057    1.0%
   10     5.847     0.172    2.9%
   15     6.001     0.147    2.4%
   20     6.084     0.189    3.1%
   25     6.526     0.225    3.4%
   30     6.694     0.225    3.3%
   35     7.503     0.491    6.5%
   40      8.44      0.63    7.4%
   45     8.836     1.126   12.7%
   50     7.243     0.174    2.4%
   55     8.136     0.515    6.3%
   60     10.56     1.925   18.2%
   65     10.41     1.219   11.7%
   70     9.174     0.898    9.7%
   75     8.613      0.29    3.3%
   80     9.248     0.448    4.8%
   85     9.669     0.623    6.4%
   90     10.86      0.59    5.4%
   95     10.03     0.739    7.3%
  100     10.99     0.614    5.5%

Quality and confidence:
param     error
p         0.002

Model:
Time ~=    5.183
    + p    0.059
              µs

