Pallet: "democracy", Extrinsic: "close_proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
1,25265,60483
1,22863,49609
1,21853,48709
1,21629,48658
1,21636,49059
1,21424,48607
1,21336,48115
1,21243,48377
1,21212,48122
1,21340,47880
1,21255,47990
1,21338,47916
1,21200,47710
1,21162,47990
1,21236,48220
1,21442,47905
1,21321,47752
1,21353,47934
1,21126,48010
1,21204,47848
20,21422,45192
20,21024,43558
20,20740,43683
20,20970,43286
20,20763,43573
20,20654,43465
20,21148,43429
20,20960,43366
20,20646,43098
20,20646,43096
20,20606,43101
20,20703,43288
20,20521,43365
20,20702,43335
20,20701,43394
20,20975,43863
20,20923,43094
20,20975,43711
20,20891,43445
20,20695,43187
39,21452,44483
39,20499,43183
39,20835,43434
39,20138,43174
39,20619,43265
39,20661,43274
39,20144,43157
39,20304,43023
39,20381,43169
39,20510,43245
39,20588,43065
39,20551,42890
39,20559,43115
39,20606,42809
39,20598,43161
39,20704,43105
39,20573,42798
39,20239,42970
39,20224,43432
39,20552,43069
58,21171,44666
58,20797,44068
58,20735,43877
58,20751,43500
58,20258,43714
58,20988,43781
58,20904,43792
58,20777,43779
58,20638,43507
58,20536,43623
58,20489,43754
58,20502,43742
58,20747,46706
58,20523,43770
58,20441,43422
58,20633,43592
58,20316,43601
58,20259,43593
58,20585,43487
58,20516,43644
77,21416,45173
77,20891,43759
77,20723,43893
77,20830,44032
77,20810,43743
77,20713,43628
77,20879,43935
77,20881,43660
77,20860,43850
77,20808,44117
77,21153,44015
77,21036,43690
77,20559,43518
77,20829,43643
77,20883,43971
77,20850,43469
77,20573,44024
77,20681,43834
77,20814,43759
77,20748,43468
96,21637,49005
96,20907,48326
96,20956,48035
96,21126,48542
96,20935,47717
96,21178,47932
96,20584,48158
96,20783,66110
96,20918,48257
96,21184,48106
96,20661,47875
96,20791,48115
96,20864,47782
96,20883,47881
96,20751,47746
96,20803,47685
96,20831,47958
96,20782,48117
96,20840,47820
96,20976,47903
115,21157,44929
115,20571,43455
115,20520,43457
115,20332,43558
115,20390,43438
115,21030,44048
115,20494,43421
115,20359,43549
115,20427,43323
115,20575,43166
115,20580,43285
115,20495,43261
115,20366,43428
115,20495,43441
115,20671,43352
115,20566,43411
115,20471,43141
115,20500,43347
115,20335,43285
115,20399,43273
134,21373,44259
134,20990,43311
134,20650,42854
134,20828,43452
134,20943,43728
134,20969,43961
134,20959,43313
134,20671,43310
134,20450,43202
134,20685,43344
134,20361,43087
134,20591,43529
134,20596,43085
134,20510,43300
134,20782,43154
134,20590,43305
134,20507,43228
134,20448,43079
134,20497,43351
134,20348,43128
153,20984,41736
153,20517,41453
153,20831,41343
153,20557,41400
153,20323,41261
153,20570,41203
153,20828,41818
153,20328,41047
153,20303,41229
153,20305,41147
153,20293,41586
153,20299,41463
153,20001,41174
153,20124,42073
153,20190,41136
153,20373,41102
153,20410,41318
153,20178,41279
153,20195,41238
153,20380,41294
172,21701,44671
172,20944,44087
172,21415,44135
172,20915,44382
172,21457,43998
172,21160,43932
172,21105,44278
172,20949,44123
172,20658,43826
172,20551,43598
172,20827,43976
172,20718,43476
172,20819,43553
172,21077,44196
172,20932,43832
172,21017,43756
172,21010,46633
172,21003,44051
172,20726,43845
172,21039,43662
191,21950,48635
191,21519,47922
191,21506,47641
191,21280,48334
191,21318,48031
191,21981,47593
191,21251,47812
191,21202,48100
191,21213,47749
191,21391,47924
191,20944,47498
191,21366,47869
191,21282,47548
191,21208,50553
191,21329,47769
191,21298,47971
191,21325,47634
191,21325,48115
191,21439,47751
191,21382,47355
210,20838,43304
210,20048,42098
210,20166,41867
210,19943,41826
210,20401,42324
210,20883,41832
210,20301,41821
210,20358,41750
210,20291,41786
210,20110,41479
210,20350,42012
210,35897,55496
210,20073,41744
210,19850,41753
210,20295,41783
210,19895,41832
210,20309,41771
210,20128,41580
210,20231,41964
