Pallet: "democracy", Extrinsic: "deactivate_proxy", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
1,26701,34829
1,22454,31374
1,36197,40393
1,23749,43980
1,22512,29713
1,22117,30355
1,22354,30247
1,22465,30612
1,22413,29910
1,22198,30790
1,22270,29496
1,22333,30453
1,30561,30174
1,22351,30251
1,22196,30545
1,25443,32120
1,23111,30482
1,22257,29933
1,21538,30933
1,23152,30506
50,22220,30168
50,36992,29413
50,21419,28795
50,21886,29986
50,38605,31239
50,21779,30426
50,21721,30061
50,22225,31154
50,25024,31173
50,23190,39798
50,21822,30302
50,21781,30249
50,21521,29524
50,21675,29706
50,21766,30113
50,22472,29503
50,22215,29903
50,21699,48744
50,24295,30865
50,22101,30503
99,21817,29739
99,22531,30367
99,23079,29544
99,25864,31655
99,21534,30033
99,30244,29722
99,21560,30012
99,21985,29608
99,22392,29614
99,21972,39767
99,23209,29927
99,21448,30571
99,21743,29218
99,21690,29420
99,21723,29232
99,22839,29504
99,21896,29808
99,21831,30034
99,21677,29051
99,21563,28859
148,26922,33163
148,22371,30188
148,22185,29522
148,23312,29605
148,22720,29761
148,21913,30050
148,21962,30130
148,21498,29123
148,21770,29457
148,21968,29003
148,21541,28030
148,21652,28803
148,21384,28178
148,23459,30142
148,22255,30442
148,21998,30281
148,22858,29891
148,22009,29608
148,21859,29780
148,21869,29426
197,22650,29558
197,22853,30187
197,21580,29688
197,21712,29267
197,22234,29696
197,22067,29731
197,22021,29319
197,22130,29812
197,22365,30525
197,23258,30346
197,21856,29437
197,21769,29780
197,22082,29689
197,22502,30233
197,23295,29816
197,22243,29843
197,21825,29400
197,22805,30694
197,21987,29899
197,21829,29943
246,22188,29662
246,22220,30119
246,38857,31371
246,21767,30035
246,21557,29976
246,21739,30051
246,22072,29752
246,23286,30279
246,21827,29892
246,21917,30077
246,21848,30189
246,22186,29845
246,21811,29477
246,22165,29612
246,21853,28763
246,44462,30926
246,22634,28757
246,22511,30792
246,22082,29759
246,21599,37544
295,23506,31077
295,22132,29291
295,21778,29676
295,22023,28237
295,20833,28943
295,20982,28776
295,21273,30301
295,21746,29155
295,21786,30679
295,25664,31976
295,21879,29723
295,21959,29973
295,21697,29747
295,21888,40113
295,21587,29713
295,22054,28955
295,21672,29722
295,21823,29468
295,22149,41402
295,22602,29786
344,22332,30802
344,21605,30411
344,22989,29722
344,22954,30136
344,22219,38430
344,22194,29951
344,22425,40976
344,21730,37650
344,22191,29466
344,21326,28662
344,21033,28131
344,20641,28922
344,20911,28851
344,21154,29190
344,23335,30381
344,23460,30596
344,23048,39198
344,23246,30952
344,22988,30436
344,31612,32106
393,23087,30715
393,22429,30544
393,22821,37386
393,22444,29888
393,22404,37758
393,22576,30426
393,22387,31043
393,30993,30078
393,22640,40909
393,22729,30344
393,32683,30875
393,22507,46166
393,22504,30439
393,32840,30696
393,23703,29610
393,23135,30203
393,22762,40233
393,22796,29997
393,30665,30476
393,24062,40180
442,22131,30547
442,21871,29700
442,23004,30256
442,21960,30316
442,22214,29976
442,21723,39266
442,22210,29193
442,21618,29688
442,21862,29469
442,21640,29032
442,21808,29795
442,22043,29780
442,30264,49208
442,22154,29309
442,22057,30089
442,21531,29926
442,21894,28774
442,34359,31294
442,21924,30495
442,21846,29815
491,21453,29472
491,21297,30951
491,29981,30458
491,21665,30019
491,22005,29030
491,22059,29178
491,22154,29051
491,21384,28116
491,21319,28796
491,22144,29456
491,21634,29558
491,22014,29199
491,21832,29158
491,21606,28732
491,26722,44933
491,22197,30228
491,21778,29145
491,21738,28992
491,21889,28970
491,22987,29507
540,22020,29634
540,21932,30536
540,22543,29935
540,22448,28330
540,23003,28905
540,22160,28475
540,22221,28291
540,22145,37341
540,23407,28558
540,22469,29502
540,22246,30072
540,22040,28124
540,23336,30921
540,22178,29563
540,21663,29021
540,20889,27929
540,21008,27932
540,23452,30539
540,23029,28401
540,21858,28327
589,21567,28661
589,22478,27909
589,21689,30219
589,21836,30152
589,21469,29717
589,24547,31139
589,21774,29845
589,21786,29895
589,21702,29898
589,27238,39748
589,22578,36618
589,22119,29157
589,22277,29941
589,21789,29661
589,27997,30790
589,21998,29157
589,21862,29806
589,22550,29481
589,21731,29252
589,20585,28365
638,21963,28868
638,21451,28535
638,22111,29420
638,21549,29462
638,21707,29785
638,21474,38175
638,22522,30888
638,21136,29570
638,21440,29942
638,21888,29937
638,21731,30009
638,22380,29760
638,21533,29688
638,21706,29957
638,21485,28527
638,20742,28519
638,21872,28523
638,20965,27928
638,21270,28641
638,20880,28414
687,21595,29083
687,21281,28349
687,21435,28756
687,21301,29199
687,23091,30241
687,22702,29779
687,22524,29677
687,34875,48903
687,22504,29755
687,21983,29920
687,22125,29772
687,22297,30161
687,21776,29404
687,22075,30005
687,22219,30076
687,21672,27923
687,20975,27872
687,38880,42299
687,22138,29776
687,22323,30583
736,21218,28371
