Pallet: "democracy", Extrinsic: "delegate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,85024,46555
1,76085,41750
1,76489,42191
1,76165,41686
1,74789,40844
1,74875,40951
1,74565,40749
1,74567,40625
1,74212,40650
1,74837,40902
1,74744,41028
1,74815,40612
1,75034,40726
1,74310,40826
1,75011,40682
1,74467,40366
1,74231,68660
1,75660,44031
1,74535,40706
1,74524,40693
2,83111,49370
2,83494,46606
2,83274,46406
2,83167,46655
2,82537,46563
2,86601,46268
2,83299,46281
2,83047,46522
2,83165,46247
2,82683,46392
2,83140,46288
2,82960,46395
2,83133,46551
2,83424,46768
2,83774,46669
2,83654,47062
2,83039,46901
2,83428,46833
2,82893,46806
2,82642,46305
3,92245,52297
3,91534,49507
3,90686,49131
3,90544,48724
3,90040,48970
3,91516,49398
3,94947,49443
3,89924,48984
3,91126,48650
3,90260,48413
3,90700,49040
3,92068,49892
3,91425,49454
3,90607,48684
3,90886,48802
3,90810,48832
3,91213,50019
3,91788,50107
3,90530,49291
3,91096,48997
4,99884,56073
4,100983,55765
4,99892,55518
4,100754,55873
4,100209,56003
4,100406,55374
4,100025,55881
4,99753,55725
4,99793,55739
4,100169,55787
4,101144,56483
4,99895,54932
4,100255,55612
4,99661,55523
4,100723,55971
4,101442,55844
4,100430,55799
4,100061,55277
4,100065,55392
4,103548,55968
5,107894,56492
5,107532,57329
5,107266,55733
5,106705,56233
5,107343,57322
5,107586,56804
5,107360,56126
5,106700,56224
5,107930,56781
5,107485,56751
5,106449,55939
5,106553,56219
5,108732,57410
5,106527,56072
5,106771,56053
5,108129,57176
5,106778,56275
5,107458,55730
5,107039,69189
5,107467,56960
6,115531,59100
6,119305,59763
6,115873,59873
6,115637,59619
6,115068,59162
6,118746,59677
6,116617,59446
6,115310,59635
6,115594,58933
6,115958,59459
6,116055,60033
6,115354,58895
6,114482,59363
6,115975,59030
6,115653,59515
6,115669,58775
6,115763,59176
6,115899,59819
6,115188,59378
6,114398,58856
7,123343,60750
7,123375,61159
7,123991,60417
7,123329,60670
7,123431,60587
7,123734,60777
7,122819,60740
7,123857,60988
7,123003,60781
7,123434,61012
7,122603,60345
7,123074,60386
7,122138,60214
7,123313,60636
7,123644,60096
7,123706,60392
7,123343,59947
7,123120,60507
7,123529,60168
7,122957,61278
8,131504,64393
8,130923,65041
8,131022,64321
8,130467,64289
8,131195,63846
8,130887,63865
8,130670,64716
8,130859,64338
8,130852,63625
8,131344,64132
8,130714,65304
8,131232,64269
8,130608,64198
8,130814,63845
8,130872,63851
8,129784,64150
8,129978,64348
8,131086,63263
8,130956,63915
8,131374,63830
9,137561,63889
9,138436,64762
9,137233,63868
9,137338,64258
9,137740,63529
9,137722,64203
9,138242,64229
9,137820,64782
9,136484,64254
9,137865,66407
9,136663,63677
9,137467,64209
9,141617,64738
9,138051,63839
9,137422,63794
9,137522,64039
9,137372,64334
9,136146,64142
9,137201,64939
9,136647,64367
10,144410,67232
10,145302,68972
10,143374,67090
10,144365,67101
10,144840,67916
10,144889,68097
10,147274,68350
10,144542,67625
10,144769,67498
10,144846,68797
10,144099,68220
10,145396,67454
10,144961,67769
10,145209,67351
10,147810,69098
10,144537,67089
10,144450,67101
10,146039,68089
10,144986,67377
10,144274,67567
11,152103,70070
11,151255,70598
11,152409,69887
11,151753,70062
11,152561,70231
11,152263,70011
11,151532,69913
11,151664,70120
11,152958,70157
11,152318,70171
11,152737,70517
11,152337,70330
11,152635,70030
11,152440,69929
11,152339,70143
11,153093,70769
11,152301,69911
11,154246,70362
11,153459,70209
11,151059,69731
12,161302,72240
12,159356,72211
12,160314,73079
12,159876,71895
12,160964,71348
12,160833,71444
12,159675,72222
12,160443,72977
12,160942,72056
12,161442,71182
12,160595,72679
12,160873,72784
12,160638,72472
12,160275,71965
12,161421,71802
12,160102,71770
12,160491,72519
12,160350,71845
12,160263,71746
12,162418,72292
13,172003,77937
13,167055,76879
13,168449,77385
13,167229,76788
13,168956,77213
13,167982,77838
13,169193,77030
13,169123,78281
13,167402,77188
13,168091,77802
13,166841,77154
13,167583,77489
13,167762,77757
13,170714,77418
13,169272,78219
13,167173,76628
13,168398,77440
13,168650,77601
13,168904,77520
13,168092,78351
14,176822,84371
14,175389,84026
14,176738,85141
14,176009,84942
14,177981,83416
14,176643,85010
14,176642,84709
14,177069,83935
14,176920,84864
14,177248,84673
14,176878,84146
14,176971,84150
14,176653,85001
14,177650,83970
14,177228,83978
14,176955,84568
14,177290,83757
14,176506,83736
14,176501,84387
14,178220,83921
15,185098,84210
15,185404,83847
15,184740,84432
15,184387,84364
15,185127,84991
15,184463,84394
15,184226,85007
15,216263,83841
15,185561,83914
15,185149,83605
15,185382,83513
15,184865,84441
15,185284,85316
15,184517,84383
15,185077,84421
15,184135,84212
15,185251,83826
15,183665,84112
15,184042,83941
15,184760,83826
16,193428,88044
16,192805,85744
16,194701,85787
16,190921,85446
16,192518,85646
16,192580,86130
16,193329,86571
16,193195,85709
16,193747,85405
16,193997,85092
16,192103,85291
16,196247,85746
