Pallet: "democracy", Extrinsic: "emergency_cancel", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,41844,41105
1,36864,37216
1,37122,38107
1,36647,36828
1,37044,36952
1,36957,37136
1,36611,36892
1,36437,36713
1,36376,36944
1,36253,36422
1,36748,36435
1,36955,36967
1,36376,37892
1,36557,36621
1,36207,36553
1,36128,36535
1,36369,36845
1,36118,36696
1,36316,36247
1,36930,37030
2,38654,37481
2,38132,37343
2,38253,36981
2,38154,37188
2,37647,36810
2,38387,36568
2,37875,37142
2,38126,36657
2,37852,36726
2,38048,36699
2,37884,36765
2,37950,36756
2,37804,37281
2,37397,36267
2,38336,36997
2,38910,36749
2,37873,36833
2,37691,37062
2,38200,36727
2,37712,36691
3,39263,40200
3,37741,39862
3,38034,39959
3,37808,39674
3,37309,39821
3,37908,39482
3,37465,39880
3,37119,39383
3,51052,40039
3,37022,39791
3,37721,39992
3,38231,40085
3,37698,40316
3,37768,39484
3,40625,40902
3,38437,39903
3,38193,39520
3,37369,39690
3,37636,39547
3,38249,39813
4,39771,44564
4,40362,40149
4,39648,40105
4,39708,40313
4,40552,40496
4,39647,39690
4,39293,39938
4,39431,40508
4,38940,39519
4,42607,39720
4,39071,40479
4,38908,39353
4,39343,40017
4,39107,39723
4,38941,39624
4,39526,39999
4,39278,40451
4,39476,39875
4,39533,39711
4,39423,39588
5,39948,41099
5,39470,40017
5,40091,40587
5,38809,39992
5,39274,40531
5,39527,40215
5,38972,40227
5,39612,40372
5,39353,42955
5,38984,39877
5,39711,40460
5,38730,40361
5,39465,39663
5,39714,40015
5,38916,39447
5,39242,40183
5,39369,40029
5,39570,40583
5,40079,40521
5,39648,39561
6,40223,39368
6,44217,39126
6,40514,38832
6,39595,38420
6,40584,38567
6,40577,38272
6,40157,38586
6,39823,38585
6,40099,38277
6,40195,39250
6,40748,38264
6,40157,39454
6,39976,38433
6,40529,38539
6,39621,38433
6,39577,38583
6,39835,38499
6,40068,38391
6,39419,38142
6,40167,38653
7,39675,41602
7,39123,38760
7,39436,38663
7,39120,38550
7,39473,39628
7,39015,38541
7,39511,38070
7,39377,38709
7,39710,39886
7,39175,38645
7,39629,38376
7,39765,38410
7,39838,39393
7,39311,38451
7,39502,38634
7,39667,38578
7,39908,39315
7,38928,38712
7,40980,38480
7,39417,39404
8,40726,39675
8,44359,39745
8,40691,39619
8,40156,39386
8,39699,39390
8,40751,39003
8,40469,38810
8,40590,39035
8,40217,38871
8,40418,38668
8,40371,38869
8,40433,39327
8,40331,39346
8,40588,39144
8,40306,39386
8,40236,39323
8,40702,39420
8,40486,39745
8,40420,39537
8,40213,39239
9,40043,39475
9,40774,39154
9,40638,38757
9,40566,39075
9,40303,38818
9,40566,38813
9,40429,38911
9,40477,38682
9,40595,38302
9,41013,39023
9,40886,38500
9,40881,38585
9,40444,38979
9,40919,38630
9,40386,38811
9,40432,38637
9,40812,38731
9,44295,38998
9,40567,38878
9,40839,38359
10,42220,41367
10,41778,41571
10,41966,41358
10,41405,40819
10,41763,41129
10,41002,44332
10,42173,41451
10,41898,41280
10,41666,41219
10,40910,41183
10,41198,41120
10,41286,41124
10,41155,40719
10,41680,41476
10,41236,41447
10,41223,41027
10,41349,41307
10,41258,41238
10,41421,40863
10,41324,41217
11,41153,39094
11,41442,38767
11,40752,38977
11,40862,39176
11,40889,39061
11,40550,38566
11,40467,38789
11,41028,38455
11,41149,39311
11,40868,38831
11,40343,38752
11,40759,38886
11,40394,38949
11,41483,38963
11,40660,38751
11,40535,39317
11,40629,38558
11,41054,38706
11,40386,38782
11,40245,38671
12,41431,41186
12,41367,41401
12,41207,41527
12,41541,41319
12,41007,40947
12,41039,41213
12,41047,41396
12,42040,41148
12,41346,41298
12,40833,40813
12,41274,41308
12,41605,41293
12,41414,40921
12,41331,41140
12,42273,41294
12,41173,41396
12,41883,41954
12,41301,41031
12,42009,41322
12,41306,41586
13,40693,41356
13,40519,41260
13,41036,41611
13,41150,42545
13,40437,41695
13,40366,42043
13,40345,41037
13,40804,41707
13,40057,41394
13,41280,41727
13,40230,41929
13,41186,42600
13,40415,41372
13,40576,41253
13,40173,41432
13,40425,41320
13,40724,41312
13,40949,41539
13,40615,41457
13,41202,41492
14,41718,39018
14,41522,39570
14,41001,39274
14,40941,39553
14,41581,39152
14,40896,39422
14,41625,39486
14,41344,39339
14,41833,40119
14,41489,39973
14,41760,39758
14,41502,39628
14,42075,39836
14,41169,39884
14,41265,39092
14,41084,39089
14,40853,40567
14,42098,39191
14,41838,39228
14,41553,39679
15,41116,38908
15,41908,39265
15,41229,38928
15,41778,39466
15,41186,39281
15,41425,38784
15,41109,39163
15,41227,39360
15,41341,39018
15,41473,39598
15,40700,38822
15,41632,39072
15,41431,38974
15,42147,40202
15,41223,38822
15,42030,38860
15,42166,39155
15,41637,39693
15,42014,39010
15,41555,38987
16,41517,38484
16,41000,39080
16,41327,39080
16,41462,38653
16,41971,38615
16,41148,42056
16,41722,39143
16,42724,38748
16,41436,39224
16,41502,38936
16,41241,38681
16,41297,38589
16,41281,38780
16,41180,38754
16,42044,39214
16,41709,39024
16,41280,38447
16,41451,38506
16,41449,38401
16,41256,38714
17,41341,39041
17,41689,39440
17,41061,38886
17,41348,39298
17,41195,39544
17,41049,39384
17,42294,39393
17,41455,39283
17,41740,39153
17,41441,39051
17,40780,39068
17,41969,39200
17,41304,38918
17,40860,38878
17,41045,39259
17,41284,39163
17,41155,38778
17,40983,39104
17,41100,39065
17,40850,38863
18,43681,42100
18,43120,42464
18,43406,41772
18,43126,41857
18,42516,41924
18,42989,42059
18,43544,42318
18,42853,41576
18,43182,42016
18,43135,41622
18,42738,41720
18,43184,41843
18,43074,41814
18,43213,41875
18,43363,41824
18,43053,42513
18,42993,43000
18,43298,42652
18,42918,41588
18,42430,41589
19,42490,41963
19,42326,42292
19,42691,42468
19,42264,42335
19,42601,42314
19,42348,42096
19,42159,42345
19,42066,42776
19,42349,42299
19,42067,42364
19,42328,41988
19,43851,42571
19,42171,42169
19,42963,41834
19,42493,42059
19,42506,42083
19,42286,42384
19,42468,41821
19,42744,42164
19,42315,41946
20,41128,41284
20,41501,41013
