Pallet: "democracy", Extrinsic: "enact_proposal_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
0,39197,30265
0,28733,25755
0,27401,24726
0,27479,25167
0,27169,24765
0,26781,24364
0,26752,24820
0,27360,24626
0,26647,24585
0,26699,24756
0,27175,24464
0,27119,24481
0,26660,24111
0,27173,24313
0,26902,24329
0,26775,24750
0,26911,24660
0,26710,24454
0,26948,24813
0,26681,24410
327,59236,37400
327,56683,36862
327,57730,37271
327,57282,37002
327,56717,36242
327,56676,36823
327,56548,36790
327,60249,37248
327,57009,37216
327,56757,37128
327,57563,36931
327,56587,36998
327,57151,36360
327,57270,36808
327,56510,36697
327,56151,36874
327,56358,36678
327,57171,37172
327,56856,36819
327,56787,36482
654,57448,36820
654,57830,36620
654,57363,36662
654,56918,36893
654,57374,36860
654,57424,37305
654,57332,37051
654,57552,36569
654,85771,37394
654,57296,36736
654,57169,37252
654,57008,36867
654,57353,37035
654,57733,36781
654,57303,37305
654,56942,36739
654,57165,36398
654,56966,37186
654,57311,36970
654,57520,36710
981,59739,36875
981,59001,37084
981,58676,37398
981,59504,37149
981,59220,36810
981,58800,37100
981,59300,37089
981,58665,37272
981,61998,37834
981,59121,37164
981,59420,37103
981,58857,37325
981,58802,36892
981,58724,37162
981,59105,37238
981,59768,37486
981,59136,36788
981,58820,36926
981,59044,37022
981,58795,37049
1308,61208,36918
1308,60833,36700
1308,60066,37059
1308,60470,36966
1308,60362,37232
1308,60164,37516
1308,60618,37045
1308,60193,36575
1308,60503,37359
1308,60594,37538
1308,60511,37167
1308,59951,36771
1308,59967,36849
1308,60451,36845
1308,60632,37255
1308,60633,37150
1308,60570,37244
1308,60602,37401
1308,60964,37369
1308,60675,37491
1635,61453,37589
1635,61109,37834
1635,61051,38029
1635,61145,37300
1635,61301,37733
1635,61193,37791
1635,61285,37924
1635,61988,40519
1635,61598,37786
1635,60772,37902
1635,61232,37600
1635,60666,37671
1635,60653,37200
1635,61572,37193
1635,60630,37555
1635,60914,37568
1635,61348,37339
1635,61005,37241
1635,60824,37509
1635,60871,37213
1962,62713,37082
1962,62246,37347
1962,62490,37745
1962,62704,37204
1962,62206,37284
1962,62487,37218
1962,62510,36842
1962,63062,37688
1962,62623,37566
1962,61977,37012
1962,62719,37241
1962,63165,36938
1962,62161,37147
1962,62577,36909
1962,62374,36888
1962,62829,37062
1962,61816,37406
1962,62556,37087
1962,62254,37081
1962,62578,36691
2289,63438,37244
2289,63091,37204
2289,63247,37096
2289,63388,36710
2289,62711,37173
2289,66096,37287
2289,63294,36663
2289,62645,36940
2289,62750,37579
2289,63537,37207
2289,63084,36852
2289,62813,36992
2289,62802,37486
2289,62985,36768
2289,63365,37347
2289,63112,36752
2289,63017,37204
2289,62960,36562
2289,63335,37811
2289,63404,37005
2616,63854,37466
2616,64430,37282
2616,63937,37899
2616,64579,37697
2616,65797,38672
2616,78962,38449
2616,63653,37929
2616,63528,37654
2616,64337,37469
2616,63851,37436
2616,64081,36998
2616,63412,37455
2616,64570,36870
2616,64224,36886
2616,64125,37174
2616,64004,37358
2616,63713,37407
2616,63666,37000
2616,64162,37079
2616,63818,37321
2943,65356,37249
2943,64315,39947
2943,64875,37336
2943,65441,37043
2943,65304,37149
2943,65098,36975
2943,64809,37352
2943,64779,37501
2943,65241,37222
2943,65384,37258
2943,65433,37623
2943,64808,37361
2943,64995,37143
2943,65033,37148
2943,65254,37464
2943,64877,37330
2943,65360,37164
2943,65543,37288
2943,65280,37142
2943,64603,39653
3270,66963,37451
3270,65737,37384
3270,65756,37642
3270,66192,37214
3270,66371,38175
3270,66667,37767
3270,65458,37580
3270,65898,37470
3270,65801,36985
3270,65950,37444
3270,66144,37325
3270,66036,37333
3270,65240,37342
3270,65577,36924
3270,65854,37865
3270,66201,37653
3270,65686,37598
3270,68814,37631
3270,65830,37990
3270,66311,37746
3597,67903,37817
3597,68457,37971
3597,67223,38655
3597,67121,37984
3597,67436,37193
3597,67139,37334
3597,67686,37384
3597,67686,37385
3597,68150,37346
3597,68076,37813
3597,67309,37033
3597,67515,37366
3597,67808,37238
3597,67547,37359
3597,67726,37197
3597,67398,37324
3597,67125,36796
3597,67109,36832
3597,67373,37029
3597,67222,36996
3924,68326,37281
3924,68463,37588
3924,67834,37404
3924,67330,37469
3924,68081,37308
3924,67849,37259
3924,67709,37486
3924,67998,37309
3924,68873,37176
3924,68531,37121
3924,67746,37043
3924,67706,37128
3924,68494,36973
3924,68216,37557
3924,68497,37164
3924,68216,37234
3924,68175,37536
3924,68643,36992
3924,67775,37350
3924,68354,38009
4251,69437,37810
4251,69026,36978
4251,68922,37518
4251,68594,37108
4251,68705,37442
4251,68706,37974
4251,68425,36923
4251,69054,37797
4251,68743,36987
4251,69879,37190
4251,69314,37626
4251,68919,37351
4251,69701,37563
4251,69148,37156
4251,69168,37496
4251,69051,37160
4251,69342,37046
4251,69195,37509
4251,69031,37261
4251,68920,37488
4578,69857,37573
4578,69828,37230
4578,69479,37085
4578,70271,37041
4578,70023,37529
4578,70089,39745
4578,70133,37528
4578,69827,37683
4578,70069,37192
4578,70126,37747
4578,69601,37409
4578,69767,37451
4578,69463,37827
4578,70036,37525
4578,69900,37480
4578,69959,37224
4578,69749,37418
4578,70212,37470
4578,69836,37106
4578,70562,37580
4905,70634,38059
4905,70826,38089
4905,71171,37810
4905,69997,37481
4905,70652,37319
4905,70658,37138
4905,71201,37473
4905,70866,37674
4905,70883,37718
4905,70573,37550
4905,70937,37923
4905,70768,37594
4905,69722,37381
4905,70347,36956
4905,70683,37536
4905,71324,37976
4905,71332,37287
4905,70438,37063
4905,70054,40119
4905,70136,37463
5232,72469,38058
5232,72472,37961
5232,72420,37944
5232,72472,37213
5232,71567,37551
5232,71687,36933
5232,71613,37451
5232,71958,37330
5232,73149,37268
5232,72232,37300
5232,72094,37704
5232,72671,37407
5232,72673,37362
5232,72818,37646
5232,71786,40268
5232,72868,37395
5232,72672,37360
5232,72379,36956
5232,72335,37267
5232,72346,37681
5559,73277,37867
5559,73013,37222
5559,72739,37618
5559,73058,37306
5559,72948,37354
5559,72724,37600
5559,72971,37391
5559,71905,37355
5559,72911,37259
5559,72209,37022
5559,73042,40039
5559,73358,37400
5559,73158,37774
5559,72860,37464
5559,72983,37301
5559,73345,37688
5559,72429,37087
5559,73116,37282
5559,71992,38120
5559,72612,37825
5886,74596,37387
5886,74451,37662
5886,73348,37221
5886,74370,37360
5886,74240,37589
5886,73297,37573
5886,76987,38069
5886,73951,37377
5886,73340,37792
5886,74193,37142
5886,73951,37186
5886,73546,37786
5886,73975,37769
5886,73580,37182
5886,73878,37412
5886,74340,37650
5886,74055,37579
5886,74522,37819
5886,74226,37258
5886,73064,37401
6213,74844,37321
6213,74631,36845
6213,75262,38109
6213,74712,37490
6213,74995,37705
6213,75181,37090
6213,74844,37799
6213,75101,37474
6213,74536,37456
6213,75029,37632
6213,75289,37278
6213,75304,38204
6213,75631,37302
6213,75024,37086
6213,74805,37443
6213,74859,37479
6213,74298,37536
6213,74860,40461
6213,74771,37962
6213,74629,37122
6540,76087,37594
6540,75457,37492
6540,75392,37650
6540,76283,37682
6540,75509,38030
6540,76106,37669
6540,75430,37518
6540,75675,37653
6540,76197,37941
6540,74805,37690
6540,75244,37978
6540,75173,37290
6540,75281,37703
6540,75888,37423
6540,75589,37876
6540,75884,37337
6540,75323,37621
6540,76115,37969
6540,74888,37059
6540,75690,37566
6867,76635,37987
6867,77252,38011
6867,77045,37295
6867,76123,37641
6867,76227,37207
6867,76251,37816
6867,76336,37541
6867,76678,38196
6867,76492,37562
6867,76413,37547
6867,76352,37449
6867,77112,37759
6867,76749,37372
6867,76797,37323
6867,76683,37398
6867,76643,38238
6867,76404,38030
6867,76244,37547
6867,76459,37556
6867,75167,37470
7194,77683,38462
7194,77937,38009
7194,77951,38154
7194,77998,37701
7194,77827,37988
7194,77236,38039
7194,77182,37791
7194,77612,37363
7194,77495,37647
7194,76301,38100
7194,76567,37608
7194,76757,37863
7194,77335,37930
7194,77057,37971
7194,77332,37578
7194,76440,37423
7194,77938,37786
7194,77435,37601
7194,78292,37338
7194,77662,37360
7521,79219,38071
7521,78089,37564
