Pallet: "democracy", Extrinsic: "external_propose", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
1,20216,12185
1,15296,9549
1,14519,9234
1,14708,9093
1,14049,9035
1,14341,9053
1,14045,8922
1,18170,9342
1,14617,8983
1,14280,8905
1,14157,9814
1,14296,8921
1,14337,8929
1,13783,8775
1,13867,8897
1,13906,8850
1,13949,8689
1,13923,8901
1,13877,8828
1,14749,8963
2,14432,9489
2,14061,8889
2,14051,8910
2,13930,8774
2,13703,8834
2,13759,8988
2,13654,8745
2,13801,8658
2,13804,8822
2,13730,8824
2,13661,8886
2,13805,8838
2,13764,8849
2,14067,8796
2,13927,8793
2,13582,8837
2,13824,8730
2,13978,8757
2,15318,8908
2,13904,8764
3,13959,8864
3,13831,8884
3,14328,8872
3,13832,8967
3,13930,8913
3,13804,8896
3,13895,8835
3,13769,8846
3,13914,8749
3,13819,8791
3,13779,8785
3,13699,8870
3,13881,8794
3,13994,8736
3,13893,8944
3,13907,8853
3,13928,8832
3,13917,8799
3,13872,8896
3,13738,8928
4,13862,8809
4,13869,8855
4,13777,8817
4,14062,8725
4,13955,8831
4,16579,9135
4,13964,8810
4,13956,8942
4,13918,8840
4,14017,8819
4,13729,8778
4,13817,8755
4,13859,8874
4,13864,8743
4,13805,8846
4,13752,8712
4,13894,8761
4,14187,8924
4,14016,8876
4,13924,8740
5,13878,8862
5,13899,8884
5,13971,8858
5,13701,8856
5,14006,8821
5,13698,8699
5,14003,8761
5,13740,8749
5,13802,8769
5,13787,8815
5,13688,8785
5,13780,8843
5,13583,8779
5,13664,8788
5,13604,8858
5,13760,8676
5,13800,8795
5,13774,8753
5,13682,8652
5,13724,8781
6,14028,8791
6,13833,8785
6,13842,8682
6,13905,8731
6,13955,8758
6,13949,8739
6,13846,8764
6,13807,8729
6,13838,8710
6,13815,9033
6,13929,8734
6,13939,8756
6,14046,8856
6,13992,8767
6,14067,8799
6,13912,8726
6,13979,8830
6,13929,8769
6,13844,8863
6,13904,8895
7,13962,8841
7,14103,8871
7,13808,8924
7,14236,8977
7,13938,8980
7,13983,8814
7,13970,8859
7,14125,8841
7,14040,8823
7,15625,8975
7,14160,8815
7,13892,8894
7,13976,8836
7,13926,8837
7,14117,8907
7,13907,8824
7,13936,8806
7,13920,9011
7,13933,8795
7,13947,8896
8,14085,8807
8,13990,8888
8,13939,8858
8,13950,8960
8,13790,8978
8,13877,8866
8,13837,8813
8,13961,8903
8,13769,8817
8,13900,8893
8,13873,8811
8,13701,8842
8,13755,8858
8,13847,8788
8,13769,8805
8,13904,8705
8,13998,8936
8,13779,8955
8,13882,8935
8,13846,8907
9,14020,11499
9,14010,8934
9,13921,8855
9,13899,8876
9,13690,8922
9,13958,8825
9,13758,8880
9,13782,8858
9,13943,8874
9,14027,8957
9,13771,8737
9,13801,8897
9,13780,8912
9,13699,8762
9,13687,8919
9,13736,8830
9,13742,8770
9,13770,8803
9,13755,8705
9,13758,8869
10,13885,8986
10,13780,8921
10,13908,8924
10,13653,8896
10,13895,8885
10,13754,8836
10,13747,8824
10,13797,8830
10,13690,8939
10,13798,8911
10,13642,8808
10,13700,8944
10,13737,8973
10,13898,8926
10,13975,8931
10,13872,8929
10,13948,8884
10,13809,8969
10,13750,8806
10,13651,8815
11,13978,8943
11,13863,8783
11,13937,9004
11,14027,8913
11,13890,8881
11,13892,8890
11,13993,9052
11,13698,8923
11,13761,8800
11,13874,8818
11,13712,8838
11,13771,8820
11,13937,8909
11,13843,21471
11,13628,8740
11,13602,8589
11,13593,8766
11,13552,8636
11,13549,8634
11,13549,8768
12,13540,8652
12,13579,8718
12,13555,8565
12,13525,8523
12,13512,8781
12,13516,8625
12,13818,8701
12,13795,8633
12,13660,8736
12,13527,8757
12,13588,8566
12,13472,8729
12,13515,8591
12,13598,8719
12,13547,8620
12,13590,8553
12,13660,8634
12,13778,8603
12,14051,8821
12,13632,8645
13,13643,8705
13,13491,8805
13,13552,8633
13,13521,8691
13,13409,8584
13,13576,8595
13,13498,8777
13,13437,8641
13,13716,8703
13,13476,8564
13,13514,8703
13,13546,8666
13,13552,8569
13,13323,8652
13,13522,8656
13,13408,8587
13,13368,8616
13,15271,8779
13,13570,8650
13,13533,8664
14,13806,8735
14,13639,8806
14,13471,8685
14,13449,8724
14,13570,8597
14,13539,8582
14,13384,8634
14,13466,8621
14,13456,8695
14,13504,8524
14,13512,8645
14,13574,8776
14,13568,8660
14,13427,8727
14,13697,8688
14,13495,8702
14,13425,8722
14,13507,8725
14,13580,8751
14,13524,8607
15,13745,8550
15,13570,8670
15,13555,8751
15,13634,8655
15,13612,8632
15,13696,8691
15,13461,8683
15,13359,8613
15,13347,8634
15,13494,8632
15,13430,8595
15,13413,8641
15,14900,8812
15,13537,8523
15,13457,8561
15,13507,8603
15,13480,8709
15,13487,8593
15,13551,8487
15,13418,8588
16,13615,8657
16,13424,8680
16,13379,8548
16,13344,8660
16,13401,8634
16,13552,8800
16,13571,8736
16,13514,8586
16,13485,8735
16,13392,8727
16,13341,8514
16,13418,8639
16,13387,8522
16,13494,8544
16,13345,8649
16,13586,8515
16,13402,8535
16,13762,8789
16,13441,8614
16,13443,8622
17,13777,8814
17,13474,8700
17,13399,8532
17,13407,8644
17,13336,8626
17,13582,8657
17,13478,8704
17,13603,8565
17,13292,8749
17,13450,8647
17,13497,8705
17,13321,8684
17,13471,8713
17,13439,8769
17,13430,8610
17,13478,8647
17,13679,8691
17,13591,8697
17,13352,8683
17,13601,8645
18,13802,8866
18,13554,8711
18,13613,8666
18,13529,8634
18,13391,8563
18,13352,8692
18,13310,8650
18,13269,8570
18,13188,8677
18,13308,8493
18,13352,8681
18,13397,8553
18,13449,8628
18,13460,8697
18,13534,8670
18,13452,8540
18,13447,8675
18,13283,8530
18,13380,8638
18,13279,8542
19,13815,8644
19,13795,8652
19,13600,8752
19,13567,8751
19,13469,8740
19,13724,8783
19,13496,8622
19,13498,8676
19,13627,8599
19,13687,8612
19,13542,8600
19,13565,8686
19,13711,8702
19,13644,8712
19,13729,8684
19,13716,8750
19,13399,8622
19,13583,8704
19,13341,8727
19,13557,8569
20,13743,8799
20,13603,8725
20,13670,8724
20,13397,8705
20,13542,8524
20,13612,8704
20,13508,8609
20,13469,8770
20,13554,8678
20,13530,8589
20,13672,8745
20,13679,8707
20,13557,8694
20,13556,8765
20,13556,8663
20,13623,10986
20,13821,8769
20,13829,8697
20,13545,8611
20,13652,8664
21,13860,8817
21,13705,8596
21,13703,8695
21,13415,8615
21,13669,8662
21,13634,8617
21,13629,8556
21,13524,8679
21,13884,8649
21,13778,8749
21,13508,8684
21,13440,8574
21,13414,8615
21,13533,8697
21,13504,8593
21,13636,8680
21,13335,8576
21,13631,8761
21,13563,8718
21,13637,8802
22,13595,8649
22,13582,8654
22,13533,8669
22,13486,8728
22,13620,8568
22,13475,8687
22,13566,8509
22,13522,8715
22,13531,8605
22,13650,8778
22,13606,8751
22,13793,8741
22,13517,8760
22,13794,8683
22,13439,8686
22,13482,8658
22,13596,8654
22,13548,8630
22,13567,8599
22,13749,8603
23,13691,8736
23,13528,8680
23,13772,8832
23,13596,8578
23,13612,8706
23,13530,8668
23,13699,8664
23,13630,8697
23,13600,8576
23,13551,8693
23,13657,8692
23,13433,8688
23,13632,8624
23,13606,8710
23,13645,8541
23,13740,8658
23,13605,8567
23,13614,8775
23,13565,8610
23,13593,8624
24,13831,8775
24,13477,8650
24,13560,8710
24,13473,8715
24,13428,8678
24,13635,8677
24,13384,8682
24,13527,8622
24,13360,8634
24,13404,8649
24,13549,8746
24,13507,8543
24,13515,8664
24,13367,8691
24,16329,23795
24,13811,8692
24,13702,8818
24,13674,8788
24,13507,8665
24,13623,8640
25,13792,8586
25,13549,8634
25,13434,8710
25,13485,8627
25,13564,8653
25,13509,8687
25,13618,8573
25,13467,8699
25,13504,8622
25,13481,8600
25,13575,8649
25,13506,8712
25,13373,8685
25,13490,8561
25,13443,8720
25,13416,8583
25,13357,8491
25,13415,8666
25,13603,8614
25,13614,8637
26,13770,8606
26,13611,8685
26,13418,8734
26,13360,8754
26,13411,8679
26,13540,8521
