Pallet: "democracy", Extrinsic: "external_propose_default", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
p,extrinsic_time,storage_root_time
1,13920,35325
1,7295,26891
1,7046,25237
1,7710,27625
1,7670,26350
1,7318,26112
1,7478,26280
1,7251,26184
1,7049,26240
1,7309,26488
1,6820,24988
1,6882,23689
1,6353,24490
1,6616,24216
1,6574,24708
1,6401,24193
1,6499,24328
1,6505,24382
1,6682,24947
1,6545,24849
5,6528,25654
5,6575,25083
5,6732,25305
5,6654,24822
5,6545,25798
5,7361,25889
5,6608,25002
5,6741,24851
5,6577,25475
5,6571,25045
5,6880,25141
5,6600,24979
5,6493,24911
5,6434,24475
5,6564,24749
5,6766,25130
5,6451,25191
5,6496,25563
5,6737,24709
5,6496,25112
9,6442,24922
9,7156,26139
9,6669,25308
9,6491,25542
9,6723,24986
9,6666,24998
9,6659,25039
9,6421,23585
9,6507,24459
9,7614,24645
9,6480,24000
9,6402,24546
9,6542,24363
9,7894,25982
9,6583,24346
9,6583,23941
9,6528,23843
9,6494,24360
9,6638,23798
9,6810,26265
13,6555,24132
13,6367,23934
13,6274,24176
13,6391,24210
13,6411,24312
13,6654,23926
13,6476,24491
13,6495,23959
13,6504,24068
13,6444,35715
13,7093,23856
13,6804,23991
13,6371,24192
13,6402,23753
13,6302,23948
13,7559,24997
13,6472,24432
13,6994,24813
13,6401,23781
13,6381,33188
17,7824,24896
17,7132,25427
17,6637,25778
17,6533,25154
17,6423,26256
17,6800,25135
17,6884,24299
17,6506,24736
17,6493,25394
17,6591,25394
17,6531,24753
17,6816,23810
17,6465,24129
17,6529,23859
17,6830,24295
17,6592,24452
17,6604,24531
17,6462,44265
17,6883,25730
17,6504,23955
21,6336,23992
21,6314,24280
21,6396,23872
21,6368,24432
21,6529,24918
21,6534,24911
21,6664,25229
21,6569,25267
21,6934,25117
21,6678,25462
21,6640,25590
21,7973,26083
21,6747,25502
21,6693,25735
21,7370,25508
21,6937,25286
21,6552,24647
21,6620,25660
21,6530,25250
21,6598,25288
25,6712,24727
25,6477,24432
25,6511,25302
25,6501,25405
25,6400,24780
25,7728,26024
25,6700,25188
25,7660,26698
25,6730,24815
25,8522,26428
25,6600,25810
25,6498,26375
25,6562,26168
25,6582,24865
25,6403,24011
25,6380,24113
25,6450,24544
25,6540,25243
25,6404,23648
25,6472,24143
29,6433,51542
29,6798,24320
29,6447,23924
29,6353,24249
29,6434,23740
29,6334,24110
29,6368,24068
29,6417,24600
29,6626,23944
29,6589,23967
29,6428,24267
29,6508,39466
29,6397,24287
29,6456,24624
29,6459,24115
29,6483,24223
29,6378,24309
29,15210,25558
29,6554,23877
29,6479,33896
33,6920,24080
33,6448,24104
33,6453,23999
33,6418,23968
33,6446,24215
33,6481,24023
33,6380,23961
33,6389,24522
33,6354,24016
33,6409,23847
33,6256,24470
33,6289,23793
33,6314,23921
33,6300,24441
33,6331,24168
33,6312,24204
33,6455,24516
33,6488,24194
33,6477,23919
33,6432,23973
37,6434,24286
37,6367,24188
37,6754,24269
37,6423,23886
37,6364,24442
37,6360,24067
37,7928,26098
37,6795,24168
37,6472,24185
37,6700,23635
37,6360,24035
37,6443,24506
37,6510,23784
