Pallet: "democracy", Extrinsic: "external_propose_majority", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
1,5524,17885
1,3555,9836
1,3475,9277
1,3341,9141
1,3292,9078
1,3274,9079
1,3167,9132
1,3185,9216
1,3273,8889
1,3174,9047
1,3218,8993
1,3283,8943
1,3178,8877
1,3151,9033
1,3289,9399
1,3179,9081
1,3151,8886
1,3226,8870
1,3248,8968
1,3206,9014
2,3231,8857
2,3199,8879
2,3199,8805
2,3221,8839
2,3183,8836
2,3278,9211
2,3214,8873
2,3334,8957
2,3262,8945
2,3260,9136
2,3230,9202
2,3225,8965
2,3163,9053
2,3379,9099
2,3294,8985
2,3248,9000
2,3198,8925
2,3196,8766
2,3198,8862
2,3154,8869
3,3212,8780
3,3149,8964
3,3203,8861
3,3210,8920
3,3209,8885
3,3205,9206
3,3227,8992
3,3254,9104
3,3243,9151
3,3303,9174
3,3238,9012
3,3198,9170
3,3250,8676
3,3197,8936
3,3201,8851
3,3222,8931
3,3212,8896
3,3298,9040
3,3197,8736
3,3233,8886
4,3257,8894
4,3201,8944
4,3192,8797
4,3252,8981
4,3192,8976
4,3180,9054
4,3162,8975
4,3211,8923
4,3203,8989
4,3234,8876
4,3233,8794
4,3164,8852
4,3290,8960
4,3291,8847
4,3263,9008
4,3322,8883
4,3288,8835
4,3254,8908
4,3309,12248
4,3329,8901
5,3293,8740
5,3183,8710
5,3242,8852
5,3276,8672
5,3267,8851
5,3253,8869
5,3442,8981
5,3228,8996
5,3222,8778
5,3246,8921
5,3258,8791
5,3135,8801
5,3244,8835
5,3277,8874
5,3202,8788
5,3094,8792
5,3205,8802
5,3142,8934
5,3184,8779
5,3202,8889
6,3211,8777
6,3189,8918
6,3184,8786
6,3178,8792
6,3197,8860
6,3206,8851
6,3244,8693
6,3221,8855
6,3159,8793
6,3221,8906
6,3240,8767
6,3226,8826
6,3176,8807
6,3175,8950
6,3096,8815
6,3114,8810
6,3112,8770
6,3159,8849
6,3198,8866
6,3232,8751
7,3145,8959
7,3207,8919
7,3209,8878
7,3176,8970
7,3150,8885
7,3161,8900
7,3171,8856
7,3136,8908
7,3211,9022
7,3302,9019
7,3226,8792
7,3183,8965
7,3104,8849
7,3073,8828
7,3157,8827
7,3178,8811
7,3167,8735
7,3205,8821
7,3145,8843
7,3199,8756
8,3245,8810
8,3145,8889
8,3198,8740
8,3155,8906
8,3209,8986
8,3141,8801
8,3183,8829
8,3191,8927
8,3243,8836
8,3130,8851
8,3276,8952
8,3275,8925
8,3203,8881
8,3174,8975
8,3262,9006
8,3228,9061
8,3269,8923
8,3211,8884
8,3364,8813
8,3172,8902
9,3257,8916
9,3254,8836
9,3257,8976
9,3219,8819
9,3163,8884
9,3256,8899
9,3191,8917
9,3239,8773
9,3164,8824
9,3198,8845
9,3158,8870
9,3309,8888
9,3245,8818
9,3154,8932
9,3296,8895
9,3244,8848
9,3219,8753
9,3250,8745
9,3229,8741
9,3256,8841
10,3229,8826
10,3203,8822
10,3308,8727
10,3349,8918
10,3259,8782
10,3159,8890
10,3167,8970
10,3226,8919
10,3242,8826
10,3267,8821
10,3263,8844
10,3227,8813
10,3224,8883
10,3230,8820
10,3199,8764
10,3222,8768
10,3144,8800
10,3227,8791
10,3192,8827
10,3398,8863
11,3161,8840
11,3158,8859
11,3214,8935
11,3252,8724
11,3206,8821
11,3200,8773
11,3206,8804
11,3144,8807
11,3170,8791
11,3200,8821
11,3140,8746
11,3179,8815
11,3175,8807
11,3199,8779
11,3190,8797
11,3176,8879
11,3191,8747
11,3177,8881
11,3188,8787
11,3180,8914
12,3098,8873
12,3191,8881
12,3142,8826
12,3251,8878
12,3200,8863
12,3283,8917
12,3200,8822
12,3218,8828
12,3106,8865
12,3252,8782
12,3134,8826
12,3151,8947
12,3192,8870
12,3157,8851
12,3192,8861
12,3258,8819
12,3126,8945
12,3225,8950
12,3181,8842
12,3156,8826
13,3170,8907
13,3184,8839
13,3164,8835
13,3210,8823
13,3200,8837
13,3130,8925
13,3188,8745
13,3162,8902
13,3254,8853
13,3177,8793
13,3182,8856
13,3152,8845
13,3184,8796
13,3140,8763
13,3178,8782
13,3178,8927
13,3093,8804
13,3196,8998
13,3184,8962
13,3182,8830
14,3152,8908
14,3201,8941
14,3223,8833
14,3126,8738
14,3216,8875
14,3199,8867
14,3124,8747
14,3223,8781
14,3212,8866
14,3343,8776
14,3232,8762
14,3243,8811
14,3247,8916
14,3230,8826
14,3221,8885
14,3182,8843
14,3300,8928
14,3264,8880
14,3218,8803
14,3232,8797
15,3229,8789
15,3233,8933
15,3194,8786
15,3190,8946
15,3225,8730
15,3308,8986
15,3208,8834
15,3160,8917
15,3165,8980
15,3117,8839
15,3246,8833
15,3246,8925
15,3260,8824
15,3149,8821
15,3146,8821
15,3268,8781
15,3247,8796
15,3149,8825
15,3216,8734
15,3151,8833
16,3196,8886
16,3188,8820
16,3133,8738
16,3181,8955
16,3204,8897
16,3167,8890
16,3180,9007
16,3164,8824
16,3233,8732
16,3178,8833
16,3169,8774
16,3168,8887
16,3234,8812
16,3209,8765
16,3166,8953
16,3218,8894
16,3169,8858
16,3179,8828
16,3196,8671
16,3420,9352
17,3253,8939
17,3209,8996
17,3221,8870
17,3187,8911
17,3201,8838
17,3181,8866
17,3251,8819
17,3196,8773
17,3200,8852
17,3201,8909
17,3167,8881
17,3180,8896
17,3143,8994
17,3234,8843
17,3204,8881
17,3216,8824
17,3204,8775
17,3178,8994
17,3181,8763
17,3227,8759
18,3188,8876
18,3159,8819
18,3188,8859
18,3167,8825
18,3146,8874
18,3147,8703
18,3166,8799
18,3194,8879
18,3183,8831
18,3146,8798
18,3196,8888
18,3112,8955
18,3186,8949
18,3217,8856
18,3205,8787
18,3167,8880
18,3171,8850
18,3218,8948
18,3157,8905
18,3152,8923
19,3186,8962
19,3203,8795
19,3165,8755
19,3268,8965
19,3088,8815
19,3221,8863
19,3251,8877
19,3238,8759
19,3216,8775
19,3209,9003
