Pallet: "democracy", Extrinsic: "fast_track", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
p,extrinsic_time,storage_root_time
1,123835,89622
1,97673,62026
1,96587,61384
1,97814,60486
1,93738,58597
1,94268,57569
1,123915,61360
1,95637,61971
1,98186,59281
1,107749,59039
1,129710,61446
1,99026,59869
1,99728,59454
1,97811,59388
1,121815,64411
1,97292,60487
1,118862,96989
1,98327,60679
1,97211,60010
1,131108,123864
5,102451,61156
5,125311,62630
5,99128,92468
5,99315,61395
5,97423,61331
5,96091,60846
5,97533,61286
5,144876,64271
5,99577,61272
5,111854,62956
5,130498,63501
5,93735,59810
5,92875,58627
5,103319,59197
5,132882,75952
5,120543,62094
5,92850,58836
5,135731,62483
5,92775,59550
5,93006,58829
9,91960,59110
9,93375,58858
9,91051,58403
9,110477,62866
9,130078,63959
9,97752,60532
9,97540,60462
9,97190,59338
9,98643,60556
9,98346,63583
9,92997,58447
9,128565,63275
9,106752,66687
9,100986,61939
9,98055,92908
9,97093,59969
9,96888,60345
9,97455,59705
9,99744,60641
9,99893,60774
13,97706,58987
13,129696,61389
13,101955,70865
13,94540,58084
13,163508,88248
13,122896,64525
13,116031,94767
13,98868,60695
13,100561,62683
13,97799,61382
13,142420,64032
13,97134,66097
13,96977,60525
13,93201,58431
13,102918,63991
13,96983,60837
13,114905,61520
13,100541,61087
13,96764,59461
13,96388,60156
17,98335,60523
17,95608,59961
17,93845,58189
17,91731,81501
17,98817,61035
17,97160,60070
17,90777,58255
17,91484,59491
17,99420,60383
17,93402,60996
17,101492,61904
17,131054,63310
17,102109,60917
17,97328,60233
17,96985,58465
17,98059,59566
17,97506,89582
17,98282,59571
17,97515,57939
17,96139,57593
21,103122,59924
21,98617,59306
21,100984,59730
21,130269,61062
21,99197,58683
21,97121,58710
21,131896,67470
21,99369,59404
21,95870,58199
21,100078,87578
21,98918,59537
21,96877,58158
21,97597,87209
21,97600,59747
21,97890,59304
21,181873,96478
21,107734,80090
21,103683,64298
21,147261,82125
21,95208,72365
25,94819,73005
25,128760,73122
25,108063,63082
25,126034,90590
25,196060,84061
25,102558,60015
25,97737,58909
25,97024,93536
25,98183,58920
25,130003,62496
25,102241,58687
25,100157,69684
25,101026,60230
25,111014,89861
25,118659,61829
25,102445,60669
25,97283,58370
25,101227,59787
25,97456,59205
25,95580,58335
29,101823,60243
29,99091,58397
29,118707,93940
29,111463,60705
29,97039,59715
29,95742,91234
29,94296,57599
29,91727,56027
29,90445,57293
29,95225,58628
29,95504,58325
29,109610,59274
29,130859,60781
29,97688,57434
29,97623,59641
29,134858,61574
29,101829,62736
29,96929,71992
29,89435,70502
29,100594,59015
33,97017,60742
33,121067,62929
33,96562,58571
33,98325,59797
33,96148,59023
33,97800,58826
33,96331,58075
33,111613,90106
33,97115,57951
33,96952,58001
33,96662,57824
33,95797,57779
33,98586,59018
33,96629,58973
33,99023,57943
33,131884,60933
33,96915,56027
33,110084,60181
33,92022,57410
33,94940,58594
37,92074,57455
37,94028,59702
37,92954,57568
37,100709,73543
37,97601,58117
37,96398,57768
37,96194,88928
37,97488,59055
37,96130,57589
37,96211,57480
37,96560,91069
37,97556,58062
37,97366,57406
37,96025,56951
37,132138,62232
37,97221,57501
37,96671,57121
37,96465,65029
37,133313,60876
37,97345,59371
41,114265,62880
41,137936,60255
41,93246,61283
41,93166,57804
41,92426,56617
41,94760,58798
41,94711,57197
41,90459,60607
41,96868,108167
41,99814,81047
41,93463,69210
41,105813,64910
41,97371,58853
41,97127,67227
41,99161,58951
41,96776,70763
41,97829,58029
41,97160,57714
41,95944,57742
41,96083,56987
45,128480,61260
45,97768,58112
45,96661,57613
45,96919,57513
45,95903,58953
45,105591,60453
45,155925,62326
45,98251,58934
45,97236,59133
45,96534,58488
45,93271,56271
45,96679,88813
