Pallet: "democracy", Extrinsic: "note_imminent_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
0,37039,30548
0,31606,26338
0,31075,26204
0,30646,25408
0,29985,25161
0,29627,25025
0,30196,25675
0,30257,24879
0,30113,25272
0,29896,24807
0,29750,24774
0,30020,25516
0,29532,25199
0,29580,25070
0,29443,24820
0,29504,24728
0,29958,25949
0,29579,24778
0,29478,24767
0,29596,24628
327,31699,25574
327,31519,25502
327,31510,25513
327,31105,25107
327,31173,25257
327,31207,25247
327,31167,25404
327,31611,25671
327,31113,25182
327,31050,25049
327,31104,25265
327,31159,25547
327,31317,25144
327,31121,25351
327,31303,25075
327,30948,25310
327,31100,25484
327,30773,25192
327,31181,25360
327,31310,24916
654,34511,28528
654,33536,27611
654,33404,27838
654,33096,27637
654,32732,27593
654,33266,27631
654,33315,27524
654,33243,27495
654,33268,27900
654,33252,27396
654,33266,27995
654,33150,27815
654,33387,27524
654,33348,27302
654,33272,28096
654,33237,27491
654,33383,27709
654,33202,27464
654,33244,27804
654,32896,27830
981,34340,26473
981,33745,26027
981,33989,26054
981,33696,26221
981,33324,26174
981,33862,26449
981,33242,26060
981,33288,25714
981,33816,26135
981,33453,26191
981,33748,26102
981,33523,25998
981,33235,26085
981,33347,26283
981,33594,26249
981,33349,25776
981,33750,26022
981,33304,26010
981,33471,26451
981,33176,26038
1308,35354,26748
1308,35077,26182
1308,34838,25957
1308,34391,26741
1308,34558,26329
1308,34864,26489
1308,34457,26281
1308,34550,26311
1308,34284,26396
1308,34560,26455
1308,34472,26292
1308,34861,26360
1308,34610,26325
1308,35173,26325
1308,34707,26526
1308,34401,26319
1308,34417,26210
1308,34643,26207
1308,34581,26390
1308,34404,26411
1635,36969,29392
1635,36176,28916
1635,36405,29219
1635,36043,28815
1635,36054,28786
1635,35840,28424
1635,36243,28645
1635,36708,28990
1635,36352,28718
1635,36487,28638
1635,36390,28633
1635,36468,28633
1635,36328,28443
1635,36230,28718
1635,36079,28709
1635,36064,28502
1635,36181,29055
1635,36503,28874
1635,36933,28820
1635,36098,28483
1962,37964,30279
1962,37970,29447
1962,37720,29349
1962,37536,28896
1962,37473,29033
1962,37310,29048
1962,37618,29215
1962,37368,28884
1962,37753,29342
1962,37409,29025
1962,37493,29340
1962,37416,28997
1962,37533,28840
1962,37396,29127
1962,37812,29898
1962,37850,29331
1962,37863,28859
1962,37569,28922
1962,37584,28907
1962,37488,29179
2289,41037,30768
2289,42825,57709
2289,38735,29344
2289,38986,29260
2289,39213,30029
2289,39130,29555
2289,38575,29415
2289,38807,29464
2289,38686,29241
2289,39236,29580
2289,38795,29610
2289,38877,29332
2289,39236,29403
2289,38995,29369
2289,39190,29554
2289,38775,29420
2289,38665,29407
2289,38910,29397
2289,39153,29741
2289,39154,29667
2616,40247,29927
2616,39959,29554
2616,39784,29454
2616,39951,29780
2616,39990,32661
2616,40285,29951
2616,39900,29726
2616,40063,29875
2616,39751,29682
2616,39650,29521
2616,39769,29784
2616,39955,29478
2616,40297,30144
2616,39730,29418
2616,40112,29738
2616,40187,29410
2616,39991,29865
2616,39986,29711
2616,39726,29624
2616,40032,29696
2943,41186,29917
2943,41109,30549
2943,40998,29925
2943,40888,30193
2943,40619,30066
2943,40790,29855
2943,41259,30152
2943,43843,30415
2943,41048,30165
2943,40503,29809
2943,40337,30041
2943,41003,30234
2943,40597,29990
2943,40588,29750
2943,40774,29981
2943,41250,30115
2943,41070,29843
2943,41102,29799
2943,41089,29912
2943,41068,29970
3270,44221,30736
3270,41349,28527
3270,41405,28629
3270,41219,28326
3270,41276,28218
3270,41704,28961
3270,41374,28788
3270,41074,28424
3270,41423,28736
3270,41091,28416
3270,41244,31265
3270,41602,28478
3270,41360,28580
3270,41399,28458
3270,41063,28677
3270,41248,28577
3270,41113,28367
3270,40884,28560
3270,41150,28147
3270,41624,28600
3597,42916,29701
3597,42867,28834
3597,42583,29175
3597,42566,28690
3597,42889,29382
3597,43056,28852
3597,42837,28652
3597,43178,29049
3597,42543,28713
3597,42824,29278
3597,42729,28653
3597,42602,28852
3597,42705,28760
3597,42568,28904
3597,43600,29245
3597,42695,28926
3597,43035,28990
3597,43137,29064
3597,42867,28945
3597,42867,29177
3924,43756,29212
3924,43398,29248
3924,43543,29177
3924,43579,29452
3924,43936,29454
3924,43655,29418
3924,43697,29373
3924,43424,29086
3924,43855,29383
3924,43835,29440
3924,43546,29399
3924,43679,29434
3924,43715,29437
3924,43901,29748
