Pallet: "democracy", Extrinsic: "note_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
0,41182,31643
0,31542,26059
0,30627,25497
0,30089,25214
0,29916,24968
0,29955,24930
0,29762,25064
0,31003,25247
0,29837,24968
0,30309,24634
0,29438,24311
0,29494,24664
0,29958,24806
0,29903,24583
0,29492,24631
0,29544,24769
0,29627,24232
0,29868,24928
0,30243,24813
0,29807,24499
327,46316,41975
327,45265,40760
327,46285,40832
327,45062,40918
327,44811,40830
327,44910,40402
327,44998,40554
327,45070,41088
327,44935,41086
327,44319,40626
327,44979,41197
327,45001,40468
327,44641,40789
327,44990,40594
327,44762,40555
327,44720,40460
327,44788,40929
327,44482,40609
327,44426,40304
327,44649,40506
654,47346,46511
654,46224,45281
654,46431,44488
654,46408,45044
654,46301,44510
654,47042,44853
654,47141,45179
654,46316,44784
654,46083,44231
654,46502,44956
654,46529,44739
654,46476,44406
654,46279,44526
654,46269,44384
654,46651,45145
654,46164,44649
654,45990,44267
654,46256,44552
654,46844,44910
654,46840,44509
981,47316,41177
981,46861,41309
981,47062,41212
981,46850,41577
981,47182,41561
981,47208,42213
981,46743,41200
981,47141,42415
981,47064,41348
981,46639,44649
981,47386,41554
981,46947,41541
981,47285,41582
981,47163,41134
981,46690,41062
981,46635,40851
981,46813,41706
981,46878,41423
981,46895,41491
981,47150,41335
1308,48829,43487
1308,48146,41704
1308,48778,41565
1308,48420,41251
1308,48461,41337
1308,48534,41940
1308,48276,41671
1308,48962,41678
1308,48290,41405
1308,48090,41696
1308,48294,41932
1308,48558,41879
1308,48242,41719
1308,51796,42014
1308,48462,41867
1308,47972,41804
1308,47998,41643
1308,48505,41387
1308,48269,41261
1308,48063,41604
1635,51067,47485
1635,49636,46132
1635,50146,45864
1635,49944,46127
1635,50283,45981
1635,50278,45804
1635,49953,45790
1635,49697,46081
1635,49898,45957
1635,50063,45538
1635,49643,45687
1635,49935,45598
1635,50128,46045
1635,49783,45601
1635,50111,45537
1635,49773,45471
1635,81833,46199
1635,50341,46051
1635,50081,45754
1635,49738,45850
1962,50957,47280
1962,51190,46454
1962,50990,46215
1962,51281,45968
1962,50925,45886
1962,51184,46560
1962,50932,46328
1962,52308,46924
1962,51631,46032
1962,51526,46004
1962,51224,46499
1962,51108,46290
1962,51177,46097
1962,51033,45856
1962,50986,46338
1962,51226,46159
1962,51108,46455
1962,51072,46308
1962,51171,49232
1962,51515,46754
2289,54964,47098
2289,52934,46855
2289,52355,46708
2289,52354,46942
2289,52132,46562
2289,52457,46075
2289,52461,46562
2289,52450,46656
2289,52506,46612
2289,52507,46575
2289,52067,46458
2289,52501,46738
2289,52301,46309
2289,52227,46383
2289,52114,46188
2289,52082,46486
2289,52294,47134
2289,52691,46219
2289,51866,46459
2289,52337,46310
2616,54951,47503
2616,54360,47651
2616,53838,47256
2616,53993,47036
2616,53576,46913
2616,53486,47138
2616,53652,46851
2616,53864,47155
2616,53155,47008
2616,53768,47032
2616,53187,46977
2616,53162,47239
2616,53495,46827
2616,53846,47127
2616,53452,47275
2616,53838,47293
2616,53367,46993
2616,53848,47061
2616,53840,47433
2616,53270,47288
2943,55034,47152
2943,55005,47160
2943,54258,49720
2943,54785,47629
2943,54508,47337
2943,54623,47101
2943,54701,47260
2943,54580,48077
2943,54414,47181
2943,54716,47211
2943,54140,47459
2943,54562,47433
2943,54662,47130
2943,54377,47330
2943,54532,46946
2943,54358,47097
2943,54469,47535
2943,54484,47562
2943,54665,47281
2943,54405,47086
3270,58190,45960
3270,55792,43882
3270,55412,44053
3270,55022,43847
3270,55522,46542
3270,55483,44321
3270,55865,43767
3270,56140,44131
3270,55182,43732
3270,55403,44550
3270,55211,43968
3270,55311,43718
3270,55453,43824
3270,55366,43863
3270,55615,43941
3270,55481,43922
3270,55472,43960
3270,55043,43620
3270,55281,43998
3270,55717,43898
3597,57498,44864
3597,56853,44005
3597,56374,44295
3597,56532,44368
3597,56211,44054
3597,56518,44298
3597,56468,43930
3597,56714,44691
3597,56425,44226
3597,56284,44116
3597,56865,43957
3597,56765,44129
3597,56899,44219
3597,56665,44219
3597,56605,43794
3597,56635,43882
3597,56629,44512
3597,56445,44114
3597,56476,43958
3597,56417,44083
3924,57395,44463
3924,57746,44628
3924,57785,44611
3924,57571,44208
3924,57417,1644133
3924,59754,45025
3924,57630,44704
3924,57572,44727
3924,57567,44527
3924,57146,44381
3924,57348,44529
3924,57449,44485
3924,57473,44287
3924,57534,44400
3924,57707,44812
3924,57449,44498
3924,57600,44134
3924,57829,44381
3924,57154,44486
3924,57844,45022
4251,65326,45741
4251,59187,45134
4251,59198,44781
4251,59011,45023
4251,58733,44911
4251,58542,44570
4251,58710,44553
4251,58843,44823
4251,58947,44988
4251,58833,44860
4251,58659,44513
4251,58640,44425
4251,59015,45158
4251,58733,44934
4251,58977,44554
4251,58565,44614
4251,58503,44907
4251,58851,45350
4251,58987,44377
4251,58650,44541
4578,59824,44937
4578,59622,45450
4578,59739,45214
4578,62499,45956
4578,59432,45325
4578,59901,45132
4578,59554,45447
4578,59911,45461
4578,59587,45136
