Pallet: "democracy", Extrinsic: "on_initialize_external", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
0,64635,37119
0,50938,28007
0,50045,26953
0,49533,27189
0,48861,26762
0,48741,26165
0,48753,25814
0,48559,25894
0,48336,26523
0,48983,25920
0,48531,26164
0,48475,25592
0,48606,26016
0,48697,25803
0,48469,25455
0,48080,25544
0,48206,25827
0,48369,25489
0,48605,25395
0,48298,25381
2,111440,36080
2,105456,35682
2,105746,35066
2,105021,35018
2,105016,35001
2,106133,34818
2,106425,35046
2,105894,35434
2,105540,35324
2,105844,35460
2,105096,34880
2,109180,35781
2,106311,35161
2,108592,35487
2,105832,35566
2,106035,35738
2,105064,35148
2,105393,34805
2,104696,35481
2,105470,35395
4,157080,41455
4,169269,40801
4,157198,41423
4,157523,40774
4,157613,40548
4,156628,40959
4,157135,41372
4,156764,40527
4,156712,40902
4,157085,40607
4,157150,41226
4,156660,41547
4,157466,40770
4,157311,40305
4,156741,40563
4,160409,41190
4,157402,41101
4,157297,40917
4,157760,40681
4,157110,41279
6,210600,45488
6,211047,44664
6,208434,45348
6,210721,44463
6,211365,44390
6,211943,44328
6,210022,44600
6,210778,44399
6,210249,44593
6,210869,44833
6,211325,44709
6,209948,45056
6,209918,44791
6,209856,44792
6,210035,44588
6,209743,44567
6,210073,44687
6,208315,44449
6,210114,44309
6,210504,44729
8,261807,50682
8,261365,50666
8,261872,50527
8,261198,50305
8,261380,50305
8,260901,50237
8,262134,49980
8,262269,50370
8,262102,50785
8,259744,50194
8,261260,50293
8,261524,50305
8,261467,50620
8,259661,49521
8,261735,50259
8,260900,50759
8,259813,50244
8,260661,50825
8,260885,50611
8,262378,50409
10,315009,55783
10,313883,56756
10,313661,57123
10,314390,56416
10,347443,56401
10,314437,56488
10,311859,56245
10,314190,55582
10,312658,56010
10,313480,55646
10,312770,55923
10,311191,55471
10,312619,56556
10,311205,55996
10,314554,55980
10,344785,56661
10,312709,56245
10,313893,55522
10,313340,55659
10,312546,55929
12,363733,59101
12,365961,59966
12,365469,59427
12,364061,59742
12,363677,59222
12,362899,59697
12,363660,59560
12,362906,59946
12,365804,59680
12,365204,59909
12,363870,59573
12,363085,58513
12,363126,59280
12,363333,59111
12,361280,59893
12,364682,59829
12,364344,62854
12,364929,59415
12,364858,59845
12,366739,60082
14,416963,65396
14,413022,65043
14,414557,65243
14,413792,64838
14,416886,65104
14,416489,65303
14,413539,64940
14,415251,65010
14,415930,64553
14,415549,64521
14,414209,65119
14,414521,65828
14,416430,65723
14,415082,65071
14,412993,65731
14,414661,65807
14,417516,65487
14,417462,64501
14,416635,64483
14,412928,64250
16,466447,70813
16,479162,70889
16,464184,70809
16,467204,70241
16,471471,70225
16,464711,70683
16,466850,70313
16,466662,70030
16,467538,71165
16,465915,69667
16,469042,70134
16,468001,71112
16,466076,69744
16,471437,70558
16,466958,69593
16,466542,70426
16,465924,71052
16,469769,71157
16,462535,69659
16,465361,70396
18,518327,76718
18,518343,75369
18,518333,76605
18,518200,76016
18,518119,75869
18,518594,75697
18,519517,76532
18,517037,75923
18,546656,77025
18,519042,75801
18,521564,76318
18,517768,76142
18,518130,75659
18,518194,76164
18,521405,76493
18,519381,75712
18,521594,76497
18,516263,75062
18,521794,76405
18,518920,75608
20,576096,80239
20,574862,80120
20,570948,80560
20,573143,79094
20,570452,80084
20,569046,78851
20,571563,79348
20,571467,79991
20,575991,79795
20,572795,79190
20,570197,79511
20,572770,79067
20,577256,79437
20,577444,78567
20,574733,79923
20,576940,80070
20,573172,79641
20,574256,79752
20,573553,78825
20,569436,80554
22,622668,85001
22,624577,85641
22,621810,86107
22,619431,85598
22,624583,85344
22,622816,85520
22,621199,85294
22,626759,86860
22,620640,85260
22,622951,85910
22,619056,85522
22,622379,85379
22,621993,85863
22,620927,86029
22,622290,86072
22,620917,85638
22,619676,84892
22,657492,86305
22,619804,85763
22,620670,85211
24,671217,95731
24,674107,94881
24,676365,95167
24,672236,95221
24,676372,96675
24,710174,95166
24,675214,95574
24,672821,94411
24,711781,96135
24,675468,95310
24,673643,95192
24,704257,96103
24,669347,95090
24,673619,94507
24,676372,94991
24,667838,94737
24,673234,95789
24,675715,95911
24,675099,95441
24,671125,95029
26,725198,99952
26,721137,99625
26,723079,99839
26,728645,99991
26,724538,100077
26,727509,99821
26,759765,100518
26,724721,99911
26,721558,100823
26,724854,99898
26,722124,100429
26,723770,100046
26,718943,99852
26,724229,100511
26,720803,99011
26,726509,99489
26,729097,100137
26,720675,100265
26,719617,99226
26,724283,99268
28,768450,105234
28,774239,104215
28,776905,104309
28,774984,105561
28,775871,104587
28,770352,104293
28,773981,105730
28,775490,105670
28,773195,105450
28,775719,105191
28,770171,105398
28,779175,106299
28,770867,104625
28,775476,104572
28,777010,105086
28,775155,105243
28,772758,104592
28,772074,104936
28,773341,104202
28,777516,105511
30,822465,112553
30,821422,110325
30,824432,109973
30,823006,109487
30,821654,109512
30,824075,109227
30,824051,110494
30,819243,110437
30,821939,109695
30,819368,110554
30,825346,109846
30,821819,109906
30,823692,109534
30,819550,110546
30,827298,109439
30,828730,109554
30,823799,108980
30,826143,109647
30,821950,109350
30,821060,110522
32,878153,113628
32,874704,114350
32,871680,113479
32,881769,113847
32,877965,114623
32,882332,113390
32,881009,113562
32,867098,114110
32,873351,113433
32,878928,113148
32,877435,113658
32,875972,113569
32,907146,113848
32,873594,144235
32,876128,114107
32,871167,113017
32,875711,112343
32,877604,114196
32,871729,113926
32,878784,112524
34,931030,121774
34,932231,118372
34,936738,118950
34,931731,119048
34,927840,118060
34,935900,119391
34,930397,118769
34,929557,118318
34,961478,118434
34,961292,118176
34,958003,119267
34,930357,119268
34,931991,118665
34,931643,118432
34,931899,118368
34,936280,118622
34,930413,118728
34,929516,118247
34,933528,118576
34,936196,118635
36,989148,125395
36,988639,124556
36,988770,129390
36,987703,125401
36,982412,125571
36,985857,125970
36,985649,125038
36,979956,125294
36,984550,124765
36,986029,125579
36,985975,124884
36,983937,125600
36,985137,124981
36,984052,123993
36,985313,124518
36,986372,124674
36,983974,125279
36,984676,125357
36,990664,123944
36,986483,125541
38,1041980,129672
38,1047506,129628
38,1038735,129346
38,1039953,129946
38,1039739,129402
38,1036796,129358
38,1041036,129500
38,1072244,128685
38,1058644,129102
38,1039181,129575
38,1046027,128976
38,1043665,129359
38,1042119,129433
38,1041537,129064
38,1041137,129188
38,1040192,129473
38,1040941,128966
38,1040944,129045
38,1038979,128532
38,1036708,129153
40,1093332,133532
40,1091379,132177
40,1081858,132291
40,1087706,131904
40,1093218,132709
40,1078606,131846
40,1084456,132996
40,1089378,131666
40,1088212,133150
40,1084249,131890
40,1092827,132180
40,1092551,131676
40,1088562,131916
40,1088212,131655
40,1092967,135869
40,1093967,132552
40,1093079,131879
40,1086855,132713
40,1086234,131787
40,1085161,131987
42,1136364,138178
42,1127781,136174
42,1133660,137573
42,1138963,137865
42,1133775,137084
42,1139658,136971
42,1138909,139574
42,1139407,138250
42,1140564,137783
42,1127436,136703
42,1134280,137546
42,1138170,137528
42,1134860,135932
42,1139401,136281
42,1135314,136755
42,1132699,137109
42,1159850,136797
42,1133232,136570
42,1143969,137105
42,1129819,136035
44,1192620,144388
44,1185303,142085
44,1187594,143613
44,1191345,142759
44,1188049,143070
44,1188715,143496
44,1194549,142311
44,1187537,142823
44,1199401,142831
44,1193994,146580
44,1196695,143771
44,1185029,142542
44,1189921,144063
44,1188657,144237
44,1186245,143128
44,1200121,143596
44,1188456,142748
44,1196339,143013
44,1190133,144342
44,1188408,142347
46,1242410,147549
46,1251432,148017
46,1244931,147932
46,1239135,147175
46,1241134,148160
46,1239787,146721
46,1233480,147982
46,1243745,147035
46,1232175,146027
46,1238959,147980
46,1241898,147891
46,1238436,147084
46,1236507,147836
46,1238510,147670
46,1243778,147007
46,1240637,147693
46,1245241,148463
46,1239901,148915
46,1239863,147260
46,1240138,147279
48,1325616,152407
48,1293134,151068
48,1290622,151151
48,1290060,151064
48,1285344,151967
48,1290989,151491
48,1292072,151620
48,1291695,150973
48,1293349,150948
48,1293084,151307
48,1303663,152208
48,1286300,151644
48,1324779,150941
48,1292451,151283
48,1293887,151731
48,1293601,151137
48,1297081,151690
48,1295202,151199
48,1296411,151198
48,1296165,152419
50,1340906,157932
50,1346072,157158
50,1345806,160140
50,1348816,158398
50,1340779,158746
50,1343128,157710
50,1344040,157063
50,1336462,156841
50,1341075,156660
50,1349301,156877
50,1346330,158914
50,1345646,156574
50,1346684,157456
50,1345710,157432
50,1338136,157783
50,1345851,157410
50,1343963,157304
50,1347227,156717
50,1382741,158191
50,1340101,156917
52,1399391,163694
52,1399557,162714
52,1391423,164646
52,1393784,163955
52,1426387,164396
52,1396829,163547
52,1391029,161902
52,1396671,162859
52,1392852,164060
52,1400271,163507
52,1393539,164361
52,1392532,162935
