Pallet: "democracy", Extrinsic: "on_initialize_public", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,122399,82743
1,111133,71398
1,112732,71354
1,110587,70469
1,110819,70530
1,109506,70264
1,110686,70619
1,109424,69890
1,109745,69969
1,109720,69946
1,110408,70178
1,109491,70092
1,110348,70000
1,109858,70054
1,109800,70000
1,109823,70275
1,109550,69887
1,113570,70699
1,109696,70143
1,110383,70372
2,144241,72424
2,143093,70802
2,144243,70747
2,144003,70920
2,144053,70582
2,143456,70409
2,143462,70702
2,143105,71180
2,142999,70433
2,143412,70323
2,143153,85360
2,143067,70969
2,147862,71108
2,146386,70808
2,143276,70755
2,144325,70983
2,143819,70313
2,143441,70470
2,143233,70493
2,143306,71091
3,180223,79147
3,179375,76848
3,179721,76620
3,178408,76767
3,178188,76478
3,179289,76279
3,178693,76716
3,178603,76434
3,178647,76136
3,179162,76152
3,179008,75779
3,177526,75803
3,178569,76347
3,180510,76276
3,176981,75825
3,182850,76074
3,178548,76130
3,178618,75593
3,177861,76175
3,178147,75813
4,211350,79017
4,213412,79023
4,211707,77575
4,210455,77082
4,211158,77715
4,213340,76848
4,212262,77603
4,212782,77182
4,211013,76716
4,211456,78146
4,211419,77080
4,211802,77578
4,211134,77840
4,211302,77221
4,210945,77958
4,210375,76704
4,210764,77121
4,211257,78183
4,211238,77415
4,211315,76931
5,246734,85014
5,248778,85202
5,246160,84942
5,246427,85003
5,247020,84853
5,244726,84105
5,245983,84495
5,246487,85254
5,247028,85650
5,246265,85085
5,245215,84586
5,246147,84374
5,246650,84712
5,247229,85336
5,244857,85142
5,244795,84672
5,245595,85544
5,244914,84380
5,246062,84340
5,245054,83938
6,280078,91844
6,278567,91106
6,276729,91045
6,279273,91113
6,278537,90755
6,279250,90116
6,278916,90641
6,283648,90690
6,279048,89568
6,277192,91624
6,278815,90610
6,278686,90551
6,278717,90937
6,277382,90372
6,278209,94792
6,279288,91181
6,279149,90875
6,278001,90746
6,277749,91026
6,279212,90207
7,312227,88310
7,310692,119126
7,311150,87404
7,310900,87339
7,312396,87033
7,312532,86900
7,311870,86635
7,310521,87026
7,310665,87899
7,314429,86995
7,311258,87099
7,312160,87415
7,310560,87798
7,311276,86487
7,315156,87454
7,309587,87972
7,310962,86931
7,311481,86283
7,312730,87153
7,311618,86949
8,345530,86654
8,347464,85943
8,344160,86113
8,343980,85742
8,346065,86257
