Pallet: "democracy", Extrinsic: "open_proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
1,30727,50677
1,22230,44544
1,24111,43748
1,21722,43123
1,21769,43193
1,21749,43418
1,22099,44164
1,21316,43079
1,21278,43083
1,21012,42951
1,21235,43056
1,21226,42510
1,21178,42627
1,21320,42598
1,20781,42339
1,20657,42576
1,21014,42727
1,21228,42475
1,21068,46114
1,21421,43114
20,23387,43802
20,21096,42807
20,20656,42592
20,20642,42477
20,25518,45103
20,21374,43027
20,21570,43169
20,20912,42882
20,21031,42338
20,20927,42260
20,20603,42842
20,20757,42428
20,20714,42579
20,20679,42758
20,20445,42486
20,20504,42796
20,20511,42560
20,20824,42280
20,20774,42400
20,20771,42962
39,22867,44112
39,21352,43170
39,20829,42911
39,20690,43284
39,20737,43106
39,20559,45940
39,21041,42931
39,20718,43222
39,20905,43052
39,21011,42986
39,20574,42939
39,20542,43165
39,20673,42924
39,20679,42954
39,20618,42978
39,20497,43017
39,20763,43075
39,20839,43126
39,20528,42970
39,20745,42928
58,23889,48348
58,21524,47409
58,21303,47520
58,21008,47108
58,21522,47509
58,21808,47160
58,21325,47137
58,21467,46927
58,21203,47099
58,20905,46930
58,21114,47087
58,21188,46937
58,21120,47256
58,21395,47235
58,21156,47112
58,21218,47079
58,21304,47283
58,21132,47031
58,21176,46993
58,21063,46931
77,23835,51365
77,21851,49927
77,21711,49585
77,21660,49437
77,21846,49943
77,21855,49309
77,21461,49433
77,37170,62472
77,21920,49883
77,21553,49325
77,21696,49394
77,21967,49523
77,21845,49698
77,21566,49476
77,21586,49389
77,21871,49609
77,21713,49486
77,21574,49194
77,21448,49213
77,21385,49072
96,23192,45583
96,21244,43459
96,20963,43603
96,21058,43552
96,21285,43857
96,20828,43606
96,21116,43652
96,20937,46320
96,21024,43469
96,20950,43230
96,20967,43449
96,20864,43387
96,21003,43346
96,21135,42868
96,20997,43416
96,20760,43423
96,21139,43380
