Pallet: "democracy", Extrinsic: "propose", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
p,extrinsic_time,storage_root_time
1,157909,121033
1,213520,114773
1,135733,94013
1,129632,93562
1,130020,92047
1,130717,91458
1,131447,92684
1,128462,90219
1,128059,89873
1,130764,91602
1,135734,94760
1,129393,91446
1,121302,91204
1,126784,87964
1,123849,94684
1,128622,91643
1,129079,106033
1,129638,90239
1,128230,93180
1,129396,94249
5,135636,98541
5,134999,96241
5,137827,96256
5,146349,99524
5,134850,97840
5,143933,98990
5,202815,103024
5,142390,98840
5,146786,102355
5,140868,105985
5,170323,118011
5,145553,97903
5,200135,101241
5,137806,101634
5,176135,125080
5,135447,101110
5,136448,96751
5,134752,96191
5,137135,97217
5,136982,100803
9,143472,118646
9,160078,110612
9,145721,104716
9,147297,111750
9,159453,110733
9,155554,126326
9,137478,105560
9,150103,142731
9,143361,110315
9,138049,105116
9,137750,104087
9,172294,116389
9,137498,106543
9,129966,112528
9,151476,108724
9,136929,108294
9,150591,118969
9,130091,102658
9,136671,106020
9,168838,129845
13,150179,111936
13,150977,118706
13,140835,112509
13,152211,118171
13,154397,107642
13,152930,137347
13,134719,109803
13,137635,122846
13,139675,109426
13,141918,111480
13,145290,112093
13,163963,134361
13,206335,165974
13,141377,155852
13,185939,113994
13,155196,113955
13,148295,112952
13,140285,130180
13,143326,114425
13,164776,124180
17,166113,117377
17,204410,126991
17,298385,133863
17,149277,107314
17,159291,107646
17,147622,106539
17,148846,108440
17,149818,128442
17,146163,115638
17,166754,107148
17,143559,104327
17,176602,105954
17,147608,105449
17,165307,106880
17,141476,103752
17,142834,106730
17,157317,122641
17,154115,107951
17,146609,117055
17,144564,103844
21,144158,110795
21,159589,129907
21,149875,112995
21,149174,113144
21,154298,135040
21,147764,111225
21,168122,113160
21,149421,140258
21,150394,111420
21,146102,112582
21,150938,111398
21,143934,107777
21,148610,109366
21,161793,124860
21,150455,113994
21,152613,112123
21,155899,115802
21,145691,127027
21,164693,115178
21,172592,113915
25,208462,112628
25,174092,116402
25,157458,114572
25,164444,117877
25,184343,119650
25,208108,119633
25,147277,136082
25,163758,119676
25,161525,115195
25,151644,114043
25,181049,165157
25,170234,118517
25,160845,121232
25,150152,125850
25,153344,116581
25,198946,110891
25,159534,117408
25,167136,130506
25,155400,142320
25,185459,121402
29,256299,141888
29,154867,115356
29,156605,117478
29,156086,116193
29,195226,125565
29,163393,117206
29,161004,118093
29,160266,156802
29,163985,116001
29,153992,117968
29,160441,116340
29,156640,118349
29,159573,117877
29,153023,115306
29,157247,117775
29,160254,114577
29,157882,113912
29,159456,117331
29,157721,116436
29,157692,118999
33,162944,118232
33,157882,117247
33,159577,128665
33,157293,137298
33,157571,116256
33,173573,116213
33,161818,146652
33,196893,118780
33,190219,117034
33,160991,117214
33,155268,116592
33,158287,116162
33,166153,124143
33,255698,147185
33,153581,114982
33,152922,114715
33,181463,140662
33,177628,121437
