Pallet: "democracy", Extrinsic: "proxy_delegate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,111001,93716
1,110067,90053
1,104458,88892
1,104914,89016
1,103337,88747
1,103158,88721
1,108352,88821
1,103825,88666
1,103167,89106
1,103744,88974
1,104133,90032
1,105066,90178
1,104898,89439
1,103820,89606
1,103319,89417
1,104707,89014
1,103958,89577
1,104228,89266
1,104169,88898
1,104798,88894
2,115580,95898
2,116785,95327
2,114229,94513
2,115308,94876
2,114085,94031
2,114864,94199
2,113501,95905
2,114408,93308
2,115318,95218
2,114470,95159
2,114262,93623
2,115085,95244
2,114168,93654
2,114773,95620
2,114936,94837
2,114849,94460
2,114602,94539
2,114596,94552
2,115604,95044
2,113689,95522
3,124412,97656
3,124428,96690
3,126236,98150
3,123398,96629
3,123361,97169
3,123204,96601
3,124078,96555
3,122610,97242
3,124013,97241
3,122682,97837
3,123408,97706
3,124537,97640
3,124393,96402
3,123738,96617
3,123407,96155
3,124420,96605
3,122861,96588
3,123760,96789
3,122389,96683
3,124132,96292
4,133090,98096
4,130966,95118
4,135931,94681
4,130975,95407
4,131936,94316
4,132629,95098
4,130216,93734
4,131731,93953
4,131258,94226
4,132118,95319
4,130161,94230
4,131393,94496
4,131982,94807
4,131219,94359
4,131419,94807
4,131458,94432
4,130922,94488
4,131127,94392
4,131055,99392
4,130887,94113
5,144214,109095
5,147054,109306
5,144937,109276
5,144145,109364
5,145485,109375
5,144736,107610
5,142355,106833
5,143658,107078
5,143416,107680
5,144037,107775
5,143452,108123
5,143934,108036
5,144148,107275
5,143438,108736
5,143537,108856
5,145374,108785
5,143965,108293
5,143314,108542
5,143852,108954
5,142896,109148
6,151670,110918
6,151006,110279
6,150979,109767
6,151696,111520
6,150363,109551
6,151109,110737
6,150858,111498
6,150142,110506
6,151468,110746
6,149524,111478
6,151651,111299
6,150845,109140
6,150782,109969
6,154868,112005
6,150690,109541
6,150215,109895
6,151176,112038
6,150750,109731
6,151219,129299
6,152299,111410
7,157703,113645
7,157455,113691
7,156977,113171
7,156840,114412
7,156302,112150
7,161606,115338
7,156778,113177
7,157279,112590
7,156211,112392
7,156705,112439
7,156796,113655
7,155819,112717
7,157798,114514
7,156518,112629
7,156270,115144
7,156587,111797
7,156266,112230
7,156837,112618
7,156826,112421
7,157259,112556
8,169383,114642
8,167939,115337
8,168737,115918
8,168523,116760
8,167173,115047
8,171003,115917
8,168198,114707
8,168676,114902
8,166598,114548
8,167092,115447
8,167687,114991
8,168205,116533
8,167292,116840
8,168796,116577
8,167828,115082
8,167769,114548
8,167581,114835
8,167296,115994
8,166712,116314
8,168142,115127
9,172988,115744
9,175692,115496
9,174236,115101
9,173890,115611
9,173251,115778
9,173593,114998
9,174310,115983
9,173595,114416
9,172033,115376
9,174660,115627
9,174401,115469
9,174598,115391
9,174926,114942
9,173185,114885
9,173729,115245
9,172783,146587
9,172903,115687
9,176945,115790
9,172972,115526
9,173931,116231
10,184769,117071
10,185789,117261
10,183862,117633
10,184916,118023
10,182496,117117
10,183736,116245
10,184201,117429
10,183927,118421
10,188903,117876
10,184406,117265
10,183381,117054
10,183418,117442
10,184531,116676
10,183378,116720
10,185158,118276
10,184459,116981
10,184709,116130
