Pallet: "democracy", Extrinsic: "proxy_remove_vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,28203,20638
1,25425,17972
1,25099,17578
1,24616,17817
1,24503,17742
1,24848,17562
1,24707,17374
1,24575,17614
1,24547,17187
1,24407,17407
1,24502,17343
1,24616,17513
1,24541,17130
1,24695,17523
1,24555,17510
1,24330,17380
1,24429,17203
1,24388,17290
1,24597,17468
1,24618,17446
2,26383,21795
2,26182,19709
2,26272,19578
2,26241,19761
2,25850,19944
2,26164,19549
2,26037,19759
2,25814,19361
2,25777,19515
2,26122,19701
2,25884,19496
2,25798,19585
2,26199,19453
2,26081,19579
2,25742,19615
2,25993,19601
2,25876,19454
2,26169,19637
2,25912,19536
2,25930,19497
3,27481,20386
3,27339,20128
3,27372,19943
3,27044,19949
3,27094,19893
3,27291,19863
3,27159,20136
3,27227,20051
3,27135,19889
3,27195,20105
3,26982,19912
3,27017,20073
3,26886,19968
3,26967,19969
3,27179,20094
3,27048,19813
3,27288,19796
3,27029,19537
3,27313,20006
3,27197,19836
4,28339,23816
4,27918,23009
4,30767,23345
4,27971,22953
4,27801,22967
4,27813,22922
4,28399,22652
4,27986,22923
4,27934,35255
4,28103,22889
4,28055,22917
4,27938,22899
4,27958,22612
4,27558,22537
4,27822,23008
4,28214,23368
4,27877,22757
4,27737,23057
4,28553,23821
4,27749,23011
5,28457,20563
5,27958,20474
5,28036,20330
5,27814,20230
5,28232,20540
5,27892,20440
5,28545,20567
5,28646,20784
5,28026,20616
5,28329,20543
5,28552,20554
5,27568,20410
5,28088,20600
5,27864,20538
5,28059,20283
5,28421,20394
5,28275,20446
5,27741,20236
5,28202,20357
5,28025,20696
6,28738,20689
6,28121,20715
6,28934,20703
6,27923,23578
6,28320,20509
6,27801,20213
6,28665,20601
6,28105,20887
6,28656,20994
6,28011,20617
6,28271,20600
6,28342,20667
6,28567,20519
6,28404,20426
6,28078,20478
6,27963,20759
6,27738,20439
6,28404,20808
6,28390,20450
6,28091,20536
7,29131,24346
7,29051,24193
7,34308,24574
7,29034,24013
7,29092,24373
7,29401,24394
7,28448,23456
7,28989,23904
7,29103,24288
7,28995,24219
7,28941,24366
7,29395,23916
7,29287,23703
7,29430,24397
7,29098,24165
7,28984,23663
7,29216,23870
7,29133,24329
7,28787,24073
7,28962,23850
8,31184,21269
8,29377,21051
8,29600,21034
8,29413,21170
8,29192,21121
8,29184,20997
8,29183,21061
8,29228,21260
8,29041,20984
8,29425,21151
8,29801,21170
8,29087,21143
8,29770,21325
8,29195,20908
8,29143,21005
8,29456,21206
8,29502,21144
8,29499,21116
8,29453,26554
8,29619,20998
9,29476,21367
9,29578,21287
9,29806,21126
9,29550,21085
9,29157,21295
9,29384,21169
9,29549,21125
9,29400,21043
9,29475,21089
9,29295,20950
9,29108,21159
9,29582,20972
9,32930,21491
9,29452,21214
9,29359,20869
9,29280,21035
9,29199,20968
9,29641,21295
9,29462,21288
9,30273,21439
10,29973,24272
10,29887,24242
10,29825,24274
10,29910,23985
10,29859,24004
10,29980,23978
10,30342,24227
10,29608,24069
10,30031,23984
10,30559,24159
10,29933,23944
10,30177,23652
10,30139,24001
10,30526,23842
10,29720,24089
10,29914,24194
10,30085,24186
10,29745,24075
10,30672,23888
10,29824,24017
11,29765,21340
11,30186,21508
11,29674,21546
11,30215,21463
11,29564,21543
11,29580,21665
11,29695,21646
11,30096,21604
11,29889,21659
11,29446,21383
11,29567,21536
11,29337,21596
11,29593,21424
11,29752,21794
11,29946,21628
11,29563,21648
11,29696,21378
11,29727,21861
11,29569,21440
11,29394,21282
12,30264,25229
12,30478,25308
12,30322,25167
12,30203,25411
12,30193,25083
12,30304,24712
12,30182,24778
12,29781,24765
12,30387,24758
12,30202,24987
12,30232,24877
12,29998,24907
12,30220,24559
12,30067,24769
12,30214,24789
12,30183,24985
12,30320,24883
12,30104,24951
12,30472,25005
12,30308,24966
13,31075,21964
13,30387,21510
13,30421,21721
13,30197,21739
13,30402,21511
13,30629,21637
13,30255,21444
13,30182,22018
13,30357,21844
13,29837,21740
13,30372,22052
13,30578,22209
13,30331,21645
13,30206,22008
13,30374,21550
13,30491,24577
13,30321,21917
13,30442,21549
13,30202,21821
13,30421,21771
14,31369,25086
14,30847,24909
14,30660,24686
14,30731,24862
14,30582,25178
14,30550,25326
14,30564,25427
14,30959,24838
14,30532,24835
14,30995,25135
14,31163,24865
14,30872,24754
14,30738,24802
14,30394,25129
14,34057,25542
14,30854,24960
14,30679,24711
14,30769,24766
14,30801,25161
14,30542,25245
15,31348,22049
15,32057,22286
15,31441,22127
15,31160,21995
15,31576,22886
15,31261,21882
15,31515,22145
15,31138,21954
15,31065,22228
15,31951,22028
15,31350,21994
15,31552,22106
15,30967,22432
15,31403,22386
15,31180,22162
15,31257,22385
15,31002,22043
15,30836,22260
15,31582,22245
15,30869,22160
16,31144,21990
16,30812,22504
16,31070,22185
16,30296,22362
16,30713,22002
16,30804,22092
16,30434,21887
16,30673,22214
16,30998,22219
16,30810,22191
16,30475,22520
16,30708,22135
16,30720,22173
16,30611,21939
16,30822,22144
16,33794,22394
16,30087,22659
16,30309,22103
16,31014,21957
16,30822,22388
17,32692,25892
17,32860,25857
17,32687,25716
17,32763,28332
17,33153,25589
17,33099,25515
17,32895,24946
17,32955,25301
17,32950,25309
17,32767,25421
17,32858,25428
17,32887,25544
17,32583,25097
17,32525,25308
17,32537,25286
17,32667,25228
17,33387,25399
17,32579,25129
17,32541,25329
17,32942,25295
18,31693,22416
18,31445,22370
18,31680,22477
18,31599,22400
18,31452,22436
18,31752,22226
18,34744,23033
18,31789,22633
18,31807,22557
18,31748,22289
18,31609,22200
18,31626,22303
18,31550,22689
18,32434,22448
18,31928,22643
18,31334,22363
18,31464,22506
18,32069,22302
18,31220,22365
18,31902,22704
19,33346,26097
19,33571,25657
19,33265,25294
19,33250,25443
19,33307,25858
19,33051,25603
19,33409,25776
19,33063,25548
19,33532,25831
19,33566,25484
19,33323,25543
19,32879,25609
19,33462,25760
19,36106,25920
19,33140,25460
19,33232,25340
19,33042,25905
19,32930,25251
19,33344,25331
19,33147,25576
20,32561,25876
20,32048,26475
20,32489,25912
20,33006,25586
20,32395,25873
20,32783,26001
20,32339,26214
20,32383,25830
20,32725,26067
20,32311,25841
20,35369,25881
20,32076,26092
20,32780,26487
20,32432,26123
20,32159,26255
20,32569,29487
20,32346,25792
20,32345,26180
20,32616,25817
20,32523,26131
21,33922,23062
21,33246,22542
21,33301,22361
21,33290,22765
21,33212,22476
21,33161,22603
21,33232,23032
21,33242,22610
21,33296,22849
21,33312,22777
21,32965,22643
21,33466,22809
21,33011,22609
21,32937,22483
21,33319,22633
21,34703,23331
21,33155,22897
21,32831,23505
21,33351,22556
21,32737,22850
22,33042,25871
22,32811,25737
22,32832,25864
22,32595,25713
22,32887,26132
22,32741,25626
22,32963,25607
22,32722,25644
22,32692,25586
22,32739,25848
22,32679,25742
22,32552,25676
22,32849,25860
22,32796,25712
22,32619,25688
22,32937,25462
22,32950,25622
22,32636,25226
22,32561,25628
22,32676,26185
23,33773,25537
23,34512,25524
23,33663,25665
23,33915,25630
23,34073,25604
23,34201,25580
23,33784,25841
23,34243,25698
23,33634,25405
23,34430,25559
23,33818,25629
23,34103,25650
23,33948,25923
23,33805,25468
23,33938,25550
23,33764,25395
23,34058,25316
23,34029,25539
23,33939,25874
23,33648,25433
24,32950,25713
24,32984,25756
24,36533,26473
24,32996,25758
24,32959,25906
24,33330,25817
24,32980,25752
24,33090,25574
24,33383,25919
24,33575,26322
24,33294,25767
24,32840,25901
24,33202,25836
24,33341,25830
24,33064,26133
24,33122,25798
24,33710,26114
24,33412,25875
24,33205,25709
24,33086,26154
25,33686,23549
25,34107,23258
25,34008,23359
25,33919,23240
25,34061,23379
25,33949,23030
25,33902,23126
25,33799,22979
25,34170,23152
25,34066,23303
25,33962,23858
25,34275,23204
25,33653,23156
25,34255,23157
25,33532,23300
25,33863,23138
25,34159,23311
25,33995,23289
25,34005,23170
25,34048,22854
26,32904,26591
26,33600,26310
26,33453,26784
26,33446,26392
26,32915,28892
26,33278,26431
26,32899,26373
26,33452,26281
26,32874,26793
26,33288,26555
26,33164,26570
26,33194,26752
26,33085,26250
26,33070,26463
26,33163,26725
26,33134,26350
26,33096,26817
26,33149,26497
26,32942,26532
26,33261,26448
27,34744,28371
27,34516,26575
27,35027,26483
27,34757,26434
27,34775,26498
27,34707,26351
27,34236,25951
27,34208,26556
27,34395,26794
27,34654,26879
27,34826,26236
27,34669,26536
27,35048,26866
27,34590,26597
27,34516,26549
27,34553,26192
27,34446,26134
27,34521,26334
27,34197,26404
27,34328,26514
28,34133,26253
28,34825,26104
28,35029,25835
28,34503,25924
28,34957,26460
28,34665,26197
28,35088,26386
28,34235,26570
28,34928,26093
28,34620,26159
28,34950,25877
28,34865,26078
28,34688,26146
28,34650,26222
28,34732,26869
28,34877,26394
28,34434,26251
28,34825,26315
28,34819,25982
28,34694,26389
29,35545,26886
29,35099,26538
29,35033,26587
29,35131,26693
29,35415,26608
29,35042,26270
29,35505,26887
29,35085,26397
29,35243,26870
29,35000,27135
29,38195,26877
29,34761,26470
29,35107,26651
29,35439,26559
29,35375,26726
29,35057,27232
29,35282,26601
29,35354,26546
29,35234,26745
29,35050,26700
30,35036,26378
30,34793,26089
30,35115,26425
30,35107,26250
30,35311,26424
30,34790,26344
30,35108,26320
30,34325,26141
30,35346,26672
30,34818,26264
30,35130,26340
30,35073,26595
30,34908,26564
30,35658,26660
30,34971,26290
30,35161,26492
30,35039,26422
30,35157,26309
30,35469,26415
30,35127,26413
31,35349,26386
31,35645,26185
31,35455,26103
31,35197,26372
31,35331,26392
31,35523,26361
31,35221,26291
31,35483,26777
31,35687,26370
31,35269,26313
31,35219,26023
31,35312,26138
31,35248,26170
31,35308,26173
31,35022,26336
31,35423,26513
31,35627,26369
31,35381,26117
31,35558,26260
31,35112,26964
32,35450,26739
32,35717,26475
32,35586,26591
32,35576,26792
32,35661,26875
32,35208,26444
32,35361,26614
32,35268,26713
32,35839,26506
32,35344,26529
32,35600,26555
32,35422,26803
32,35259,26457
32,35324,26507
32,35275,26364
32,35446,26776
32,35566,26384
32,35644,27088
32,35065,26424
32,35833,26676
33,35625,26751
33,36217,26709
33,35263,26697
33,35528,26667
33,35365,26742
33,35201,26543
33,35590,26472
33,35135,26446
33,35749,26519
33,35893,26795
33,35592,26959
33,35323,26490
33,35546,26558
33,35364,26616
33,35334,26466
33,36015,26639
33,35418,26481
33,35259,26670
33,35247,26457
33,35820,26793
34,36363,26325
34,35923,26056
34,36513,26518
34,36572,26088
34,36382,26066
34,36639,26403
34,36201,26550
34,36456,26008
34,36191,25968
34,36654,26101
34,36379,26319
34,36280,26235
34,36597,26102
34,36516,26460
34,36243,26442
34,36519,26406
34,36831,26212
34,36425,26239
34,36691,26802
34,36377,26111
35,36972,26827
35,36502,26623
35,36810,26348
35,36330,26415
35,36488,26652
35,36756,26563
35,36644,26326
35,36802,26366
35,36776,26538
35,37074,29685
35,36668,26691
35,37349,26774
35,36553,26539
35,36501,26683
35,37243,26776
35,36452,26548
35,36458,26601
35,36684,26459
35,36905,27160
35,36649,26702
36,36754,26147
36,37034,26577
36,36838,26163
36,36949,26291
36,36713,26439
36,36734,26189
36,37018,26678
36,37164,26155
36,36727,26520
36,36730,26376
36,36535,26296
36,36566,26731
36,37012,26295
36,36522,26124
36,36583,26371
36,36526,26164
36,36980,26202
36,36753,26349
36,37341,26630
36,36540,26487
37,36927,23530
37,36548,23410
37,36925,23369
37,36437,23749
37,36713,23814
37,36379,23480
37,36652,23768
37,36705,23491
37,36952,23558
37,36652,23506
37,36751,23800
37,36595,23832
37,36592,23745
37,36585,23623
37,36845,23638
37,36627,23774
37,36278,23445
37,36808,23448
37,36980,23953
37,36428,23562
38,37426,26652
38,37194,26861
38,37282,27329
38,37382,26690
38,37561,30038
38,36870,26562
38,37350,26893
38,37440,26703
38,37416,26935
38,37129,26887
38,37474,26886
38,37292,26943
38,37598,26836
38,37242,26773
38,37179,26638
38,37390,26888
38,37134,26734
38,37862,27081
38,36987,26549
38,37346,26641
39,37019,23753
39,36389,23764
39,36987,23757
39,37354,23715
39,36825,23841
39,36722,23758
39,36820,23991
39,36819,23658
39,36708,23537
39,36711,23671
39,40167,24245
39,36767,23510
39,37031,23689
39,36334,23844
39,36702,23731
39,36388,24231
39,37183,23765
39,36994,23560
39,36303,23704
39,36711,23540
40,37486,27125
40,37015,27372
40,37941,27133
40,37278,27127
40,37619,27191
40,37629,26782
40,37709,27530
40,36887,26445
40,37562,26954
40,37305,27292
40,37472,27108
40,37516,27022
40,37415,27040
40,37482,27008
40,37774,27313
40,37664,27174
40,37764,27137
40,37453,26649
40,37469,26826
40,36829,26862
41,37862,27693
41,37429,26631
41,37686,26730
41,37182,26725
41,37168,26968
41,37522,27279
41,37775,27238
41,37952,26776
41,37634,26707
41,37370,27003
41,37917,26967
41,37275,27030
41,37766,27273
41,37253,26671
41,37848,26934
41,37696,27027
41,37667,27049
41,37817,26973
41,37366,27081
41,37376,26701
42,37754,27173
42,37884,27109
42,37929,27308
42,37557,27398
42,38069,27103
42,37582,27210
42,37794,27302
42,37744,27253
42,37875,27411
42,37747,27216
42,38629,27148
42,37933,27034
42,37556,26807
42,38564,27541
42,38553,27762
42,38358,27828
42,38735,28169
42,38032,27240
42,38031,27410
42,37479,27350
43,38148,27564
43,37753,27209
43,38111,27364
43,37859,27653
43,37687,27670
43,37565,27466
43,38229,27062
43,37635,27405
43,37933,27449
43,39161,27621
43,37947,27263
43,37752,27701
43,37882,27244
43,37500,27250
43,38070,27183
43,37770,27508
43,37866,27346
43,37212,27235
43,38223,27145
43,38052,27745
44,38673,29249
44,38646,29296
44,38363,29117
