Pallet: "democracy", Extrinsic: "proxy_vote", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,extrinsic_time,storage_root_time
1,139714,62754
1,135473,58656
1,132818,57197
1,131542,60765
1,134165,59133
1,132086,59075
1,134145,58983
1,132572,59554
1,130389,56620
1,128257,58543
1,129374,56887
1,133085,59498
1,131132,59767
1,132652,60798
1,131698,59238
1,132517,80744
1,131313,59474
1,132880,57992
1,154815,71195
1,140578,58983
5,146490,71674
5,142592,66148
5,156473,70533
5,149186,66138
5,154846,69013
5,178797,68201
5,139213,66397
5,159821,78496
5,137108,63573
5,140459,68017
5,164158,66822
5,137917,63507
5,138227,62780
5,140973,64174
5,150724,69163
5,140640,64577
5,141230,65711
5,167746,64070
5,136707,63220
5,145582,66124
9,151280,69368
9,146331,68632
9,177995,82758
9,151094,91386
9,147777,77513
9,147156,72489
9,144003,70506
9,155357,74738
9,149785,73462
9,145961,72270
9,180847,73602
9,197287,104179
9,145651,68786
9,144131,141260
9,151860,73440
9,144237,70149
9,150984,73799
9,143956,84037
9,168058,70636
9,154193,72321
13,153326,72680
13,162529,75376
13,172176,77278
13,151813,72869
13,148057,72430
13,148574,73337
13,154872,75132
13,166943,86168
13,155438,73700
13,151663,75311
13,156688,73605
13,184247,79873
13,156082,72829
13,161843,86435
13,162200,83622
13,171772,76896
13,151437,72348
13,151157,71394
13,151726,73589
13,227663,110735
17,160514,88747
17,161720,90851
17,161201,81643
17,173441,81875
17,157428,78588
17,168841,81192
17,164731,81386
17,155697,76098
17,166722,78643
17,186418,93738
17,160261,78773
17,186514,78008
17,156244,77254
17,153360,75814
17,181038,78541
17,154496,77718
17,161083,80592
17,200385,81776
17,162004,105273
17,211670,90688
21,162542,79389
21,183470,88076
21,171674,74370
21,177480,75160
21,174464,72213
21,198752,116916
21,161627,69185
21,156708,78066
21,160383,82435
21,168101,87523
21,165486,72927
21,157857,88035
21,165364,100560
21,196789,80420
21,157380,109543
21,156565,77643
21,159821,79122
21,164730,79376
21,156983,80034
21,173131,80445
25,155674,77276
25,166984,82916
25,158515,79397
25,178661,87029
25,165074,78067
25,180378,80726
25,169563,79279
25,166406,82634
25,161946,81760
25,160293,78161
25,161157,80360
25,163134,79705
25,155145,78654
25,162793,81087
25,160758,79668
25,157521,93965
25,160552,78622
25,162946,80818
25,257255,118155
25,162476,80462
29,165346,108673
29,170987,77345
29,173397,90171
29,169077,90960
29,174937,99138
29,172326,98544
29,173722,89031
29,190056,89615
29,169528,90631
29,183698,92262
29,169818,87802
29,175194,91611
29,169790,109602
29,174567,92166
29,170511,88925
29,163544,98604
29,199897,89964
29,166698,85261
29,164032,88206
29,199482,90589
33,168825,106870
33,170283,87239
33,169158,87877
33,173168,87154
33,190586,88024
33,167165,85015
33,162564,83368
33,162388,83569
33,165535,85624
33,201150,86920
33,165158,98069
33,169779,88065
33,185420,88611
33,170851,88706
33,167062,86397
33,166255,85453
33,169331,83998
33,169589,86853
33,169013,84233
33,163010,82074
37,172301,86162
37,185114,110518
37,168723,85267
37,163245,101712
37,163363,82825
37,171657,83458
37,169154,84973
37,166205,82822
37,166773,93242
37,167814,86157
37,171750,87831
37,163983,82502
37,163949,84051
37,166828,84211
37,168158,84427
37,161385,98849
37,182127,87538
37,162050,80928
37,172848,86559
37,163755,83696
41,183061,80576
41,186328,103478
41,179383,94374
41,178779,90880
41,192782,94042
41,186285,93451
41,177328,93131
41,257106,95370
41,176017,93293
41,170640,90158
41,168856,87382
41,179611,76943
41,179040,81168
41,174339,76023
41,168809,88397
41,177249,76947
41,173786,91800
41,169255,88714
41,172506,88964
41,170812,87777
45,189043,74193
45,185571,73332
45,197121,82280
45,193621,78125
45,185673,76993
45,185117,73715
45,190087,75250
45,194625,77580
45,209986,77930
45,202668,74551
45,186561,75305
45,207300,77147
45,176560,76079
45,171686,75459
45,209864,76886
45,174702,107390
45,188959,76035
45,197768,86727
45,194813,79668
45,199402,79529
49,180848,78809
49,236831,90056
49,199034,81518
49,186395,92700
49,204285,85495
49,181991,79285
49,236802,82478
49,188118,82090
49,195074,80962
49,200040,92144
49,210137,96405
49,195200,79437
49,194803,80702
49,192900,89253
49,207846,85014
49,200520,83017
49,182132,81501
49,207530,83428
49,182200,81023
49,196185,81008
53,202763,77747
53,188011,80711
53,191058,82649
53,210336,79667
53,181793,76861
53,181918,78714
53,179071,127984
53,198712,77240
53,206219,124152
53,193606,77403
53,214149,81439
53,181128,78162
53,192900,77053
53,191949,77440
53,199606,76989
53,199620,82570
53,189913,78161
53,182174,77030
53,202058,82225
53,190588,79104
57,244313,81365
57,208958,78880
57,179852,75373
57,198876,75922
57,198187,89748
57,185244,79559
57,198739,76930
57,196771,75614
57,191593,75104
57,221502,88236
57,191158,74192
57,188525,80310
57,183893,90849
57,208665,74632
57,195929,78848
57,180358,75806
57,186412,77844
57,185637,81338
57,192342,77290
57,192019,76586
61,205549,77509
61,328943,105581
61,207562,79718
61,191447,86458
61,182011,76053
61,218244,77144
61,226981,79194
61,186115,76839
61,192962,78690
61,386170,147901
61,346286,146742
61,368162,123801
61,215043,107055
61,212742,80640
61,201657,85960
61,204472,97786
61,196505,75762
61,188496,77116
61,195807,77225
61,249231,108066
65,208449,81507
65,225164,86975
65,211785,83622
65,223606,88485
65,223574,89489
65,235271,86405
65,227830,87400
65,218786,81912
65,192762,81229
65,210804,83843
65,237038,85328
65,221515,88127
65,204192,94310
65,248100,84521
65,215245,85493
65,206466,98668
65,232816,136440
65,220492,87342
65,214340,98230
65,217422,81957
69,202130,87938
69,264406,91521
69,223144,87451
69,253071,90490
69,218756,84718
69,251456,126960
69,224342,99427
69,263791,162917
69,372815,123626
69,207682,86520
69,281161,97289
69,268599,84960
69,215064,113743
69,232146,91359
69,246889,243584
69,204839,85489
69,258383,84254
69,194819,84531
69,248065,98893
69,222790,84288
73,223956,85723
73,219355,89731
73,221191,96680
73,223310,88402
73,226610,90161
73,237416,93219
73,228877,86178
73,218218,86106
73,231145,85147
73,227269,90343
73,245712,88398
73,225837,105081
73,249901,97837
