Pallet: "democracy", Extrinsic: "proxy_vote_existing", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,70763,87307
1,68080,82363
1,67365,82100
1,67342,81951
1,68080,82207
1,67357,81981
1,66537,80990
1,67166,81308
1,67311,81352
1,66898,80932
1,67613,81987
1,66771,81536
1,67673,81935
1,66745,81786
1,67796,82007
1,67292,81576
1,67339,82388
1,67121,81708
1,67197,81615
1,67355,81869
2,69413,82597
2,69080,82231
2,67824,82759
2,67855,80975
2,68502,81912
2,68457,81963
2,67952,81407
2,68180,82774
2,67561,81206
2,68953,82713
2,67989,81981
2,68037,81026
2,69195,81921
2,67609,81225
2,69217,82406
2,68383,81973
2,68080,80946
2,68371,81869
2,67970,80860
2,68030,82367
3,69677,85530
3,69087,84171
3,69404,83557
3,69493,84213
3,70131,84484
3,68573,84406
3,69137,85487
3,69237,85377
3,69860,84517
3,68947,84715
3,68896,84773
3,69210,84409
3,69819,84996
3,69287,85494
3,69166,84545
3,69082,84389
3,68613,87467
3,69241,84742
3,69389,84403
3,68492,84399
4,70634,89883
4,71405,86474
4,69713,85534
4,70667,85352
4,72169,86169
4,70861,85452
4,70631,86894
4,72062,85284
4,70170,85678
4,70057,85702
4,71233,85416
4,70869,85510
4,70811,87007
4,71165,85120
4,70414,85772
4,71157,86150
4,70279,85770
4,70493,85482
4,72163,86140
4,70379,85181
5,72019,87146
5,71320,88333
5,70441,84906
5,69872,84288
5,69734,84066
5,71035,83934
5,71894,84616
5,70190,84625
5,70876,83480
5,70390,85006
5,71026,84719
5,71725,84717
5,70874,84765
5,70692,84856
5,70637,84926
5,70283,84096
5,70305,84188
5,71493,84223
5,70852,84645
5,70291,84268
6,73273,87458
6,71979,86407
6,72364,86746
6,72076,86621
6,72284,85670
6,72179,86275
6,72242,86167
6,72057,86348
6,71929,86923
6,71165,87299
6,72108,86673
6,71994,86441
6,72471,86253
6,71775,85606
6,75217,86122
6,72083,86430
6,71374,86488
6,72698,86606
6,71812,85812
6,72718,85735
7,71608,85520
7,71788,85206
7,72439,83990
7,71637,83423
7,71561,84166
7,72660,84087
7,71998,85848
7,72430,83755
7,71570,84071
7,71822,85788
7,72117,84728
7,71982,83682
7,71470,84132
7,71230,84042
7,72047,85643
7,71787,83785
7,72599,83821
7,71842,85417
7,72174,83905
7,71582,83232
8,72145,85005
8,72664,85149
8,72204,84654
8,72918,84457
8,72354,83895
8,73728,84989
8,72143,84151
8,71681,85219
8,73393,84597
8,73036,83996
8,72256,84799
8,71827,85366
8,72736,84887
8,72129,84236
8,72076,83955
8,72350,84696
8,72979,83930
8,72292,84386
8,72347,83806
8,73037,84692
9,72469,86647
9,72403,86866
9,72715,86529
9,73053,86722
9,72951,86236
9,73103,86314
9,72750,86655
9,73400,86230
9,72957,86323
9,73078,87013
9,73530,86919
9,72488,86566
9,75832,87150
9,73381,87149
9,72851,87835
9,73230,88075
9,73356,86247
9,72380,86200
9,73176,85975
9,72804,86191
10,73335,86470
10,73844,87291
10,73409,86603
10,73860,87074
10,73415,86444
