Pallet: "democracy", Extrinsic: "proxy_vote_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,73663,62048
1,72029,56573
1,69933,56281
1,69260,56074
1,68514,55855
1,69835,55323
1,68792,55518
1,68316,55520
1,68559,55397
1,68452,55361
1,68637,55822
1,68745,55306
1,68672,55724
1,69128,55133
1,68772,55784
1,68753,55361
1,68064,55103
1,68941,55607
1,69296,55626
1,68632,55425
2,69315,55999
2,69703,55831
2,68450,55948
2,72890,55861
2,68040,55430
2,68423,55364
2,67926,56707
2,68387,55368
2,67608,58647
2,68032,55814
2,68775,55812
2,68719,55461
2,68144,55019
2,68152,55049
2,67817,55336
2,68573,55266
2,68238,55596
2,68851,54950
2,68301,55567
2,68677,55222
3,71177,58373
3,71687,57647
3,69398,57856
3,72231,57969
3,70272,58366
3,69473,57817
3,70271,57748
3,70989,57655
3,70023,57389
3,70460,57783
3,70732,57827
3,70494,57782
3,69800,57863
3,70789,58123
3,69942,57697
3,70358,57351
3,71176,57999
3,70711,57452
3,69602,57376
3,70602,58233
4,71553,58232
4,70873,58107
4,70533,59293
4,70971,58974
4,72830,58564
4,71453,58322
4,71424,59203
4,71330,57951
4,71956,58274
4,70499,58558
4,71456,58523
4,71050,59060
4,71964,58338
4,70914,58727
4,70545,57929
4,71351,61884
4,70930,58624
4,71015,58563
4,70815,58989
4,71654,58405
5,71890,60161
5,71392,57272
5,71352,57535
5,70905,57472
5,71285,56936
5,71334,57735
5,71663,57691
5,70092,58315
5,71062,56956
5,73144,57228
5,71527,57282
5,71400,57736
5,75055,58266
5,71568,57925
5,71382,57259
5,71471,57561
5,71207,58217
5,70383,57843
5,70497,57410
5,71584,57351
6,73509,59199
6,73312,59353
6,73192,59609
6,74255,59388
6,73275,59103
6,74015,59518
6,73601,59112
6,73528,59296
6,73231,59507
6,73347,59178
6,73057,58995
6,73225,59442
6,72807,59386
6,72945,59416
6,73707,60195
6,73221,60244
6,72947,60391
6,72881,60790
6,73183,59843
6,73366,59835
7,72401,59454
7,72911,59179
7,73633,59451
7,72503,57397
7,72406,57794
7,72480,57978
7,72896,58478
7,72355,57043
7,72980,57747
7,72714,57779
7,72515,58793
7,72449,57584
7,72395,57456
7,72104,58034
7,72345,58403
7,72927,58250
7,74154,57173
7,71819,58522
7,73075,58711
7,72458,57838
8,72923,57222
8,72620,58145
8,72769,58184
8,74583,57534
8,73760,57029
8,72894,58344
8,72591,58208
8,73812,57340
8,72601,56984
8,73003,57306
8,105058,58185
8,73270,57196
8,72464,56715
8,72980,57857
8,72788,57950
8,73276,57578
8,72511,57316
8,73908,57724
8,73034,56949
8,73261,57603
9,74328,59917
9,73856,59283
9,75295,59956
9,74386,59366
9,74571,62656
9,74628,60754
9,74005,60234
9,74873,59847
9,74753,59777
9,74970,59698
9,74739,60243
9,75756,59580
9,74492,59942
9,75273,60044
9,74633,60132
