Pallet: "democracy", Extrinsic: "reap_preimage", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
b,extrinsic_time,storage_root_time
0,97920,82341
0,90999,66754
0,88569,66715
0,93240,69523
0,92031,66558
0,93874,68275
0,94741,67872
0,93735,68466
0,93927,68060
0,93101,79034
0,93529,68235
0,93721,67677
0,93635,68462
0,94394,69129
0,112619,70666
0,90174,67478
0,94504,68816
0,94694,67624
0,93084,67794
0,94564,66495
819,143137,69640
819,138305,67370
819,136433,66429
819,140184,68096
819,148907,70975
819,140952,67688
819,142685,68102
819,142127,69044
819,143387,89477
819,150459,88437
819,145649,68064
819,145851,68750
819,144437,68915
819,147641,69336
819,143420,67846
819,153902,68331
819,136072,66126
819,133678,67039
819,142626,70045
819,152618,66709
1638,153962,69158
1638,143173,67432
1638,171620,69979
1638,152754,69166
1638,156018,71080
1638,153171,70411
1638,151094,69653
1638,152120,69389
1638,152104,70421
1638,148514,67614
1638,145155,66380
1638,146680,68276
1638,152793,67887
1638,152917,68876
1638,165711,68256
1638,165393,68814
1638,150916,69840
1638,144568,67586
1638,152081,69277
1638,151657,68818
2457,154680,68916
2457,153629,68888
2457,146600,66568
2457,158012,69514
2457,166725,70289
2457,146756,66965
2457,154255,69101
2457,145940,66495
2457,165313,67884
2457,147329,65868
2457,147223,66413
2457,153847,68197
2457,153335,68856
2457,155549,67191
2457,156398,69475
2457,157739,68537
2457,157085,69066
2457,166147,71081
2457,154368,69130
2457,171400,73293
3276,156360,69197
3276,195418,73760
3276,163437,67581
3276,154605,68028
3276,161415,71406
3276,161990,68718
3276,174029,71539
3276,164576,88449
3276,194370,69567
3276,160283,68431
3276,153611,67999
3276,156722,68224
3276,157562,69841
3276,156123,69132
3276,180082,86980
3276,186449,79650
3276,166188,72451
3276,160855,71605
3276,204900,74716
3276,216686,121023
4095,174242,72977
4095,172100,70474
4095,167346,70043
4095,158842,67640
4095,165375,70947
4095,185221,71245
4095,167244,70808
4095,167197,79880
4095,167680,69312
4095,166138,70194
4095,164155,69713
4095,165289,88890
4095,165626,69165
4095,168148,69752
4095,165642,69775
4095,165514,71733
4095,163568,68728
4095,157915,67187
4095,174817,70317
4095,164440,70163
4914,175270,68690
4914,172119,70246
4914,175336,70129
4914,172456,86134
4914,198474,70937
4914,165915,68978
4914,164845,82723
4914,166813,70408
4914,165445,67184
4914,188592,69760
4914,163208,68222
4914,173305,70049
4914,274835,93715
4914,188539,69614
4914,183273,66703
4914,177734,70925
4914,173102,72961
4914,174634,72044
4914,167099,67138
4914,221807,79358
5733,200437,73063
5733,183008,71522
5733,211632,68511
5733,170873,68268
5733,176930,71159
5733,209331,68901
5733,178775,71433
5733,179065,69877
5733,179087,70581
5733,180792,86795
5733,179356,69019
5733,169029,78534
5733,177564,68941
5733,177615,71655
5733,177215,71254
5733,168056,68439
5733,169219,68020
5733,170349,112810
5733,174991,70928
5733,176260,79050
6552,184861,70546
6552,185255,72050
6552,188086,70334
6552,184113,71845
6552,183254,73648
6552,186258,71397
6552,187406,97905
6552,184460,71268
6552,179446,106950
6552,195245,69166
6552,197680,71893
6552,226659,116417
6552,224160,68971
6552,190313,70665
6552,217668,72069
6552,204262,81438
6552,175383,73395
6552,188700,68679
6552,177859,78547
6552,202387,85401
7371,177303,69443
7371,204350,67119
7371,250639,71057
7371,184084,71512
7371,206962,68808
7371,177298,69367
7371,221746,73412
7371,186861,71436
7371,195922,72046
7371,187244,74493
7371,184200,72272
7371,192558,72146
7371,186691,79494
7371,199507,72902
7371,189185,72731
7371,187264,72385
7371,183793,70720
7371,185791,72086
7371,178816,68911
7371,176790,99665
8190,195872,72068
8190,187838,70356
8190,184992,69005
8190,261907,72497
8190,191859,72398
8190,189221,69675
8190,185941,69806
8190,194836,73314
8190,192793,71396
8190,191077,72301
8190,183182,69341
8190,212221,77315
8190,193481,75086
8190,203906,73521
8190,192029,71797
8190,194624,71232
8190,198297,73789
8190,189981,71589
8190,182805,111397
8190,195313,70720
9009,190434,71059
9009,189175,68792
9009,208700,72759
9009,229024,73485
9009,198264,70840
9009,199171,70668
9009,188217,69087
9009,192159,71478
9009,189297,70623
9009,189769,69827
9009,235884,82270
9009,213309,68038
9009,247225,71586
9009,197083,72598
9009,196727,73728
9009,245503,72728
9009,246947,82118
9009,211474,72155
9009,197142,71000
9009,201518,73479
9828,201940,70320
9828,204355,70776
9828,220842,71480
9828,200821,71981
9828,213368,71732
9828,200505,73771
9828,202579,72496
9828,216779,121296
9828,208813,67643
9828,193636,70631
9828,195689,69188
9828,192059,70440
9828,267731,71557
9828,226528,69749
9828,193410,69194
9828,196115,70557
9828,205841,75080
9828,240405,84331
9828,200929,71202
9828,244527,82213
10647,199489,71002
10647,229552,70176
10647,201578,70049
10647,196435,68798
10647,254814,66317
10647,232667,86503
10647,197243,69575
10647,213456,69565
10647,264541,106812
10647,204260,93148
10647,207908,103457
10647,233149,72173
10647,212523,70059
10647,206401,69525
10647,196707,68220
10647,198240,69430
10647,198037,130958
10647,236621,71341
10647,202004,73132
10647,202614,71848
11466,214297,73198
11466,235189,74482
11466,235750,80997
11466,221007,70230
11466,219428,69525
11466,245199,70765
11466,238464,78780
11466,220026,72371
11466,210492,86503
11466,221870,66615
11466,211984,98454
11466,215070,71621
11466,219421,72327
11466,247484,68931
11466,206106,69164
11466,238781,89789
11466,221337,73197
11466,216129,76195
11466,210523,72066
11466,213826,71917
12285,207613,70636
12285,215430,73457
12285,206851,70316
12285,207288,68712
12285,206980,70886
12285,228414,74043
12285,216026,71356
12285,218977,72418
12285,217398,72438
12285,216567,72471
12285,217995,71941
12285,226997,83996
12285,238512,89721
12285,216013,73316
12285,244300,71531
12285,218367,72880
12285,227734,72957
12285,232960,92360
12285,215616,72296
12285,253332,73874
13104,226060,73929
13104,259354,65831
13104,247681,117144
13104,224152,73928
13104,220191,73676
13104,232875,71901
13104,223700,74397
13104,230747,76752
13104,274568,76559
13104,220784,74782
13104,224043,73227
13104,247862,81197
13104,242734,73592
13104,223341,104717
13104,234508,72598
13104,228853,73571
13104,213251,70575
13104,230759,72238
13104,212701,71487
13104,225227,73181
13923,228765,73727
13923,224643,70868
13923,220955,72858
13923,233019,79735
13923,225581,72649
13923,271279,87097
13923,221235,71412
13923,229317,73110
13923,257956,74925
13923,226593,73484
13923,223822,72736
13923,243988,72998
13923,226405,74835
13923,230239,73601
13923,218893,70885
13923,221887,74533
13923,216802,72709
13923,216799,70271
13923,243757,86140
13923,216764,101837
14742,256175,71378
14742,231225,74341
14742,231303,77096
14742,227775,71575
14742,234420,77150
14742,231166,74667
14742,231382,72814
14742,228900,70824
14742,225618,73209
14742,227664,73424
14742,219767,70144
14742,221146,70100
14742,228325,73437
14742,226966,72373
14742,221518,72720
14742,230651,73984
14742,247331,73968
14742,230702,72260
14742,218051,70809
14742,243923,70856
15561,236863,75969
15561,235373,71366
15561,225580,72762
15561,227193,70584
15561,230190,72380
15561,238906,89903
15561,231724,71698
15561,239413,76832
15561,249817,72328
15561,260115,74798
15561,238343,74949
15561,244798,75418
15561,233482,78562
15561,234349,73927
15561,234123,84447
15561,236820,73823
15561,273366,88115
15561,299485,88880
15561,235882,102242
15561,237799,75962
16380,252195,72059
16380,273535,77556
16380,321155,76462
16380,234319,118516
16380,231421,70403
16380,240003,72514
16380,230805,89712
16380,351991,74045
16380,246733,76440
16380,246803,73200
16380,243848,75196
16380,238483,73999
16380,237226,71455
16380,232217,70515
16380,233825,72788
16380,240281,74278
16380,242923,74275
16380,244972,74906
16380,322396,89604
16380,248573,77086

Median Slopes Analysis
========

Model:
Time ~=    138.7
    + b    0.006
              µs

Min Squares Analysis
========

Data points distribution:
    b   mean µs  sigma µs       %
    0     93.76      0.42    0.4%
  819     143.4     1.446    1.0%
 1638     152.1     0.727    0.4%
 2457       155     1.451    0.9%
 3276       165     6.554    3.9%
 4095     166.3       0.9    0.5%
 4914     174.4     3.958    2.2%
 5733     177.6     1.339    0.7%
 6552     188.8     4.225    2.2%
 7371     187.9     3.517    1.8%
 8190     192.5     1.966    1.0%
 9009     201.5     6.746    3.3%
 9828     205.5     5.388    2.6%
10647     207.9     8.425    4.0%
11466     220.3      5.55    2.5%
12285     219.1     4.231    1.9%
13104       228     3.772    1.6%
13923     225.8     2.885    1.2%
14742     229.4      1.62    0.7%
15561     236.7     1.752    0.7%
16380     242.9     3.663    1.5%

Quality and confidence:
param     error
b             0

Model:
Time ~=    133.9
    + b    0.007
              µs

