Pallet: "democracy", Extrinsic: "remove_other_vote", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,extrinsic_time,storage_root_time
1,63520,73489
1,59083,42959
1,57642,39851
1,57310,37951
1,58235,38898
1,57376,39432
1,74556,41387
1,57669,38918
1,58372,36311
1,58188,39238
1,57395,37390
1,56560,39147
1,57063,63861
1,58897,36608
1,56606,39117
1,56323,37008
1,57023,40443
1,59006,37491
1,53236,38170
1,56101,39370
5,73516,38744
5,64109,41873
5,65682,40573
5,65469,41060
5,69341,50016
5,67499,42914
5,67640,43261
5,81559,42284
5,65299,42580
5,63215,42271
5,67166,42289
5,104247,63512
5,68227,42421
5,65386,41951
5,67541,42880
5,66960,42621
5,64141,41342
5,66744,43513
5,66016,42885
5,65110,43179
9,66433,43914
9,68582,45483
9,68135,45798
9,70978,54478
9,67611,44970
9,67294,45119
9,68403,46317
9,83719,44727
9,65048,43597
9,125657,47293
9,65617,44016
9,66858,44644
9,65168,39632
9,64333,39246
9,67539,44534
9,67067,43933
9,68135,44934
9,66341,44079
9,64321,43357
9,68054,44916
13,72742,42230
13,68833,46845
13,72703,48552
13,68588,46009
13,75268,48787
13,82648,47431
13,73116,46422
13,73346,42940
13,72181,47291
13,72635,46924
13,72282,48372
13,103926,46629
13,88553,49745
13,70529,47549
13,69946,46509
13,72853,59968
13,72362,49164
13,73280,47822
13,71423,46829
13,67815,45980
17,107323,52221
17,78975,42498
17,78664,49121
17,76741,48804
17,78782,48843
17,78493,59746
17,78955,42590
17,78121,42595
17,77506,50071
17,77872,49901
17,77468,64731
17,80248,48318
17,80630,51075
17,80690,50058
17,78651,48980
17,80258,49961
17,81601,49275
17,77957,50731
17,84093,52050
17,80480,49459
21,83089,48182
21,80789,60335
21,79763,46800
21,80031,47368
21,81905,60442
21,78146,52055
21,103505,54564
21,79083,67459
21,77590,51781
21,88840,59908
21,78398,52266
21,106439,55224
21,76934,50876
21,78434,52522
21,104717,54092
21,77995,55466
21,80011,52086
21,109573,53395
21,101821,64571
21,76806,51543
25,80106,43637
25,77456,53148
25,81802,54232
25,79613,43423
25,94641,42790
25,81582,55338
25,79680,44328
25,85896,53879
25,96565,43352
25,79402,52135
25,85252,54633
25,78694,63371
25,79734,53808
25,83572,44211
25,95227,49838
25,75603,51593
25,76422,52715
25,77334,52731
25,79270,53377
25,79328,44738
29,84242,44557
29,91088,54939
29,85419,54877
29,97935,56868
29,82894,43512
29,81315,53755
29,84995,54671
29,85623,97021
29,85223,56812
29,83098,55728
29,81494,44190
29,82054,54881
29,88133,44787
29,82040,45010
29,84768,43125
29,82406,44456
29,81835,55226
