Pallet: "democracy", Extrinsic: "second", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
0,31122,51766
0,28110,48569
0,27310,47290
0,28108,47279
0,27794,47262
0,27086,47382
0,26864,47107
0,27160,47217
0,27567,47208
0,27065,47055
0,26919,47051
0,27117,46964
0,27048,46948
0,27135,46992
0,27121,46914
0,27044,47209
0,26942,47067
0,26952,47105
0,26972,47303
0,26797,46852
2,28915,48245
2,28860,48408
2,31813,48349
2,29184,48116
2,28271,48529
2,28388,48078
2,28430,47827
2,28623,47896
2,28370,47849
2,28615,47688
2,28767,48130
2,28597,47848
2,28755,48020
2,29104,47893
2,28326,48107
2,28372,47569
2,29041,47733
2,28796,47756
2,28359,47946
2,28641,47980
4,30053,49589
4,29519,48660
4,29521,48696
4,29872,48505
4,29088,48556
4,29142,48299
4,29468,48455
4,29820,48660
4,29294,48399
4,29352,48242
4,29045,48355
4,29989,48321
4,29349,48656
4,29394,48407
4,29060,48504
4,29492,48135
4,29318,48396
4,29535,48007
4,29350,47961
4,29412,48482
6,31070,50041
6,30601,49549
6,30637,48823
6,30359,48998
6,30164,49146
6,30620,49516
6,30884,48920
6,30808,49224
6,30516,48931
6,30435,48991
6,30553,48999
6,30817,49230
6,31084,49423
6,30439,49082
6,30476,49199
6,30727,49140
6,30632,49099
6,30874,48944
6,30114,49186
6,30618,49013
8,31680,49974
8,31499,49680
8,31498,49495
8,30753,49392
8,31181,49288
8,30998,49493
8,30943,49254
8,30665,49070
8,31113,49249
8,30683,48973
8,30863,48921
8,31078,49137
8,30634,48891
8,30829,49257
8,31204,49246
8,31044,49013
8,30574,49140
8,30742,49241
8,30709,49256
8,30807,49476
10,32253,50687
10,32064,49890
10,32760,50404
10,31979,50091
10,31896,49857
10,31800,51148
10,31527,49542
10,32513,50457
10,31666,49797
10,31478,49876
10,31692,49846
10,31765,50570
10,31625,49178
10,32149,50188
10,32004,49842
10,31548,49319
10,31593,51032
10,31398,49947
10,32334,49755
10,31917,49677
12,32144,49344
12,31768,50193
12,32463,49750
12,32005,50220
12,31988,50224
12,32455,49694
12,31763,49864
12,32119,50502
12,32392,49931
12,31923,49813
12,31995,50263
12,32753,49601
12,31705,49572
12,31864,50470
12,32584,50196
12,31821,49625
12,32092,50195
12,32401,49612
12,31956,49465
12,32190,50549
14,33658,51058
14,32287,51009
14,32614,50426
14,32702,51167
14,32618,50165
14,32731,50846
14,32482,49789
14,33126,51231
14,33416,49837
14,32729,50910
14,32725,50037
14,32855,51106
14,33066,50197
14,32761,51258
14,32973,50060
14,32923,50330
14,33191,50180
14,32572,50673
14,33523,53060
14,32381,50668
16,34217,53528
16,34191,51460
16,33323,51532
16,33808,50180
16,34434,51633
16,33281,50920
16,33702,50361
16,33020,51398
16,33681,50993
16,33761,50434
16,33859,50871
16,33295,50950
16,33425,50073
16,33673,51061
16,33057,50949
16,33549,50393
16,33406,51084
16,33259,50994
16,33640,50366
16,33711,50874
18,34297,51352
18,34180,51459
18,34335,51289
18,33870,50539
18,34351,51426
18,33967,51262
18,33687,51047
18,33745,51020
18,34145,51959
18,34074,50582
18,33897,51190
18,33873,50947
18,34403,51153
18,34083,51348
18,34093,51792
18,34090,50667
18,34177,51582
18,33931,51343
18,33970,51211
18,33605,51644
20,34326,51313
20,33942,51765
20,34612,51784
20,34455,51503
20,34605,51513
20,34577,51523
20,35069,51683
20,34924,51864
20,34349,51629
20,34193,52135
20,34367,51884
20,34600,52266
20,34776,51176
20,34223,51511
20,34600,51724
20,34092,51837
20,34506,54896
20,34793,52051
20,34443,51563
20,34855,51946
22,34992,51836
22,35481,52279
22,35302,52185
22,35376,51146
22,34959,51155
22,35469,51357
22,35168,51895
22,34789,52123
22,35223,52001
22,35722,51320
22,35317,51927
22,35572,51427
22,34959,51416
22,34860,51280
22,34818,52009
22,34915,51368
22,34833,51598
22,35744,51294
22,35409,51665
22,35432,51426
24,35538,52230
24,35423,51472
24,35782,51324
24,35668,52580
24,35440,51475
24,34920,51472
24,36289,52837
24,35611,51838
24,36005,51822
24,35188,51749
24,35620,51947
24,34963,51857
24,35512,51231
24,35584,51908
24,34934,51902
24,35505,51666
24,35617,51571
24,35475,51677
24,36146,51761
24,35945,51419
26,35610,52314
26,36034,51964
26,35328,52315
26,35580,51527
26,35264,51650
26,35888,51776
26,35626,51287
26,35266,51253
26,35166,51781
26,35304,51661
26,35445,51865
26,35183,51788
26,36295,51553
26,35199,52109
26,35209,51426
26,34843,51650
26,35825,51443
26,35681,51642
26,35150,51759
26,35495,51941
28,36366,52369
28,36028,52453
28,35804,51685
28,35992,52295
28,36189,52796
28,36110,51738
28,36230,52878
28,35688,52849
28,36259,51735
28,35804,51428
28,36289,51885
28,35853,51815
28,35908,51740
28,35786,52537
28,36694,51599
28,36060,51882
28,36087,52131
28,36165,52018
28,35936,51329
28,36156,51617
30,36493,51553
30,36417,52143
30,36109,51469
30,36877,52376
30,36214,52208
30,37142,51617
30,36478,51931
30,36400,51885
30,36224,51680
30,36397,55915
30,36487,51437
30,36808,52356
30,36113,51798
30,36128,52405
30,36219,51854
30,36313,51417
30,35958,52206
30,36731,51821
30,36340,52245
30,36513,51714
32,39054,54195
32,36420,53288
32,36715,52141
32,36521,52442
32,37101,52172
32,37156,52230
32,36909,51897
32,36779,51801
32,37169,52141
32,36848,52205
32,36518,53110
32,37026,51938
32,36838,52020
32,36289,52118
32,37291,52128
32,39399,52270
32,36380,52004
32,37162,52098
32,36917,51925
32,37174,52324
34,37363,52576
34,36910,52380
34,37418,52974
34,37591,52159
34,37279,52134
34,37344,51961
34,38125,52575
34,37201,52319
34,36965,52010
34,37627,52275
34,37306,51984
34,36749,52173
34,37741,52136
34,37106,52470
34,38354,52569
34,37203,51995
34,37415,52592
34,37532,52041
34,37987,52378
34,37102,52424
36,37734,52625
36,37400,52416
36,37292,52641
36,38140,52197
36,38748,52460
36,37858,52394
36,37828,52220
36,37195,52734
36,37245,51818
36,38015,52556
36,37576,56437
36,38369,53099
36,38451,53472
36,37876,52316
36,36971,52315
36,37573,52274
36,37656,53353
36,37468,52041
36,37536,52968
36,37330,51890
38,38819,55338
38,37598,52191
38,38040,52490
38,38538,52621
38,39021,52727
38,38936,52929
38,37814,52976
38,38735,52336
38,37719,52319
38,41901,52889
38,38086,52367
38,37944,52813
38,38731,52975
38,38287,52158
38,37967,53033
38,38118,52498
38,38861,52754
38,38503,52313
38,37571,52490
38,38348,52220
40,38936,2452464
40,38720,54111
40,39058,54518
40,38303,53175
40,38381,53487
40,38831,53675
40,38671,53818
40,38107,53878
40,38027,53555
40,38431,53365
40,38916,53882
40,38451,53880
40,38241,53219
40,38458,56363
40,39105,53168
40,38200,53765
40,38506,54028
40,39547,54246
40,38938,53178
40,38893,52957
42,38777,53483
42,39287,53607
42,38489,53127
42,38720,53010
42,38933,56311
42,38660,53515
42,38710,53453
42,38314,53331
42,38977,53919
42,38675,52998
42,38276,53350
42,38575,53267
42,38359,52937
42,38118,53311
42,38553,53474
42,38607,53390
42,38289,52610
42,38072,53481
42,39175,53347
42,38225,53307
44,38848,53352
44,39312,53302
44,39407,53331
44,39134,53395
44,39294,53427
44,38865,53443
44,38757,53355
44,39520,53851
44,38624,53625
44,40085,53355
44,39227,54169
44,39415,53448
44,38940,53963
44,38520,53700
44,38878,53121
44,39200,53575
44,38813,53513
44,38659,56069
44,39026,53449
44,38641,53263
46,40552,53813
46,39968,52963
46,39999,53221
46,39838,53424
46,39562,53121
46,39760,53401
46,40155,53697
46,39934,53196
46,39881,53662
46,39995,53795
46,40918,52706
46,39676,52766
46,40250,53387
46,39831,53210
46,40118,52869
46,40458,52966
46,39751,53229
46,40425,53146
46,39972,52675
46,39833,53173
48,39424,53337
48,43146,53217
48,39452,53357
48,39323,52956
48,39846,52724
48,39463,53205
48,39198,53177
48,39494,52627
48,39209,52504
48,39241,52908
48,39515,52647
48,39872,53155
48,39916,53230
48,39603,53064
48,39908,52877
48,39609,53095
48,40368,53584
48,39406,52729
48,39596,52400
48,39197,53811
50,40982,53522
50,40316,53470
50,39947,53910
50,39768,53070
50,40308,53167
50,39196,53232
50,39780,53198
50,40232,53367
50,40115,53141
50,39982,53546
50,39762,53449
50,40451,52697
50,39636,53423
50,40261,53451
50,39546,52957
50,39584,52972
50,40162,53099
50,40040,53379
50,39715,53161
50,39963,53045
52,40295,53278
52,40546,53426
52,40596,53488
52,40342,52923
52,40135,53323
52,39753,53134
52,39710,53277
52,40674,53924
52,40387,52927
52,40019,53857
52,39735,52745
52,39984,53363
52,43142,53215
52,40045,52960
52,40379,53075
52,40006,53399
52,39869,53109
52,39812,52443
