Pallet: "democracy", Extrinsic: "undelegate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,64253,67167
1,55730,62821
1,55771,60620
1,55006,60678
1,54954,60762
1,55612,60754
1,58857,61160
1,55347,60732
1,54876,60510
1,55750,60199
1,54529,59851
1,54853,60503
1,55473,60259
1,54794,63840
1,54944,60164
1,55140,60211
1,55064,60235
1,54567,60411
1,54984,60681
1,54282,59888
2,66630,65796
2,65980,65234
2,66099,65618
2,65497,64858
2,66122,65475
2,66196,65165
2,65547,65330
2,66377,65200
2,65696,65161
2,65605,65962
2,65719,65371
2,65912,65139
2,64930,64825
2,65423,64664
2,65527,64661
2,65286,64923
2,66369,65190
2,65756,65283
2,64922,65116
2,65791,65313
3,73746,67906
3,74285,67750
3,73534,67980
3,72728,67069
3,72734,67166
3,73907,67230
3,74035,67348
3,72804,67881
3,73914,66795
3,74090,67394
3,77012,66925
3,72836,66959
3,73002,66187
3,74059,67495
3,72161,66063
3,72368,66909
3,72959,67003
3,72897,66650
3,72905,67561
3,73047,69126
4,83912,73597
4,83163,72451
4,83545,72262
4,84983,72344
4,83646,72385
4,83883,72686
4,83305,72863
4,84722,72211
4,83642,72396
4,84180,72323
4,84525,72100
4,83847,72120
4,83537,72154
4,83665,72234
4,83450,71904
4,83610,72112
4,83242,71913
4,83272,72285
4,116337,72941
4,82432,71944
5,91006,73495
5,91876,73755
5,90212,73628
5,90182,74797
5,90826,73357
5,91957,74155
5,90448,73312
5,90964,73038
5,91206,72791
5,91089,74045
5,90896,72961
5,91369,73493
5,90470,72853
5,92057,74025
5,90792,73354
5,94786,73796
5,91774,72967
5,91393,73198
5,91229,74483
5,91573,73332
6,99113,82870
6,100588,80596
6,100137,80125
6,100380,81226
6,99553,80706
6,100348,80945
6,100079,79677
6,100471,79959
6,100907,78914
6,99610,79194
6,100643,79192
6,100681,79618
6,99045,79613
6,99426,82662
6,99469,79657
6,99357,79191
6,100255,81517
6,100502,80168
6,100250,79369
6,101545,79899
7,108191,86485
7,108174,84244
7,107581,84482
7,107473,84520
7,108442,85505
7,108804,85203
