Pallet: "democracy", Extrinsic: "unlock_remove", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,59347,79024
1,54780,67991
1,54387,66934
1,54083,66841
1,53389,67034
1,53338,66409
1,53619,66823
1,53749,66918
1,54139,66801
1,53291,66529
1,52915,66293
1,52926,66393
1,53417,66005
1,53417,66336
1,53551,66302
1,53841,66385
1,54047,67348
1,53975,66440
1,53431,66628
1,53346,66697
2,54677,67907
2,54815,66992
2,54669,66952
2,54527,67208
2,54336,66555
2,54586,78919
2,52542,65248
2,52922,64915
2,53357,65281
2,53319,65817
2,53135,65360
2,52984,65296
2,53359,65100
2,52811,64946
2,53083,65588
2,53119,65424
2,53081,65158
2,52620,65700
2,53040,65133
2,52751,65216
3,54350,66140
3,53612,66488
3,53203,66262
3,53014,65842
3,53453,66517
3,57079,66326
3,54024,66346
3,53227,65674
3,53279,65316
3,53364,66427
3,53949,65319
3,53663,66439
3,53216,65765
3,53125,65326
3,53782,66449
3,53659,65826
3,53989,65665
3,53407,65537
3,52869,65495
3,54024,66157
4,55090,67409
4,53853,66402
4,54916,67885
4,54380,66351
4,54548,66113
4,54355,66439
4,53946,66772
4,54986,66986
4,55247,66547
4,54789,66475
4,54265,66440
4,54489,67291
4,55063,66372
4,54100,66099
4,54864,66579
4,54103,66846
4,58202,66729
4,55167,66806
4,54447,66562
4,54498,67382
5,58774,68171
5,55190,66994
5,54631,67011
5,54853,66778
5,55136,67581
5,54737,67041
5,54578,66499
5,55016,79200
5,53925,67272
5,55006,67487
5,54515,66556
5,54897,67516
5,54664,67533
5,54914,66677
5,55474,67349
5,54664,67634
5,54358,68062
5,54683,66356
5,55046,67594
5,54094,67325
6,54995,70884
6,57079,68697
6,55335,68985
6,55800,68806
6,55098,70804
6,55146,66844
6,54444,67541
6,55026,67257
6,54866,67525
6,54755,67214
6,54784,67000
6,55289,67432
6,55028,67144
6,54726,67162
6,55033,67379
6,54848,67162
6,55553,67178
6,55497,67046
6,55373,67432
6,55243,68029
7,55608,83847
7,56098,68007
7,55506,68096
7,55745,68900
7,55564,67301
7,55023,67563
7,55605,67154
7,55484,68481
7,59444,67377
7,55321,67308
7,55450,66740
7,56226,67224
7,55239,68659
7,55472,67393
7,55689,67450
7,55546,67173
7,55916,68319
7,55904,68604
7,55616,67155
7,56026,66926
8,55316,67264
8,55268,66758
8,55063,67045
8,55210,67307
8,55483,66808
8,55409,66894
8,54876,67181
8,55335,66768
8,54936,66544
8,55085,66620
8,54896,67269
8,54929,66619
8,55210,66868
8,55859,67211
8,54925,66861
8,55262,68321
8,55474,67120
8,55709,68071
8,55013,66967
8,55377,67020
9,55776,66912
9,55496,66940
9,55883,67097
9,55673,67099
9,55758,71061
9,55676,67061
9,55369,67304
9,55668,67779
9,55753,66914
9,55833,67008
9,55906,67212
9,56450,67351
9,55020,67093
9,55661,67200
9,56037,67632
9,55249,66571
9,55462,67214
9,55406,67450
9,55515,67156
9,54863,66811
10,56037,68254
10,55840,68091
10,55744,67862
10,55327,68186
10,55643,67705
10,55828,68061
10,55881,68253
10,55966,67921
10,55783,68469
10,55263,68063
10,55991,67759
10,56254,68400
10,56382,67597
10,56808,68209
10,56756,68115
10,56189,67937
10,55959,68385
10,55743,68057
10,55964,68404
10,56063,68430
11,56154,68533
11,56922,68305
11,55713,67190
11,55443,67322
11,56362,67139
11,55823,85651
11,55733,67353
11,56768,67679
11,55672,67478
11,56426,67488
11,56147,67249
11,56139,67447
11,56101,66959
11,56362,67533
11,55401,67277
11,56647,67092
11,55525,67491
11,56042,67700
11,55335,66911
11,55783,66863
12,55694,67120
12,55791,67238
12,56041,67133
12,55901,67228
12,55594,67060
12,55904,67955
12,55175,67445
12,55817,67356
12,55714,67378
12,55444,67759
