Pallet: "democracy", Extrinsic: "unlock_set", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,39732,41491
1,37344,35692
1,37040,35686
1,37135,35960
1,36996,35182
1,36878,35446
1,37049,35340
1,37628,35414
1,36804,35817
1,36299,35173
1,36544,35127
1,36642,35111
1,36426,35197
1,36854,35049
1,37455,35124
1,37068,35264
1,36926,39167
1,37048,35168
1,37031,35603
1,36606,35368
2,37545,35753
2,37424,35750
2,37240,35996
2,37536,35627
2,56873,49123
2,37347,35751
2,37667,35898
2,37393,36292
2,37219,35144
2,37775,36041
2,37379,35393
2,37798,35775
2,37719,35786
2,37453,35498
2,37631,35417
2,37897,35476
2,37152,35746
2,37359,35465
2,37759,35649
2,37417,35641
3,38330,36152
3,38256,36234
3,38811,35953
3,38592,36326
3,38504,35991
3,39001,36272
3,38270,36298
3,38383,36009
3,38394,35709
3,38148,35971
3,38231,35876
3,39257,36416
3,38653,36135
3,38652,36150
3,38787,36184
3,38655,36258
3,38258,36117
3,38257,39001
3,38246,36207
3,38884,36762
4,38616,35877
4,38403,36477
4,38928,36081
4,38449,36492
4,38445,35663
4,38273,36330
4,38953,36620
4,38757,36417
4,39126,36507
4,38398,36484
4,38698,36430
4,38928,36309
4,38885,35997
4,38811,36120
4,38429,36152
4,38746,36578
4,38668,36529
4,39051,36114
4,38899,35909
4,38622,36112
5,38673,36684
5,38351,36131
5,38753,36650
5,38794,36866
5,38605,36607
5,38752,36320
5,38907,36633
5,38702,36622
5,38529,36733
5,38606,36682
5,38694,37059
5,38748,37012
5,39091,36678
5,38708,36265
5,38601,35857
5,38766,36421
5,38835,37145
5,39605,37061
5,38825,36540
5,39128,36694
6,39964,35759
6,39372,36811
6,39345,36989
6,39164,37095
6,39212,36495
6,39032,36989
6,39190,37005
6,39406,37049
6,39006,36915
6,39222,36807
6,39885,37187
6,39042,36953
6,39494,37085
6,38965,36484
6,39484,36815
6,38735,36665
6,38817,36983
6,39183,36791
