Pallet: "democracy", Extrinsic: "veto_external", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,extrinsic_time,storage_root_time
0,115002,93837
0,99899,71220
0,93719,71735
0,96826,85845
0,98833,68553
0,100280,67560
0,95820,66843
0,100284,66643
0,93404,64691
0,94563,65839
0,95084,64382
0,105115,67092
0,96396,66178
0,99376,66721
0,93038,63450
0,95707,65395
0,93708,65691
0,113605,70964
0,97753,81890
0,97069,66271
5,106976,68335
5,99041,67523
5,105497,69584
5,99390,67740
5,102940,93634
5,101924,66714
5,103013,66914
5,100327,67518
5,105587,66408
5,98582,66363
5,102794,66610
5,96125,63709
5,96077,65135
5,105811,66732
5,108800,67505
5,95892,65582
5,98306,65520
5,111159,65921
5,98941,64707
5,96635,65878
10,103856,68371
10,99983,67809
10,109771,69921
10,106474,71236
10,107921,70851
10,106938,70024
10,114325,84224
10,106454,72071
10,108691,71214
10,115239,80683
10,118904,72397
10,106022,71570
10,128836,72696
10,100140,68515
10,103344,68540
10,102039,68123
10,102532,69030
10,101883,69157
10,108232,70764
10,104381,95794
15,112123,71104
15,106634,69969
15,103690,67810
15,101958,69883
15,104465,67734
15,110835,79638
15,104786,68162
15,115987,69849
15,108962,69838
15,107529,69460
15,108527,68116
15,101358,67568
15,104545,80700
15,105118,71518
15,106582,68512
15,101118,72658
15,105165,69611
15,101570,67532
15,105350,69295
15,103524,67376
20,120041,71014
20,104991,69132
20,112675,73065
20,110705,70915
20,112153,71343
20,122345,73523
20,112933,71236
20,105432,69867
20,107055,71663
20,105914,69184
20,108701,87846
20,106932,68010
20,111605,69661
20,105161,69402
20,104091,86713
20,105026,70481
20,106523,69859
20,106091,79403
20,109593,70991
20,106256,68403
25,125280,70430
25,120258,72884
25,113315,104091
25,108084,70736
25,108390,69554
25,111051,82445
25,118022,104836
25,123866,85042
25,144350,85520
25,119672,80378
25,121112,83481
25,122644,82729
25,123902,84232
25,146734,83816
25,118647,78978
25,120349,80891
25,134749,105708
25,111825,70123
25,111513,70978
25,109763,69818
30,124020,74955
30,116434,70963
30,114450,71892
30,119035,71536
30,114683,92126
30,127163,71882
30,113733,69277
30,111502,84420
30,109937,69387
30,118267,70559
30,108659,69221
30,121451,70864
30,116455,70880
30,110236,69078
30,110538,69688
30,112952,69805
30,118369,71259
30,113278,70140
30,109961,69776
30,112445,69773
35,119155,72771
35,114170,72161
35,132494,73520
35,114663,72216
35,128658,76923
35,126889,77308
35,119391,75139
35,131096,76291
35,122515,82134
35,114884,70799
35,116651,71648
35,114527,71238
35,113841,72051
35,143747,84032
35,119802,74276
35,117826,73376
35,119462,72139
35,114730,98210
35,115782,71516
35,117840,71854
40,116441,73274
40,114395,71572
40,118741,71301
40,116351,71404
40,115726,72248
40,123085,72522
40,129996,74896
40,119692,73860
40,143819,91555
40,117116,72333
40,116345,72133
40,117542,71462
40,118682,72558
40,130691,74608
40,134113,74411
40,121155,72459
40,122918,73860
40,121394,76654
40,126998,100641
40,132106,75584
45,123355,76052
45,119622,73160
45,141861,78722
45,119639,94918
45,156522,86333
45,125075,74853
45,117894,73709
45,121186,71857
45,119574,97317
45,117199,72334
45,119888,71461
45,119670,71232
45,117846,71821
45,124980,74047
45,126306,88248
45,123795,74236
45,127560,74257
45,119757,72728
45,119058,72483
45,128013,74789
50,128168,75177
50,126577,87544
50,140207,76567
50,136859,84025
50,147721,74317
50,129408,82244
50,130992,83235
50,133042,83211
50,149514,82683
50,137147,81274
50,135822,83598
50,134730,73260
50,134511,85798
50,142037,96804
50,142235,86528
50,135918,85221
50,149775,77586
50,167705,88203
50,134342,74995
50,134482,85165
55,148833,91931
55,140654,87967
55,144529,77116
55,150030,76382
55,132236,74328
55,123802,74110
55,127405,107493
55,150045,97242
55,130400,76473
55,123603,73301
55,125036,72722
55,122932,72987
55,123869,73985
55,127387,74307
55,128476,74975
55,148192,75732
55,128690,73381
55,125748,72899
55,125820,73727
55,122587,72708
60,131549,76261
60,143686,78787
60,132520,76105
60,131028,75691
60,126917,73935
60,151002,75522
60,127232,75282
60,125292,73705
60,127422,74752
60,125252,72739
60,127098,74074
60,133640,77800
60,130623,76920
60,130686,76017
60,131768,76494
60,125308,76366
60,127532,75363
60,134756,76100
60,126706,74913
60,122803,72617
65,137122,75909
65,129467,74478
65,129705,73352
65,128125,75377
65,129404,84843
65,128179,74115
65,127031,73792
65,129109,73830
65,130162,73600
65,145077,86189
65,133624,76480
65,134256,76349
65,132928,74986
65,131771,75176
65,128374,73872
65,130329,74284
65,126789,73547
65,128422,74231
65,139399,76797
65,131632,77408
70,131545,75844
70,132132,75643
70,157815,77021
70,131088,76114
70,130726,76391
70,130856,76339
70,132330,74877
70,149260,78926
70,138557,79325
70,135548,78320
70,151774,79932
70,146944,79247
70,130975,76056
70,131359,74832
70,131344,77049
70,129805,76497
70,158231,81462
70,134676,78056
70,131003,75471
70,136181,76323
75,134440,75366
75,133101,76072
75,132843,76016
75,131561,75988
75,139028,77880
75,137919,77517
75,138954,79006
75,149659,78467
75,156563,79191
75,138086,78232
75,132447,75161
75,133547,88320
75,145582,78674
75,149977,78040
75,138398,77135
75,137364,78229
75,139968,79003
75,132798,74939
75,133116,75039
75,136222,76075
80,135592,75730
80,145204,85893
80,142328,77485
80,147273,75078
80,135694,77287
80,161955,85298
80,137356,76501
80,134864,74606
80,135936,76083
80,136246,75939
80,140783,78651
80,149897,77788
80,156442,77512
80,136522,75568
80,136817,77136
80,134600,75544
80,147997,88124
80,142259,78144
80,152824,79094
80,139811,80149
85,142272,76738
85,137406,77278
85,137257,77012
85,137596,77176
85,138855,75151
85,136897,76500
85,138182,76670
85,137490,76526
85,137023,75956
85,151107,88660
85,147957,87441
85,151406,91785
85,212033,129218
85,163457,81658
85,166161,92435
85,154134,91465
85,155760,91088
85,190207,90875
85,154100,79918
85,137396,76449
90,139067,88035
90,155923,81068
90,145662,78203
90,145729,78490
90,150721,78784
90,142074,78044
90,138301,76192
90,144141,78888
90,141238,77746
90,140825,78788
90,147669,79065
90,139797,77085
90,141637,77697
90,139870,78709
90,153397,80012
90,147727,80827
90,138888,76874
90,141194,88558
90,139201,77150
90,139631,76040
95,142177,77408
95,143077,76768
95,139711,76759
95,146992,78584
95,164257,83544
95,143492,90429
95,141055,76510
95,141225,77024
95,143999,85756
95,150556,80041
95,145278,76996
95,140256,76338
95,142092,76613
95,154507,77958
95,144561,78850
95,145854,76013
95,144285,76451
95,145726,79443
95,149086,79103
95,157633,90435
100,146953,77375
100,149142,80338
100,155303,77952
100,146566,87162
100,166629,79178
100,145806,77947
100,144695,78670
100,151358,81255
100,152043,94204
100,152672,81773
100,150620,80259
100,149445,80598
100,147651,90501
100,146034,77886
100,160947,84336
100,150204,81820
100,153825,84012
100,147768,80228
100,153705,82448
100,162353,123762

Median Slopes Analysis
========

Model:
Time ~=    99.68
    + v    0.497
              µs

Min Squares Analysis
========

Data points distribution:
    v   mean µs  sigma µs       %
    0     97.27      1.56    1.6%
    5     101.2     2.201    2.1%
   10     106.2     1.759    1.6%
   15     105.3     1.117    1.0%
   20     107.9     1.963    1.8%
   25     118.9     3.607    3.0%
   30     114.4     1.985    1.7%
   35     118.3     2.108    1.7%
   40     120.7     2.875    2.3%
   45     121.6      2.22    1.8%
   50     136.6     2.478    1.8%
   55     129.1     4.356    3.3%
   60     129.1     1.978    1.5%
   65     130.2     1.328    1.0%
   70     133.4     2.458    1.8%
   75     136.7     2.129    1.5%
   80     140.4     3.637    2.5%
   85     145.3     6.747    4.6%
   90     142.2     2.087    1.4%
   95     144.5     1.373    0.9%
  100     150.4     1.916    1.2%

Quality and confidence:
param     error
v         0.009

Model:
Time ~=    100.4
    + v    0.496
              µs

