Pallet: "democracy", Extrinsic: "vote_existing", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,51204,46978
1,48126,42286
1,47972,41693
1,48063,42183
1,47793,41606
1,47374,41463
1,47306,41100
1,47051,41384
1,47297,41283
1,46928,41199
1,47124,41324
1,46639,41159
1,46996,41376
1,47149,41365
1,47379,41459
1,47050,41345
1,47016,41199
1,47946,41728
1,46886,41189
1,47023,41562
2,47680,43261
2,47958,42005
2,48031,42004
2,48099,41813
2,47946,42181
2,47951,41702
2,47594,41283
2,47966,41632
2,47583,41474
2,47652,41434
2,47829,41491
2,47671,41383
2,48451,41707
2,47611,41920
2,47480,41241
2,47706,41323
2,47730,41538
2,48080,41641
2,47814,41644
2,47748,41674
3,49553,47477
3,49446,44964
3,48857,44268
3,48681,44009
3,49221,44272
3,48853,44247
3,48322,44192
3,49009,44151
3,48915,44308
3,49206,44125
3,49267,44300
3,49090,44020
3,48965,44094
3,48404,44010
3,48718,43741
3,49167,44480
3,48569,43998
3,48565,44376
3,48914,44057
3,49216,44887
4,49262,43752
4,49526,42989
4,49338,43581
4,49126,42677
4,49793,43268
4,48993,43890
4,49108,42567
4,49428,43060
4,49295,43503
4,49251,42515
4,49676,43436
4,49674,43198
4,49405,42968
4,49278,43032
4,49588,43356
4,50018,42944
4,50039,43214
4,49688,43261
4,49227,43478
4,49153,42863
5,49731,43744
5,49322,42972
5,49735,44326
5,49420,43547
5,49758,43994
5,49071,47062
5,50093,43249
5,49315,44090
5,49894,43381
5,49145,43706
5,50594,43648
5,49125,43510
5,49416,42940
5,49622,43956
5,48884,42819
5,50394,44255
5,49561,43685
5,49785,43099
5,49319,43632
5,49807,43269
6,50950,46102
6,50325,45967
6,50418,45278
6,50586,46062
6,50977,46716
6,50606,46008
6,50087,46308
6,51069,45666
6,51606,46290
6,50461,45808
6,50921,46717
6,50239,45240
6,50739,46657
6,50668,45884
6,50069,46287
6,50304,45618
6,50983,46046
6,50700,46032
6,50778,45784
6,50797,45754
7,50908,44357
7,50841,44889
7,50477,44044
7,50377,44504
7,50298,44491
7,50924,44607
7,50885,44398
7,50850,44270
7,53752,44848
7,50428,44448
7,50476,44245
7,50776,44879
7,50505,44736
7,50464,44513
7,50362,44310
7,50468,44278
7,50408,44212
7,50556,44425
7,50415,44462
7,50589,44172
8,50949,45134
8,50443,45119
8,51089,44857
8,51070,44685
8,50465,45419
8,51130,43994
8,50733,44350
8,50927,43733
8,51097,43945
8,50626,44242
8,51153,44561
8,50748,44242
8,51045,44620
8,50796,44075
8,50909,44134
8,50248,44459
8,50738,45105
8,51198,44291
8,51107,44796
8,51217,44203
9,51420,46293
9,50867,46128
9,51665,46137
9,51384,45830
9,51553,45988
9,51166,46170
9,51358,45986
9,50842,45834
9,51297,45986
9,51192,46100
9,51540,46352
9,50994,45845
9,50996,45848
9,50952,46073
9,51338,45925
9,50975,46282
9,51228,46268
9,51104,46368
9,50996,46287
9,51247,46382
10,51150,44325
10,50513,44569
10,50743,44406
10,51460,45105
10,50431,45033
10,51245,44615
10,51168,44695
10,51527,44473
10,51186,44920
10,50808,44331
10,51022,45181
10,51287,44626
10,50710,44159
10,50669,44112
10,50808,44755
10,50697,44633
10,50441,44329
10,51350,44480
10,50984,44407
10,50999,44652
11,51907,47569
11,51559,47624
11,52530,46699
11,51421,47225
11,51693,47147
11,51956,47236
11,51685,46515
11,52177,46361
11,51830,46665
11,52142,46463
11,54973,47206
11,51674,47043
11,51486,46558
11,51739,46768
11,51908,46964
11,51884,47178
11,52268,47134
11,51735,47130
11,52089,46665
11,51681,47105
12,51180,45242
12,51771,44930
12,51400,45133
12,51502,44656
12,51555,45055
12,51765,44949
12,51389,44613
12,51632,44744
12,51659,44789
12,51558,44737
12,51888,45036
12,51722,44775
12,51797,45270
12,51286,45169
12,51461,45041
12,52070,45239
12,51626,45434
12,51639,45364
12,52040,45217
12,51891,45165
13,52197,46636
13,51979,47638
13,51928,46570
13,52258,46911
13,52002,47521
13,52318,46762
13,52472,46960
13,51573,47054
13,51952,47069
13,51792,47039
13,53771,46955
13,53002,47448
13,51807,47230
13,51757,47130
13,52110,46872
13,52078,46776
13,52260,47123
13,52535,46714
13,51814,46885
13,52224,46707
14,52579,45017
14,52273,45030
14,52399,46166
14,52538,45047
14,53011,45214
14,52799,45387
14,53560,45517
14,53384,44975
14,52832,44995
14,53039,45000
14,52937,45118
14,52136,45258
14,53351,45140
14,52245,46051
14,53079,45732
14,52919,45796
14,52351,45400
14,52879,45196
14,52509,45156
14,52239,45139
15,52742,45588
15,52496,45485
15,53097,45288
15,52796,45380
15,53390,45053
15,52363,45163
15,52904,45765
15,52471,45229
15,52302,45060
15,52858,45374
15,52833,45554
15,52095,45121
15,53509,45611
15,52845,45572
15,51983,44791
15,52237,45387
15,52574,45188
15,52615,45406
15,52908,45602
15,52443,45042
16,54352,47180
16,54912,47351
16,54447,47630
16,53766,47551
16,53600,47610
16,53948,46986
16,54288,47217
16,54268,47256
16,53963,47872
16,53791,47470
16,53853,47771
16,53908,47167
16,54182,46824
16,54859,47440
16,54130,47739
16,53553,47510
16,53838,47850
16,53869,47437
16,53871,47121
16,54491,47334
17,53850,45999
17,52747,46619
17,52512,46226
17,52681,48989
17,53198,45864
17,53133,46212
17,52917,46019
17,53096,45951
17,53373,46216
17,52843,45784
17,52776,46282
17,52965,46484
17,52730,45919
17,53253,46438
17,52836,46118
17,52927,46555
17,52644,46090
17,52909,46278
17,53429,45962
17,53188,46543
18,54736,47885
18,54313,48403
18,54282,48069
18,54032,47860
18,54641,48058
18,57545,48440
18,54477,47776
18,53815,47990
18,54146,47573
18,54063,48230
18,54424,47514
18,54238,47159
18,54411,47695
18,54065,47760
18,54609,48065
18,54300,47609
18,54653,47417
18,54684,48417
18,54509,47385
18,54293,47839
19,53914,48474
19,54157,48240
19,53914,47397
19,53930,49126
19,53781,48703
19,53971,49297
19,54303,49094
19,53802,49174
19,54323,47667
19,53782,47625
19,53778,48166
19,53474,48539
19,53715,47910
19,53448,48421
19,53972,48382
19,53927,48426
19,53692,48249
19,54855,48416
19,53754,48014
19,54367,47611
20,54225,45817
20,54561,45674
20,54812,45489
20,54467,46043
20,54094,48695
20,55242,45907
20,54030,45777
20,54039,46072
20,55237,45500
20,54333,45577
20,54192,46004
20,55364,45991
20,54568,45472
20,54510,45691
20,54366,46089
20,54226,45720
20,54604,46036
20,54744,46202
20,53850,45785
20,55153,46199
21,54119,51046
21,53994,47513
21,54300,48104
21,53750,48165
21,54045,48113
21,53990,47487
21,53837,47860
21,53843,47842
21,54701,47682
21,53603,47192
21,53912,47659
21,53903,48015
21,53775,47944
21,53711,47735
21,54151,47737
21,53445,47689
21,54524,47808
21,54457,47420
21,53693,47636
21,53832,48055
22,55740,47769
22,55619,47857
22,55242,48028
22,55809,48019
22,55422,47938
22,55353,47442
22,54979,47616
22,55199,47518
22,54757,47413
22,55329,47515
22,55551,48272
22,55910,48214
22,55170,47580
22,55481,47666
22,55228,48124
22,55592,47888
22,55019,48157
22,55120,47991
22,55225,47984
22,58688,48250
23,54081,49610
23,54386,49288
23,54254,48938
23,54530,49137
23,54441,48864
23,54747,48842
23,54099,48821
23,54245,48862
23,54969,49167
23,53772,48804
23,54290,49020
23,53681,48982
23,53949,48966
23,53473,49622
23,54612,48673
23,54594,49114
23,54649,49080
23,54068,49447
23,55002,49400
23,54366,48926
24,56340,47953
24,55495,47123
24,55202,46832
24,54981,47392
24,55600,47307
24,55187,47657
24,55201,47159
24,55208,47538
24,55392,47725
24,55015,46898
24,55684,47567
24,55800,47141
24,55669,47262
24,55354,47060
24,56125,47563
24,55684,46959
24,55451,47436
24,55308,47033
24,55100,47413
24,55068,46699
25,54948,48997
25,54435,49717
25,54316,49237
25,54786,49225
25,54191,48601
25,54710,48927
25,54457,49588
25,55219,48990
25,54986,49476
25,54566,49164
25,54971,49174
25,54627,49625
25,54683,48712
25,54831,49081
25,54228,48743
25,54757,49061
25,54644,49523
25,55044,49297
25,54385,49435
25,54666,49306
26,56258,51071
26,56851,49682
26,56491,49081
26,56205,49397
26,56312,49496
26,56030,49252
26,56423,49463
26,56071,49355
26,55636,49687
26,55887,49493
26,56168,49293
26,56845,49617
26,55972,48945
26,55910,49352
26,56365,49289
26,56208,49491
26,56740,49069
26,56163,49539
26,55985,49492
26,56049,49990
27,56136,49501
27,56115,49139
27,56391,49245
27,56253,48875
27,56265,48911
27,56163,49364
27,56197,49305
27,56526,49684
27,56072,49290
27,56043,49241
27,55956,49658
27,56001,49353
27,56238,49091
27,56751,49564
27,56053,49825
27,56319,49990
27,56009,49125
27,56013,49144
27,56448,49353
27,56619,49698
28,56788,49997
28,56803,49491
28,56599,49192
28,56900,49846
28,56564,49438
28,56943,49284
28,56816,50192
28,56703,49339
28,56463,49331
28,56117,50144
28,56254,49203
28,56209,49354
28,56632,49060
28,57215,49473
28,56497,49438
28,56697,49202
28,56275,49407
28,57130,49168
28,56449,48752
28,56166,49195
29,56857,50310
29,56682,49136
29,56573,48872
29,56237,47973
29,56341,48622
29,56468,48541
29,56365,48708
29,56725,48461
29,56603,49592
29,56744,48979
29,56402,49945
29,56693,48625
29,56658,48940
29,56076,48641
29,56875,48393
29,55851,48524
29,56773,48483
29,56331,48971
29,56969,49282
29,56000,48479
30,57256,48597
30,56637,48713
30,56668,48435
30,57023,48802
30,57073,48834
30,56813,48726
30,57057,48248
30,56667,48702
30,56760,48624
30,57268,49252
30,59731,48833
30,56717,48527
30,56928,48963
30,57612,48548
30,56448,48725
30,56568,48290
30,56954,48981
30,57506,48613
30,56999,49181
30,56856,48331
31,57094,48673
31,56873,48618
31,56491,49085
31,57339,48951
31,56737,48723
31,56832,49196
31,57208,49187
31,56788,49137
31,56961,49012
31,56837,48827
31,57462,48856
31,57265,48961
31,57389,49226
31,57092,48890
31,56784,48998
31,56390,48362
31,56667,49009
31,56393,48553
31,56662,48799
31,56879,49032
32,57741,49044
32,57991,49092
32,57749,48883
32,58828,49401
32,58533,48543
32,58562,49198
32,58386,49071
32,58370,52181
32,57860,48800
32,57715,48795
32,57788,49054
32,58550,49208
32,57661,49026
32,58223,48454
32,57517,48585
32,57303,48998
32,58047,48980
32,58192,48962
32,57880,49371
32,57721,49185
33,57700,48781
33,58140,48843
33,57985,48626
33,57822,50805
33,58011,48821
33,57659,49268
33,58448,49456
33,57966,48977
33,58504,49221
33,58357,49355
33,58307,48932
33,58395,49703
33,58656,48928
33,58054,49418
33,58320,49797
33,58094,48765
33,58375,48950
33,58260,48917
33,58092,49177
33,57786,49603
34,59266,49523
