Pallet: "democracy", Extrinsic: "vote_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,51249,32673
1,47947,29146
1,48137,28617
1,47373,28224
1,47528,27935
1,47364,27934
1,47629,27952
1,47027,28160
1,47024,27876
1,47582,28095
1,47376,28261
1,46982,27869
1,47667,27914
1,46991,27795
1,47295,27721
1,47128,27866
1,46908,27750
1,47278,27890
1,47489,28082
1,47186,28073
2,47961,28338
2,47610,27957
2,48153,28295
2,47782,28361
2,47798,28150
2,47514,28326
2,47298,27956
2,47362,28308
2,47796,28153
2,47311,28372
2,47562,31185
2,47312,27848
2,47827,28283
2,47687,27902
2,47405,28020
2,47485,28085
2,47433,28157
2,47350,28214
2,47530,27903
2,47942,28377
3,49063,33786
3,48304,31756
3,48943,32500
3,48473,31737
3,48214,31420
3,48254,31235
3,48196,33956
3,48293,31458
3,49008,31277
3,47974,31126
3,48215,31289
3,48191,31289
3,47855,31542
3,48612,31389
3,48087,31398
3,48505,31493
3,48800,31473
3,48209,31338
3,48486,31495
3,47928,31357
4,49060,31324
4,48774,28565
4,49666,28965
4,50487,29812
4,48579,29324
4,48671,28941
4,49641,29078
4,49091,28998
4,48498,29075
4,47820,29101
4,49114,29145
4,49344,28992
4,48900,29073
4,48655,28545
4,49543,29397
4,49094,29164
4,48574,29254
4,48584,28765
4,49113,28960
4,49128,29148
5,49101,29338
5,49296,29251
5,48433,29241
5,48577,29232
5,48778,29321
5,49398,29466
5,48957,29603
5,49401,29871
5,48290,29354
5,48766,29387
5,49103,29112
5,48905,29361
5,49170,29531
5,48446,29111
5,48991,29412
5,48716,29064
5,48940,29402
5,48909,29885
5,48586,28798
5,52549,29857
6,50809,33917
6,50290,32568
6,50789,32673
6,51116,33515
6,50288,33108
6,51027,32575
6,50591,33335
6,50438,33008
6,54371,32827
6,50970,32774
6,50859,33009
6,51212,32718
6,50880,33491
6,50370,32718
6,50930,32645
6,50862,32758
6,50458,32656
6,51283,33216
6,50572,32305
6,50711,33022
7,52551,30002
7,50249,29930
7,50670,29957
7,50493,30274
7,50748,30463
7,50563,30074
7,50329,30137
7,49805,29978
7,50339,30077
7,50221,30296
7,50025,30035
7,49857,30179
7,50354,30132
7,50605,29881
7,50369,30305
7,49858,29735
7,50314,29769
7,50075,30029
7,50420,30144
7,50085,30024
8,50613,30238
8,50510,30152
8,51004,30138
8,50703,30161
8,50912,29948
8,51199,30136
8,51322,30353
8,50583,29960
8,51420,30392
8,50791,30279
8,51296,29967
8,51269,30021
8,55056,30090
8,51151,30072
8,50877,29945
8,50853,29920
8,50771,29958
8,51072,30298
8,50650,30126
8,50879,30013
9,51130,34280
9,51264,33306
9,51256,33722
9,51375,33813
9,51353,33882
9,51049,33673
9,51311,33577
9,50777,33374
9,50970,33892
9,50890,34074
9,51001,33929
9,50666,34050
9,51552,33764
9,51201,34062
9,50924,34070
9,50652,34106
9,50778,34309
9,50966,34198
9,51244,34201
9,51232,33180
10,51294,30649
10,51189,30391
10,51118,30418
10,51422,30540
10,50905,30729
10,51405,30457
10,51349,30109
10,51382,30408
10,51547,30329
10,51362,30265
10,51167,30149
10,51553,30391
10,51587,30880
10,51074,30565
10,51480,31152
10,51437,30861
10,51691,30528
10,51203,30310
10,51724,30459
10,51221,30436
11,51266,34810
11,51643,34471
11,50997,34268
11,51250,33525
11,51534,34023
11,51308,33652
11,52192,34285
11,51164,34102
11,51461,33534
11,51054,33763
11,51363,33783
11,51348,34120
11,51379,34037
11,51523,33702
11,52016,33926
11,51145,33968
11,51172,34042
11,50839,33625
11,50834,33909
11,51151,33920
12,52133,31168
12,52444,31214
12,52067,30873
12,51339,30925
12,51898,31094
12,51935,30852
12,52005,30905
12,51888,31464
12,51959,31056
12,52468,30850
12,52041,31364
12,52014,30738
12,51971,31086
12,52309,31384
12,52089,31188
12,51961,30853
12,51862,30889
12,51987,31007
12,52007,30821
12,52349,30879
13,51206,34701
13,51333,34191
13,51580,34075
13,51977,37193
13,51880,33868
13,51892,33805
13,51758,33945
13,52978,33903
13,52064,33605
13,51580,33795
13,51415,33745
13,51487,34168
13,51836,34139
13,51784,34278
13,51611,33610
13,52425,34182
13,51495,34194
13,51915,33671
13,51314,33889
13,51369,33760
14,53433,31080
14,52802,31369
14,52719,31254
14,52845,31567
14,52486,31198
14,52367,31481
14,52505,31379
14,53552,30833
14,52812,31388
14,52560,34327
14,53329,31589
14,52262,31195
14,52226,31389
14,52610,32002
14,52626,31391
14,52240,31126
14,52546,31043
14,52560,31067
14,52259,31528
14,52613,30994
15,53171,31247
15,53021,31753
15,53540,31320
15,54367,31205
15,53032,31468
15,53572,31380
15,52902,31520
15,53005,31418
15,53312,31501
15,53816,31598
15,53781,31418
15,53678,31314
15,53006,31016
15,52809,31064
15,53454,31171
15,52979,31171
15,53170,31161
15,53113,31130
15,54295,31438
15,53155,31433
16,53344,34505
16,55237,34544
16,54061,34331
16,53884,34493
16,53720,34441
16,53741,35114
16,53862,34588
16,53213,34318
16,54004,34239
16,53664,34211
16,53942,34575
16,53956,34217
16,53828,34457
16,53693,34391
16,53617,34167
16,53889,34109
16,53653,34467
16,53473,34093
16,53657,34323
16,53676,34499
17,54110,31486
17,53995,31397
17,53923,31364
17,53354,31531
17,53963,31738
17,53883,31444
17,54617,31631
17,53842,31552
17,53916,31149
17,53744,31780
17,54461,32117
17,54146,31543
17,53991,31595
17,53744,31857
17,53182,31275
17,56773,31815
17,53754,31454
17,54126,31694
17,53740,31156
17,54154,31351
18,54496,35529
18,54737,35482
18,54853,35619
18,55054,35380
18,54098,35384
18,54276,35003
18,54390,34782
18,54208,35384
18,54605,34921
18,54140,34934
18,54605,35352
18,54368,35103
18,54009,34869
18,54454,35072
18,54416,35426
18,54234,34765
18,54325,34756
18,54949,35365
18,54096,34949
18,54589,34879
19,54713,35038
19,54668,35159
19,54523,35144
19,54618,34769
19,54611,35332
19,54507,34579
19,54835,34679
19,54586,34993
19,55037,34927
19,54626,35127
19,55002,35290
19,55058,35519
19,54742,35103
19,54144,34975
19,54400,35500
19,54636,35479
19,55654,35345
19,54208,35098
19,54297,34648
19,55025,35251
20,54441,31857
20,55293,32063
20,54586,31917
20,54149,31818
20,54209,31816
20,54655,31670
20,55439,31990
20,54208,31882
20,54445,31584
20,54353,31552
20,54057,31517
20,54749,31962
20,54103,31765
20,54999,31844
20,54303,31691
20,54874,31600
20,54054,31924
20,53809,31818
20,54491,31827
20,53992,31674
21,55160,35407
21,55176,34868
21,54820,34786
21,54405,34316
21,54896,34274
21,55669,34879
21,54796,34557
21,58401,35395
21,54908,34634
21,54908,34694
21,55035,35512
21,54851,34389
21,54549,34474
21,55098,35115
21,55084,35063
21,55387,34966
21,54946,34693
21,54860,34842
21,58080,34971
21,55186,35244
22,55829,34935
22,55544,34919
22,55376,34441
22,56016,35110
22,55523,34763
22,55611,35142
22,55703,34960
22,55836,34599
22,55879,35175
22,55589,35097
22,54933,34961
22,55546,35221
22,55408,34930
22,55024,34994
22,54863,35260
22,55391,35340
22,55572,34978
22,54987,35199
22,55140,34934
22,55239,34894
23,55406,35322
23,55439,34956
23,56402,35503
23,55962,35052
23,54751,35344
23,55514,35455
23,54985,35297
23,54936,35238
23,54937,34714
23,55641,35605
23,54817,35130
23,55183,35123
23,55967,35598
23,54962,35419
23,55862,35511
23,55533,35482
23,55015,35086
23,55204,35510
23,55361,35517
23,55798,35189
24,55045,32078
24,55307,32431
24,55935,32429
24,55741,32571
24,54969,32896
24,54804,32318
24,54682,32191
24,55001,32530
24,55039,32517
24,55532,32652
24,55154,32430
24,55557,32725
24,55408,32008
24,56065,32312
24,55292,32330
24,54922,32141
24,55896,33128
24,54869,32304
24,54752,32326
24,55818,32681
25,55754,36249
25,55382,36432
25,56033,35514
25,55723,36210
25,55923,35693
25,56097,35566
25,55946,35074
25,55615,36060
25,56200,35705
25,55927,35502
25,55780,35943
25,55485,36088
25,55821,35437
25,56597,35791
25,55384,35779
25,55815,35943
25,56175,36117
25,55570,35640
25,56413,35892
25,56144,36051
26,56431,38180
26,56880,35803
26,55932,35907
26,56190,35547
26,55833,35903
26,56324,35798
26,55821,35091
26,55861,35623
26,55404,35841
26,56508,35850
26,56173,35974
26,56404,35653
26,56761,35604
26,56152,36150
26,55848,36198
26,59658,36531
26,56266,35787
26,55595,36122
26,56100,35752
26,56416,35983
27,56054,35655
27,56531,35992
27,56416,35863
27,56486,35865
27,56440,35647
27,56799,35538
27,56559,35260
27,56464,35175
27,56028,35332
27,56280,35226
27,57010,35243
27,56610,34950
27,56390,35607
27,56467,35650
27,56048,35476
27,56274,35544
27,55834,38278
27,56074,36086
27,56212,35557
27,56420,35573
28,56780,36584
28,56523,36372
28,56166,36441
28,56388,35849
28,56021,36300
28,56584,36493
28,56218,35551
28,56220,35840
28,60212,36365
28,56069,36362
28,56708,35603
28,56454,35946
28,56609,35790
28,56308,36131
28,56644,35944
28,56093,35749
28,56461,35727
28,56434,36102
28,56348,35347
28,55935,35943
29,56252,37413
29,59320,35474
29,56266,35412
29,56086,35079
29,55726,35337
29,56228,35403
29,56364,36050
29,56790,35509
29,56723,36045
29,56181,35430
29,56245,35388
29,55900,35589
29,56001,35158
29,56562,35403
29,56186,35809
29,56611,35715
29,57168,35914
29,56475,35764
29,56768,35526
29,56196,35457
30,56948,35292
30,56190,35553
30,56273,35321
30,56634,35584
30,56696,35467
30,57127,35473
30,56842,35410
30,56297,35394
30,56326,35171
30,57053,36034
30,56546,35213
30,56112,35451
30,56519,35518
30,56368,35555
30,56647,35358
30,56881,35877
30,55784,35685
30,56108,35527
30,56656,35755
30,56771,35606
31,56953,35558
31,56679,35384
31,56300,35882
31,56510,35704
31,56831,35451
31,56186,35323
31,57027,35906
31,56724,36691
31,57901,36205
31,56511,38206
31,56524,35976
31,56675,35699
31,56685,35605
31,56669,35638
31,56691,35521
31,56707,35577
31,56402,35605
31,56775,35592
31,56469,35674
31,57172,35763
32,57803,35818
32,58246,35645
32,57874,36232
32,58247,35517
32,57884,35715
32,58235,35942
32,57819,38982
32,57470,36041
32,57835,36020
32,57217,36368
32,57800,35719
32,57593,35617
32,57719,35540
32,57671,35394
32,57117,35468
32,57151,36294
32,58000,35330
32,57686,35755
32,58225,35415
32,57671,35981
33,57937,35605
33,57998,35465
33,57617,35198
33,57774,35615
33,58098,35505
33,58164,35507
33,57962,35817
33,57856,35664
33,58283,35635
33,58022,35422
33,58233,35932
33,57294,35292
33,58437,35662
33,58253,35570
33,58060,35695
33,58780,35305
33,57865,35666
33,58041,36217
33,58046,35402
33,58186,35418
34,58469,36183
34,58042,35965
34,58557,36105
34,58971,35840
34,58625,36682
34,58549,35687
34,58596,36388
34,58868,35954
34,59001,36319
34,58494,35852
34,58818,35893
34,58314,36188
34,58032,35810
34,58208,35779
34,58075,36168
34,58011,36619
34,57867,35703
34,58742,36062
34,58259,35649
34,58504,35908
35,58217,35711
35,57936,35631
35,58958,35582
35,58285,35702
35,58525,36047
35,58196,35958
35,58389,38468
35,59261,36059
35,58952,35483
35,58671,35448
35,58181,35940
35,58719,35519
35,59115,35864
35,58428,35789
35,58371,35870
35,57903,35626
35,58113,35639
35,57809,35729
35,58290,35528
35,58103,35906
36,58888,32850
36,57586,33251
36,58237,33009
36,58295,33199
36,58362,32991
36,57923,32717
36,57825,32879
36,58482,33228
36,58542,32838
36,58467,32799
36,57915,32982
36,58545,32975
36,58097,32936
36,57922,32784
36,57829,32674
36,58050,32802
36,58004,35934
36,58347,32841
36,58626,33046
36,57759,32799
37,59190,35795
37,59018,36574
37,58318,36037
37,58922,36050
37,59846,36351
37,58704,36019
37,62103,36270
37,58796,35955
37,58784,36457
37,59299,35985
37,58992,36690
37,58795,35893
37,58956,35868
37,58739,36246
37,58861,36264
37,78835,48564
37,59237,36174
37,58500,37254
37,58439,35794
37,58508,36632
38,59141,33571
38,58338,33276
38,58017,33112
38,94220,33712
38,58856,32888
38,58144,33051
38,58334,33013
38,58069,32905
38,58483,32884
38,58039,32831
38,79675,36064
38,59299,33110
38,57803,33133
38,58587,32644
38,58862,33075
38,58394,32709
38,57861,32784
38,62977,33162
38,57729,33293
38,58365,32772
39,58569,36843
39,58996,36716
39,59258,36484
39,59649,39237
39,59100,36519
39,59378,36557
39,58484,36239
39,59527,36350
39,58943,36472
39,60612,37189
39,59118,36910
39,59168,36292
39,58473,36652
39,59180,36783
39,59093,36586
39,59194,36512
39,58743,36399
39,58949,36128
39,58714,36624
39,58943,36011
40,59698,36805
40,58974,36169
40,59317,36713
40,59185,36298
40,60003,36332
40,60002,36625
40,59093,36735
40,59091,36194
40,59533,36265
40,59692,36633
40,59236,36593
40,59495,36198
40,59557,36447
40,59219,36789
40,59552,36841
40,58965,36390
40,59737,36936
40,59226,36662
40,59039,36223
40,61862,36142
41,59516,36784
41,59636,36676
41,59626,36493
41,59802,37517
41,60577,37129
41,59546,37681
41,59092,36608
41,60117,36960
41,59957,36918
41,59609,36729
41,59734,36994
41,59714,37033
41,60272,36823
41,59173,36750
41,59141,36822
41,59206,36465
41,59686,36818
41,59145,36630
41,59713,36703
41,58987,36644
42,60637,36766
42,59903,36805
42,60050,37162
42,59746,36564
42,60086,36518
42,59852,36652
42,59526,36600
42,59669,36630
42,60088,37462
42,60101,36721
42,59784,36307
42,62861,37137
42,59394,36852
42,59119,36272
42,59693,37024
42,60066,36866
42,59600,36814
42,60025,36818
42,59924,36814
42,59176,36755
43,60807,38741
43,60383,38494
43,60210,38038
43,60400,38855
43,60144,38451
43,62803,39414
43,59703,38266
43,60316,38205
43,60332,38820
43,60508,38505
43,60415,38318
43,60015,38856
43,60375,38285
43,59982,38780
43,59764,38297
43,60346,38721
43,60521,38803
43,60443,38609
43,60191,38166
43,60001,38715
44,59771,39007
44,60169,37506
44,60236,37461
44,59889,36619
44,59966,37242
44,59803,36620
44,60336,37624
44,60254,37402
44,59514,37200
44,59852,37199
44,59899,37277
44,60211,37105
44,60619,36474
44,60091,37211
44,59480,37351
44,59958,36763
44,59687,37316
44,60469,36809
44,60110,38263
44,59971,36640
45,60039,37166
45,60391,37121
45,60249,37252
45,59871,37077
45,59688,36751
45,60341,36967
45,60016,37287
45,60071,37396
45,59931,36695
45,59626,36937
45,60302,37301
45,59759,38350
45,60111,37119
45,60236,36958
45,59964,37318
45,59975,37451
45,59705,37234
45,59778,37747
45,59909,36786
45,60104,37059
46,60640,36896
46,60486,37184
46,60818,36797
46,59833,36372
46,59785,36753
46,59586,36886
46,62598,37840
46,59975,36886
46,60283,37035
46,60360,36876
46,59971,36751
46,64264,36863
46,60542,36707
46,60135,36589
46,60245,36819
46,60359,36610
46,60264,39561
46,62413,37929
46,60409,37142
46,59838,36600
47,60149,36902
47,61395,37621
47,59976,37550
47,60571,37122
47,60166,37229
47,59836,37349
47,59999,37226
47,60662,37291
47,61352,37193
47,60317,37632
47,60058,37391
47,60619,37588
47,60074,37355
47,61166,37148
47,60167,37018
47,59999,37054
47,61022,37277
47,63213,37888
47,60640,37060
47,59941,37510
48,60267,37533
48,60179,37106
48,60233,37101
48,60194,36955
48,60460,37478
48,60348,37526
48,61576,37531
48,60027,37004
48,63114,37701
48,60713,37766
48,60629,37257
48,60875,37153
48,60331,37356
48,60743,37225
48,60050,37580
48,60425,37178
48,60154,37167
48,60670,37768
48,61265,37043
48,60143,37074
49,60932,37219
49,61029,37418
49,60087,36907
49,61238,37121
49,60342,36734
49,63353,37195
49,60728,36898
49,60665,37045
49,61016,37260
49,60165,37065
49,60279,37025
49,60700,36637
49,60579,36985
49,60570,36919
49,60099,37103
49,60554,36836
49,60410,36908
49,60677,37318
49,60527,36800
49,60545,37205
50,61133,38985
50,60676,38644
50,60994,39173
50,60792,42795
50,60805,39048
