Pallet: "elections", Extrinsic: "remove_member_with_replacement", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,60213,57769
0,51398,53868
0,51146,53976
0,51252,54515
0,51060,54307
0,51254,53967
0,50457,55212
0,51587,54317
0,51216,54234
0,51037,54536
0,51350,53363
0,51517,53222
0,50557,54250
0,50925,54571
0,51238,53944
0,51157,54284
0,50540,54097
0,50513,53345
0,50772,53923
0,49859,54455
20,51204,54395
20,50115,54476
20,51173,54653
20,50490,54389
20,50922,53965
20,50900,54625
20,50788,55270
20,50630,54883
20,50439,54969
20,49909,54855
20,50916,54198
20,51281,54449
20,50553,54485
20,50921,54898
20,50783,54313
20,50159,55495
20,50336,54312
20,51166,53956
20,50657,53937
20,50200,54039
40,51069,54272
40,50809,54464
40,50809,53914
40,50896,54042
40,50561,53644
40,50711,54635
40,50475,54219
40,50826,54136
40,50994,55103
40,50836,53790
40,50791,53760
40,51388,54317
40,50914,54107
40,50458,54801
40,50896,54841
40,50998,54287
40,51076,54542
40,50933,54351
40,50391,54390
40,51447,54769
60,50732,54989
60,51008,54097
60,50600,54575
60,51073,53843
60,50717,53842
60,51894,54499
60,51113,54700
60,50071,55490
60,51298,54460
60,50916,54393
60,51854,54508
60,50912,54756
60,51850,54792
60,51683,54208
60,51294,54168
60,50807,54734
60,50934,54159
60,51147,54672
60,51061,54488
60,50315,54621
80,51530,54074
80,50731,54329
80,50759,54009
80,51126,54437
80,50853,53920
80,50855,53843
80,50970,54288
80,50124,55068
80,50921,53833
80,50537,54484
80,51034,55134
80,50939,54051
80,51339,54249
80,50478,55008
80,50872,54388
80,51238,54212
80,50150,55240
80,51219,53772
80,51014,54295
80,51177,54947
100,51314,54190
100,51197,54436
100,51030,54040
100,50787,53531
100,51324,54480
100,50650,54208
100,51168,54255
100,50967,54414
100,50833,54340
100,51539,54278
100,51347,54102
100,50789,54176
100,50834,55157
100,50473,54222
100,50758,55081
100,51145,54760
100,51358,53972
100,50589,54209
100,50985,54414
100,50284,54631
120,50463,54753
120,50986,54547
120,50142,55276
120,50268,55251
120,50487,54128
120,50344,55226
120,51050,53745
120,50596,53758
120,51410,54658
120,50798,54369
120,50599,54846
120,50732,57593
120,50416,54338
120,51647,54301
120,50101,54719
120,50781,54434
120,51221,54340
120,51185,54513
120,51370,57619
120,51180,54310
140,51268,54501
140,50357,54953
140,51318,54510
140,50717,55195
140,50940,54365
140,51037,57472
140,51088,55227
140,50976,53809
140,51204,54546
140,51715,54338
140,51191,54503
140,51438,54886
140,54076,54162
140,51040,53619
140,50900,54330
140,51181,53442
140,50824,54622
140,50861,53695
140,50813,54768
140,54610,54678
160,50437,54075
160,50619,54276
160,50448,54177
160,50794,54719
160,50907,53671
160,50933,53854
160,54253,54546
160,50909,53771
160,50341,54469
160,51245,53953
160,50953,54666
160,50548,54841
160,50528,54010
160,53267,54526
160,50313,54852
160,50252,53902
160,51619,54283
160,51659,54050
160,50936,54001
160,50980,54273
180,54544,55183
180,50681,54355
180,51092,54488
180,51419,54440
180,50854,54655
180,50847,54272
180,51289,54565
180,51294,54767
180,51558,54523
180,51011,55304
180,50813,54467
180,50161,54821
180,50849,54634
180,50435,54201
180,51275,54407
180,50875,54257
180,51189,54370
180,50397,55111
180,50913,54793
180,50889,54690
200,50472,55229
200,79330,54753
200,50720,54309
200,50974,54153
200,51076,54140
200,50599,54642
200,50824,54201
200,50561,54870
200,51571,54064
200,50495,54538
200,51403,54252
200,51230,54087
200,51084,53772
200,50321,53779
200,50731,53380
200,51251,53944
200,51091,53612
200,50870,54024
200,51792,53553
200,50937,53710
220,51287,54327
220,51235,54704
220,51439,54185
220,51205,55032
220,50975,54261
220,51068,54852
220,50741,54646
220,50988,54509
220,51549,54367
220,51001,54509
220,49859,55072
220,51171,54726
220,50630,53990
220,51248,54108
220,50702,54125
220,51674,54363
220,50125,54952
220,50883,54749
220,51213,53951
220,50614,53829
240,51314,54171
240,50626,54225
240,50868,54829
240,51349,54365
240,51207,54107
240,51268,54464
240,50186,54697
240,50910,54481
240,51178,54736
240,51336,54725
240,51103,53951
240,50767,54427
240,51048,54261
240,51844,54429
240,50982,53895
240,51157,53530
240,51360,54119
240,51450,54297
240,50806,54078
240,50086,54632
260,50857,53839
260,50789,54171
260,50730,54551
260,51200,54340
260,51549,54636
260,51062,54064
260,50380,54706
260,50891,54239
260,51017,53734
260,51106,54231
260,51248,54483
260,51469,53829
260,50776,54047
260,51549,54969
260,50544,54501
260,50955,54212
260,50676,54532
260,51300,53831
260,51226,54617
260,50902,53964
280,50899,53970
280,50769,53968
280,50470,54606
280,50917,54150
280,50884,54204
280,50160,54393
280,50390,54970
280,51167,53586
280,50394,54714
280,51130,54740
280,50971,54815
280,50513,53623
280,51089,53667
280,51065,54306
280,51078,53594
280,50625,54725
280,50274,55001
280,50987,53949
280,50802,53790
280,51066,54530
300,50631,54461
300,51297,54067
300,50771,54447
300,50957,54046
300,50193,55218
300,51543,54349
300,51137,53877
300,50787,54414
300,51175,54093
300,50781,54607
300,51018,54161
300,50674,54058
300,50920,54029
300,51153,54444
300,50650,53922
300,51135,53730
300,51317,54750
300,49769,54495
300,50731,53779
300,50949,53996
320,50989,54693
320,51142,54369
320,50174,54973
