Pallet: "elections", Extrinsic: "remove_member_without_replacement", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
1,8523582,68586
1,8395491,65608
1,8438037,65873
1,8403898,65304
1,8423619,64833
1,8425321,64737
1,8423298,64347
1,8421017,65221
1,8431336,65044
1,8500379,67559
1,8423941,64777
1,8510449,64807
1,8533342,64879
1,8425813,64637
1,8411550,65321
1,8540393,68089
1,8439031,64722
1,8495729,65220
1,8446592,65085
1,8412112,77835
2,9912772,72593
2,9839999,72194
2,9907527,72056
2,9986734,71980
2,9896600,71905
2,9881092,71415
2,9938598,72927
2,9991095,72801
2,9888446,72136
2,9898660,72941
2,9911630,72202
2,9841519,72014
2,9936442,72125
2,9870826,72758
2,9943436,72735
2,9935699,72369
2,9957983,71768
2,9917324,73039
2,9906447,72541
2,9903203,71896
3,11857318,77505
3,11771157,75381
3,11805112,76721
3,11732991,75551
3,11697500,76152
3,11844398,75588
3,11762925,76209
3,11776944,76300
3,11723178,76380
3,11788817,77017
3,11730982,75444
3,11672977,76210
3,11813026,75971
3,11816063,75523
3,11846090,76579
3,11945575,76602
3,11808512,76079
3,11754067,76264
3,11678329,76748
3,11914983,76504
4,13347926,83480
4,13320145,84577
4,13339325,83871
4,13304872,83518
4,13272964,84458
4,14146847,83163
4,13327637,84584
4,13325497,83883
4,13324266,83738
4,13339482,82885
4,13311331,84090
4,13246664,83241
4,13402656,86229
4,13306456,83894
4,13377346,84521
4,13328740,84903
4,13361283,83022
4,13273337,83809
4,13438893,83969
4,13291590,84501
5,15810038,94326
5,15826761,94526
5,15855190,92389
5,15863112,94001
5,15724776,92679
5,15793553,93232
5,15692473,93497
5,15757407,92835
5,15862461,93196
5,15769860,92864
5,15764015,94418
5,15805055,94410
5,15731574,93220
5,15755975,93198
5,15771538,92911
5,15775542,93092
5,15740259,93093
5,15789070,93238
5,15734253,92946
5,15752080,93337
6,18256968,98968
6,18221129,98514
6,18205085,97596
6,18216107,98219
6,18193144,97210
6,18148237,99208
6,18178309,98399
6,18164389,97441
6,18209470,98824
6,18291408,101621
6,18248846,97528
6,18316794,99227
6,18238902,97129
6,18245907,98780
6,18218344,98077
6,18218493,98553
6,18170795,97571
6,18316514,98230
6,18228879,97586
6,18216519,98006
7,22059400,109700
7,21028673,108783
7,20942968,104839
7,20999794,106590
7,20914583,106028
7,20960718,106759
7,21027396,106273
7,20955735,106228
7,20909165,104695
7,21028901,107180
7,20927820,107100
7,20909761,106661
7,20973095,106694
7,21055273,106119
7,20958590,106122
7,20895217,106505
7,20860809,105611
7,20942958,106060
7,21047394,104466
7,20962412,106827
8,24224261,113816
8,24264583,114766
8,24211330,113647
8,24360599,114420
8,24174141,114600
8,24215149,113815
8,24207998,113813
8,24174845,113150
8,24146702,114909
8,24153909,113292
8,24195453,114551
8,24242366,114192
8,24120187,113681
8,24181531,111955
8,24119278,114311
8,24234178,113996
8,24227532,114691
8,24246097,113593
8,23997401,112285
8,24255497,115724
9,28301284,120831
9,28154839,122049
9,28205339,121102
9,28234029,120562
9,28153539,120169
9,28210922,119553
9,28212821,123206
9,28258160,121852
9,28139258,120507
9,28201062,120222
9,28085114,119365
9,28274476,119863
9,28039303,120926
9,28311561,120821
9,28119436,120307
9,28252305,119576
9,28158780,120780
9,28284152,119922
9,28197652,120439
9,28248756,123876
10,32042024,125027
10,31955246,124348
10,31844366,124819
10,31997740,124706
10,31935713,124477
10,32097351,124042
10,31977732,124908
10,32151105,125641
10,31891251,125025
10,31999575,123858
10,31889525,124401
10,32006945,124622
10,32015495,125361
10,31961582,124392
10,31877365,123343
10,32010748,124140
10,31872116,123410
10,31960355,125038
10,32024881,126530
10,32047949,127821
11,36052800,130224
11,36318289,128871
11,36133485,127635
11,36148960,129147
11,36119639,128094
11,36132117,128383
11,36061857,128802
11,36113131,128287
11,36134922,129551
11,36229127,129180
11,36105785,128834
11,36164801,128440
11,36119724,128849
11,36135212,128120
11,36268551,142914
11,36186577,128341
11,36172195,129005
11,36135644,127672
11,36144831,130119
11,36494107,128681
12,40513380,134722
12,40706869,131821
12,40606028,132719
12,40676784,133307
12,40637982,134094
12,40738149,133192
12,40582643,133747
12,40594121,133319
12,40529575,132986
12,40705359,132898
12,40544929,133364
12,40688134,132388
