Pallet: "elections", Extrinsic: "remove_voter", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,40624,53431
0,37689,45511
0,37508,45036
0,37027,44578
0,37150,44534
0,37093,44763
0,37049,44834
0,37129,44682
0,37057,45045
0,37199,44826
0,37466,44726
0,36934,44569
0,37517,45268
0,37270,45076
0,36900,44841
0,36974,45004
0,37142,44562
0,36610,48195
0,37041,44208
0,36923,44586
20,36467,38954
20,36337,38220
20,36321,38308
20,36302,38017
20,36215,38481
20,36276,38814
20,36347,38347
20,36471,38049
20,36060,38304
20,36567,38762
20,36088,38258
20,36381,38367
20,36492,38623
20,36156,38017
20,36215,38198
20,36198,38262
20,36235,38602
20,36816,38733
20,36313,38741
20,36279,38428
40,36413,40924
40,36620,40981
40,36536,40832
40,36621,40301
40,36393,40862
40,36750,40383
40,37143,40652
40,36294,40741
40,36708,40926
40,36447,40575
40,36658,40739
40,36432,40601
40,36628,40656
40,36342,41087
40,36757,40894
40,36200,40362
40,36846,40706
40,36606,40116
40,36756,40658
40,36206,41094
60,36165,38057
60,36117,37697
60,36510,37378
60,35972,37890
60,36181,37645
60,36189,37473
60,36213,37700
60,36333,38032
60,36466,38045
60,36551,38068
60,36524,37680
60,36654,38539
60,36325,37915
60,36048,37902
60,36575,37937
60,36489,37564
60,36119,37569
60,36541,37559
60,36358,37625
60,36406,37811
80,36705,39583
80,36522,39518
80,36654,39568
80,37091,39690
80,36407,39382
80,36994,39323
80,36479,39358
80,36683,39958
80,36890,39509
80,36756,39933
80,37105,39487
80,37168,39718
80,36728,39297
80,51635,52625
80,37453,39872
80,36464,39526
80,37027,39219
80,36813,39423
80,36596,39427
80,37417,40077
100,36893,45563
100,36992,45436
100,36697,44958
100,37427,44830
100,37342,44753
100,37410,46120
100,37499,45201
100,37423,45320
100,37404,45255
100,37378,44711
100,36999,45301
100,37022,44915
100,36931,44852
100,37177,44816
100,37643,45187
100,37709,45333
100,37370,45115
100,37870,45166
100,37670,45425
100,36996,44907
120,37057,45077
120,37153,45072
120,37110,44423
120,37101,44848
120,36722,44445
120,36734,44446
120,36893,44688
120,36654,44727
120,37122,44917
120,36718,44727
120,37276,44481
120,36987,44988
120,37250,52109
120,37094,44558
120,37210,44881
120,37400,44983
120,37112,44402
120,37275,44682
120,37154,45082
120,37041,44992
140,36942,40348
140,36575,40099
140,36734,40134
140,36841,40877
140,36859,39933
140,36529,39839
140,36885,40927
140,36640,40297
140,36480,40443
140,36417,40075
140,36539,40043
140,36432,40545
140,36790,41131
140,36654,40401
140,36825,40296
140,37158,40673
140,54396,41887
140,36918,40668
140,36822,40149
140,36705,40250
160,36494,40244
160,37116,40529
160,36904,40645
160,36750,40559
160,36729,40537
160,36342,40149
160,36632,40131
160,36977,40122
160,36728,40444
160,36664,40900
160,36337,40227
160,36593,40631
160,36756,40427
160,36245,40094
160,36798,40159
160,36375,40623
160,36853,40661
160,36540,40363
160,36851,40534
160,36651,40822
180,35967,38874
180,36023,36078
180,35991,35519
180,36009,35791
180,36024,35536
180,36310,35922
180,35845,35886
180,35827,35452
180,35844,35832
180,35824,35901
180,35620,36025
180,35994,35551
180,36154,35834
180,36065,35284
180,35766,35396
180,35745,35442
180,35755,35305
180,36120,35858
180,36044,35464
180,36783,35387
200,36502,40376
200,36598,39985
200,36624,40011
200,36566,40204
200,36506,40090
200,36738,40390
200,36124,39933
200,36478,40332
200,36395,40174
200,36435,40011
200,36169,40054
200,35813,39618
200,36677,39697
200,36171,39795
200,41031,40910
200,36450,40276
200,36535,39575
200,36304,40026
200,36980,39753
200,36330,40708
220,36876,40820
220,36406,40164
220,36616,40202
220,36966,40611
220,36809,40084
220,36916,40510
220,36951,40195
220,37052,40169
220,36672,40010
220,36652,40351
220,36613,40414
220,36879,40370
220,36706,40434
220,36664,39806
220,36205,40009
220,36886,40377
220,36898,40237
220,36739,40468
220,36914,70823
220,36660,40561
240,36623,36927
240,36008,36982
240,36033,36975
240,36359,37578
240,36061,37124
240,36026,37517
240,35948,37560
240,35870,37334
240,35929,37148
240,36005,37207
240,36075,37152
240,36302,37414
240,36140,37214
240,35937,36967
240,36249,37161
240,35837,37381
240,36510,37087
240,36081,37369
240,36173,36925
240,36140,36966
260,37176,46848
260,37144,46210
260,37357,47032
260,37443,46712
260,37534,46958
260,37428,46971
260,37864,47179
260,37990,47234
260,37366,47005
260,37392,47190
260,37501,46780
260,37475,47096
260,37425,46554
260,37510,47116
260,36999,46829
260,37138,47068
260,37053,46596
260,37456,47002
260,37007,46587
260,37250,46364
280,37396,46580
280,37431,46756
280,37553,47061
280,37262,47001
280,37275,46947
280,37110,46729
280,37114,46689
280,37665,46954
280,37405,47106
280,36985,47136
280,37789,47578
280,37048,47173
280,37375,46348
280,37577,47149
280,37196,46474
280,37405,46777
280,37208,47783
280,37251,46698
280,37325,46785
280,37588,46773
300,36499,40936
300,36889,40978
300,36808,40839
300,37689,40514
300,36425,40805
300,37426,40970
300,36243,41189
300,36513,40665
300,36210,40613
300,36363,40710
300,36438,40851
300,36575,40769
