Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
1,16,211347,72575
1,16,202695,66026
1,16,201967,66292
1,16,233070,66883
1,16,201780,65610
1,16,202586,64906
1,16,201683,65701
1,16,202271,64999
1,16,201708,65763
1,16,202459,65675
1,16,201211,65912
1,16,201470,65735
1,16,202218,65892
1,16,200996,66168
1,16,201538,66256
1,16,201512,66656
1,16,201811,66626
1,16,201376,66167
1,16,200463,66490
1,16,200712,66994
2,16,203349,69823
2,16,202984,65920
2,16,203292,65717
2,16,203176,65944
2,16,202330,65986
2,16,202372,65599
2,16,203986,66279
2,16,203704,66053
2,16,203651,66375
2,16,203534,69003
2,16,203169,65763
2,16,203329,65689
2,16,203349,65785
2,16,204256,65615
2,16,203168,65101
2,16,202633,66502
2,16,203289,65918
2,16,204537,65373
2,16,203954,65896
2,16,204032,65664
3,16,205820,66809
3,16,204942,65583
3,16,205418,66511
3,16,204750,65747
3,16,204544,66166
3,16,204667,65990
3,16,204949,65729
3,16,204884,65890
3,16,204924,69324
3,16,205428,65537
3,16,205251,65750
3,16,204335,65375
3,16,205271,65959
3,16,203899,65682
3,16,205276,65507
3,16,205257,65794
3,16,205407,65760
3,16,205600,66020
3,16,206018,69088
3,16,204906,65602
4,16,207025,66055
4,16,207007,65484
4,16,206743,65823
4,16,207442,65958
4,16,207313,65888
4,16,207076,66214
4,16,207577,66100
4,16,207420,65734
4,16,206856,66095
4,16,211220,65828
4,16,207465,66686
4,16,206255,66482
4,16,206795,66421
4,16,208346,65994
4,16,207018,65738
4,16,206856,65394
4,16,206662,65987
4,16,206700,66040
4,16,207588,65880
4,16,207722,66097
5,16,209027,66063
5,16,240316,66261
5,16,209105,65922
5,16,209679,66451
5,16,207208,66855
5,16,208262,66614
5,16,209254,65826
5,16,208697,66783
5,16,208805,66410
5,16,208268,65831
5,16,207794,66090
5,16,208813,65578
5,16,208986,66306
5,16,209575,65946
5,16,209573,66173
5,16,211057,66484
5,16,209345,66237
5,16,208956,66295
5,16,207650,66733
5,16,209125,66215
6,16,209914,65947
6,16,210283,66085
6,16,210361,65503
6,16,210219,65493
6,16,210106,66345
6,16,210523,65621
6,16,210781,66328
6,16,209958,65478
6,16,209571,65322
6,16,211713,66217
6,16,210641,66032
6,16,213020,66568
6,16,209134,66224
6,16,210720,65804
6,16,210604,66192
6,16,210673,65809
6,16,211019,66013
6,16,209748,65887
6,16,210830,66564
6,16,209484,66061
7,16,212212,66216
7,16,211788,66165
7,16,211310,65966
7,16,212222,66486
7,16,211296,65961
7,16,211505,65633
7,16,212157,66611
7,16,212327,66336
7,16,211539,66837
7,16,214858,66882
7,16,211540,69365
7,16,211569,66338
7,16,211473,66097
7,16,211147,66232
7,16,211908,66587
7,16,212897,65780
7,16,211770,65666
7,16,211134,66331
7,16,212089,65873
7,16,212921,67035
8,16,213297,67408
8,16,214103,67027
8,16,214840,66642
8,16,214865,66425
8,16,214858,66437
8,16,214518,66244
8,16,215023,66750
8,16,213764,66205
8,16,213831,66764
8,16,214155,65988
8,16,214207,65996
8,16,212993,67070
8,16,214714,66594
8,16,215591,66623
8,16,217160,66248
8,16,214534,69109
8,16,214925,65806
8,16,213583,65959
8,16,214251,66642
8,16,214044,66035
9,16,215971,61819
9,16,215442,66117
9,16,215271,66489
9,16,215839,66094
9,16,215976,66484
9,16,214677,66204
9,16,214769,66987
9,16,215033,67032
9,16,214675,67423
9,16,214883,67738
9,16,214295,67138
9,16,214504,67689
9,16,214678,66722
9,16,214545,67457
9,16,214420,67167
9,16,214250,67171
9,16,214429,66745
9,16,215072,67955
9,16,214299,67472
9,16,214276,67006
10,16,217374,66363
10,16,217387,67018
10,16,217209,67000
10,16,216758,67516
10,16,216930,66349
10,16,215969,67776
10,16,216805,67743
10,16,217380,67927
10,16,216031,68059
10,16,217401,67815
10,16,216726,67830
10,16,217514,66344
10,16,217179,67609
10,16,216806,67606
10,16,216873,66710
10,16,217217,67213
10,16,216774,67861
10,16,216811,68017
10,16,217347,66806
10,16,217836,67107
11,16,218621,67610
11,16,218482,67011
11,16,217737,66550
11,16,218430,67240
11,16,218453,67336
11,16,218358,66734
11,16,218817,66923
11,16,218762,67448
11,16,218132,67359
11,16,217781,67044
11,16,218301,66778
11,16,218391,67098
11,16,218380,67338
11,16,218054,67263
11,16,217906,67079
11,16,217854,67218
11,16,217121,67551
11,16,217461,67428
11,16,217749,66385
11,16,217946,66733
12,16,219665,67235
12,16,219843,67977
12,16,218998,67414
12,16,220195,67098
12,16,219763,66941
12,16,219238,67395
12,16,220265,68204
12,16,219859,66630
12,16,220450,67094
12,16,219484,67009
12,16,220623,66742
12,16,219252,67543
12,16,220630,66735
12,16,219105,67075
12,16,219759,66336
12,16,219980,67418
12,16,220363,67508
12,16,220083,67062
12,16,219522,67484
12,16,219179,67731
13,16,221651,66827
13,16,222777,67535
13,16,221230,67925
13,16,222134,67521
13,16,221614,66820
13,16,221813,67154
13,16,222473,67154
13,16,221113,67591
13,16,222394,67551
13,16,221799,67101
13,16,220985,67093
13,16,220843,67659
13,16,222498,67335
13,16,221744,66619
13,16,221754,67129
13,16,221887,67739
13,16,221585,67666
13,16,253330,67611
13,16,224686,67562
13,16,222898,67342
14,16,222649,67515
14,16,224103,67515
14,16,222993,67393
14,16,223474,66414
14,16,223762,66798
14,16,223760,66911
14,16,222739,66814
14,16,223468,66977
14,16,222576,67629
14,16,223509,67511
14,16,223615,67826
14,16,223169,66406
14,16,223333,67296
14,16,223241,66523
14,16,223122,67145
14,16,223641,67631
14,16,224481,67539
14,16,223116,67033
14,16,223623,66478
14,16,223075,67317
15,16,224192,67448
15,16,228782,67740
15,16,224204,66952
15,16,225554,67386
15,16,224395,67745
15,16,224386,67667
15,16,224794,67081
15,16,224793,68613
15,16,225077,67563
15,16,225497,66933
15,16,224515,67618
15,16,224852,66997
15,16,225007,67775
15,16,225810,67142
15,16,225413,67400
15,16,224842,67473
15,16,225251,67429
15,16,224533,66853
15,16,224267,67825
15,16,228001,67425
16,16,228790,67068
16,16,226987,67340
16,16,226943,67796
16,16,226117,68003
16,16,226160,67523
16,16,226408,67076
16,16,226158,66887
16,16,226439,67567
16,16,226598,66748
16,16,226156,67459
16,16,226441,67327
16,16,227203,67589
16,16,226746,67171
16,16,226616,67322
16,16,252783,82233
16,16,225973,67951
16,16,226737,67903
16,16,226769,67264
16,16,226469,67770
16,16,226586,67864
17,16,229056,67752
17,16,228476,67917
17,16,227023,67790
17,16,229238,67490
17,16,228069,68262
17,16,228700,68151
17,16,228494,67986
17,16,231777,66716
17,16,229612,67814
17,16,229370,67842
17,16,228745,67318
17,16,228838,67884
17,16,228231,67490
17,16,229363,68479
17,16,228384,67423
17,16,228896,67663
17,16,227689,67298
17,16,228329,67793
17,16,228555,67765
17,16,231090,67601
18,16,229664,67734
18,16,228778,67746
18,16,229034,67490
18,16,228711,67543
18,16,229072,67701
18,16,229846,67718
18,16,230339,67719
18,16,229740,67520
18,16,229970,67369
18,16,230010,67847
18,16,229708,67333
18,16,230044,67272
18,16,229377,67176
18,16,229386,67257
18,16,229009,67196
18,16,229959,67558
18,16,229452,67606
18,16,229816,67317
18,16,229985,67992
18,16,229865,67199
19,16,234762,67423
19,16,231080,67211
19,16,231312,68052
19,16,231392,68046
19,16,231386,67911
19,16,232015,67910
19,16,230527,68415
19,16,230883,67458
19,16,230264,68863
19,16,236066,68490
19,16,231767,68128
19,16,230402,67614
19,16,231112,67718
19,16,231046,67462
19,16,231597,67959
19,16,230806,67274
19,16,230723,67588
19,16,231380,68109
19,16,233810,68295
19,16,231990,67934
20,16,232239,67189
20,16,233023,67667
20,16,232828,68127
20,16,233290,67275
20,16,232411,67208
20,16,232954,68178
20,16,235578,68171
20,16,233012,68441
20,16,233236,67667
20,16,233712,67927
20,16,232919,68010
20,16,231977,68212
20,16,232439,67393
20,16,231921,68744
20,16,239330,68779
20,16,232487,67699
20,16,233040,68042
20,16,233519,67648
20,16,233030,67806
20,16,231668,68065
21,16,235932,66985
21,16,235348,68282
21,16,239751,65834
21,16,235047,67820
21,16,233901,67714
21,16,236139,66178
21,16,236122,67162
21,16,234969,66081
21,16,233888,67942
21,16,236609,69314
21,16,233358,67435
21,16,233938,69097
21,16,234549,68497
21,16,233995,69056
21,16,235041,67835
21,16,233843,69161
21,16,234042,69585
21,16,234281,68741
21,16,234332,69075
21,16,233715,69045
22,16,235118,68098
22,16,235698,68385
22,16,236202,69175
22,16,236017,71464
22,16,236851,68644
22,16,235770,68299
22,16,235626,67989
22,16,235319,68542
22,16,235930,68569
22,16,235671,68381
22,16,236069,68267
22,16,235387,68386
22,16,235083,68256
22,16,236242,67969
22,16,235381,68234
22,16,236012,68737
22,16,235754,71918
22,16,235459,69042
22,16,235780,67913
22,16,235692,68917
23,16,237606,67872
23,16,236324,67955
