Pallet: "elections", Extrinsic: "report_defunct_voter_incorrect", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,c,extrinsic_time,storage_root_time
0,16,84719,66179
0,16,77230,57842
0,16,77461,58546
0,16,77328,57759
0,16,76959,58569
0,16,77165,57878
0,16,77853,57857
0,16,77205,58007
0,16,76633,56972
0,16,77178,58119
0,16,77254,57532
0,16,77046,57936
0,16,77615,58538
0,16,77170,57871
0,16,77285,57762
0,16,77843,58012
0,16,77231,58195
0,16,77030,58214
0,16,77786,57856
0,16,77516,57947
1,16,77714,58554
1,16,78122,58316
1,16,77480,57807
1,16,78413,58511
1,16,78111,58260
1,16,77514,57822
1,16,78190,57990
1,16,78365,58409
1,16,77988,58130
1,16,77541,58085
1,16,77725,58780
1,16,78247,58367
1,16,78360,58286
1,16,78355,58606
1,16,78052,58359
1,16,77812,58465
1,16,77461,57690
1,16,77822,57572
1,16,77862,58540
1,16,78283,57811
2,16,78307,59132
2,16,78230,58827
2,16,78485,57847
2,16,78047,58293
2,16,78730,58839
2,16,78138,58100
2,16,78505,58812
2,16,78636,57984
2,16,79151,57941
2,16,79325,58411
2,16,78116,58421
2,16,78211,58730
2,16,78963,57812
2,16,78045,58161
2,16,78704,58497
2,16,77776,58612
2,16,78585,59318
2,16,77994,58785
2,16,78470,58594
2,16,78673,58538
3,16,78550,58813
3,16,79363,58761
3,16,78464,59128
3,16,78661,58587
3,16,78541,59010
3,16,78609,59214
3,16,78519,59064
3,16,78638,76799
3,16,78649,58768
3,16,78517,59114
3,16,78786,58951
3,16,78177,58151
3,16,79114,58509
3,16,78459,58028
3,16,78967,58971
3,16,78878,59035
3,16,79071,59337
3,16,79082,58779
3,16,78967,58402
3,16,78534,58141
4,16,79734,58868
4,16,78430,58446
4,16,79416,58476
4,16,78750,58941
4,16,79541,62072
4,16,79003,58652
4,16,79353,59068
4,16,79265,59233
4,16,78963,58942
4,16,79705,57707
4,16,79129,58373
4,16,79334,58676
4,16,78592,59100
4,16,79073,58496
4,16,78594,58361
4,16,79863,58288
4,16,78685,58429
4,16,79307,58010
4,16,79716,58520
4,16,80196,57637
5,16,79456,59146
5,16,79531,59159
5,16,79614,59030
5,16,79366,59028
5,16,79411,58871
5,16,79775,58359
5,16,79380,58740
5,16,79444,58563
5,16,79360,58068
5,16,79181,58611
5,16,79248,59140
5,16,79166,58036
5,16,79377,58153
5,16,79720,58983
5,16,79313,58705
5,16,79338,58531
