Pallet: "elections", Extrinsic: "vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
x,l,extrinsic_time,storage_root_time
1,20,56374,48093
1,20,53389,45864
1,20,52626,46354
1,20,52064,45753
1,20,51806,45781
1,20,52691,45874
1,20,52204,45413
1,20,51867,44695
1,20,51895,45477
1,20,52333,45634
1,20,51760,45545
1,20,51351,45020
1,20,51838,44721
1,20,51829,44936
1,20,51829,45177
1,20,51561,44983
1,20,51992,46043
1,20,51758,45304
1,20,51307,45433
1,20,51797,45359
2,20,52462,45323
2,20,51520,44846
2,20,51845,45318
2,20,51667,45050
2,20,51812,45202
2,20,52219,45856
2,20,52094,45185
2,20,51924,45190
2,20,52288,45602
2,20,51791,45670
2,20,52173,45577
2,20,51590,45383
2,20,51952,44948
2,20,52880,45706
2,20,52273,45672
2,20,52077,45475
2,20,52215,44917
2,20,51931,44543
2,20,52214,45055
2,20,52100,45397
3,20,52711,45853
3,20,52146,45170
3,20,52448,45457
3,20,52659,45750
3,20,51888,45262
3,20,52215,45157
3,20,52236,62610
3,20,52481,45345
3,20,52355,45338
3,20,52191,45296
3,20,53029,45289
3,20,52364,45597
3,20,52087,45440
3,20,52668,44897
3,20,52657,43928
3,20,52782,44721
3,20,53036,45714
3,20,51935,45192
3,20,52422,44760
3,20,52446,44625
4,20,52076,45437
4,20,55564,46030
4,20,52122,44995
4,20,51954,45865
4,20,52212,45223
4,20,51770,45353
4,20,52309,45549
4,20,51561,45598
4,20,51929,45863
4,20,51782,45936
4,20,52313,45819
4,20,51855,45491
4,20,51735,44970
4,20,51635,45242
4,20,51773,45721
4,20,51743,45603
4,20,52328,45243
4,20,51968,45056
4,20,52018,45656
4,20,51794,45425
5,20,51854,45143
5,20,51974,45158
5,20,51509,45232
5,20,51877,45098
5,20,52391,45204
5,20,52112,45385
5,20,51752,45237
5,20,51206,44914
5,20,52185,44278
5,20,52191,45303
5,20,52362,45644
5,20,52165,45623
5,20,52446,44936
5,20,52226,44669
5,20,51809,45331
5,20,52328,45020
5,20,52185,44622
5,20,52000,44907
5,20,51826,45459
5,20,51873,45284
6,20,51913,45736
6,20,51897,45264
