Pallet: "identity", Extrinsic: "add_registrar", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,extrinsic_time,storage_root_time
1,87654,61523
1,79373,47730
1,74967,47376
1,100958,49312
1,75985,44896
1,90437,42968
1,76802,44557
1,79146,55802
1,77359,45165
1,83765,45607
1,77362,44066
1,78641,44352
1,79468,46038
1,75012,43939
1,84181,48448
1,80115,46158
1,78560,44614
1,78539,45213
1,77733,45957
1,87452,46716
3,82226,48768
3,80102,64616
3,81956,49070
3,80557,49015
3,88847,50480
3,82466,49597
3,81079,48798
3,87366,48751
3,79220,48361
3,91143,47980
3,76430,61681
3,78360,56308
3,77469,46864
3,76877,48709
3,81150,49326
3,78041,48235
3,81254,47992
3,86545,48799
3,79149,47225
3,77216,46520
5,82325,67814
5,83247,50499
5,89453,55780
5,83486,50223
5,80949,49444
5,85491,51293
5,85533,77929
5,84932,51055
5,84908,50657
5,100512,66340
5,85868,51833
5,84766,50635
5,105158,53867
5,85686,51050
5,80537,48655
5,87025,52586
5,85347,51604
5,83923,49949
5,102118,70778
5,86555,52163
7,109872,53894
7,84924,68467
7,80482,51214
7,99706,53042
7,83154,50516
7,94642,54140
7,81814,58673
7,84478,52784
7,85638,51920
7,87078,52812
7,87387,96275
7,86397,51641
7,81504,50694
7,83136,54142
7,85857,52662
7,86413,52532
7,85445,52497
7,86110,87164
7,86304,52726
7,86842,52953
9,92825,55517
9,87077,54093
9,87388,54893
9,87160,55131
9,85606,53940
9,84568,53714
9,88396,53942
9,84052,53295
9,87541,52737
9,86522,52664
9,88580,54011
9,86376,53310
9,86394,54590
9,87170,53311
9,85637,52909
9,88254,53727
9,86207,54432
9,87495,55626
9,96806,55321
9,96059,73323
11,90748,55418
11,90822,55299
11,92021,54634
11,90425,54884
11,116779,58152
11,90709,54985
11,91645,56278
11,90170,54157
11,86653,52284
11,90000,54316
11,89208,55345
11,94872,57517
11,90552,54609
11,90711,54995
11,92433,56934
11,90345,64914
11,90374,54415
11,94816,53824
11,91178,54565
11,89881,53887
13,89387,63182
13,88718,57648
13,92357,55205
13,86543,52793
13,90035,57773
13,91069,56361
13,107997,57488
13,89356,65898
13,99588,68008
13,109006,54185
13,86423,54645
13,89639,55385
13,90436,55021
13,87323,54869
13,86069,53028
13,90889,54651
13,92292,56358
13,90367,54966
13,91006,56443
13,90252,58213
15,107473,57040
15,92801,58076
15,91246,55934
15,92988,57760
15,92695,58277
15,96558,61261
15,87911,54837
15,89796,55285
15,90017,57630
15,124865,76183
15,90559,55674
15,93910,57664
15,91667,56237
15,92330,57797
15,92236,56500
15,109002,58605
15,93271,57343
15,92544,56258
15,91461,57275
15,93447,56512
17,96973,59495
17,108618,59529
17,116888,61194
17,117978,61102
17,97072,72514
17,96458,58877
17,93609,58422
17,90366,58787
17,89891,57368
17,94623,58533
17,108212,59586
17,91919,58670
17,89709,57427
17,95490,59674
17,93008,57363
17,94422,58497
17,98297,57546
17,89657,56057
17,90917,57067
17,89491,57319
19,95696,54391
19,98239,57610
19,100327,57382
19,96819,56404
19,93082,55369
19,97532,57485
19,101977,56198
19,95134,56825
19,97771,57439
19,97393,71005
19,123436,56595
19,93925,55685
19,100640,57669
19,98539,56835
19,97860,56458
19,113443,54200
19,93812,62985
19,95596,55990
19,93362,56078
19,93718,55672
21,98452,63577
21,96748,57120
21,100606,57788
21,99196,58535
21,100005,57554
21,106584,56011
21,100384,56813
21,115433,55641
21,111155,56189
21,97194,58957
21,96245,56470
21,98749,56511
21,126683,70299
21,96877,55446
21,96477,55926
21,101865,56566
21,100286,62328
21,96877,56308
21,94726,55443
21,100227,57986
23,100433,55063
23,103539,58870
23,117787,58643
23,96885,55196
23,101098,57818
23,100557,57699
23,102561,57857
23,109868,58517
23,148698,59213
23,103148,59622
23,97041,57529
23,96431,55751
23,101431,59279
23,136247,59771
23,100014,57336
23,112277,59822
23,120551,58977
23,100722,58101
23,100754,57494
23,96514,55204
25,105677,59548
25,103245,59821
25,99741,56768
25,99442,56385
25,109712,57618
25,99779,55246
25,98641,57631
25,100554,57360
25,98862,57365
25,125817,60253
25,98643,56701
25,99714,59469
25,110124,61920
25,113785,57963
25,105583,59461
25,147707,88748
25,159746,61308
25,115091,61281
25,102977,58443
25,102670,58845
27,105520,59095
27,107856,60180
27,126733,60566
27,99926,57746
27,100937,57922
27,105254,61403
27,129998,60685
27,103256,58184
27,106409,61220
27,109230,65606
27,101481,58336
27,105141,58664
27,110115,60709
27,99077,57792
27,122486,61321
27,106912,60150
27,101234,59407
27,100194,58184
27,101736,76521
27,100920,55816
29,106149,61846
29,105306,59966
29,116463,59962
29,113114,59977
29,131166,60589
29,108180,61252
29,106228,72098
29,108211,60198
29,140354,62768
29,103077,58770
29,102554,61228
29,106165,59899
29,103157,58703
29,121464,76997
29,106475,58665
29,103966,56946
29,107230,61173
29,101488,68860
29,132501,53190
29,111431,80351
31,120937,60307
31,106439,60094
31,139097,59640
31,110014,62054
31,109097,59199
31,104945,60218
31,108252,59970
31,107003,59716
31,104936,59820
31,107175,62642
31,109444,61328
31,104516,59118
31,103325,57882
31,132911,60021
31,110205,59533
31,105329,61861
31,117463,58053
31,102923,62567
31,105077,59058
31,107977,59964
33,104505,58827
33,104782,76320
33,110465,60195
33,127932,62735
33,105119,59143
33,101892,58581
33,110781,60855
33,102979,57304
33,110955,61437
33,103902,57803
33,141985,61096
33,103907,60327
33,110084,60688
33,105968,59246
33,105678,58301
33,105836,59151
33,107679,60597
33,119123,67200
33,103964,58781
33,105475,59480
35,106150,60590
35,104692,67054
35,110365,62210
35,105045,59355
35,117647,61548
35,106477,64475
35,166133,64598
35,125649,65579
35,139317,70122
35,123867,65046
35,107627,61643
35,112869,63720
35,107187,75837
35,120633,63736
35,106721,60537
35,120853,84227
35,122460,70665
35,110879,70138
35,110176,62989
35,120043,65932
37,110744,61385
37,111000,62360
37,141175,87395
37,110141,60520
37,108389,59919
37,107688,60899
37,107705,61453
37,112438,61544
37,140793,61773
37,129273,63158
37,130470,94011
37,113589,62834
37,111801,89753
37,112650,61097
37,141907,61628
37,112216,88666
37,112894,61975
37,144761,73912
37,109880,62367
37,111504,62264
39,133466,66362
39,144984,63481
39,151062,101914
39,137582,60383
39,113205,61723
39,127530,70493
39,116169,79480
39,117070,63438
39,131220,66043
39,116822,61464
39,114346,63029
39,116586,63554
39,114203,61951
39,110750,60658
39,124886,63807
39,115857,61908
39,113504,61123
39,109495,62001
39,108482,61934
39,117340,63151
41,110964,60466
41,116461,64380
41,119960,65551
41,148974,81631
41,129057,66276
41,115982,64191
41,111233,61049
41,116075,64299
41,116329,63890
41,116466,67350
41,116181,62076
41,112357,62379
41,118681,63840
41,135058,62933
41,116727,63198
41,110893,61162
41,155246,64611
41,116126,61631
41,119902,64469
41,116739,65813
43,144397,80975
43,113914,61475
43,117745,61840
43,112535,100103
43,114026,60319
43,121839,69674
43,119593,62546
43,112598,62152
43,117960,63950
43,118611,64809
43,116676,63957
43,115046,62463
43,116904,63713
43,113125,77232
43,135170,63884
43,112301,60192
43,117050,63111
43,130138,63922
43,113014,64116
43,122667,75387
45,129784,82308
45,120332,62995
45,125107,64652
45,131739,83152
45,123211,66927
45,115514,63184
45,118114,64066
45,115563,62084
45,125236,62600
45,117240,64153
45,180824,68821
45,133715,62232
45,117821,63235
45,120319,65502
45,118890,72905
45,120480,62151
45,129416,91605
45,118334,62549
45,117891,62989
45,110071,88945
47,127031,96809
47,137972,63469
47,129619,95055
47,155718,61949
47,177824,93868
47,163380,64159
47,115946,61424
47,115035,62529
47,134957,69299
47,132335,64968
47,151623,63677
47,121900,64830
47,165672,64921
47,146532,119545
47,120850,75584
47,154265,63151
47,122381,64114
47,116822,64602
47,121841,65097
47,122366,64923
49,143745,66122
49,120404,64147
49,121899,64462
49,121022,64734
49,117426,63134
49,133656,67878
49,121436,78087
49,201600,78296
49,123618,65563
49,116331,63288
49,121284,62927
49,123025,64654
49,123179,64012
49,130344,62076
49,123245,65558
49,121049,65569
49,120779,63967
49,121902,63679
49,145287,67680
49,171281,100387

Median Slopes Analysis
========

Model:
Time ~=    79.18
    + r    0.921
              µs

Min Squares Analysis
========

Data points distribution:
    r   mean µs  sigma µs       %
    1     79.27     1.685    2.1%
    3      80.5     1.209    1.5%
    5      85.3     0.678    0.7%
    7     85.84     0.694    0.8%
    9     87.13     0.558    0.6%
   11     90.75     0.379    0.4%
   13     90.24     0.605    0.6%
   15     92.54     0.609    0.6%
   17     94.44     2.001    2.1%
   19     97.05     1.132    1.1%
   21     99.19     1.282    1.2%
   23     102.4     2.703    2.6%
   25       104     3.558    3.4%
   27     104.4     2.273    2.1%
   29     107.8     2.405    2.2%
   31     107.5     1.594    1.4%
   33     106.5      2.03    1.9%
   35     113.8     5.161    4.5%
   37     113.8     5.219    4.5%
   39       118     4.225    3.5%
   41     116.9     1.212    1.0%
   43     116.7     1.802    1.5%
   45     120.7     2.645    2.1%
   47     132.6     9.767    7.3%
   49       123     2.567    2.0%

Quality and confidence:
param     error
r         0.016

Model:
Time ~=    78.71
    + r    0.965
              µs

