Pallet: "identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
1,100,100,922520,942151
1,100,100,1009039,647057
1,100,100,889737,595488
1,100,100,863404,622875
1,100,100,909421,621117
1,100,100,831210,634798
1,100,100,851973,603824
1,100,100,828557,625220
1,100,100,861717,619697
1,100,100,842092,697287
1,100,100,839991,610706
1,100,100,826643,606628
1,100,100,1520077,924505
1,100,100,821903,603669
1,100,100,836769,648236
1,100,100,836763,618925
1,100,100,838889,629310
1,100,100,870293,587703
1,100,100,835548,601460
1,100,100,882812,609056
3,100,100,883080,643032
3,100,100,848949,618627
3,100,100,839020,604237
3,100,100,856855,623177
3,100,100,837455,663480
3,100,100,1133410,818087
3,100,100,835614,632727
3,100,100,837641,596051
3,100,100,827743,621076
3,100,100,969959,642900
3,100,100,839049,600472
3,100,100,834633,639441
3,100,100,831467,610397
3,100,100,867283,613841
3,100,100,844769,601984
3,100,100,835262,595239
3,100,100,1505911,971931
3,100,100,919392,617417
3,100,100,1525888,979338
3,100,100,973351,644799
5,100,100,1100291,657874
5,100,100,882000,605805
5,100,100,837581,608055
5,100,100,837959,618133
5,100,100,839751,638602
5,100,100,833156,631284
5,100,100,835626,740114
5,100,100,843488,633636
5,100,100,918977,665184
5,100,100,954212,646360
5,100,100,894694,663000
5,100,100,870623,606381
5,100,100,855495,611610
5,100,100,881277,621492
5,100,100,878558,626583
5,100,100,917545,625360
5,100,100,863272,631808
5,100,100,847737,603198
5,100,100,839290,615413
5,100,100,848273,607442
7,100,100,861793,605285
7,100,100,903190,608667
7,100,100,861611,612102
7,100,100,867517,607501
7,100,100,840914,648809
7,100,100,884737,629102
7,100,100,844128,632168
7,100,100,836692,637439
7,100,100,837457,618255
7,100,100,869500,599812
7,100,100,846043,629180
7,100,100,855826,621583
7,100,100,866314,627370
7,100,100,864547,623207
7,100,100,855113,610457
7,100,100,874924,625197
7,100,100,877109,610153
7,100,100,836444,624037
7,100,100,828684,625405
7,100,100,951956,637809
9,100,100,916215,643448
9,100,100,867732,616498
9,100,100,863934,618277
9,100,100,857098,607881
9,100,100,855740,691661
9,100,100,847694,652083
9,100,100,850593,669894
9,100,100,865262,637678
9,100,100,908799,1339895
9,100,100,1383079,719480
9,100,100,1066444,654035
9,100,100,867135,614183
9,100,100,848820,633244
9,100,100,853411,599299
9,100,100,867539,625296
9,100,100,856457,627817
9,100,100,833863,637983
9,100,100,832708,614833
9,100,100,840996,605693
9,100,100,837344,630346
11,100,100,871364,627101
11,100,100,909379,637954
11,100,100,874797,623086
11,100,100,854697,612245
11,100,100,866697,620545
11,100,100,844215,607724
11,100,100,871286,607038
11,100,100,899002,619496
11,100,100,889147,620699
11,100,100,877240,632185
11,100,100,881027,660450
11,100,100,867483,639802
11,100,100,843400,610047
11,100,100,830894,628612
11,100,100,879543,656349
11,100,100,835564,609659
11,100,100,835291,637841
11,100,100,869284,634434
11,100,100,848764,626117
11,100,100,860986,609088
13,100,100,842380,628832
13,100,100,845604,610807
13,100,100,851799,697413
13,100,100,854138,612977
13,100,100,846947,624911
13,100,100,876217,607628
13,100,100,895641,613750
13,100,100,890034,632020
13,100,100,873695,606720
13,100,100,853095,621088
13,100,100,882929,628413
13,100,100,858435,617356
13,100,100,856151,608979
13,100,100,871738,644258
13,100,100,847706,644442
13,100,100,839795,631481
13,100,100,848021,608947
13,100,100,880466,618824
13,100,100,857755,666875
13,100,100,867653,629700
15,100,100,836648,629721
15,100,100,873178,629113
15,100,100,859435,611640
15,100,100,836646,638110
15,100,100,921829,649425
15,100,100,836383,659888
15,100,100,861097,636925
15,100,100,844652,636880
15,100,100,867989,633604
15,100,100,851039,617559
15,100,100,875024,645738
15,100,100,860882,618621
15,100,100,850095,650119
15,100,100,891200,675202
15,100,100,891868,614658
15,100,100,853875,616040
15,100,100,891980,620688
15,100,100,879154,640529
15,100,100,847361,630375
15,100,100,969133,663325
17,100,100,851142,644284
17,100,100,908772,617196
17,100,100,844768,630385
17,100,100,877733,604472
17,100,100,882551,629644
17,100,100,876810,606906
17,100,100,894891,638593
17,100,100,887483,661295
17,100,100,864621,609320
17,100,100,881031,626380
17,100,100,995307,950607
17,100,100,846763,641480
17,100,100,912991,628236
17,100,100,852796,643426
17,100,100,884997,643611
17,100,100,847852,646001
17,100,100,869741,627159
17,100,100,936159,616066
17,100,100,871959,604687
17,100,100,870702,640526
19,100,100,869642,659765
19,100,100,853847,633388
19,100,100,857076,619661
19,100,100,851583,615817
19,100,100,911234,621833
19,100,100,882634,605098
19,100,100,845928,619849
19,100,100,858077,629082
19,100,100,865413,629649
19,100,100,864923,605403
19,100,100,848640,614543
19,100,100,846108,634039
