Pallet: "identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
1,100,100,900062,669280
1,100,100,896982,626092
1,100,100,906546,610080
1,100,100,890733,608076
1,100,100,905820,617000
1,100,100,879388,625077
1,100,100,928868,608382
1,100,100,899566,657113
1,100,100,908066,607530
1,100,100,1131166,653283
1,100,100,892393,603088
1,100,100,954708,613011
1,100,100,1141553,800357
1,100,100,924540,792193
1,100,100,878498,621443
1,100,100,971017,621711
1,100,100,913151,689222
1,100,100,1002997,627866
1,100,100,886632,602928
1,100,100,893115,609292
3,100,100,906548,646426
3,100,100,887916,610874
3,100,100,1007449,722177
3,100,100,891228,609951
3,100,100,962775,618543
3,100,100,905447,643069
3,100,100,913667,736335
3,100,100,977630,618109
3,100,100,932100,661914
3,100,100,873061,588727
3,100,100,923170,722198
3,100,100,899712,608268
3,100,100,922963,698056
3,100,100,966294,643883
3,100,100,884975,615002
3,100,100,973332,618251
3,100,100,912021,616121
3,100,100,894444,609104
3,100,100,910757,631917
3,100,100,1046129,691677
5,100,100,930717,592816
5,100,100,944447,594696
5,100,100,947728,608479
5,100,100,887489,615125
5,100,100,923696,641634
5,100,100,994034,626946
5,100,100,1091745,639122
5,100,100,896362,743990
5,100,100,937258,668348
5,100,100,881209,649435
5,100,100,876950,707572
5,100,100,879647,622871
5,100,100,921070,677488
5,100,100,887124,662040
5,100,100,966951,660824
5,100,100,894060,617616
5,100,100,929605,672422
5,100,100,947461,608245
5,100,100,895123,698813
5,100,100,878355,613021
7,100,100,879470,645951
7,100,100,885714,609420
7,100,100,906628,629377
7,100,100,950547,701755
7,100,100,884066,611600
7,100,100,951820,707597
7,100,100,994680,675451
7,100,100,879023,644227
7,100,100,1015820,619738
7,100,100,1025802,641168
7,100,100,875637,679152
7,100,100,895613,616997
7,100,100,889324,630940
7,100,100,890841,617444
7,100,100,914869,614792
7,100,100,879223,608106
7,100,100,873371,604496
7,100,100,890085,634949
7,100,100,892840,638983
7,100,100,913637,613974
9,100,100,882346,650063
9,100,100,883451,611780
9,100,100,877600,624887
9,100,100,936855,647478
9,100,100,934815,610934
9,100,100,906684,652108
9,100,100,1141881,730692
9,100,100,1036426,640373
9,100,100,904129,665291
9,100,100,939383,693676
9,100,100,880729,654038
9,100,100,922923,618561
9,100,100,881158,727512
9,100,100,1011923,734190
9,100,100,946390,633277
9,100,100,895438,640074
9,100,100,1011371,615501
9,100,100,895785,643495
9,100,100,1064666,668962
9,100,100,888587,675382
11,100,100,912656,627471
11,100,100,931132,614549
11,100,100,891475,690412
11,100,100,934622,614837
11,100,100,881453,620014
11,100,100,997149,625790
11,100,100,886402,609667
11,100,100,876661,615010
11,100,100,941306,666768
11,100,100,907234,642706
11,100,100,911447,691641
11,100,100,959834,732400
11,100,100,929416,665402
11,100,100,970538,719403
11,100,100,962096,637364
11,100,100,939519,640901
11,100,100,890557,634876
11,100,100,914740,642685
11,100,100,983882,644940
11,100,100,1111108,756201
13,100,100,881618,629412
13,100,100,923406,682732
13,100,100,894362,603604
13,100,100,963319,651555
13,100,100,997410,714999
13,100,100,962905,683905
13,100,100,908467,791859
13,100,100,881923,624950
13,100,100,1038076,750425
13,100,100,955800,699561
13,100,100,890828,739518
13,100,100,957835,722653
13,100,100,1030589,656163
13,100,100,933610,681109
13,100,100,922656,624638
13,100,100,985575,663520
13,100,100,906678,627576
13,100,100,894072,630535
13,100,100,949481,614154
13,100,100,901023,656826
15,100,100,889465,716160
15,100,100,921327,614683
15,100,100,912507,629546
15,100,100,883164,601177
15,100,100,1022693,801124
15,100,100,1099217,849489
15,100,100,896357,635490
15,100,100,882969,617316
15,100,100,976607,676157
15,100,100,1141891,658855
15,100,100,892062,630474
15,100,100,917564,639713
15,100,100,893527,680651
15,100,100,918688,754364
15,100,100,913270,600403
15,100,100,897145,605394
15,100,100,971814,722133
15,100,100,929919,636356
15,100,100,898069,616699
15,100,100,975658,683170
17,100,100,900075,617348
17,100,100,920625,620541
17,100,100,925502,672104
17,100,100,902537,636182
17,100,100,950980,673709
17,100,100,887970,819762
17,100,100,913800,662460
17,100,100,891430,852674
17,100,100,1025220,686428
17,100,100,959879,633864
17,100,100,977351,621311
17,100,100,907899,601177
17,100,100,919799,632255
17,100,100,1053325,636402
17,100,100,918349,622199
17,100,100,919722,625919
17,100,100,905578,662607
17,100,100,945898,620370
17,100,100,997850,647596
17,100,100,916628,625354
19,100,100,1077201,754320
19,100,100,1075905,630627
19,100,100,957423,656246
19,100,100,946168,769905
19,100,100,926287,625223
19,100,100,893292,652807
19,100,100,899542,630986
19,100,100,912365,605076
19,100,100,969114,683969
19,100,100,1011804,671300
19,100,100,999749,635822
19,100,100,1006754,670786
19,100,100,1013612,759966
19,100,100,897048,694580
19,100,100,908877,651720
19,100,100,890199,618687
19,100,100,975009,622950
19,100,100,939179,647401
19,100,100,993468,622704
19,100,100,886563,612602
21,100,100,1047685,681838
21,100,100,971233,641665
21,100,100,1036061,713265
21,100,100,944962,635153
21,100,100,898069,689543
21,100,100,927762,635145
21,100,100,935228,676951
21,100,100,908809,629537
21,100,100,928429,657642
21,100,100,914720,640896
21,100,100,934917,647742
21,100,100,918655,647217
21,100,100,929002,627338
21,100,100,910044,612574
21,100,100,985806,635592
21,100,100,952289,759018
21,100,100,907150,621911
21,100,100,983274,621534
21,100,100,1014311,766476
21,100,100,998406,719855
23,100,100,1041452,652497
23,100,100,974425,664055
23,100,100,968813,640751
23,100,100,945863,644254
23,100,100,910951,640968
23,100,100,932959,764820
23,100,100,896097,647378
23,100,100,920312,801672
23,100,100,908369,637070
23,100,100,899218,627423
23,100,100,1256739,690471
23,100,100,914370,639622
23,100,100,951007,612317
23,100,100,924038,723902
23,100,100,985923,653641
23,100,100,986129,623764
23,100,100,897182,632402
23,100,100,891967,622859
23,100,100,990207,652388
23,100,100,900085,627630
25,100,100,889782,731005
25,100,100,918016,697368
25,100,100,993051,704506
25,100,100,926517,715731
25,100,100,908008,631347
25,100,100,980239,641241
25,100,100,945412,655096
25,100,100,943844,633877
25,100,100,931719,720948
25,100,100,894644,628534
25,100,100,921300,635480
25,100,100,912064,813983
25,100,100,894794,625829
25,100,100,1030738,710576
25,100,100,920085,626036
25,100,100,962890,774076
25,100,100,999550,717210
25,100,100,910004,632356
25,100,100,933028,628482
25,100,100,887288,608958
27,100,100,931087,659205
27,100,100,907748,639251
27,100,100,926271,612515
27,100,100,924410,651072
27,100,100,913897,643615
27,100,100,985488,635077
27,100,100,986922,702671
27,100,100,903827,621073
27,100,100,931484,716326
27,100,100,967218,666825
27,100,100,1036030,709084
27,100,100,1007689,639205
27,100,100,922094,676050
27,100,100,945378,647613
27,100,100,917700,657872
27,100,100,897898,622394
27,100,100,1126071,659431
27,100,100,1063879,685039
27,100,100,963835,613454
27,100,100,943860,676724
29,100,100,987118,643245
29,100,100,897839,616789
29,100,100,937553,672690
29,100,100,894260,696405
29,100,100,971611,747948
29,100,100,900081,650712
29,100,100,1037369,728991
29,100,100,941998,650956
29,100,100,898592,668047
29,100,100,912602,657453
29,100,100,1099650,618133
29,100,100,946288,665831
29,100,100,891575,721177
29,100,100,899031,667154
29,100,100,912638,712775
29,100,100,1017555,761755
29,100,100,1061038,637647
29,100,100,1074022,665813
29,100,100,904135,649088
29,100,100,987848,728155
31,100,100,912116,654037
31,100,100,998695,635958
31,100,100,1037775,743073
31,100,100,1612211,993987
31,100,100,967184,652465
