Pallet: "identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,11765,15739
1,9431,13503
1,9681,13259
1,9033,12801
1,8818,12671
1,8831,12812
1,9076,13133
1,9010,12694
1,8935,12796
1,9066,12827
1,8847,12727
1,9041,12793
1,8938,12876
1,8788,12545
1,8854,12721
1,8882,12628
1,8900,12517
1,8969,12563
1,9052,12740
1,8886,12550
2,9749,13207
2,9597,13298
2,9459,13174
2,9663,12953
2,9563,12970
2,9407,13332
2,9495,13244
2,9527,13008
2,9422,13297
2,9749,12902
2,9533,13010
2,9555,12884
2,9557,12992
2,9547,13039
2,9391,13250
2,9722,13136
2,9509,13063
2,9285,13075
2,9511,12909
2,9486,13048
3,10185,13677
3,9960,13332
3,10113,13544
3,10180,13350
3,9913,13486
3,10085,13267
3,10113,13369
3,10053,13231
3,10060,13180
3,9972,13167
3,9837,13420
3,10333,13473
3,9911,13273
3,10051,13426
3,10138,13454
3,10349,13259
3,10019,13430
3,9888,13169
3,9992,13192
3,9869,13288
4,10907,13730
4,10821,13468
4,10578,14030
4,10443,13543
4,10425,13753
4,10703,14116
4,10344,13544
4,10722,13629
4,10295,13492
4,10352,13378
4,10173,13668
4,10455,13436
4,10433,13473
4,10510,13433
4,10390,13508
4,10657,13515
4,10624,13512
4,10243,13421
4,10423,13563
4,10397,13668
5,11421,14055
5,11182,13874
5,11043,14121
5,11307,14199
5,10764,13893
5,10995,13903
5,10880,13644
5,11122,13913
5,11034,13695
5,11081,13672
5,11248,14057
5,11098,13824
5,10942,13914
5,10757,14217
5,11058,13843
5,10742,13776
5,10829,13761
5,11192,13677
5,11067,13835
5,11066,13887
6,11674,14338
6,11496,14071
6,11714,13887
6,11679,14210
6,11480,13920
6,11495,14249
6,11420,14183
6,11300,13834
6,11371,13949
6,11656,13950
6,11977,14008
6,11309,14021
6,11609,13935
6,11575,13967
6,11584,13979
6,13228,14312
6,11679,13857
6,11735,13895
6,11871,14021
6,11656,13978
7,11703,14872
7,11775,13969
7,11804,13998
7,11856,13897
7,11632,14099
7,11756,13929
7,11751,14029
7,11771,13862
7,11400,13933
7,12001,13926
7,11548,14049
7,11681,13844
7,11687,13832
7,11722,13986
7,11728,13865
7,11538,13950
7,11969,13914
7,11537,14114
7,11825,14050
7,11586,13890
8,12259,14275
8,12259,14377
8,12617,14619
8,12123,13989
8,12540,14309
8,12915,14773
8,12360,14438
8,12159,14181
8,12401,14263
8,12334,14054
8,12213,14306
8,11964,14261
8,12581,14355
8,12139,14353
