Pallet: "multisig", Extrinsic: "approve_as_multi_complete", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,133942,41057
2,10000,122725,33780
2,10000,121733,32826
2,10000,121510,32072
2,10000,121116,32049
2,10000,121606,31999
2,10000,121662,31732
2,10000,121546,32663
2,10000,121343,32306
2,10000,121257,32092
2,10000,121365,32027
2,10000,121345,32035
2,10000,121399,32317
2,10000,121167,31849
2,10000,120828,31782
2,10000,121153,31957
2,10000,120638,31413
2,10000,120508,31740
2,10000,121253,31747
2,10000,120948,31847
3,10000,123550,32830
3,10000,122247,32978
3,10000,121714,32810
3,10000,122159,33001
3,10000,121936,32959
3,10000,121774,32866
3,10000,121391,32422
3,10000,122409,32591
3,10000,121859,32857
3,10000,121773,32314
3,10000,124756,32865
3,10000,121259,32296
3,10000,121578,32504
3,10000,121748,33001
3,10000,121762,32335
3,10000,123147,33081
3,10000,121833,32705
3,10000,121217,32541
3,10000,121844,32851
3,10000,121570,32799
4,10000,122315,32982
4,10000,122805,32681
4,10000,123275,32501
4,10000,122485,32903
4,10000,121954,32667
4,10000,121980,32835
4,10000,121570,32447
4,10000,121921,32656
4,10000,121887,32229
4,10000,122347,32427
4,10000,121902,32013
4,10000,122646,32622
4,10000,121498,32408
4,10000,122428,32550
4,10000,121424,32266
4,10000,121604,32280
4,10000,121738,32881
4,10000,121425,32186
4,10000,122516,32836
4,10000,122438,32485
5,10000,122831,32402
5,10000,122810,32841
5,10000,122761,32582
5,10000,122870,32852
5,10000,122752,32496
5,10000,123073,32803
5,10000,122768,33066
5,10000,122302,32545
5,10000,122211,32716
5,10000,122957,32956
5,10000,123197,32349
5,10000,122713,32566
5,10000,122787,32585
5,10000,125581,32947
5,10000,122821,32572
5,10000,122702,32831
5,10000,123034,33249
5,10000,122872,32811
5,10000,122789,32606
5,10000,122743,33045
6,10000,123622,33120
6,10000,122872,33272
6,10000,122599,32553
6,10000,122289,32862
6,10000,122714,32476
6,10000,122511,32401
6,10000,121916,32571
6,10000,122971,33166
6,10000,136718,33025
6,10000,121663,32271
6,10000,122499,32389
6,10000,122332,32332
6,10000,122512,33035
6,10000,122666,33230
6,10000,122822,32781
6,10000,125698,33419
6,10000,122241,33297
6,10000,122596,32998
6,10000,122472,32796
6,10000,122289,33087
7,10000,123345,33100
7,10000,123201,32869
7,10000,126603,33601
7,10000,123559,33101
7,10000,122450,33027
7,10000,122894,33677
7,10000,123149,32998
7,10000,122741,33470
7,10000,123096,32995
7,10000,123193,32551
7,10000,122789,33509
7,10000,122650,33068
7,10000,122848,32866
7,10000,123398,33283
7,10000,122737,32803
7,10000,122982,32889
7,10000,123164,32646
7,10000,122321,32647
7,10000,122513,33007
7,10000,123323,32990
8,10000,123583,33147
8,10000,123682,33052
8,10000,124533,33402
8,10000,123382,32644
8,10000,123750,32786
8,10000,123298,33007
8,10000,123549,32865
8,10000,123861,33081
8,10000,123771,33340
8,10000,122017,33226
8,10000,122131,33041
8,10000,121816,33116
8,10000,121660,33045
8,10000,121629,33190
8,10000,122478,33724
8,10000,121708,33459
8,10000,121561,33288
8,10000,121602,33028
8,10000,121366,32765
8,10000,122779,32460
9,10000,152301,33526
9,10000,122342,33677
9,10000,122572,33633
9,10000,122209,32781
9,10000,122518,33662
9,10000,122328,33273
9,10000,122503,33501
9,10000,122464,33349
9,10000,122684,32940
9,10000,122188,33061
9,10000,122222,33230
9,10000,122378,33435
9,10000,122273,33099
9,10000,122383,33267
9,10000,122381,33340
9,10000,122867,33395
9,10000,123414,33170
9,10000,126081,33779
9,10000,122256,33461
9,10000,122818,33115
10,10000,123240,33125
10,10000,123087,33123
10,10000,122411,33222
10,10000,122734,32821
10,10000,122879,33308
10,10000,123092,33323
10,10000,123258,33293
10,10000,122539,33462
10,10000,123021,33823
10,10000,122422,32970
10,10000,122761,33872
10,10000,122610,33157
10,10000,122972,33416
10,10000,122717,36018
10,10000,122661,33369
10,10000,122472,32851
10,10000,122729,32932
10,10000,123012,32890
10,10000,122436,33194
10,10000,122880,33310
11,10000,123117,33539
11,10000,122949,33297
11,10000,123427,33273
11,10000,122321,33240
11,10000,122913,32966
11,10000,122688,33392
11,10000,122591,33281
11,10000,122623,33236
11,10000,122643,33633
11,10000,123059,33898
11,10000,122792,33246
11,10000,122644,33714
11,10000,122655,33199
11,10000,122714,33438
11,10000,122231,33256
11,10000,122764,33354
11,10000,123097,33734
11,10000,122778,33183
11,10000,122297,33154
11,10000,122329,33585
12,10000,123362,33511
12,10000,123257,33639
12,10000,123556,33335
12,10000,124269,33720
12,10000,123772,33693
12,10000,123905,32817
12,10000,123365,33312
12,10000,123887,34069
12,10000,124261,33391
12,10000,123575,32914
12,10000,124125,33221
12,10000,123976,33695
12,10000,124017,33587
12,10000,123602,33536
12,10000,123538,33351
12,10000,124228,33736
12,10000,123521,33911
12,10000,123403,33046
12,10000,123232,33237
12,10000,123313,33942
13,10000,123343,34350
13,10000,123281,33442
13,10000,123222,34116
13,10000,123129,33765
13,10000,123439,33423
13,10000,123083,33391
13,10000,123749,33754
13,10000,123326,33174
13,10000,123565,33361
13,10000,123077,33136
13,10000,123077,33457
13,10000,123689,33132
13,10000,123235,33489
13,10000,123574,33358
13,10000,123061,33265
13,10000,123141,36357
13,10000,123239,33438
13,10000,123570,33420
13,10000,123144,33784
13,10000,122698,33608
14,10000,124747,34131
14,10000,123851,33786
14,10000,123478,33835
14,10000,123983,33572
14,10000,123849,33628
14,10000,123211,33484
14,10000,124262,33671
14,10000,123400,33985
14,10000,124091,33650
14,10000,123881,33292
14,10000,124121,33721
14,10000,123254,33769
14,10000,123820,40527
14,10000,124235,33696
14,10000,125267,33255
14,10000,124140,33274
14,10000,123539,33275
14,10000,126053,33546
14,10000,125854,33469
14,10000,125659,33568
15,10000,126317,33658
15,10000,127068,33683
15,10000,126371,33326
15,10000,126333,33781
15,10000,126875,33715
15,10000,126872,34036
15,10000,126290,34225
15,10000,127449,33451
15,10000,126572,34256
15,10000,125872,33637
15,10000,126984,33139
15,10000,126396,34182
15,10000,126317,33885
15,10000,125783,34161
15,10000,126412,33669
15,10000,127181,33460
15,10000,126445,33684
15,10000,126201,33574
15,10000,127015,34226
15,10000,126323,33649
16,10000,126527,33946
16,10000,126686,33968
16,10000,126539,34375
16,10000,126808,33895
16,10000,129127,34059
16,10000,126479,33969
16,10000,127272,34088
16,10000,127111,33898
16,10000,127496,33667
16,10000,127369,34108
16,10000,127247,33341
16,10000,125799,33778
16,10000,127421,33833
16,10000,127528,33854
16,10000,126301,33582
16,10000,126834,33947
16,10000,126977,34001
16,10000,127252,34154
16,10000,126724,33687
16,10000,126481,36572
17,10000,128462,33649
17,10000,128091,33983
17,10000,126861,33621
17,10000,127178,33753
17,10000,126650,34164
17,10000,127065,33626
17,10000,127177,34117
17,10000,127009,33903
17,10000,126774,34402
17,10000,126435,33922
17,10000,127553,33821
17,10000,126527,34125
17,10000,126505,34163
17,10000,126761,33787
17,10000,127310,34078
17,10000,127065,33628
17,10000,127216,33292
17,10000,127072,33638
17,10000,126322,33692
17,10000,126688,33869
18,10000,126804,33766
18,10000,127345,33906
18,10000,126735,34139
18,10000,127195,33564
18,10000,127588,33216
18,10000,127148,34293
18,10000,127181,33706
18,10000,127321,33730
18,10000,127491,33819
18,10000,127559,33843
18,10000,127559,34012
