Pallet: "multisig", Extrinsic: "approve_as_multi_create", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,52493,31065
2,10000,40138,27859
2,10000,39094,27326
2,10000,38673,26770
2,10000,39156,26504
2,10000,38314,26467
2,10000,39294,26644
2,10000,37921,26201
2,10000,38124,26690
2,10000,38415,26107
2,10000,37792,26682
2,10000,38051,25972
2,10000,38134,25955
2,10000,37979,26065
2,10000,38122,26086
2,10000,38071,25951
2,10000,37776,25816
2,10000,37913,26044
2,10000,37628,26069
2,10000,37952,25921
3,10000,38484,26589
3,10000,38108,26674
3,10000,38429,26548
3,10000,38525,26835
3,10000,38385,27028
3,10000,38268,26685
3,10000,38973,26307
3,10000,38324,26792
3,10000,38441,27032
3,10000,42003,27088
3,10000,38100,26370
3,10000,38654,26469
3,10000,38176,26452
3,10000,38246,26967
3,10000,38560,26831
3,10000,38357,26330
3,10000,38600,26505
3,10000,38465,26691
3,10000,38319,26278
3,10000,38295,26037
4,10000,39574,26772
4,10000,39127,26628
4,10000,39457,27013
4,10000,39164,26687
4,10000,38908,26627
4,10000,39056,26470
4,10000,39248,26368
4,10000,39059,26707
4,10000,39226,26229
4,10000,39390,26387
4,10000,42230,27035
4,10000,39437,26532
4,10000,39214,26425
4,10000,38836,26153
4,10000,39157,26486
4,10000,39038,26985
4,10000,39101,26563
4,10000,39094,27012
4,10000,39130,26370
4,10000,39292,26650
5,10000,39542,27432
5,10000,39534,27229
5,10000,39402,27149
5,10000,39145,26701
5,10000,39078,26889
5,10000,39535,27345
5,10000,39407,27130
5,10000,39305,27427
5,10000,39675,27004
5,10000,39778,45404
5,10000,39530,26843
5,10000,39243,26866
5,10000,39348,27214
5,10000,39222,27506
5,10000,38900,26915
5,10000,39567,27188
5,10000,39110,27024
5,10000,39456,27193
5,10000,39021,26588
5,10000,39231,27314
6,10000,39309,27411
6,10000,39453,27302
6,10000,39372,27311
6,10000,39367,26964
6,10000,39415,27017
6,10000,39089,27440
6,10000,39439,26963
6,10000,39921,27231
6,10000,38756,26719
6,10000,39420,26980
6,10000,39264,27187
6,10000,38804,27055
6,10000,39148,27246
6,10000,39109,26877
6,10000,39104,26995
6,10000,39153,26980
6,10000,39216,26924
6,10000,39085,26949
6,10000,39271,26825
6,10000,38996,26920
7,10000,39723,27453
7,10000,39384,27135
7,10000,40071,27174
7,10000,39851,27210
7,10000,41307,28322
7,10000,40100,27596
7,10000,40146,27576
7,10000,39469,27365
7,10000,40080,27662
7,10000,39496,27534
7,10000,39746,27304
7,10000,39854,27811
7,10000,39925,27160
7,10000,39524,27398
7,10000,39641,27101
7,10000,39763,27339
7,10000,39910,27472
7,10000,39405,27267
7,10000,39877,27412
7,10000,39742,27135
8,10000,40346,27816
8,10000,39987,27285
8,10000,40210,27611
8,10000,39999,27700
8,10000,40198,28183
8,10000,39821,27811
8,10000,39898,27516
8,10000,39573,27386
8,10000,39655,27288
8,10000,39978,27518
8,10000,39872,27545
8,10000,39607,27239
8,10000,39962,27662
8,10000,40078,27449
8,10000,39543,27216
8,10000,40257,27369
8,10000,39739,27544
8,10000,39596,27129
8,10000,39913,27470
8,10000,40028,27339
9,10000,39896,27144
9,10000,39938,27933
9,10000,40163,27738
9,10000,40050,27731
9,10000,39889,27993
9,10000,40222,27632
9,10000,40010,27545
9,10000,39855,28301
9,10000,39925,27636
9,10000,40273,28199
9,10000,40147,27809
9,10000,40189,27401
9,10000,39620,27542
9,10000,40338,27626
9,10000,39942,27491
9,10000,39612,27342
9,10000,40227,27293
9,10000,39994,27246
9,10000,40028,27273
9,10000,40081,27480
10,10000,39766,27586
10,10000,39904,27711
10,10000,40456,27758
10,10000,41061,27948
10,10000,40398,27902
10,10000,40333,27866
10,10000,40133,27749
10,10000,39889,27582
10,10000,40115,27461
10,10000,40201,27472
10,10000,39839,27474
10,10000,40301,27443
10,10000,40212,27444
10,10000,40321,27736
10,10000,40063,27596
10,10000,39434,27680
10,10000,39353,30582
10,10000,39985,27629
10,10000,39985,27692
10,10000,39901,27553
11,10000,40134,27577
11,10000,40686,28020
11,10000,40081,28138
11,10000,39943,27791
11,10000,40592,28353
11,10000,40090,28173
11,10000,40296,28058
11,10000,40293,27781
11,10000,40298,27976
11,10000,41039,28271
11,10000,40211,28050
11,10000,40437,28327
11,10000,40521,28088
11,10000,40299,27772
11,10000,40680,28091
11,10000,40274,27753
11,10000,40152,27809
11,10000,40154,28286
11,10000,40001,27494
11,10000,40939,27776
12,10000,40418,28385
12,10000,40905,28387
12,10000,41219,28672
12,10000,40758,28198
12,10000,40536,27911
12,10000,40213,28227
12,10000,40426,28237
12,10000,40582,28083
12,10000,40715,28066
12,10000,41011,28295
12,10000,40749,28053
12,10000,40640,28017
12,10000,40230,28257
12,10000,40442,28204
12,10000,40648,28580
12,10000,40292,28512
12,10000,40687,27779
12,10000,41017,28190
12,10000,40465,28209
12,10000,40638,28277
13,10000,40337,27998
13,10000,40683,28263
13,10000,40569,28108
13,10000,40459,28480
13,10000,40251,28585
13,10000,45706,29179
13,10000,40204,28397
13,10000,40208,28379
13,10000,40310,28225
13,10000,40606,28504
13,10000,40331,27868
13,10000,39774,28323
