Pallet: "multisig", Extrinsic: "cancel_as_multi", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,45195,32678
2,10000,36361,29599
2,10000,35823,28277
2,10000,35901,27910
2,10000,35911,28098
2,10000,35740,28049
2,10000,35308,27554
2,10000,35417,27763
2,10000,35147,27295
2,10000,35086,27206
2,10000,35165,27193
2,10000,35881,27583
2,10000,35548,27181
2,10000,35427,27459
2,10000,35536,27197
2,10000,35411,27210
2,10000,35185,27339
2,10000,35260,27421
2,10000,35386,26937
2,10000,35428,27709
3,10000,35803,27740
3,10000,35664,27475
3,10000,35927,27484
3,10000,35772,27604
3,10000,35568,27808
3,10000,35859,27648
3,10000,35579,27621
3,10000,35729,27176
3,10000,35669,27022
3,10000,38850,27725
3,10000,35753,27673
3,10000,35637,27622
3,10000,35496,27436
3,10000,35969,27669
3,10000,35666,27769
3,10000,35460,27848
3,10000,35744,27657
3,10000,35713,27375
3,10000,35461,27429
3,10000,35866,27924
4,10000,36456,28568
4,10000,36806,28103
4,10000,35977,27936
4,10000,36319,28185
4,10000,35923,27648
4,10000,36240,27863
4,10000,39752,28598
4,10000,36590,28263
4,10000,36248,27795
4,10000,36114,27828
4,10000,36016,27873
4,10000,36312,27919
4,10000,36114,27630
4,10000,35919,28337
4,10000,36075,27781
4,10000,36429,28038
4,10000,35965,28096
4,10000,36258,28433
4,10000,36062,28140
4,10000,36347,27991
5,10000,36228,27747
5,10000,36212,28070
5,10000,39069,28163
5,10000,36543,28127
5,10000,36656,28086
5,10000,36669,28471
5,10000,36676,27618
5,10000,36575,28528
5,10000,36859,28564
5,10000,36306,28106
5,10000,36529,28596
5,10000,36600,28321
5,10000,36622,28527
5,10000,36375,28580
5,10000,36533,28477
5,10000,36676,28185
5,10000,36146,28209
5,10000,39543,27969
5,10000,36654,28441
5,10000,36271,28270
6,10000,36478,28558
6,10000,36340,28775
6,10000,36294,28499
6,10000,36401,28421
6,10000,36511,28264
6,10000,36849,28593
6,10000,36902,28938
6,10000,36756,28715
6,10000,36631,28293
6,10000,36263,28182
6,10000,36537,28782
6,10000,36591,28869
6,10000,36818,28546
6,10000,36636,28622
6,10000,36158,28621
6,10000,36338,28510
6,10000,36622,28616
6,10000,36114,28082
6,10000,36502,27954
