Pallet: "multisig", Extrinsic: "cancel_as_multi_store", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,95569,41306
2,10000,88453,33750
2,10000,87810,33222
2,10000,87154,32911
2,10000,86927,32762
2,10000,87337,32940
2,10000,86780,32741
2,10000,87159,32692
2,10000,86775,32650
2,10000,86924,32572
2,10000,87670,33127
2,10000,87162,32945
2,10000,87147,32253
2,10000,87023,32343
2,10000,87453,32050
2,10000,86952,32541
2,10000,87281,32439
2,10000,87467,32488
2,10000,86834,32604
2,10000,87026,32526
3,10000,86924,32927
3,10000,87399,32629
3,10000,87815,32860
3,10000,87386,32792
3,10000,87392,33107
3,10000,87320,32553
3,10000,87145,33000
3,10000,87148,32570
3,10000,86838,32615
3,10000,87451,32917
3,10000,87180,32809
3,10000,87336,32822
3,10000,87168,32895
3,10000,87563,33078
3,10000,87539,33507
3,10000,87316,32539
3,10000,86954,32958
3,10000,87602,32891
3,10000,87416,33168
3,10000,87094,32723
4,10000,88068,32406
4,10000,87861,32941
4,10000,87557,32615
4,10000,87364,32465
4,10000,87250,32639
4,10000,87492,32440
4,10000,88081,32873
4,10000,87323,32745
4,10000,87468,32450
4,10000,87626,32694
4,10000,87248,32519
4,10000,87549,32071
4,10000,87274,32604
4,10000,87556,32469
4,10000,87528,32801
4,10000,87503,32366
4,10000,87742,32895
4,10000,87450,32182
4,10000,87500,32523
4,10000,87332,32639
5,10000,88065,32461
5,10000,87892,32457
5,10000,87996,32487
5,10000,87353,32885
5,10000,87632,32929
5,10000,87868,32663
5,10000,90019,33141
5,10000,87702,32797
5,10000,87727,32634
5,10000,88016,32687
5,10000,87760,32817
5,10000,87293,32805
5,10000,87696,32854
5,10000,87993,32766
5,10000,87841,32441
5,10000,87375,32130
5,10000,87697,32207
5,10000,87436,32681
5,10000,87503,32796
5,10000,87592,32697
6,10000,88008,33208
6,10000,87570,32599
6,10000,87550,32862
6,10000,87508,32846
6,10000,87556,32796
6,10000,87601,33281
6,10000,87785,32412
6,10000,87669,32679
6,10000,87875,33202
6,10000,87164,32769
6,10000,87501,33050
6,10000,87519,32835
6,10000,87545,32875
6,10000,87440,32598
6,10000,87871,32799
6,10000,87287,32882
6,10000,87708,32873
6,10000,87883,32868
6,10000,87815,32922
6,10000,87247,32554
7,10000,87713,33239
7,10000,87765,32565
7,10000,87651,33200
7,10000,87704,33160
7,10000,87883,32716
7,10000,87791,32936
7,10000,87796,33216
7,10000,87878,33002
7,10000,87834,32863
7,10000,87421,33223
7,10000,87744,33145
7,10000,87693,33423
7,10000,87848,32855
7,10000,87857,32816
7,10000,87808,32501
7,10000,87477,32875
7,10000,90269,33184
7,10000,87503,33108
7,10000,87952,33461
7,10000,87445,32878
8,10000,88031,33000
8,10000,88187,32522
8,10000,87492,33242
8,10000,88244,32786
8,10000,88039,33439
8,10000,88213,32864
8,10000,88282,33079
8,10000,88148,32740
8,10000,87575,32909
8,10000,88306,32864
8,10000,88191,32618
8,10000,88550,33283
8,10000,88328,33012
8,10000,88127,33011
8,10000,87998,33345
8,10000,88271,32964
8,10000,88218,32856
8,10000,87898,33352
8,10000,87920,33235
8,10000,88452,32931
9,10000,88607,33231
9,10000,89298,33226
9,10000,88903,33038
9,10000,88727,33084
9,10000,89026,34022
9,10000,88562,33650
9,10000,88436,33137
9,10000,88485,33310
9,10000,88422,33572
9,10000,89145,33557
9,10000,88476,33416
9,10000,88492,33113
9,10000,88667,33130
9,10000,88701,32951
9,10000,88542,33206
9,10000,88647,33047
9,10000,88918,33279
9,10000,88885,33379
9,10000,88191,33438
9,10000,88698,32694
10,10000,88151,33399
10,10000,88651,32806
10,10000,88765,33399
10,10000,88234,33724
10,10000,88565,33327
10,10000,89066,33376
10,10000,88743,33447
10,10000,88568,33853
10,10000,88160,33632
10,10000,88520,33391
10,10000,88345,33270
10,10000,88896,33707
10,10000,88558,33750
10,10000,88557,33290
10,10000,88759,32974
10,10000,88468,33345
10,10000,88631,33272
10,10000,88648,33152
10,10000,88342,33318
10,10000,88698,33441
11,10000,88423,32992
11,10000,88387,33356
11,10000,88520,33322
11,10000,88579,33525
11,10000,88138,33637
11,10000,88323,33494
11,10000,88291,33528
11,10000,88785,33655
11,10000,88729,33312
11,10000,88926,33656
11,10000,89014,33220
11,10000,88594,33229
11,10000,88132,33837
11,10000,88332,33451
11,10000,88083,33512
11,10000,88440,32991
11,10000,88370,33243
11,10000,88341,33836
11,10000,88299,33671
11,10000,88437,33045
12,10000,88253,34085
12,10000,89017,33583
12,10000,88336,33675
12,10000,88603,33554
12,10000,88333,33870
12,10000,89166,33795
12,10000,88897,34243
12,10000,88889,33524
12,10000,88736,33700
12,10000,88995,33648
12,10000,88452,33565
12,10000,88571,32981
12,10000,88739,33130
12,10000,88818,33284
12,10000,88846,33750
12,10000,88428,33241
12,10000,88532,33800
12,10000,88441,33586
12,10000,88594,33624
12,10000,88438,33616
13,10000,88793,34188
13,10000,88541,33627
13,10000,88782,33739
13,10000,89035,33620
13,10000,88479,33774
13,10000,89083,33432
13,10000,89177,33752
13,10000,88926,33439
13,10000,88952,33988
13,10000,88625,33255
13,10000,89129,33252
13,10000,89136,33799
13,10000,88377,33649
13,10000,89072,33544
13,10000,89374,33493
13,10000,89140,33749
13,10000,89212,33690
13,10000,89043,33215
13,10000,89369,33442
13,10000,89287,33317
14,10000,89883,33840
14,10000,89965,33823
14,10000,89857,33804
14,10000,89812,33613
14,10000,89413,33981
14,10000,89443,33738
14,10000,89189,33820
14,10000,89575,34042
14,10000,89442,33391
14,10000,89635,33880
14,10000,89336,33844
14,10000,89441,33674
14,10000,88995,33730
14,10000,89550,33647
14,10000,88963,34044
14,10000,89897,33684
