2020-04-09 03:58:05.546 main TRACE benchmark  Start Benchmark: d 1
2020-04-09 03:58:05.546 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.546 main TRACE state-trace  3497: Get d5c41b52a371aa36c9254ce34324f2a53b996bb988ea8ee15bad3ffd2f68dbda=Some(04000000000000)
2020-04-09 03:58:05.546 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.546 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.546 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=None
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put d5c41b52a371aa36c9254ce34324f2a53b996bb988ea8ee15bad3ffd2f68dbda=Some(00)
2020-04-09 03:58:05.547 main TRACE benchmark  End Benchmark: 178149 ns
2020-04-09 03:58:05.547 main TRACE benchmark  Start Benchmark: d 5
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get d5c41b52a371aa36c9254ce34324f2a53b996bb988ea8ee15bad3ffd2f68dbda=Some(14000000000000000000000000000000000000000000000000000000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=None
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Put d5c41b52a371aa36c9254ce34324f2a53b996bb988ea8ee15bad3ffd2f68dbda=Some(00)
2020-04-09 03:58:05.547 main TRACE benchmark  End Benchmark: 404036 ns
2020-04-09 03:58:05.547 main TRACE benchmark  Start Benchmark: d 9
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.547 main TRACE state-trace  3497: Get d5c41b52a371aa36c9254ce34324f2a53b996bb988ea8ee15bad3ffd2f68dbda=Some(24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=None
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcaad811cd65a470ddc5f1d628ff0550982b4def25cfda6ef3a00000000=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Put 5f3e4907f716ac89b6347d15ececedca605b2c046b5509037f3f158b9741d037=Some(00000000)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcae1791577e4efcb083fdc3cb21e85b2e4=Some(00)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedcac29a0310e1bb45d20cace77ccb62c97d=Some(00e1f505)
2020-04-09 03:58:05.548 main TRACE state-trace  3497: Get 5f3e4907f716ac89b6347d15ececedca487df464e44a534ba6b0cbb32407b587=Some(0000000000)
